iter,total,cd3d,cd3d_raw,cd2d,scale_reg,t_reg,scale,tx,ty,tz
0,39.93733978,0.03993678,5.02674961,5.61704731,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000
1,39.93528748,0.03993510,4.96147776,1.84575140,0.00002500,0.00007500,1.00501263,-0.00500000,-0.00500000,0.00500000
2,39.93344879,0.03993337,4.89634562,0.75864643,0.00010008,0.00028499,1.01005411,-0.00932635,-0.00989492,0.01000474
3,39.93164825,0.03993156,4.83096552,0.89725661,0.00022544,0.00058850,1.01512790,-0.01213388,-0.01469017,0.01501575
4,39.92976761,0.03992965,4.76507998,1.12894952,0.00040140,0.00094829,1.02023709,-0.01302225,-0.01942473,0.02003471
5,39.92776871,0.03992766,4.69881296,1.07445562,0.00062840,0.00136600,1.02538466,-0.01248140,-0.02412400,0.02506494
6,39.92565536,0.03992557,4.63231277,0.84991455,0.00090697,0.00185770,1.03057396,-0.01100648,-0.02880957,0.03010931
7,39.92345810,0.03992339,4.56567860,0.63546115,0.00123776,0.00244031,1.03580797,-0.00898153,-0.03350595,0.03517096
8,39.92116165,0.03992110,4.49898720,0.53800172,0.00162154,0.00312495,1.04109013,-0.00666792,-0.03821148,0.04025386
9,39.91878128,0.03991872,4.43227053,0.56340730,0.00205919,0.00392034,1.04642367,-0.00426874,-0.04294863,0.04536002
10,39.91630173,0.03991622,4.36556196,0.77289706,0.00255172,0.00482924,1.05181217,-0.00192794,-0.04770675,0.05049347
11,39.91373825,0.03991361,4.29888201,1.21434665,0.00310024,0.00585193,1.05725908,0.00025022,-0.05247949,0.05565758
12,39.91107178,0.03991087,4.23228979,1.87713492,0.00370602,0.00698436,1.06276834,0.00208842,-0.05723987,0.06085714
13,39.90829468,0.03990801,4.16586113,2.71568084,0.00437044,0.00821725,1.06834352,0.00342301,-0.06194099,0.06609724
14,39.90540314,0.03990503,4.09963751,3.61507249,0.00509500,0.00953952,1.07398844,0.00421178,-0.06653173,0.07138144
15,39.90236664,0.03990190,4.03372955,4.43659258,0.00588133,0.01093309,1.07970715,0.00435720,-0.07091556,0.07671434
16,39.89918137,0.03989865,3.96817517,5.13893032,0.00673118,0.01238363,1.08550334,0.00390857,-0.07502182,0.08209799
17,39.89583206,0.03989524,3.90295577,5.70014906,0.00764639,0.01387939,1.09138072,0.00307212,-0.07879058,0.08753284
18,39.89231110,0.03989168,3.83806658,6.14677620,0.00862888,0.01540909,1.09734297,0.00196105,-0.08217422,0.09301959
19,39.88861847,0.03988795,3.77348113,6.45591354,0.00968071,0.01695844,1.10339367,0.00080738,-0.08511133,0.09855884
20,39.88472366,0.03988403,3.70908260,6.61053562,0.01080401,0.01852185,1.10953653,-0.00010171,-0.08760511,0.10414984
21,39.88059998,0.03987992,3.64475918,6.52113581,0.01200098,0.02010095,1.11577475,-0.00062332,-0.08970077,0.10979221
22,39.87622833,0.03987557,3.58033490,6.20340490,0.01327392,0.02170668,1.12211192,-0.00055653,-0.09148571,0.11548478
23,39.87158203,0.03987097,3.51564527,5.75293541,0.01462519,0.02336644,1.12855113,0.00006863,-0.09311590,0.12122650
24,39.86663818,0.03986607,3.45056891,5.31068516,0.01605728,0.02510621,1.13509607,0.00118862,-0.09471711,0.12701760
25,39.86139297,0.03986084,3.38495517,5.01953459,0.01757281,0.02696257,1.14175034,0.00271112,-0.09645728,0.13285787
26,39.85580063,0.03985526,3.31874418,4.97112513,0.01917455,0.02896141,1.14851773,0.00448575,-0.09843742,0.13874929
27,39.84983444,0.03984927,3.25189829,5.17004681,0.02086543,0.03112229,1.15540242,0.00642096,-0.10072029,0.14469445
28,39.84346008,0.03984284,3.18442917,5.63866329,0.02264854,0.03345706,1.16240871,0.00840825,-0.10332861,0.15069693
29,39.83662033,0.03983593,3.11636591,6.36512566,0.02452716,0.03597175,1.16954112,0.01038035,-0.10625479,0.15676071
30,39.82928467,0.03982849,3.04775214,7.33817244,0.02650469,0.03866939,1.17680442,0.01224504,-0.10948214,0.16288987
31,39.82139587,0.03982047,2.97865844,8.54365921,0.02858468,0.04154584,1.18420315,0.01394568,-0.11296165,0.16908881
32,39.81290817,0.03981183,2.90916204,9.94764042,0.03077084,0.04459332,1.19174206,0.01540349,-0.11663729,0.17536190
33,39.80374146,0.03980251,2.83931160,11.47358036,0.03306696,0.04780826,1.19942617,0.01658387,-0.12047321,0.18171254
34,39.79383087,0.03979243,2.76917195,13.11512566,0.03547696,0.05118035,1.20725989,0.01753874,-0.12439644,0.18814427
35,39.78309250,0.03978152,2.69875741,14.85791969,0.03800483,0.05471307,1.21524811,0.01826204,-0.12840314,0.19465920
36,39.77145004,0.03976968,2.62809896,16.68766022,0.04065464,0.05840390,1.22339523,0.01884515,-0.13245109,0.20125972
