iter,total,cd3d,cd3d_raw,cd2d,scale_reg,t_reg,scale,tx,ty,tz
0,39.94621277,0.03994614,5.44665956,0.72252882,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000
1,39.94488907,0.03994482,5.38139486,0.64807260,0.00002500,0.00007499,1.00501263,0.00499903,-0.00500000,0.00500000
2,39.94348526,0.03994342,5.31429338,0.62296063,0.00010008,0.00020177,1.01005411,0.00129968,-0.01000110,0.01000296
3,39.94205093,0.03994197,5.24739647,0.74636120,0.00022542,0.00045629,1.01512730,-0.00236846,-0.01501106,0.01501156
4,39.94057465,0.03994048,5.18103838,0.96381158,0.00040134,0.00082087,1.02023542,-0.00435331,-0.02001770,0.02003026
5,39.93903732,0.03993895,5.11534977,0.90810943,0.00062823,0.00126857,1.02538121,-0.00375857,-0.02502745,0.02506132
6,39.93743896,0.03993736,5.05003071,0.78550863,0.00090660,0.00181233,1.03056777,-0.00183732,-0.03004277,0.03010629
7,39.93581772,0.03993571,4.98477888,1.07705534,0.00123708,0.00246551,1.03579783,0.00003582,-0.03505388,0.03516717
8,39.93417740,0.03993399,4.91935921,1.82685542,0.00162039,0.00321487,1.04107535,0.00021351,-0.03993300,0.04025143
9,39.93249512,0.03993221,4.85419941,2.79606533,0.00205742,0.00402629,1.04640329,-0.00129583,-0.04434384,0.04536775
10,39.93077850,0.03993038,4.78993702,3.84213042,0.00254915,0.00486533,1.05178535,-0.00336107,-0.04797577,0.05052087
11,39.92897415,0.03992853,4.72719145,4.41418743,0.00309664,0.00567873,1.05722499,-0.00496206,-0.05049735,0.05571471
12,39.92705917,0.03992664,4.66610622,4.03071022,0.00370105,0.00643551,1.06272495,-0.00518068,-0.05190167,0.06094987
13,39.92504883,0.03992472,4.60599613,3.15786958,0.00436353,0.00717266,1.06828761,-0.00448039,-0.05260624,0.06622061
14,39.92297745,0.03992273,4.54615259,2.35524631,0.00508528,0.00793939,1.07391536,-0.00364429,-0.05301911,0.07151983
15,39.92084503,0.03992065,4.48597574,1.80686176,0.00586761,0.00877793,1.07961047,-0.00325798,-0.05350412,0.07684153
16,39.91862106,0.03991846,4.42512941,1.46709049,0.00671195,0.00971249,1.08537602,-0.00356804,-0.05427288,0.08218405
17,39.91628647,0.03991614,4.36340570,1.30438256,0.00761984,0.01076544,1.09121501,-0.00437108,-0.05551509,0.08754662
18,39.91382980,0.03991368,4.30075645,1.29326618,0.00859300,0.01194809,1.09713078,-0.00557568,-0.05727774,0.09293149
19,39.91124344,0.03991108,4.23724174,1.42018557,0.00963326,0.01326516,1.10312736,-0.00685417,-0.05955622,0.09834245
20,39.90852356,0.03990833,4.17300749,1.67382443,0.01074261,0.01471130,1.10920835,-0.00794910,-0.06226274,0.10378565
21,39.90564728,0.03990542,4.10820055,2.01923394,0.01192319,0.01627752,1.11537802,-0.00876794,-0.06527681,0.10926840
22,39.90262604,0.03990235,4.04291058,2.46357155,0.01317727,0.01795898,1.12164044,-0.00912410,-0.06853987,0.11479556
23,39.89944077,0.03989911,3.97726846,2.97232890,0.01450724,0.01974481,1.12799978,-0.00903390,-0.07192591,0.12037386
24,39.89608383,0.03989569,3.91134453,3.57585573,0.01591561,0.02162895,1.13446033,-0.00863639,-0.07534131,0.12600812
25,39.89254379,0.03989208,3.84518647,4.24912024,0.01740502,0.02360566,1.14102626,-0.00819169,-0.07869592,0.13170236
26,39.88880539,0.03988827,3.77887869,4.90239143,0.01897822,0.02566106,1.14770186,-0.00795958,-0.08186723,0.13746077
27,39.88483429,0.03988425,3.71250463,5.42790318,0.02063804,0.02778005,1.15449083,-0.00800214,-0.08476464,0.14328632
28,39.88063049,0.03988000,3.64608145,5.72748709,0.02238739,0.02995454,1.16139770,-0.00848869,-0.08733594,0.14918083
29,39.87615204,0.03987551,3.57949591,5.84265041,0.02422925,0.03219987,1.16842592,-0.00947301,-0.08966949,0.15514351
30,39.87139511,0.03987075,3.51268387,5.86944199,0.02616668,0.03452890,1.17557943,-0.01065951,-0.09185938,0.16117422
31,39.86632919,0.03986568,3.44556618,5.85364676,0.02820284,0.03695732,1.18286204,-0.01175716,-0.09401530,0.16727287
32,39.86092758,0.03986027,3.37800193,5.88479710,0.03034100,0.03951073,1.19027770,-0.01263541,-0.09628082,0.17343900
33,39.85515976,0.03985448,3.30988646,6.02919054,0.03258457,0.04221100,1.19783044,-0.01336415,-0.09874139,0.17967343
34,39.84898376,0.03984827,3.24117351,6.31613874,0.03493712,0.04507324,1.20552456,-0.01385894,-0.10145669,0.18597773
35,39.84235382,0.03984159,3.17185616,6.77007341,0.03740236,0.04810728,1.21336424,-0.01408581,-0.10444473,0.19235428
36,39.83523560,0.03983440,3.10191774,7.43777990,0.03998414,0.05132625,1.22135425,-0.01410504,-0.10772057,0.19880536
37,39.82756424,0.03982663,3.03133178,8.41030884,0.04268643,0.05474837,1.22949922,-0.01421329,-0.11128587,0.20533341
38,39.81930542,0.03981823,2.96018767,9.67782307,0.04551340,0.05836793,1.23780382,-0.01447253,-0.11506048,0.21194236
39,39.81038666,0.03980915,2.88853598,11.25603771,0.04846929,0.06218731,1.24627280,-0.01491105,-0.11901104,0.21863517
40,39.80073547,0.03979932,2.81652904,13.00907707,0.05155846,0.06618281,1.25491130,-0.01547907,-0.12300745,0.22541600
41,39.79027557,0.03978866,2.74423742,14.89995193,0.05478533,0.07034842,1.26372373,-0.01618203,-0.12700060,0.23228733
42,39.77891541,0.03977711,2.67176032,16.74716187,0.05815438,0.07466744,1.27271461,-0.01683640,-0.13093004,0.23925154
43,39.76654053,0.03976455,2.59911108,18.55130386,0.06167008,0.07914354,1.28188884,-0.01743275,-0.13480018,0.24630988
44,39.75304031,0.03975086,2.52628994,20.30290222,0.06533692,0.08378658,1.29125023,-0.01798289,-0.13863450,0.25346336
45,39.73827744,0.03973591,2.45324659,22.14451408,0.06915940,0.08862416,1.30080295,-0.01857110,-0.14250723,0.26071241
46,39.72208786,0.03971951,2.37996364,24.15522957,0.07314202,0.09367663,1.31055117,-0.01905845,-0.14648704,0.26805773
47,39.70429611,0.03970146,2.30638885,26.57577515,0.07728930,0.09898210,1.32049870,-0.01953048,-0.15066707,0.27549970
48,39.68467331,0.03968153,2.23249125,29.62971878,0.08160575,0.10457804,1.33064950,-0.02006506,-0.15512718,0.28303885
49,39.66299820,0.03965946,2.15831804,33.45973206,0.08609590,0.11048093,1.34100723,-0.02065779,-0.15987974,0.29067621
50,39.63896561,0.03963492,2.08389997,38.28670883,0.09076419,0.11671665,1.35157549,-0.02140740,-0.16494960,0.29841247
51,39.61223602,0.03960759,2.00932145,44.24308395,0.09561501,0.12329394,1.36235774,-0.02220479,-0.17033152,0.30624837
52,39.58242416,0.03957706,1.93469596,51.34548950,0.10065260,0.13021079,1.37335682,-0.02297193,-0.17598629,0.31418452
53,39.54907990,0.03954287,1.86012793,59.66518784,0.10588104,0.13746610,1.38457561,-0.02359054,-0.18188785,0.32222104
54,39.51163864,0.03950446,1.78571737,69.26871490,0.11130418,0.14506169,1.39601648,-0.02400290,-0.18801434,0.33035761
55,39.46946716,0.03946117,1.71154761,80.27442932,0.11692558,0.15300819,1.40768123,-0.02418573,-0.19436504,0.33859336
