iter,total,cd3d,cd3d_raw,cd2d,scale_reg,t_reg,scale,tx,ty,tz
0,37.47391129,0.03747279,0.77013636,11.18303108,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000
1,37.25632858,0.03725527,0.73684132,10.59379196,0.00002500,0.00007500,1.00501263,0.00500000,-0.00500000,0.00500000
2,37.01520538,0.03701415,0.70417428,10.51103115,0.00010014,0.00029982,1.01005709,0.00997772,-0.01000660,0.01000677
3,36.74739075,0.03674631,0.67212331,10.78661442,0.00022575,0.00067385,1.01513827,0.01491250,-0.01502414,0.01502478
4,36.44932175,0.03644815,0.64067864,11.74595833,0.00040235,0.00119369,1.02026117,0.01972466,-0.02005708,0.02005850
5,36.11668777,0.03611538,0.60982025,13.03188515,0.00063064,0.00185096,1.02543044,0.02428685,-0.02510937,0.02511227
6,35.74456406,0.03574309,0.57953393,14.69360447,0.00091147,0.00262576,1.03065097,0.02833942,-0.03018580,0.03019037
7,35.32719421,0.03532555,0.54980552,16.40254211,0.00124589,0.00348458,1.03592753,0.03151705,-0.03529000,0.03529695
8,34.85786438,0.03485609,0.52062225,17.69892693,0.00163508,0.00439267,1.04126477,0.03351585,-0.04042629,0.04043603
9,34.32883453,0.03432700,0.49197322,18.32047844,0.00208038,0.00533063,1.04666746,0.03421978,-0.04559854,0.04561147
10,33.73149109,0.03372965,0.46386304,18.34134293,0.00258330,0.00629864,1.05214000,0.03366853,-0.05081039,0.05082694
11,33.05617905,0.03305436,0.43630302,18.09645844,0.00314546,0.00732236,1.05768692,0.03214689,-0.05606517,0.05608596
12,32.29212570,0.03229034,0.40930644,17.79162407,0.00376862,0.00842634,1.06331265,0.02985879,-0.06136635,0.06139186
13,31.42743874,0.03142566,0.38288811,17.66754150,0.00445470,0.00963899,1.06902134,0.02706606,-0.06671698,0.06674777
14,30.44953728,0.03044775,0.35707119,17.70484352,0.00520572,0.01098017,1.07481718,0.02392243,-0.07212005,0.07215669
15,29.34519768,0.02934335,0.33187491,18.32121849,0.00602382,0.01246624,1.08070469,0.02056217,-0.07757800,0.07762145
16,28.10166359,0.02809970,0.30732772,19.46985435,0.00691128,0.01411369,1.08668756,0.01720964,-0.08309319,0.08314470
17,26.70753860,0.02670540,0.28346017,21.11540604,0.00787052,0.01594317,1.09277022,0.01443327,-0.08866803,0.08872899
18,25.15373421,0.02515137,0.26029611,23.37431145,0.00890403,0.01796644,1.09895658,0.01290423,-0.09430259,0.09437662
19,23.43632698,0.02343370,0.23786889,25.98520851,0.01001444,0.02018086,1.10525060,0.01279348,-0.09999631,0.10008957
20,21.55952454,0.02155660,0.21622184,28.93214607,0.01120438,0.02257692,1.11165595,0.01362705,-0.10574935,0.10586926
21,19.53851509,0.01953526,0.19540532,32.19812393,0.01247642,0.02514894,1.11817491,0.01496352,-0.11155517,0.11171608
22,17.40083504,0.01739721,0.17546426,35.86789703,0.01383285,0.02788668,1.12480891,0.01632086,-0.11740434,0.11762879
23,15.18984699,0.01518581,0.15645844,39.87929153,0.01527535,0.03076061,1.13155580,0.01689229,-0.12327795,0.12360341
24,12.96218395,0.01295773,0.13844362,44.01629257,0.01680447,0.03375330,1.13840950,0.01635647,-0.12915632,0.12963183
25,10.78845692,0.01078357,0.12150602,48.28498840,0.01841897,0.03686018,1.14535713,0.01488587,-0.13499635,0.13570033
