iter,total,cd3d,cd3d_raw,cd2d,scale_reg,t_reg,scale,tx,ty,tz
0,32.95420456,0.03295354,0.43250942,6.67721796,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000
1,32.53198624,0.03253182,0.41742352,1.67678571,0.00002500,0.00007500,1.00501263,-0.00500000,0.00500000,0.00500000
2,32.08240128,0.03208235,0.40259174,0.52137095,0.00010012,0.00029245,1.01005626,-0.00999084,0.00961890,0.01000572
3,31.60259438,0.03160254,0.38798687,0.55086404,0.00022566,0.00062789,1.01513517,-0.01499117,0.01332392,0.01502091
4,31.08959579,0.03108950,0.37358186,0.96569699,0.00040206,0.00104432,1.02025390,-0.02000330,0.01556333,0.02004928
5,30.54047394,0.03054027,0.35935789,2.00864053,0.00062995,0.00151904,1.02541637,-0.02502810,0.01621439,0.02509446
6,29.95274162,0.02995232,0.34531257,4.18061638,0.00091006,0.00205519,1.03062689,-0.03004190,0.01559008,0.03015997
7,29.32424545,0.02932346,0.33145341,7.77747726,0.00124331,0.00266502,1.03588951,-0.03497395,0.01411848,0.03524926
8,28.65281868,0.02865153,0.31778637,12.84573746,0.00163073,0.00334583,1.04120874,-0.03960282,0.01216811,0.04036558
9,27.93596840,0.02793408,0.30431053,18.80060577,0.00207349,0.00407103,1.04658818,-0.04355626,0.01012594,0.04551205
10,27.17062187,0.02716819,0.29101562,24.25377274,0.00257287,0.00479200,1.05203199,-0.04637995,0.00844179,0.05069153
11,26.35347176,0.02635069,0.27788857,27.71019554,0.00313028,0.00547212,1.05754364,-0.04784334,0.00758800,0.05590666
12,25.48171997,0.02547887,0.26492313,28.39896393,0.00374718,0.00610868,1.06312668,-0.04804457,0.00773819,0.06115979
13,24.55384636,0.02455113,0.25212583,27.06883621,0.00442514,0.00672948,1.06878412,-0.04729727,0.00874360,0.06645297
14,23.56942177,0.02356692,0.23950905,24.87344551,0.00516576,0.00736822,1.07451916,-0.04591821,0.01030751,0.07178784
15,22.52892876,0.02252666,0.22708608,22.51428604,0.00597068,0.00805217,1.08033383,-0.04418291,0.01206282,0.07716560
16,21.43356895,0.02143154,0.21486649,20.12799644,0.00684150,0.00879896,1.08623052,-0.04235293,0.01358673,0.08258688
17,20.28527451,0.02028349,0.20285527,17.68643379,0.00777981,0.00961697,1.09221005,-0.04066622,0.01449601,0.08805168
18,19.08764267,0.01908609,0.19106048,15.33090496,0.00878704,0.01051163,1.09827328,-0.03928938,0.01465098,0.09355922
19,17.84642601,0.01784507,0.17949565,13.36592770,0.00986448,0.01149413,1.10441983,-0.03834390,0.01419555,0.09910784
20,16.56957436,0.01656834,0.16817749,12.13487911,0.01101316,0.01257863,1.11064792,-0.03790238,0.01345541,0.10469478
21,15.26706505,0.01526586,0.15712385,11.84084129,0.01223373,0.01377583,1.11695492,-0.03796306,0.01284570,0.11031600
22,13.95097256,0.01394970,0.14635448,12.46710873,0.01352638,0.01508556,1.12333608,-0.03842033,0.01270151,0.11596600
23,12.63517094,0.01263375,0.13589028,13.93850803,0.01489067,0.01650062,1.12978494,-0.03915280,0.01311430,0.12163755
24,11.33544827,0.01133380,0.12575717,16.10993767,0.01632542,0.01800653,1.13629270,-0.04002124,0.01393085,0.12732150
25,10.06835938,0.01006645,0.11598161,18.67811012,0.01782847,0.01958620,1.14284778,-0.04092480,0.01485313,0.13300657
26,8.85031033,0.00884818,0.10658973,20.86445808,0.01939657,0.02120985,1.14943624,-0.04168120,0.01551077,0.13867928
27,7.69676733,0.00769452,0.09760737,22.03865242,0.02102521,0.02285354,1.15604043,-0.04216546,0.01569193,0.14432387
28,6.62127304,0.00661901,0.08905882,22.15604782,0.02270850,0.02451156,1.16264009,-0.04237824,0.01545635,0.14992248
29,5.63494635,0.00563275,0.08096881,21.47525978,0.02443913,0.02618198,1.16921210,-0.04230553,0.01502806,0.15545538
30,4.74526834,0.00474316,0.07335715,20.49596786,0.02620841,0.02787013,1.17573094,-0.04200461,0.01471178,0.16090153
31,3.95588946,0.00395387,0.06623874,19.59438324,0.02800640,0.02957864,1.18216932,-0.04154830,0.01472814,0.16623917
32,3.26676226,0.00326481,0.05962352,18.93640518,0.02982221,0.03130408,1.18849885,-0.04100717,0.01511778,0.17144662
33,2.67447424,0.00267256,0.05351550,18.49798393,0.03164426,0.03303663,1.19469190,-0.04042621,0.01577988,0.17650311
34,2.17289615,0.00217101,0.04791250,18.14804077,0.03346071,0.03476130,1.20072150,-0.03982331,0.01652980,0.18138954
35,1.75385129,0.00175202,0.04280502,17.63770103,0.03525987,0.03645889,1.20656335,-0.03917405,0.01717752,0.18608926
36,1.40802395,0.00140626,0.03817724,16.88136482,0.03703062,0.03811418,1.21219575,-0.03847573,0.01760118,0.19058853
37,1.12567115,0.00112401,0.03400749,15.81477547,0.03876271,0.03971565,1.21760094,-0.03772073,0.01777091,0.19487685
38,0.89729339,0.00089576,0.03027002,14.56480408,0.04044708,0.04125722,1.22276485,-0.03691934,0.01772688,0.19894707
39,0.71403509,0.00071263,0.02693615,13.20368671,0.04207599,0.04273402,1.22767770,-0.03606282,0.01753770,0.20279527
40,0.56793451,0.00056666,0.02397506,11.86293221,0.04364312,0.04414595,1.23233330,-0.03517372,0.01730082,0.20642056
41,0.45203748,0.00045089,0.02135476,10.61368084,0.04514363,0.04549148,1.23672938,-0.03424818,0.01709196,0.20982471
42,0.36043811,0.00035940,0.01904349,9.48528194,0.04657404,0.04676963,1.24086678,-0.03328465,0.01696253,0.21301182
43,0.28821692,0.00028727,0.01701029,8.48983288,0.04793215,0.04798119,1.24474931,-0.03230639,0.01693361,0.21598782
44,0.23134954,0.00023049,0.01522576,7.63369846,0.04921692,0.04912663,1.24838269,-0.03133351,0.01699549,0.21876012
45,0.18656181,0.00018577,0.01366154,6.90345621,0.05042829,0.05020642,1.25177491,-0.03039046,0.01710759,0.22133723
46,0.15127099,0.00015054,0.01229267,6.27114058,0.05156707,0.05122111,1.25493503,-0.02949895,0.01721913,0.22372846
47,0.12341384,0.00012274,0.01109575,5.71209669,0.05263475,0.05217111,1.25787354,-0.02866722,0.01728579,0.22594358
48,0.10136116,0.00010073,0.01004933,5.19841576,0.05363337,0.05305718,1.26060128,-0.02789311,0.01727787,0.22799261
49,0.08385126,0.00008327,0.00913475,4.72825480,0.05456540,0.05388153,1.26312947,-0.02718762,0.01717476,0.22988559
50,0.06989364,0.00006935,0.00833513,4.29614067,0.05543363,0.05464637,1.26546979,-0.02654403,0.01697544,0.23163250
51,0.05871932,0.00005822,0.00763563,3.89792633,0.05624104,0.05535458,1.26763368,-0.02595773,0.01668710,0.23324303
52,0.04973481,0.00004927,0.00702344,3.53894019,0.05699076,0.05600976,1.26963234,-0.02543153,0.01632212,0.23472662
53,0.04247382,0.00004204,0.00648704,3.22016144,0.05768597,0.05661560,1.27147675,-0.02496498,0.01589911,0.23609228
54,0.03657692,0.00003617,0.00601681,2.92191815,0.05832990,0.05717468,1.27317762,-0.02454508,0.01542266,0.23734862
55,0.03176245,0.00003138,0.00560381,2.67756343,0.05892569,0.05769059,1.27474499,-0.02416811,0.01491435,0.23850378
56,0.02781325,0.00002745,0.00524089,2.47569132,0.05947647,0.05816667,1.27618861,-0.02382804,0.01439682,0.23956549
57,0.02455335,0.00002420,0.00492127,2.30501151,0.05998523,0.05860596,1.27751768,-0.02352114,0.01388394,0.24054095
58,0.02185156,0.00002152,0.00463973,2.16543770,0.06045488,0.05901139,1.27874076,-0.02324474,0.01338945,0.24143694
59,0.01959898,0.00001927,0.00439106,2.06630182,0.06088819,0.05938560,1.27986598,-0.02299342,0.01292711,0.24225977
60,0.01771080,0.00001739,0.00417108,1.99403799,0.06128780,0.05973105,1.28090096,-0.02276387,0.01250647,0.24301532
