iter,total,cd3d,cd3d_raw,cd2d,scale_reg,t_reg,scale,tx,ty,tz
0,7.29338408,0.00725894,0.09417165,344.45989990,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000
1,6.35006046,0.00632090,0.08664414,291.61282349,0.00002500,0.00007500,1.00501263,-0.00500000,0.00500000,0.00500000
2,5.48244333,0.00545787,0.07949999,245.72605896,0.00009974,0.00028796,1.01003718,-0.00940265,0.00999158,0.00998579
3,4.69356108,0.00467301,0.07274028,205.52156067,0.00022350,0.00059582,1.01506209,-0.01218182,0.01496890,0.01494491
4,3.98495412,0.00396790,0.06636906,170.50602722,0.00039498,0.00095311,1.02007282,-0.01271904,0.01992041,0.01986238
5,3.35694361,0.00334294,0.06039704,139.99334717,0.00061226,0.00136272,1.02505243,-0.01161386,0.02483302,0.02472159
6,2.80887222,0.00279747,0.05484369,113.97496033,0.00087269,0.00184172,1.02998209,-0.00947178,0.02968991,0.02950442
7,2.33549500,0.00232618,0.04969717,93.13412476,0.00117297,0.00240190,1.03484190,-0.00665803,0.03447391,0.03419234
8,1.93151176,0.00192375,0.04495490,77.59121704,0.00150913,0.00304856,1.03961194,-0.00336493,0.03917096,0.03876694
9,1.59108245,0.00158441,0.04061722,66.65565491,0.00187671,0.00378317,1.04427314,0.00031921,0.04377100,0.04321069
10,1.30894125,0.00130297,0.03669935,59.63998795,0.00227072,0.00460320,1.04880571,0.00423004,0.04825324,0.04750719
11,1.07716632,0.00107153,0.03318171,56.26961517,0.00268595,0.00550197,1.05319262,0.00826790,0.05259910,0.05164254
12,0.88829589,0.00088283,0.03004584,54.58258438,0.00311715,0.00646984,1.05741942,0.01234001,0.05679423,0.05560561
13,0.73533374,0.00073015,0.02727133,51.73102188,0.00355919,0.00749674,1.06147444,0.01641756,0.06082993,0.05938792
14,0.61171871,0.00060684,0.02482308,48.68964386,0.00400723,0.00857190,1.06534922,0.02046397,0.06470030,0.06298414
15,0.51213270,0.00050737,0.02266916,47.45958328,0.00445695,0.00968354,1.06903923,0.02444116,0.06839731,0.06639263
16,0.43185246,0.00042722,0.02078067,46.12779999,0.00490449,0.01081949,1.07254255,0.02830936,0.07191631,0.06961402
17,0.36683547,0.00036239,0.01912331,44.30419922,0.00534656,0.01196779,1.07585979,0.03202780,0.07525815,0.07265136
18,0.31440949,0.00031016,0.01767995,42.33739471,0.00578040,0.01311628,1.07899380,0.03555502,0.07842472,0.07550950
19,0.27209866,0.00026799,0.01642543,40.90906143,0.00620364,0.01425094,1.08194804,0.03882659,0.08141971,0.07819375
20,0.23775160,0.00023370,0.01533207,40.30804062,0.00661442,0.01535987,1.08472776,0.04180758,0.08424827,0.08071075
21,0.20971714,0.00020566,0.01437780,40.35520935,0.00701137,0.01642963,1.08733964,0.04444142,0.08691523,0.08306821
22,0.18674584,0.00018265,0.01354581,40.69992828,0.00739346,0.01744993,1.08979023,0.04670553,0.08942531,0.08527388
23,0.16775584,0.00016361,0.01281741,41.15631104,0.00775997,0.01841489,1.09208715,0.04860969,0.09178499,0.08733560
24,0.15185159,0.00014765,0.01217380,41.69923782,0.00811051,0.01931954,1.09423816,0.05015716,0.09400096,0.08926153
25,0.13829377,0.00013404,0.01159690,42.27808380,0.00844503,0.02016109,1.09625173,0.05135907,0.09607994,0.09106034
26,0.12674986,0.00012245,0.01108249,42.74549103,0.00876363,0.02094016,1.09813607,0.05224589,0.09802964,0.09274003
27,0.11683141,0.00011248,0.01062043,43.24358368,0.00906651,0.02165757,1.09989882,0.05283981,0.09985729,0.09430828
28,0.10830139,0.00010390,0.01020616,43.74532318,0.00935405,0.02231607,1.10154784,0.05317339,0.10156909,0.09577256
29,0.10099296,0.00009654,0.00983740,44.19438553,0.00962664,0.02291864,1.10309017,0.05327608,0.10317063,0.09713969
30,0.09465057,0.00009016,0.00950584,44.59882355,0.00988475,0.02346915,1.10453248,0.05318068,0.10466727,0.09841608
31,0.08911765,0.00008458,0.00920666,45.00238419,0.01012898,0.02397199,1.10588157,0.05292184,0.10606354,0.09960821
32,0.08429191,0.00007972,0.00893745,45.38298035,0.01035992,0.02443089,1.10714388,0.05252459,0.10736452,0.10072196
33,0.08006237,0.00007545,0.00869456,45.74207306,0.01057818,0.02484953,1.10832536,0.05201285,0.10857492,0.10176288
34,0.07634278,0.00007170,0.00847525,46.05723953,0.01078438,0.02523084,1.10943174,0.05140176,0.10969944,0.10273622
35,0.07306783,0.00006839,0.00827707,46.38543701,0.01097916,0.02557806,1.11046791,0.05071072,0.11074208,0.10364685
36,0.07017234,0.00006546,0.00809762,46.71129227,0.01116314,0.02589478,1.11143923,0.04996226,0.11170689,0.10449940
37,0.06762630,0.00006288,0.00793600,47.07713318,0.01133693,0.02618431,1.11235011,0.04917695,0.11259776,0.10529809
38,0.06537799,0.00006060,0.00779029,47.43328094,0.01150108,0.02644972,1.11320484,0.04837344,0.11341883,0.10604668
39,0.06338991,0.00005857,0.00765901,47.77003098,0.01165617,0.02669288,1.11400735,0.04755965,0.11417376,0.10674882
40,0.06163082,0.00005678,0.00754076,48.09785461,0.01180271,0.02691616,1.11476123,0.04674818,0.11486657,0.10740780
41,0.06007334,0.00005519,0.00743420,48.43172836,0.01194121,0.02712195,1.11546993,0.04595345,0.11550093,0.10802668
42,0.05869303,0.00005378,0.00733811,48.78244781,0.01207217,0.02731224,1.11613679,0.04518706,0.11608015,0.10860834
43,0.05746235,0.00005251,0.00725106,49.13814545,0.01219603,0.02748886,1.11676443,0.04446037,0.11660713,0.10915546
44,0.05636477,0.00005138,0.00717230,49.48970795,0.01231327,0.02765343,1.11735594,0.04378211,0.11708512,0.10967057
45,0.05538066,0.00005036,0.00710065,49.84646988,0.01242430,0.02780776,1.11791384,0.04316441,0.11751708,0.11015595
46,0.05449086,0.00004943,0.00703510,50.18961334,0.01252954,0.02795278,1.11844063,0.04261011,0.11790559,0.11061385
47,0.05368143,0.00004859,0.00697476,50.52548981,0.01262940,0.02808965,1.11893868,0.04212581,0.11825296,0.11104642
48,0.05293851,0.00004781,0.00691895,50.82920837,0.01272428,0.02821928,1.11941016,0.04171426,0.11856153,0.11145565
49,0.05225395,0.00004710,0.00686718,51.10102081,0.01281453,0.02834274,1.11985731,0.04138075,0.11883364,0.11184338
50,0.05161795,0.00004644,0.00681887,51.33579254,0.01290049,0.02846050,1.12028193,0.04112253,0.11907168,0.11221129
51,0.05102535,0.00004583,0.00677364,51.54117584,0.01298249,0.02857320,1.12068570,0.04093927,0.11927781,0.11256099
52,0.05046972,0.00004526,0.00673121,51.70023727,0.01306082,0.02868141,1.12107038,0.04083005,0.11945406,0.11289395
53,0.04994520,0.00004472,0.00669116,51.81663513,0.01313577,0.02878591,1.12143755,0.04079643,0.11960236,0.11321148
54,0.04944866,0.00004422,0.00665330,51.89068604,0.01320759,0.02888695,1.12178850,0.04083320,0.11972466,0.11351479
55,0.04897458,0.00004374,0.00661725,51.92206192,0.01327652,0.02898473,1.12212455,0.04093444,0.11982281,0.11380507
56,0.04852359,0.00004329,0.00658300,51.92231369,0.01334280,0.02907935,1.12244689,0.04109339,0.11989851,0.11408343
57,0.04809270,0.00004286,0.00655039,51.88430023,0.01340663,0.02917082,1.12275672,0.04130238,0.11995345,0.11435080
58,0.04768276,0.00004246,0.00651939,51.82697678,0.01346818,0.02925928,1.12305474,0.04155525,0.11998937,0.11460801
59,0.04729261,0.00004207,0.00648987,51.75584412,0.01352762,0.02934451,1.12334216,0.04184264,0.12000767,0.11485582
60,0.04691941,0.00004171,0.00646174,51.65800858,0.01358511,0.02942639,1.12361956,0.04215656,0.12000986,0.11509496
61,0.04656521,0.00004137,0.00643508,51.54612350,0.01364076,0.02950459,1.12388754,0.04248672,0.11999740,0.11532603
62,0.04622764,0.00004104,0.00640967,51.42629242,0.01369471,0.02957901,1.12414694,0.04282652,0.11997161,0.11554961
63,0.04590455,0.00004073,0.00638541,51.29283142,0.01374708,0.02964947,1.12439823,0.04316883,0.11993374,0.11576622
64,0.04559582,0.00004044,0.00636220,51.15687561,0.01379796,0.02971592,1.12464190,0.04350848,0.11988498,0.11597639
65,0.04529956,0.00004016,0.00634003,51.00294876,0.01384747,0.02977864,1.12487876,0.04384447,0.11982642,0.11618058
66,0.04501598,0.00003989,0.00631876,50.85277939,0.01389570,0.02983765,1.12510908,0.04417334,0.11975914,0.11637919
67,0.04474373,0.00003963,0.00629842,50.69139481,0.01394273,0.02989287,1.12533343,0.04449013,0.11968423,0.11657266
68,0.04448215,0.00003938,0.00627881,50.53559494,0.01398866,0.02994388,1.12555206,0.04478732,0.11960249,0.11676137
69,0.04422952,0.00003915,0.00625988,50.37708282,0.01403357,0.02999066,1.12576556,0.04506162,0.11951489,0.11694570
70,0.04398507,0.00003892,0.00624156,50.21844864,0.01407753,0.03003304,1.12597442,0.04530869,0.11942220,0.11712599
71,0.04374771,0.00003870,0.00622373,50.06228256,0.01412064,0.03007121,1.12617874,0.04552898,0.11932488,0.11730257
72,0.04351708,0.00003848,0.00620642,49.90278244,0.01416295,0.03010485,1.12637913,0.04571680,0.11922359,0.11747579
73,0.04329195,0.00003827,0.00618956,49.73579025,0.01420455,0.03013444,1.12657595,0.04587526,0.11911900,0.11764593
74,0.04307329,0.00003807,0.00617312,49.57716751,0.01424550,0.03016007,1.12676930,0.04600373,0.11901163,0.11781324
75,0.04285980,0.00003788,0.00615724,49.39675903,0.01428582,0.03018164,1.12695956,0.04609920,0.11890214,0.11797787
76,0.04265374,0.00003769,0.00614179,49.23132324,0.01432556,0.03019915,1.12714672,0.04616045,0.11879098,0.11814002
77,0.04245124,0.00003750,0.00612675,49.04845810,0.01436473,0.03021296,1.12733102,0.04619022,0.11867852,0.11829978
78,0.04225505,0.00003732,0.00611217,48.86635208,0.01440337,0.03022316,1.12751269,0.04618791,0.11856520,0.11845727
79,0.04206408,0.00003715,0.00609791,48.69448853,0.01444151,0.03023003,1.12769175,0.04615528,0.11845150,0.11861265
80,0.04187659,0.00003698,0.00608399,48.51158142,0.01447918,0.03023398,1.12786841,0.04609567,0.11833762,0.11876607
81,0.04169402,0.00003682,0.00607039,48.33488464,0.01451639,0.03023546,1.12804270,0.04601308,0.11822379,0.11891759
82,0.04151531,0.00003665,0.00605709,48.15745926,0.01455318,0.03023496,1.12821484,0.04591200,0.11811019,0.11906733
83,0.04134046,0.00003650,0.00604413,47.97463608,0.01458959,0.03023276,1.12838495,0.04579493,0.11799691,0.11921542
84,0.04117096,0.00003635,0.00603148,47.80421829,0.01462560,0.03022936,1.12855303,0.04566640,0.11788422,0.11936186
85,0.04100534,0.00003620,0.00601915,47.63060379,0.01466123,0.03022524,1.12871933,0.04553057,0.11777248,0.11950669
86,0.04084366,0.00003605,0.00600711,47.45843887,0.01469651,0.03022067,1.12888360,0.04539029,0.11766166,0.11965000
87,0.04068652,0.00003591,0.00599540,47.29056168,0.01473144,0.03021556,1.12904608,0.04524477,0.11755165,0.11979183
88,0.04053298,0.00003578,0.00598394,47.12438583,0.01476603,0.03021034,1.12920690,0.04509765,0.11744279,0.11993218
89,0.04038435,0.00003564,0.00597280,46.96789551,0.01480028,0.03020517,1.12936592,0.04495073,0.11733514,0.12007111
90,0.04023940,0.00003551,0.00596193,46.81303024,0.01483419,0.03020039,1.12952328,0.04480705,0.11722886,0.12020862
91,0.04009726,0.00003539,0.00595134,46.65057373,0.01486779,0.03019602,1.12967896,0.04466659,0.11712410,0.12034475
92,0.03995944,0.00003526,0.00594097,46.50328064,0.01490108,0.03019173,1.12983310,0.04452598,0.11702064,0.12047962
93,0.03982319,0.00003514,0.00593073,46.35367584,0.01493409,0.03018792,1.12998581,0.04438939,0.11691853,0.12061325
94,0.03969069,0.00003502,0.00592073,46.21220779,0.01496680,0.03018486,1.13013709,0.04425937,0.11681800,0.12074567
95,0.03956222,0.00003491,0.00591092,46.08566666,0.01499926,0.03018254,1.13028681,0.04413524,0.11671921,0.12087698
96,0.03943535,0.00003479,0.00590128,45.95314407,0.01503145,0.03018118,1.13043535,0.04401882,0.11662242,0.12100719
97,0.03931162,0.00003468,0.00589181,45.83019638,0.01506340,0.03018106,1.13058257,0.04391308,0.11652764,0.12113634
98,0.03919113,0.00003457,0.00588251,45.71885300,0.01509511,0.03018223,1.13072848,0.04381898,0.11643478,0.12126448
99,0.03907228,0.00003447,0.00587338,45.60128021,0.01512659,0.03018481,1.13087332,0.04373747,0.11634395,0.12139163
100,0.03895524,0.00003436,0.00586430,45.49441528,0.01515786,0.03018889,1.13101697,0.04366958,0.11625517,0.12151787
101,0.03884117,0.00003426,0.00585542,45.39219666,0.01518891,0.03019435,1.13115954,0.04361430,0.11616831,0.12164321
102,0.03872912,0.00003415,0.00584672,45.28718567,0.01521976,0.03020139,1.13130105,0.04357358,0.11608347,0.12176766
103,0.03861837,0.00003405,0.00583807,45.18862534,0.01525043,0.03021008,1.13144171,0.04354776,0.11600080,0.12189130
104,0.03850970,0.00003396,0.00582959,45.08942795,0.01528092,0.03022017,1.13158131,0.04353432,0.11592016,0.12201415
105,0.03840399,0.00003386,0.00582129,44.99694824,0.01531123,0.03023148,1.13171995,0.04353071,0.11584170,0.12213621
106,0.03830010,0.00003376,0.00581312,44.90710449,0.01534135,0.03024372,1.13185763,0.04353407,0.11576533,0.12225747
107,0.03819741,0.00003367,0.00580507,44.81306076,0.01537129,0.03025698,1.13199437,0.04354542,0.11569104,0.12237796
