iter,total,cd3d,cd3d_raw,cd2d,scale_reg,t_reg,scale,tx,ty,tz
0,39.93730164,0.03993673,5.02468634,5.75261497,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000
1,39.93524551,0.03993505,4.95940304,1.93189573,0.00002500,0.00007500,1.00501263,-0.00500000,-0.00500000,0.00500000
2,39.93339539,0.03993331,4.89427996,0.84324294,0.00010008,0.00028463,1.01005411,-0.00932229,-0.00988018,0.01000525
3,39.93159866,0.03993150,4.82887220,0.99706447,0.00022544,0.00058654,1.01512790,-0.01207146,-0.01467389,0.01501641
4,39.92971420,0.03992959,4.76291609,1.21263874,0.00040140,0.00094227,1.02023709,-0.01280587,-0.01941305,0.02003534
5,39.92770386,0.03992759,4.69659996,1.10706663,0.00062840,0.00135481,1.02538478,-0.01207855,-0.02409541,0.02506648
6,39.92558289,0.03992550,4.63006353,0.84297603,0.00090698,0.00184345,1.03057408,-0.01044946,-0.02876702,0.03011176
7,39.92337418,0.03992331,4.56341124,0.62793553,0.00123777,0.00242457,1.03580821,-0.00829108,-0.03344532,0.03517446
8,39.92108536,0.03992103,4.49670315,0.54584754,0.00162156,0.00311041,1.04109037,-0.00587370,-0.03814766,0.04025748
9,39.91870499,0.03991864,4.42999935,0.61267078,0.00205921,0.00390787,1.04642391,-0.00342450,-0.04287408,0.04536473
10,39.91622543,0.03991613,4.36332989,0.86293763,0.00255174,0.00481900,1.05181241,-0.00108741,-0.04761935,0.05049969
11,39.91366577,0.03991352,4.29673815,1.32765794,0.00310027,0.00584337,1.05725944,0.00093645,-0.05238121,0.05566600
12,39.91099548,0.03991079,4.23027134,1.98836458,0.00370606,0.00697340,1.06276870,0.00256668,-0.05711210,0.06086889
13,39.90822220,0.03990793,4.16399670,2.77812767,0.00437049,0.00819961,1.06834388,0.00366029,-0.06176829,0.06611274
14,39.90531540,0.03990494,4.09796762,3.58438301,0.00509506,0.00951008,1.07398891,0.00415146,-0.06629252,0.07140128
15,39.90227890,0.03990183,4.03223658,4.31201935,0.00588141,0.01089077,1.07970762,0.00405911,-0.07060905,0.07673759
16,39.89908981,0.03989858,3.96684551,4.92533064,0.00673125,0.01232748,1.08550382,0.00343835,-0.07464124,0.08212392
17,39.89573669,0.03989518,3.90180612,5.37841558,0.00764644,0.01380515,1.09138107,0.00246953,-0.07830733,0.08756148
18,39.89221954,0.03989162,3.83704519,5.75058699,0.00862889,0.01532039,1.09734297,0.00130077,-0.08161185,0.09304946
19,39.88852310,0.03988789,3.77249384,6.04771566,0.00968064,0.01686356,1.10339332,0.00019720,-0.08452178,0.09858800
20,39.88462448,0.03988397,3.70805597,6.22758293,0.01080380,0.01843218,1.10953534,-0.00066866,-0.08705688,0.10417692
21,39.88049698,0.03987984,3.64361453,6.22005749,0.01200060,0.02002487,1.11577284,-0.00107424,-0.08924197,0.10981613
22,39.87611389,0.03987548,3.57905006,6.00437641,0.01327334,0.02165074,1.12210906,-0.00093287,-0.09115018,0.11550548
23,39.87146378,0.03987086,3.51422262,5.66540337,0.01462441,0.02333344,1.12854743,-0.00028067,-0.09291467,0.12124448
24,39.86652374,0.03986595,3.44903970,5.29211140,0.01605632,0.02509218,1.13509178,0.00084390,-0.09462474,0.12703395
25,39.86126328,0.03986071,3.38337874,5.04056358,0.01757170,0.02695995,1.14174557,0.00233116,-0.09643136,0.13287403
26,39.85566330,0.03985512,3.31714892,5.00378942,0.01917333,0.02896341,1.14851272,0.00410740,-0.09844052,0.13876601
27,39.84968948,0.03984912,3.25030279,5.20826197,0.02086411,0.03112799,1.15539718,0.00600865,-0.10074868,0.14471208
28,39.84331131,0.03984268,3.18286490,5.67020702,0.02264717,0.03346070,1.16240335,0.00795511,-0.10335407,0.15071614
29,39.83646011,0.03983577,3.11485434,6.35829401,0.02452576,0.03596865,1.16953588,0.00989009,-0.10625567,0.15678191
30,39.82912064,0.03982833,3.04631567,7.28730774,0.02650328,0.03865471,1.17679930,0.01172289,-0.10943727,0.16291338
31,39.82122421,0.03982031,2.97731256,8.43509769,0.02858329,0.04151548,1.18419826,0.01338344,-0.11285631,0.16911481
32,39.81272507,0.03981167,2.90787911,9.75795269,0.03076944,0.04455301,1.19173741,0.01480635,-0.11650025,0.17538950
33,39.80354691,0.03980234,2.83809781,11.23596287,0.03306554,0.04775743,1.19942141,0.01592669,-0.12030701,0.18174157
34,39.79362106,0.03979226,2.76800346,12.78826809,0.03547551,0.05112529,1.20725536,0.01678619,-0.12423380,0.18817405
35,39.78287125,0.03978134,2.69761848,14.46648121,0.03800331,0.05465903,1.21524334,0.01740959,-0.12826551,0.19468923
36,39.77120972,0.03976949,2.62697148,16.25741768,0.04065302,0.05835767,1.22339034,0.01785265,-0.13236879,0.20128947
37,39.75852203,0.03975660,2.55607986,18.20345879,0.04342881,0.06222217,1.23170054,0.01825769,-0.13650809,0.20797683
38,39.74469376,0.03974256,2.48496699,20.25832558,0.04633487,0.06625327,1.24017859,0.01870134,-0.14065781,0.21475315
39,39.72959137,0.03972722,2.41363096,22.51008606,0.04937547,0.07046132,1.24882853,0.01929618,-0.14482288,0.22161974
40,39.71305084,0.03971042,2.34207535,24.95537949,0.05255487,0.07485986,1.25765443,0.02006030,-0.14902899,0.22857779
41,39.69487381,0.03969196,2.27027798,27.73388100,0.05587739,0.07947055,1.26666069,0.02110006,-0.15331233,0.23562825
42,39.67485428,0.03967162,2.19826508,30.90270042,0.05934736,0.08430986,1.27585065,0.02239683,-0.15770185,0.24277227
43,39.65273666,0.03964912,2.12603116,34.63332367,0.06296912,0.08940499,1.28522849,0.02402239,-0.16224228,0.25001070
44,39.62824631,0.03962418,2.05360818,39.09297562,0.06674697,0.09477930,1.29479754,0.02594302,-0.16697331,0.25734445
45,39.60103607,0.03959642,1.98103917,44.42879868,0.07068518,0.10045535,1.30456138,0.02811289,-0.17192899,0.26477432
46,39.57071686,0.03956545,1.90839410,50.82071686,0.07478797,0.10644957,1.31452298,0.03040641,-0.17713599,0.27230105
47,39.53682709,0.03953079,1.83574557,58.43429565,0.07905942,0.11277632,1.32468545,0.03274276,-0.18260948,0.27992502
48,39.49880981,0.03949187,1.76318145,67.33496857,0.08350350,0.11944533,1.33505130,0.03499196,-0.18836260,0.28764635
49,39.45602036,0.03944805,1.69079220,77.64191437,0.08812395,0.12646264,1.34562266,0.03703747,-0.19440021,0.29546475
50,39.40768051,0.03939852,1.61867356,89.38460541,0.09292436,0.13383271,1.35640109,0.03878378,-0.20072211,0.30337957
