iter,total,cd3d,cd3d_raw,cd2d,scale_reg,t_reg,scale,tx,ty,tz
0,39.94633865,0.03994627,5.45314360,0.72256881,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000
1,39.94502258,0.03994496,5.38791037,0.66166824,0.00002500,0.00007500,1.00501263,0.00499977,-0.00500000,0.00500000
2,39.94362640,0.03994356,5.32086849,0.62320060,0.00010008,0.00020191,1.01005411,0.00136124,-0.00999999,0.01000302
3,39.94219208,0.03994212,5.25406599,0.71853006,0.00022542,0.00045486,1.01512730,-0.00207656,-0.01500621,0.01501210
4,39.94072342,0.03994064,5.18781853,0.86672264,0.00040134,0.00081550,1.02023542,-0.00367611,-0.02001930,0.02003021
5,39.93918991,0.03993911,5.12214422,0.84408987,0.00062822,0.00126472,1.02538121,-0.00313119,-0.02503814,0.02506017
6,39.93760300,0.03993752,5.05675936,0.81070060,0.00090659,0.00181261,1.03056753,-0.00163330,-0.03006151,0.03010390
7,39.93599701,0.03993588,4.99138069,1.15722966,0.00123705,0.00246677,1.03579760,-0.00048882,-0.03507151,0.03516424
8,39.93436050,0.03993417,4.92585802,1.88843572,0.00162036,0.00321637,1.04107475,-0.00097148,-0.03994372,0.04024825
9,39.93269348,0.03993239,4.86070395,2.93777990,0.00205737,0.00403137,1.04640269,-0.00263488,-0.04434523,0.04536441
10,39.93098831,0.03993058,4.79668236,4.00883722,0.00254908,0.00486257,1.05178475,-0.00427463,-0.04787675,0.05051842
11,39.92918396,0.03992874,4.73433876,4.33861160,0.00309655,0.00565445,1.05722404,-0.00463235,-0.05028969,0.05571297
12,39.92727280,0.03992688,4.67346954,3.85624599,0.00370092,0.00639832,1.06272376,-0.00403921,-0.05164748,0.06094706
13,39.92528152,0.03992496,4.61344671,3.04054713,0.00436333,0.00712820,1.06828594,-0.00336953,-0.05227108,0.06621619
14,39.92321777,0.03992298,4.55345392,2.30618215,0.00508498,0.00789807,1.07391310,-0.00337466,-0.05265670,0.07151193
15,39.92108917,0.03992090,4.49304914,1.79238641,0.00586718,0.00874386,1.07960749,-0.00400285,-0.05315118,0.07682959
16,39.91887283,0.03991871,4.43198442,1.50339890,0.00671137,0.00969062,1.08537221,-0.00491667,-0.05398986,0.08216774
17,39.91655350,0.03991640,4.37015676,1.38103807,0.00761911,0.01075169,1.09121037,-0.00593085,-0.05527587,0.08752769
18,39.91410828,0.03991395,4.30746078,1.40918911,0.00859210,0.01194100,1.09712553,-0.00693258,-0.05710185,0.09291029
19,39.91153717,0.03991136,4.24398327,1.51883399,0.00963219,0.01325750,1.10312140,-0.00762531,-0.05943512,0.09832000
20,39.90882492,0.03990863,4.17983818,1.70749366,0.01074136,0.01469640,1.10920167,-0.00797023,-0.06217834,0.10376287
