iter,total,cd3d,cd3d_raw,cd2d,scale_reg,t_reg,scale,tx,ty,tz
0,39.52347946,0.03952198,1.81856179,14.95427036,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000
1,39.49521255,0.03949378,1.76655471,14.28071880,0.00002500,0.00007500,1.00501263,-0.00500000,0.00500000,0.00500000
2,39.46478271,0.03946340,1.71514463,13.84713554,0.00010013,0.00029981,1.01005650,-0.00997844,0.01000608,0.01000605
3,39.43194962,0.03943059,1.66430891,13.63306236,0.00022569,0.00067356,1.01513636,-0.01490585,0.01502370,0.01502222
4,39.39646149,0.03939509,1.61400521,13.72208309,0.00040218,0.00119466,1.02025700,-0.01976804,0.02004443,0.02005262
5,39.35803604,0.03935661,1.56423116,14.28535366,0.00063025,0.00185759,1.02542257,-0.02449446,0.02505055,0.02510136
6,39.31634140,0.03931481,1.51496089,15.29457283,0.00091072,0.00264709,1.03063822,-0.02898307,0.02994481,0.03017251
7,39.27096176,0.03926929,1.46616888,16.66579056,0.00124459,0.00353810,1.03590834,-0.03306225,0.03465559,0.03527011
8,39.22143173,0.03921959,1.41782045,18.36242676,0.00163300,0.00449657,1.04123807,-0.03659099,0.03905965,0.04039817
9,39.16720581,0.03916520,1.36989713,20.03270721,0.00207730,0.00545512,1.04663193,-0.03930266,0.04283272,0.04556067
10,39.10762024,0.03910548,1.32237136,21.27720833,0.00257895,0.00634732,1.05209494,-0.04103691,0.04567891,0.05076149
11,39.04191208,0.03903972,1.27521586,21.85859299,0.00313961,0.00713969,1.05763173,-0.04179630,0.04750014,0.05600443
12,38.96925354,0.03896707,1.22841001,21.74650955,0.00376106,0.00782763,1.06324708,-0.04169036,0.04829792,0.06129320
13,38.88868713,0.03888657,1.18194735,21.06007195,0.00444525,0.00843178,1.06894565,-0.04089512,0.04816255,0.06663138
14,38.79910278,0.03879710,1.13583088,19.94651031,0.00519426,0.00898794,1.07473195,-0.03958360,0.04726367,0.07202241
15,38.69919968,0.03869733,1.09006751,18.59378052,0.00601030,0.00953545,1.08061039,-0.03793451,0.04576999,0.07746954
16,38.58747482,0.03858573,1.04466629,17.18829155,0.00689569,0.01011673,1.08658564,-0.03615176,0.04387242,0.08297583
17,38.46208572,0.03846047,0.99964046,15.89210415,0.00785287,0.01078109,1.09266150,-0.03447214,0.04186514,0.08854415
18,38.32090759,0.03831940,0.95500815,14.90225983,0.00888437,0.01157375,1.09884202,-0.03316978,0.04005240,0.09417709
19,38.16137314,0.03815993,0.91078663,14.22156239,0.00999279,0.01252654,1.10513115,-0.03249245,0.03867003,0.09987698
20,37.98044586,0.03797903,0.86700660,13.85076046,0.01118080,0.01365579,1.11153209,-0.03259187,0.03784851,0.10564588
21,37.77450180,0.03777310,0.82370394,13.78796864,0.01245109,0.01496272,1.11804807,-0.03348676,0.03758099,0.11148553
22,37.53936386,0.03753793,0.78093594,14.01494789,0.01380640,0.01643029,1.12468231,-0.03509700,0.03763442,0.11739735
23,37.26998138,0.03726850,0.73875582,14.40092659,0.01524946,0.01800413,1.13143718,-0.03726392,0.03731363,0.12338243
24,36.96035004,0.03695884,0.69721907,14.79893780,0.01678302,0.01964845,1.13831520,-0.03976913,0.03621805,0.12944157
