iter,total,cd3d,cd3d_raw,cd2d,scale_reg,t_reg,scale,tx,ty,tz
0,0.05822792,0.00003974,0.00630689,184.90528870,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,-0.28106785
1,0.04776200,0.00003199,0.00565828,157.71429443,0.00002500,0.00007500,1.00501263,0.00500000,0.00500000,-0.27606785
2,0.03872659,0.00002498,0.00499917,137.50109863,0.00009916,0.00023712,1.01000774,0.00989321,0.00633156,-0.27111009
3,0.03042684,0.00001835,0.00428421,120.80143738,0.00022183,0.00046967,1.01500535,0.01473938,0.00552726,-0.26617244
4,0.02382551,0.00001317,0.00363004,106.51448059,0.00039027,0.00079410,1.01995182,0.01959255,0.00439638,-0.26129654
5,0.01895186,0.00000955,0.00309072,93.99782562,0.00059718,0.00121674,1.02473819,0.02446707,0.00422621,-0.25656801
6,0.01523615,0.00000695,0.00263617,82.85384369,0.00083398,0.00173556,1.02929974,0.02937007,0.00546591,-0.25203198
7,0.01249966,0.00000512,0.00226251,73.77943420,0.00109152,0.00233777,1.03358996,0.03426317,0.00723661,-0.24772967
8,0.01044888,0.00000381,0.00195205,66.34386444,0.00136223,0.00300987,1.03759801,0.03911356,0.00903818,-0.24367385
9,0.00900274,0.00000296,0.00172007,60.38940430,0.00163870,0.00374140,1.04131138,0.04387870,0.01093846,-0.23988037
10,0.00801968,0.00000246,0.00156940,55.50386047,0.00191383,0.00451019,1.04471838,0.04855054,0.01242671,-0.23636201
11,0.00735374,0.00000219,0.00148118,51.52505493,0.00218107,0.00529293,1.04780960,0.05310056,0.01324277,-0.23313156
12,0.00691121,0.00000208,0.00144295,48.20700073,0.00243564,0.00608410,1.05059028,0.05752197,0.01364769,-0.23018503
13,0.00663375,0.00000209,0.00144531,45.35384369,0.00267358,0.00687789,1.05306685,0.06180545,0.01380009,-0.22751850
14,0.00653942,0.00000218,0.00147766,43.45513916,0.00289142,0.00766095,1.05524397,0.06591601,0.01369536,-0.22513515
15,0.00655884,0.00000237,0.00153941,41.77700424,0.00308599,0.00841577,1.05712366,0.06982838,0.01312119,-0.22303681
16,0.00664787,0.00000262,0.00161991,40.11543655,0.00325334,0.00913712,1.05869603,0.07355841,0.01206922,-0.22122961
17,0.00680385,0.00000292,0.00170861,38.71505356,0.00338995,0.00982528,1.05995166,0.07710224,0.01082833,-0.21972232
18,0.00699278,0.00000321,0.00179195,37.67977905,0.00349260,0.01047071,1.06087947,0.08043341,0.00948815,-0.21852863
19,0.00716827,0.00000346,0.00186134,36.89360046,0.00355909,0.01106581,1.06147361,0.08353663,0.00813952,-0.21765497
20,0.00728774,0.00000364,0.00190752,36.34239578,0.00358830,0.01160114,1.06173301,0.08638705,0.00686936,-0.21710517
21,0.00732449,0.00000371,0.00192642,35.98081589,0.00358125,0.01207262,1.06167054,0.08897977,0.00581644,-0.21686982
22,0.00728605,0.00000368,0.00191850,35.89716721,0.00354104,0.01246953,1.06131279,0.09127489,0.00496474,-0.21692914
23,0.00716110,0.00000356,0.00188700,35.84396744,0.00347214,0.01278958,1.06069553,0.09326138,0.00442660,-0.21725330
24,0.00697810,0.00000338,0.00183743,35.85810852,0.00337985,0.01303482,1.05985963,0.09495061,0.00415784,-0.21780717
25,0.00676220,0.00000316,0.00177686,35.88748932,0.00326979,0.01320239,1.05884862,0.09633144,0.00383272,-0.21855418
26,0.00653604,0.00000293,0.00171155,35.90393066,0.00314750,0.01329835,1.05770612,0.09741617,0.00350968,-0.21945515
27,0.00632091,0.00000272,0.00164780,35.89493179,0.00301837,0.01332544,1.05647695,0.09820318,0.00310249,-0.22047120
28,0.00611911,0.00000252,0.00158764,35.82504654,0.00288688,0.01329016,1.05519938,0.09870426,0.00271679,-0.22156784
29,0.00593831,0.00000235,0.00153456,35.67623901,0.00275638,0.01319946,1.05390382,0.09894091,0.00229152,-0.22271627
30,0.00577964,0.00000222,0.00148912,35.46601105,0.00262963,0.01306248,1.05261755,0.09894224,0.00186262,-0.22388875
31,0.00564343,0.00000211,0.00145141,35.21549988,0.00250853,0.01288758,1.05136073,0.09873696,0.00143450,-0.22506309
32,0.00553015,0.00000202,0.00142092,34.96170807,0.00239427,0.01268412,1.05014825,0.09836003,0.00112229,-0.22622116
33,0.00543772,0.00000195,0.00139734,34.70514679,0.00228778,0.01246127,1.04899311,0.09784975,0.00092440,-0.22734781
34,0.00536730,0.00000191,0.00138148,34.44497299,0.00218949,0.01222557,1.04790401,0.09723453,0.00068684,-0.22843194
35,0.00531724,0.00000188,0.00137252,34.19441605,0.00210004,0.01198232,1.04689240,0.09653521,0.00029984,-0.22946177
36,0.00528853,0.00000188,0.00136992,33.98172379,0.00201945,0.01173858,1.04596329,0.09578175,-0.00030179,-0.23042849
37,0.00527950,0.00000188,0.00137233,33.82848358,0.00194795,0.01150239,1.04512417,0.09500997,-0.00090133,-0.23132162
38,0.00528511,0.00000190,0.00137810,33.72882843,0.00188557,0.01127842,1.04437983,0.09424625,-0.00124886,-0.23213422
39,0.00529788,0.00000192,0.00138570,33.64900589,0.00183239,0.01106676,1.04373586,0.09349383,-0.00126899,-0.23285937
40,0.00531829,0.00000194,0.00139434,33.61534500,0.00178827,0.01086941,1.04319489,0.09276163,-0.00119820,-0.23349415
41,0.00534136,0.00000197,0.00140282,33.61124420,0.00175296,0.01068949,1.04275727,0.09206607,-0.00110977,-0.23403490
42,0.00536408,0.00000199,0.00141036,33.62822723,0.00172607,0.01052953,1.04242122,0.09142224,-0.00108819,-0.23448117
43,0.00538343,0.00000201,0.00141604,33.66252136,0.00170723,0.01038888,1.04218411,0.09083226,-0.00088059,-0.23483366
44,0.00539721,0.00000201,0.00141949,33.70402527,0.00169605,0.01026980,1.04204297,0.09031007,-0.00043819,-0.23509280
45,0.00540758,0.00000202,0.00142066,33.77550888,0.00169210,0.01017095,1.04199290,0.08984866,0.00010130,-0.23526222
46,0.00541241,0.00000202,0.00141970,33.85166550,0.00169492,0.01009473,1.04202867,0.08946548,0.00038722,-0.23534577
47,0.00540868,0.00000201,0.00141690,33.89439392,0.00170399,0.01004021,1.04214323,0.08916297,0.00018108,-0.23534979
48,0.00539860,0.00000200,0.00141256,33.91638947,0.00171868,0.01000770,1.04232836,0.08894514,-0.00037182,-0.23528224
49,0.00538578,0.00000198,0.00140680,33.95061874,0.00173839,0.00999495,1.04257548,0.08880217,-0.00089001,-0.23515122
50,0.00536853,0.00000196,0.00139998,33.96934891,0.00176242,0.00999977,1.04287481,0.08872811,-0.00129861,-0.23496576
51,0.00535012,0.00000194,0.00139247,33.99430847,0.00179015,0.01002052,1.04321802,0.08872118,-0.00153470,-0.23473516
52,0.00532842,0.00000192,0.00138459,33.99552536,0.00182090,0.01005530,1.04359555,0.08877885,-0.00142417,-0.23446760
53,0.00530735,0.00000190,0.00137684,33.99795914,0.00185406,0.01010143,1.04399931,0.08888760,-0.00110040,-0.23417206
54,0.00528760,0.00000188,0.00136956,33.99954605,0.00188885,0.01015630,1.04441929,0.08903470,-0.00063676,-0.23385854
55,0.00526972,0.00000186,0.00136289,34.00191116,0.00192470,0.01022016,1.04484797,0.08922288,-0.00008612,-0.23353440
56,0.00525516,0.00000184,0.00135741,34.00425339,0.00196102,0.01029211,1.04527867,0.08944981,0.00027248,-0.23320591
57,0.00524293,0.00000183,0.00135303,33.99941635,0.00199731,0.01036832,1.04570508,0.08969945,0.00042075,-0.23287913
58,0.00523374,0.00000182,0.00135010,33.98582840,0.00203298,0.01044592,1.04612052,0.08996072,0.00036296,-0.23256162
59,0.00522711,0.00000182,0.00134849,33.96168900,0.00206743,0.01052093,1.04651856,0.09021567,0.00008576,-0.23226152
60,0.00522414,0.00000182,0.00134813,33.94060516,0.00210018,0.01059149,1.04689407,0.09045480,-0.00041203,-0.23198372
61,0.00522503,0.00000182,0.00134828,33.94465256,0.00213078,0.01065508,1.04724240,0.09066834,-0.00072972,-0.23173425
62,0.00522604,0.00000182,0.00134832,33.95278168,0.00215895,0.01071041,1.04756093,0.09085465,-0.00063526,-0.23151544
63,0.00522764,0.00000182,0.00134820,33.97134399,0.00218430,0.01075768,1.04784584,0.09101505,-0.00020859,-0.23132955
64,0.00523071,0.00000182,0.00134821,34.00120163,0.00220664,0.01079546,1.04809570,0.09114030,0.00023760,-0.23117945
65,0.00523439,0.00000182,0.00134843,34.03160858,0.00222601,0.01082465,1.04831123,0.09123554,0.00056431,-0.23106375
66,0.00523684,0.00000182,0.00134913,34.03678131,0.00224236,0.01084416,1.04849267,0.09129756,0.00059372,-0.23098223
67,0.00523827,0.00000182,0.00135010,34.02476120,0.00225569,0.01085374,1.04863989,0.09132520,0.00037263,-0.23093495
68,0.00523948,0.00000183,0.00135102,34.01179123,0.00226600,0.01085448,1.04875374,0.09132294,0.00008494,-0.23092218
69,0.00524048,0.00000183,0.00135149,34.00919342,0.00227339,0.01084579,1.04883504,0.09128656,-0.00007076,-0.23094252
70,0.00524044,0.00000183,0.00135139,34.01148224,0.00227795,0.01082872,1.04888523,0.09122127,-0.00008474,-0.23099396
71,0.00523895,0.00000182,0.00135087,34.01106262,0.00227985,0.01080430,1.04890609,0.09113170,-0.00000502,-0.23107475
72,0.00523749,0.00000182,0.00135018,34.01546860,0.00227936,0.01077438,1.04890060,0.09102594,0.00008050,-0.23118150
73,0.00523578,0.00000182,0.00134951,34.01666260,0.00227680,0.01074149,1.04887247,0.09091544,0.00010127,-0.23130977
74,0.00523355,0.00000182,0.00134886,34.01244736,0.00227252,0.01070362,1.04882550,0.09078819,0.00005571,-0.23145816
75,0.00523078,0.00000182,0.00134826,34.00130081,0.00226675,0.01066283,1.04876196,0.09065355,-0.00003625,-0.23162329
76,0.00522831,0.00000182,0.00134761,33.99463654,0.00225973,0.01062014,1.04868460,0.09051532,-0.00010209,-0.23180214
77,0.00522638,0.00000181,0.00134706,33.99055862,0.00225175,0.01057896,1.04859650,0.09038929,-0.00016776,-0.23198929
78,0.00522487,0.00000181,0.00134659,33.98856354,0.00224321,0.01054006,1.04850197,0.09027777,-0.00020646,-0.23218079
79,0.00522326,0.00000181,0.00134619,33.98380280,0.00223440,0.01050378,1.04840446,0.09018110,-0.00018754,-0.23237382
80,0.00522250,0.00000181,0.00134583,33.98632431,0.00222554,0.01047159,1.04830611,0.09010620,-0.00009537,-0.23256573
81,0.00522166,0.00000181,0.00134580,33.97900391,0.00221698,0.01044644,1.04821098,0.09006621,-0.00007197,-0.23275109
