iter,total,cd3d,cd3d_raw,cd2d,scale_reg,t_reg,scale,tx,ty,tz
0,0.19960678,0.00014986,0.01226474,497.46508789,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.42536974
1,0.15687908,0.00011352,0.01066972,433.59066772,0.00002500,0.00007500,1.00501263,0.00500000,0.00500000,0.43036973
2,0.12202623,0.00008443,0.00919845,375.93035889,0.00009904,0.00029711,1.01000154,0.00993826,0.00996825,0.43531853
3,0.09361754,0.00006116,0.00782644,324.57138062,0.00021947,0.00065820,1.01492465,0.01475830,0.01487447,0.44017309
4,0.07078356,0.00004289,0.00655224,278.96212769,0.00038309,0.00114825,1.01976550,0.01944728,0.01969301,0.44492057
5,0.05326083,0.00002937,0.00542150,238.87445068,0.00058451,0.00175195,1.02447128,0.02395757,0.02440420,0.44950306
6,0.04023196,0.00001984,0.00445493,203.92106628,0.00081648,0.00244920,1.02898622,0.02823523,0.02898569,0.45386195
7,0.03066406,0.00001325,0.00364098,174.07447815,0.00107118,0.00321832,1.03327024,0.03224097,0.03342044,0.45795679
8,0.02377223,0.00000882,0.00297065,149.44030762,0.00134073,0.00403554,1.03729463,0.03592413,0.03769063,0.46176225
9,0.01882539,0.00000593,0.00243518,128.89660645,0.00161753,0.00488047,1.04103827,0.03928330,0.04178735,0.46525842
10,0.01514427,0.00000402,0.00200594,111.13269806,0.00189537,0.00573397,1.04449749,0.04230104,0.04570452,0.46844751
11,0.01231011,0.00000276,0.00166280,95.36627960,0.00216951,0.00658333,1.04767978,0.04500404,0.04944440,0.47133946
12,0.01011550,0.00000195,0.00139559,81.58070374,0.00243639,0.00741944,1.05059826,0.04742622,0.05301089,0.47394991
13,0.00842835,0.00000142,0.00119319,69.93779755,0.00269324,0.00823326,1.05326664,0.04957858,0.05640527,0.47629786
14,0.00710210,0.00000109,0.00104468,59.98814392,0.00293820,0.00901777,1.05570126,0.05147249,0.05962996,0.47840390
15,0.00604912,0.00000088,0.00093664,51.58900833,0.00317014,0.00976744,1.05791926,0.05311822,0.06268812,0.48028874
16,0.00521429,0.00000074,0.00086175,44.57825851,0.00338840,0.01047900,1.05993748,0.05453393,0.06558331,0.48197252
17,0.00454230,0.00000066,0.00081359,38.65637589,0.00359266,0.01115034,1.06177163,0.05573730,0.06832086,0.48347270
18,0.00400304,0.00000062,0.00078581,33.69990540,0.00378288,0.01177981,1.06343603,0.05674089,0.07090528,0.48480642
19,0.00357763,0.00000060,0.00077568,29.59625053,0.00395911,0.01236688,1.06494319,0.05756126,0.07334173,0.48598799
20,0.00324573,0.00000061,0.00078003,26.20267677,0.00412149,0.01291136,1.06630445,0.05821412,0.07563441,0.48702937
21,0.00298910,0.00000063,0.00079468,23.39912415,0.00427021,0.01341328,1.06752920,0.05871211,0.07778817,0.48794103
22,0.00278881,0.00000067,0.00081633,21.04144859,0.00440558,0.01387332,1.06862688,0.05906821,0.07980862,0.48873258
23,0.00263911,0.00000071,0.00084355,19.08722878,0.00452790,0.01429282,1.06960523,0.05929984,0.08170088,0.48941121
24,0.00252528,0.00000076,0.00087414,17.41860390,0.00463741,0.01467324,1.07047081,0.05942197,0.08347107,0.48998281
25,0.00244410,0.00000082,0.00090619,16.03191566,0.00473440,0.01501639,1.07122946,0.05945148,0.08512437,0.49045244
26,0.00238910,0.00000088,0.00093819,14.88777065,0.00481912,0.01532334,1.07188618,0.05939784,0.08666507,0.49082506
27,0.00235031,0.00000094,0.00096859,13.91676044,0.00489185,0.01559622,1.07244575,0.05927833,0.08809806,0.49110427
