iter,total,cd3d,cd3d_raw,cd2d,scale_reg,t_reg,scale,tx,ty,tz
0,38.86109543,0.03548684,0.56081992,33742.51953125,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,2.26549244
1,38.60113144,0.03530079,0.54816347,33003.34765625,0.00002500,0.00007500,1.00501263,-0.00500000,-0.00500000,2.26049232
2,38.33289337,0.03510552,0.53562951,32273.69335938,0.00010008,0.00030018,1.01005399,-0.01000232,-0.01000336,2.25548911
3,38.05588531,0.03490056,0.52322072,31553.22851562,0.00022541,0.00067601,1.01512706,-0.01500851,-0.01501242,2.25047994
4,37.76977539,0.03468561,0.51094925,30841.68359375,0.00040130,0.00120321,1.02023447,-0.02001877,-0.02002957,2.24546075
5,37.47414398,0.03446027,0.49882156,30138.71289062,0.00062811,0.00188276,1.02537882,-0.02503250,-0.02505728,2.24042702
6,37.16847229,0.03422407,0.48683834,29444.01757812,0.00090630,0.00271589,1.03056264,-0.03004836,-0.03009803,2.23537445
7,36.85213852,0.03397640,0.47499701,28757.34375000,0.00123643,0.00370401,1.03578842,-0.03506513,-0.03515432,2.23029852
8,36.52449799,0.03371665,0.46329409,28078.43945312,0.00161913,0.00484879,1.04105902,-0.04008163,-0.04022868,2.22519469
9,36.18485641,0.03344413,0.45172581,27407.09960938,0.00205513,0.00615209,1.04637682,-0.04509654,-0.04532359,2.22005939
10,35.83247757,0.03315816,0.44028988,26743.09375000,0.00254526,0.00761601,1.05174482,-0.05010841,-0.05044157,2.21488810
11,35.46664429,0.03285801,0.42898399,26086.20703125,0.00309040,0.00924277,1.05716550,-0.05511539,-0.05558509,2.20967698
12,35.08658218,0.03254293,0.41780567,25436.32421875,0.00369152,0.01103477,1.06264162,-0.06011542,-0.06075658,2.20442247
13,34.69155502,0.03221222,0.40675551,24793.20312500,0.00434965,0.01299455,1.06817532,-0.06510580,-0.06595846,2.19912028
14,34.28074646,0.03186505,0.39583102,24156.77734375,0.00506587,0.01512466,1.07376909,-0.07008317,-0.07119303,2.19376683
15,33.85345078,0.03150073,0.38503438,23526.91992188,0.00584127,0.01742768,1.07942474,-0.07504332,-0.07646257,2.18835831
16,33.40884399,0.03111847,0.37436482,22903.53515625,0.00667701,0.01990605,1.08514440,-0.07998098,-0.08176924,2.18289161
17,32.94612885,0.03071745,0.36382189,22286.52929688,0.00757423,0.02256206,1.09092951,-0.08489003,-0.08711509,2.17736363
18,32.46454239,0.03029692,0.35340637,21675.92578125,0.00853407,0.02539775,1.09678161,-0.08976331,-0.09250208,2.17177129
19,31.96338081,0.02985618,0.34312013,21071.67968750,0.00955768,0.02841479,1.10270190,-0.09459232,-0.09793199,2.16611242
20,31.44189453,0.02939445,0.33296305,20474.01171875,0.01064613,0.03161444,1.10869110,-0.09936746,-0.10340647,2.16038465
21,30.89897537,0.02891065,0.32292813,19882.78710938,0.01180049,0.03499730,1.11474991,-0.10407737,-0.10892700,2.15458655
22,30.33353806,0.02840369,0.31300944,19297.99414062,0.01302230,0.03856342,1.12088132,-0.10871179,-0.11449494,2.14871883
23,29.74480247,0.02787280,0.30320752,18719.47851562,0.01431313,0.04231216,1.12708819,-0.11325873,-0.12011148,2.14278197
24,29.13216591,0.02731740,0.29352522,18147.06054688,0.01567450,0.04624183,1.13337266,-0.11770307,-0.12577759,2.13677645
25,28.49510384,0.02673700,0.28396535,17580.41210938,0.01710761,0.05035046,1.13973534,-0.12202932,-0.13149394,2.13070130
26,27.83320808,0.02613116,0.27452973,17019.68945312,0.01861357,0.05463535,1.14617646,-0.12622081,-0.13726100,2.12455606
27,27.14612389,0.02549954,0.26521945,16465.01171875,0.02019332,0.05909296,1.15269554,-0.13025941,-0.14307891,2.11833978
28,26.43380165,0.02484206,0.25603759,15916.55566406,0.02184761,0.06371897,1.15929198,-0.13412605,-0.14894754,2.11205244
29,25.69610786,0.02415857,0.24698372,15374.50683594,0.02357673,0.06850902,1.16596282,-0.13780271,-0.15486640,2.10569310
30,24.93289566,0.02344889,0.23805515,14839.04003906,0.02538096,0.07346245,1.17270613,-0.14128685,-0.16083463,2.09926152
31,24.14471054,0.02271356,0.22925554,14310.44433594,0.02726041,0.07858171,1.17951965,-0.14458731,-0.16685098,2.09275866
32,23.33270454,0.02195369,0.22059183,13789.05468750,0.02921460,0.08386897,1.18639922,-0.14771058,-0.17291386,2.08618450
33,22.49833679,0.02117071,0.21207069,13275.10937500,0.03124250,0.08932614,1.19333923,-0.15066192,-0.17902124,2.07953930
34,21.64369774,0.02036668,0.20370099,12768.94531250,0.03334232,0.09495492,1.20033264,-0.15344551,-0.18517064,2.07282376
35,20.77141953,0.01954419,0.19549264,12270.96972656,0.03551142,0.10075916,1.20737028,-0.15607291,-0.19135906,2.06603789
36,19.88430977,0.01870601,0.18745287,11781.54101562,0.03774614,0.10674045,1.21444070,-0.15854822,-0.19758298,2.05918217
