iter,total,cd3d,cd3d_raw,cd2d,scale_reg,t_reg,scale,tx,ty,tz
0,42.19521713,0.03870200,1.09209168,34932.17968750,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,3.32411623
1,42.10696411,0.03866541,1.07650614,34415.57812500,0.00002500,0.00007500,1.00501263,-0.00500000,-0.00500000,3.31911612
2,42.01800156,0.03862762,1.06106567,33903.78125000,0.00010002,0.00029996,1.01005137,-0.00999447,-0.01000113,3.31411362
3,41.92827606,0.03858861,1.04576755,33396.73437500,0.00022512,0.00067481,1.01511705,-0.01497964,-0.01500419,3.30910659
4,41.83773804,0.03854830,1.03061008,32894.35546875,0.00040038,0.00119937,1.02021122,-0.01995081,-0.02001004,3.30409288
5,41.74631500,0.03850666,1.01559019,32396.53515625,0.00062594,0.00187341,1.02533424,-0.02490348,-0.02501958,3.29907131
6,41.65396118,0.03846363,1.00070846,31903.22851562,0.00090193,0.00269662,1.03048766,-0.02983239,-0.03003378,3.29403949
7,41.56059265,0.03841915,0.98596013,31414.34960938,0.00122856,0.00366848,1.03567231,-0.03473111,-0.03505363,3.28899527
8,41.46614838,0.03837316,0.97134286,30929.78906250,0.00160608,0.00478834,1.04088986,-0.03959279,-0.04008017,3.28393745
9,41.37056351,0.03832561,0.95685548,30449.43945312,0.00203475,0.00605545,1.04614115,-0.04441086,-0.04511449,3.27886367
10,41.27374649,0.03827642,0.94249582,29973.19921875,0.00251490,0.00746881,1.05142760,-0.04917760,-0.05015773,3.27377152
11,41.17561722,0.03822551,0.92826027,29500.99218750,0.00304688,0.00902726,1.05675042,-0.05388460,-0.05521103,3.26865935
12,41.07608795,0.03817281,0.91414535,29032.67773438,0.00363110,0.01072917,1.06211126,-0.05852119,-0.06027561,3.26352501
13,40.97506714,0.03811824,0.90014875,28568.16992188,0.00426802,0.01257273,1.06751132,-0.06307698,-0.06535273,3.25836635
14,40.87245178,0.03806170,0.88626528,28107.33398438,0.00495813,0.01455580,1.07295227,-0.06754053,-0.07044367,3.25318122
15,40.76813126,0.03800311,0.87249428,27650.02343750,0.00570200,0.01667575,1.07843566,-0.07189855,-0.07554977,3.24796772
16,40.66199493,0.03794235,0.85882831,27196.19531250,0.00650020,0.01892940,1.08396304,-0.07613539,-0.08067238,3.24272346
17,40.55390549,0.03787932,0.84526658,26745.54101562,0.00735339,0.02131334,1.08953595,-0.08023609,-0.08581290,3.23744631
18,40.44372940,0.03781389,0.83180296,26298.02734375,0.00826227,0.02382346,1.09515619,-0.08418285,-0.09097279,3.23213434
19,40.33132553,0.03774595,0.81843400,25853.41210938,0.00922759,0.02645519,1.10082543,-0.08795661,-0.09615349,3.22678518
20,40.21653366,0.03767534,0.80515313,25411.57812500,0.01025013,0.02920390,1.10654545,-0.09153928,-0.10135651,3.22139668
21,40.09915161,0.03760188,0.79195362,24972.31445312,0.01133074,0.03206450,1.11231780,-0.09491090,-0.10658336,3.21596622
22,39.97901154,0.03752542,0.77882993,24535.45507812,0.01247033,0.03503200,1.11814451,-0.09805293,-0.11183565,3.21049213
23,39.85585403,0.03744572,0.76576853,24100.75000000,0.01366995,0.03810155,1.12402797,-0.10094751,-0.11711506,3.20497251
24,39.72949600,0.03736263,0.75277179,23668.08789062,0.01493067,0.04126848,1.12996995,-0.10357700,-0.12242327,3.19940519
25,39.59972382,0.03727594,0.73983663,23237.25390625,0.01625353,0.04452813,1.13597274,-0.10592241,-0.12776195,3.19378805
