iter,total,cd3d,cd3d_raw,cd2d,scale_reg,t_reg,scale,tx,ty,tz
0,0.04693450,0.00003341,0.00578278,135.21870422,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,-0.28106785
1,0.03779905,0.00002616,0.00511660,116.36481476,0.00002500,0.00007500,1.00501263,0.00500000,-0.00500000,-0.27606785
2,0.02996420,0.00001992,0.00446418,100.44799805,0.00009919,0.00029687,1.01000905,0.00992561,-0.00995290,-0.27110347
3,0.02311786,0.00001445,0.00380158,86.70149231,0.00022129,0.00065872,1.01498687,0.01476971,-0.01479267,-0.26617664
4,0.01775386,0.00001027,0.00320533,74.80810547,0.00038786,0.00115249,1.01988947,0.01968394,-0.01937107,-0.26132476
5,0.01397806,0.00000755,0.00274779,64.26773071,0.00059104,0.00175493,1.02460921,0.02464998,-0.02345381,-0.25662956
6,0.01107723,0.00000558,0.00236336,54.89248276,0.00082100,0.00245128,1.02906752,0.02966116,-0.02710795,-0.25214285
7,0.00894127,0.00000422,0.00205376,47.19481277,0.00106977,0.00322880,1.03324807,0.03470271,-0.03038028,-0.24787804
8,0.00745949,0.00000332,0.00182233,41.33503723,0.00132912,0.00406127,1.03712976,0.03972496,-0.03314991,-0.24386197
9,0.00647395,0.00000279,0.00166906,36.81883240,0.00159119,0.00491908,1.04069602,0.04468803,-0.03528126,-0.24011311
10,0.00586871,0.00000251,0.00158554,33.47306061,0.00184827,0.00577876,1.04392898,0.04955338,-0.03674654,-0.23665035
11,0.00550897,0.00000240,0.00155073,30.95635986,0.00209400,0.00662029,1.04682338,0.05430403,-0.03750902,-0.23348173
12,0.00529375,0.00000237,0.00154101,29.09433746,0.00232354,0.00743040,1.04938376,0.05890667,-0.03760310,-0.23060584
13,0.00516928,0.00000242,0.00155693,27.34651566,0.00253422,0.00820379,1.05162966,0.06333546,-0.03711153,-0.22800989
14,0.00516787,0.00000255,0.00159772,26.03676987,0.00272198,0.00892635,1.05355752,0.06755965,-0.03600508,-0.22569934
15,0.00525429,0.00000273,0.00165241,25.11552048,0.00288243,0.00959486,1.05515563,0.07153983,-0.03441180,-0.22368540
16,0.00538642,0.00000291,0.00170679,24.60276604,0.00301257,0.01020381,1.05642116,0.07524001,-0.03240611,-0.22196968
17,0.00550843,0.00000308,0.00175430,24.17224503,0.00310991,0.01074867,1.05735087,0.07864208,-0.03003804,-0.22055496
18,0.00557049,0.00000319,0.00178618,23.65917778,0.00317304,0.01121800,1.05794656,0.08170185,-0.02729107,-0.21943985
19,0.00556872,0.00000323,0.00179845,23.19757843,0.00320214,0.01161453,1.05821919,0.08442543,-0.02422567,-0.21861792
20,0.00552241,0.00000321,0.00179162,22.97612953,0.00319906,0.01194029,1.05819035,0.08680267,-0.02091935,-0.21807602
21,0.00547325,0.00000312,0.00176659,23.37302589,0.00316673,0.01219418,1.05788720,0.08878638,-0.01755301,-0.21779816
22,0.00536747,0.00000298,0.00172649,23.71450424,0.00310957,0.01237727,1.05734766,0.09036475,-0.01424641,-0.21775499
23,0.00524412,0.00000281,0.00167656,24.17930222,0.00303234,0.01249551,1.05661106,0.09157284,-0.01101003,-0.21791169
24,0.00510352,0.00000263,0.00162125,24.59741592,0.00294029,0.01254693,1.05572152,0.09238961,-0.00792206,-0.21823207
25,0.00496896,0.00000245,0.00156474,25.05307770,0.00283844,0.01254321,1.05472183,0.09287347,-0.00502038,-0.21867771
26,0.00483881,0.00000228,0.00150883,25.47153091,0.00273069,0.01248766,1.05364549,0.09304170,-0.00238549,-0.21921951
27,0.00472747,0.00000212,0.00145693,25.89925003,0.00262035,0.01238579,1.05252218,0.09292866,-0.00002317,-0.21983020
28,0.00463821,0.00000199,0.00141113,26.32266045,0.00251033,0.01224127,1.05137956,0.09255838,0.00193925,-0.22048356
29,0.00455929,0.00000188,0.00137191,26.62775421,0.00240287,0.01206249,1.05024040,0.09198330,0.00349658,-0.22115679
30,0.00449366,0.00000179,0.00133979,26.84536934,0.00229981,0.01185719,1.04912484,0.09124555,0.00467360,-0.22182603
31,0.00443223,0.00000173,0.00131370,26.92662430,0.00220242,0.01162628,1.04804862,0.09035307,0.00544116,-0.22247607
32,0.00437418,0.00000167,0.00129371,26.87088013,0.00211119,0.01137364,1.04701960,0.08932670,0.00581804,-0.22309776
33,0.00432360,0.00000164,0.00128003,26.72049522,0.00202702,0.01110585,1.04605138,0.08819265,0.00583527,-0.22367570
34,0.00428164,0.00000162,0.00127093,26.53668785,0.00195037,0.01083179,1.04515278,0.08698948,0.00553031,-0.22419927
35,0.00424669,0.00000160,0.00126536,26.33184814,0.00188123,0.01056352,1.04432750,0.08577449,0.00492937,-0.22465903
36,0.00421502,0.00000159,0.00126276,26.08403015,0.00181948,0.01030689,1.04357815,0.08457251,0.00405496,-0.22505058
37,0.00419247,0.00000159,0.00126258,25.86598396,0.00176510,0.01006630,1.04290819,0.08339663,0.00299789,-0.22536938
38,0.00417739,0.00000160,0.00126381,25.68672943,0.00171795,0.00984621,1.04231906,0.08226404,0.00180379,-0.22560993
39,0.00416025,0.00000160,0.00126589,25.46496773,0.00167759,0.00965489,1.04180872,0.08122184,0.00047713,-0.22577158
40,0.00413628,0.00000161,0.00126837,25.16443253,0.00164374,0.00948924,1.04137623,0.08025018,-0.00100644,-0.22585794
41,0.00411342,0.00000162,0.00127090,24.87338448,0.00161601,0.00935186,1.04101861,0.07936144,-0.00263632,-0.22587116
42,0.00408451,0.00000162,0.00127306,24.53060913,0.00159380,0.00924309,1.04073000,0.07855710,-0.00438782,-0.22581731
43,0.00405363,0.00000163,0.00127511,24.17056274,0.00157652,0.00916169,1.04050422,0.07782725,-0.00626425,-0.22570211
44,0.00403318,0.00000163,0.00127714,23.91482353,0.00156351,0.00911188,1.04033339,0.07720226,-0.00818548,-0.22552788
45,0.00401452,0.00000164,0.00127949,23.66834259,0.00155412,0.00909375,1.04020977,0.07669245,-0.01010267,-0.22530088
46,0.00399226,0.00000164,0.00128199,23.38176537,0.00154775,0.00910859,1.04012561,0.07631616,-0.01199283,-0.22502673
47,0.00397407,0.00000165,0.00128501,23.12191200,0.00154382,0.00915499,1.04007363,0.07606930,-0.01388108,-0.22471392
48,0.00396729,0.00000166,0.00128809,22.97419167,0.00154183,0.00922866,1.04004717,0.07594721,-0.01567147,-0.22436611
49,0.00396565,0.00000167,0.00129103,22.88102150,0.00154134,0.00932207,1.04004073,0.07592636,-0.01729238,-0.22398694
