iter,total,cd3d,cd3d_raw,cd2d,scale_reg,t_reg,scale,tx,ty,tz
0,0.19442815,0.00014722,0.01215566,472.11895752,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.42536974
1,0.15239687,0.00011118,0.01055871,412.20278931,0.00002500,0.00007500,1.00501263,0.00500000,0.00500000,0.43036973
2,0.11841802,0.00008261,0.00909836,358.08398438,0.00009899,0.00029677,1.00999916,0.00992211,0.00996724,0.43531823
3,0.09078481,0.00005980,0.00773909,309.79998779,0.00021918,0.00065657,1.01491475,0.01471053,0.01487164,0.44016838
4,0.06860487,0.00004194,0.00647989,266.58358765,0.00038235,0.00114402,1.01974618,0.01935248,0.01969045,0.44490913
5,0.05173324,0.00002887,0.00537485,228.62701416,0.00058289,0.00174330,1.02443695,0.02380447,0.02440113,0.44947842
6,0.03918855,0.00001959,0.00442759,195.91374207,0.00081329,0.00243292,1.02892864,0.02799675,0.02898127,0.45381606
7,0.02988657,0.00001310,0.00362017,167.80996704,0.00106606,0.00319265,1.03318954,0.03191022,0.03341861,0.45789024
8,0.02324432,0.00000879,0.00296555,144.46446228,0.00133319,0.00399821,1.03718770,0.03548904,0.03769498,0.46167165
9,0.01843238,0.00000594,0.00243813,124.82347107,0.00160721,0.00482871,1.04090452,0.03872242,0.04179912,0.46514565
10,0.01483236,0.00000404,0.00201039,107.83557892,0.00188227,0.00566580,1.04434013,0.04159942,0.04572453,0.46831805
11,0.01205029,0.00000278,0.00166690,92.63289642,0.00215372,0.00649791,1.04750192,0.04416044,0.04947283,0.47119778
12,0.00990806,0.00000195,0.00139798,79.44067383,0.00241804,0.00731702,1.05040264,0.04644775,0.05304831,0.47380012
13,0.00826142,0.00000142,0.00119348,68.26289368,0.00267248,0.00811325,1.05305564,0.04846165,0.05645125,0.47614351
14,0.00697755,0.00000109,0.00104457,58.74661255,0.00291520,0.00888026,1.05547678,0.05022175,0.05968233,0.47824749
15,0.00595512,0.00000087,0.00093540,50.67409134,0.00314501,0.00961390,1.05768263,0.05175041,0.06274492,0.48013166
16,0.00513345,0.00000073,0.00085716,43.85073853,0.00336133,0.01031144,1.05969059,0.05306819,0.06564333,0.48181581
17,0.00446876,0.00000065,0.00080463,38.06811523,0.00356390,0.01097129,1.06151640,0.05419464,0.06838298,0.48331803
18,0.00393226,0.00000060,0.00077234,33.20417786,0.00375268,0.01159211,1.06317437,0.05514270,0.07096919,0.48465520
19,0.00350721,0.00000058,0.00075850,29.15793800,0.00392774,0.01217470,1.06467724,0.05594095,0.07340714,0.48584044
20,0.00317992,0.00000058,0.00076015,25.85297966,0.00408923,0.01271770,1.06603599,0.05659312,0.07570087,0.48688638
21,0.00292396,0.00000060,0.00077297,23.09030151,0.00423732,0.01322144,1.06726003,0.05711425,0.07785504,0.48780364
22,0.00272750,0.00000063,0.00079383,20.79279137,0.00437232,0.01368642,1.06835854,0.05751622,0.07987586,0.48860067
23,0.00257750,0.00000067,0.00082058,18.85555267,0.00449446,0.01411333,1.06933904,0.05780954,0.08176921,0.48928517
24,0.00246690,0.00000072,0.00085113,17.23373985,0.00460402,0.01450241,1.07020783,0.05799863,0.08354086,0.48986387
25,0.00239003,0.00000078,0.00088335,15.90190601,0.00470126,0.01485504,1.07097101,0.05809771,0.08519612,0.49034137
26,0.00233965,0.00000084,0.00091566,14.81274986,0.00478645,0.01517310,1.07163358,0.05812444,0.08673913,0.49072242
27,0.00230982,0.00000090,0.00094669,13.93295860,0.00485991,0.01545753,1.07220042,0.05808836,0.08817285,0.49101135
28,0.00228983,0.00000095,0.00097501,13.18583298,0.00492190,0.01571039,1.07267582,0.05800463,0.08950305,0.49121091
29,0.00227926,0.00000100,0.00099968,12.59012508,0.00497280,0.01593440,1.07306397,0.05789233,0.09073526,0.49132425
30,0.00227602,0.00000104,0.00101997,12.14571857,0.00501303,0.01613089,1.07336950,0.05776112,0.09187148,0.49135587
31,0.00227171,0.00000107,0.00103559,11.77950001,0.00504308,0.01630141,1.07359695,0.05761723,0.09291662,0.49131033
32,0.00226626,0.00000109,0.00104641,11.49809361,0.00506348,0.01644752,1.07375109,0.05746609,0.09387559,0.49119177
33,0.00225734,0.00000111,0.00105229,11.28421879,0.00507484,0.01657047,1.07383668,0.05731104,0.09475169,0.49100530
34,0.00224371,0.00000111,0.00105339,11.12359333,0.00507782,0.01667199,1.07385921,0.05715782,0.09554896,0.49075603
35,0.00222528,0.00000110,0.00105008,11.00806236,0.00507312,0.01675351,1.07382369,0.05700844,0.09627124,0.49044967
36,0.00219966,0.00000109,0.00104279,10.90389538,0.00506149,0.01681703,1.07373607,0.05686902,0.09692287,0.49009141
37,0.00216940,0.00000107,0.00103213,10.82236481,0.00504365,0.01686339,1.07360125,0.05673384,0.09750860,0.48968717
38,0.00213501,0.00000104,0.00101861,10.75557327,0.00502037,0.01689434,1.07342517,0.05660584,0.09803222,0.48924303
39,0.00209880,0.00000101,0.00100280,10.71318722,0.00499243,0.01691166,1.07321322,0.05648901,0.09849748,0.48876455
40,0.00206067,0.00000097,0.00098514,10.68308353,0.00496058,0.01691666,1.07297087,0.05638347,0.09890795,0.48825675
41,0.00202107,0.00000093,0.00096608,10.65942669,0.00492552,0.01691039,1.07270348,0.05628829,0.09926616,0.48772550
42,0.00198117,0.00000089,0.00094594,10.64595795,0.00488783,0.01689445,1.07241488,0.05620676,0.09957585,0.48717511
43,0.00194029,0.00000086,0.00092514,10.62703133,0.00484810,0.01686985,1.07210958,0.05613528,0.09984117,0.48661047
44,0.00190133,0.00000082,0.00090427,10.62003136,0.00480688,0.01683759,1.07179165,0.05607300,0.10006507,0.48603594
45,0.00186273,0.00000078,0.00088347,10.60657310,0.00476470,0.01679860,1.07146490,0.05601912,0.10025033,0.48545575
46,0.00182592,0.00000075,0.00086316,10.59415627,0.00472198,0.01675398,1.07113266,0.05597439,0.10039999,0.48487344
47,0.00179101,0.00000071,0.00084335,10.58405209,0.00467913,0.01670425,1.07079792,0.05593530,0.10051671,0.48429245
48,0.00175783,0.00000068,0.00082427,10.57128143,0.00463645,0.01665026,1.07046318,0.05590190,0.10060364,0.48371476
49,0.00172599,0.00000065,0.00080601,10.55162525,0.00459427,0.01659289,1.07013106,0.05587585,0.10066311,0.48314270
50,0.00169591,0.00000062,0.00078864,10.52881241,0.00455284,0.01653288,1.06980324,0.05585818,0.10069722,0.48257825
51,0.00166874,0.00000060,0.00077230,10.51317692,0.00451236,0.01647063,1.06948161,0.05584723,0.10070778,0.48202360
52,0.00164312,0.00000057,0.00075717,10.48935413,0.00447301,0.01640671,1.06916773,0.05584264,0.10069738,0.48147991
53,0.00161964,0.00000055,0.00074312,10.46638489,0.00443499,0.01634138,1.06886315,0.05584235,0.10066759,0.48094890
