iter,total,cd3d,cd3d_raw,cd2d,scale_reg,t_reg,scale,tx,ty,tz
0,38.15769196,0.03505422,0.53245467,31034.74609375,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,2.15385652
1,37.86940765,0.03483741,0.51953989,30320.00976562,0.00002500,0.00007500,1.00501263,0.00500000,-0.00500000,2.14885640
2,37.57172012,0.03461012,0.50680637,29615.99609375,0.00010007,0.00030022,1.01005375,0.01000118,-0.01000372,2.14385033
3,37.26398087,0.03437179,0.49424887,28921.96289062,0.00022538,0.00067621,1.01512587,0.01500415,-0.01501370,2.13883400
4,36.94558716,0.03412183,0.48186487,28237.53515625,0.00040120,0.00120385,1.02023196,0.02000981,-0.02003253,2.13380265
5,36.61583328,0.03385964,0.46964976,27561.95312500,0.00062787,0.00188431,1.02537405,0.02501889,-0.02506281,2.12875223
6,36.27400970,0.03358458,0.45760146,26894.31250000,0.00090585,0.00271909,1.03055477,0.03003210,-0.03010717,2.12367845
7,35.91948700,0.03329604,0.44571841,26234.43359375,0.00123563,0.00370996,1.03577662,0.03504996,-0.03516827,2.11857677
8,35.55160141,0.03299340,0.43400010,25582.00390625,0.00161782,0.00485899,1.04104197,0.04007249,-0.04024870,2.11344337
9,35.16909790,0.03267551,0.42242789,24935.76757812,0.00205308,0.00616845,1.04635322,0.04509938,-0.04535107,2.10827398
10,34.76983261,0.03234041,0.41096041,24294.13671875,0.00254221,0.00764152,1.05171311,0.05013729,-0.05047788,2.10306525
11,34.35220718,0.03198652,0.39957914,23656.79101562,0.00308613,0.00928223,1.05712497,0.05519620,-0.05563163,2.09781432
12,33.91500092,0.03161266,0.38828292,23023.29492188,0.00368585,0.01109499,1.06259203,0.06028350,-0.06081482,2.09251785
13,33.45676422,0.03121738,0.37706503,22393.70312500,0.00434242,0.01308446,1.06811666,0.06540439,-0.06602994,2.08717227
14,32.97602463,0.03079921,0.36592087,21767.94531250,0.00505701,0.01525610,1.07370222,0.07056653,-0.07127941,2.08177519
15,32.47134781,0.03035670,0.35484973,21146.18554688,0.00583085,0.01761555,1.07935107,0.07577517,-0.07656559,2.07632327
16,31.94149208,0.02988861,0.34385657,20528.58984375,0.00666516,0.02016853,1.08506560,0.08103310,-0.08189080,2.07081389
17,31.38659286,0.02939501,0.33297506,19915.50585938,0.00756111,0.02292110,1.09084725,0.08634286,-0.08725722,2.06524396
18,30.80789948,0.02887698,0.32225123,19308.84570312,0.00851966,0.02587808,1.09669590,0.09169831,-0.09266695,2.05961037
19,30.20541382,0.02833440,0.31169766,18709.73828125,0.00954151,0.02904330,1.10261071,0.09708863,-0.09812187,2.05391049
20,29.57889366,0.02776700,0.30132002,18118.51367188,0.01062727,0.03242031,1.10858965,0.10250366,-0.10362357,2.04814243
21,28.92795372,0.02717437,0.29111883,17535.39453125,0.01177731,0.03601249,1.11463094,0.10793414,-0.10917335,2.04230428
22,28.25258255,0.02655650,0.28109890,16960.33203125,0.01299183,0.03982321,1.12073159,0.11337234,-0.11477219,2.03639483
23,27.55294418,0.02591354,0.27126411,16393.50976562,0.01427069,0.04385548,1.12688816,0.11881039,-0.12042075,2.03041267
24,26.82975578,0.02524617,0.26162273,15835.18261719,0.01561341,0.04811183,1.13309586,0.12423991,-0.12611935,2.02435684
25,26.08405685,0.02455544,0.25218320,15285.45117188,0.01701903,0.05259405,1.13934898,0.12965110,-0.13186792,2.01822662
26,25.31707573,0.02384253,0.24295145,14744.68750000,0.01848593,0.05730276,1.14563942,0.13503176,-0.13766602,2.01202130
27,24.52964020,0.02310825,0.23392481,14213.04492188,0.02001251,0.06223749,1.15196085,0.14036846,-0.14351289,2.00574088
28,23.72322464,0.02235405,0.22510523,13690.86230469,0.02159681,0.06739636,1.15830600,0.14564571,-0.14940739,1.99938607
29,22.89808083,0.02158016,0.21647833,13178.24218750,0.02323740,0.07277621,1.16467059,0.15084760,-0.15534800,1.99295831
30,22.05634308,0.02078869,0.20804872,12675.50878906,0.02493357,0.07837193,1.17105341,0.15595618,-0.16133292,1.98646092
31,21.20075607,0.01998234,0.19982348,12183.07128906,0.02668332,0.08417685,1.17744911,0.16095138,-0.16735974,1.97989607
32,20.33475494,0.01916450,0.19181240,11701.40820312,0.02848345,0.09018235,1.18384826,0.16581017,-0.17342551,1.97326601
33,19.46195030,0.01833875,0.18402344,11230.72070312,0.03032903,0.09637809,1.19023681,0.17050736,-0.17952667,1.96657193
34,18.58667946,0.01750939,0.17646757,10771.55078125,0.03221315,0.10275103,1.19659531,0.17501307,-0.18565904,1.95981479
35,17.71328926,0.01668072,0.16915309,10324.20996094,0.03412646,0.10928483,1.20289779,0.17929156,-0.19181779,1.95299506
36,16.84535789,0.01585631,0.16207990,9888.99218750,0.03605764,0.11596067,1.20911479,0.18330461,-0.19799754,1.94611371
37,15.98563480,0.01503886,0.15524055,9466.15527344,0.03799353,0.12275865,1.21521282,0.18701546,-0.20419231,1.93917215
38,15.13718128,0.01423143,0.14863090,9055.81152344,0.03991976,0.12965849,1.22115767,0.19039053,-0.21039566,1.93217301
39,14.30240917,0.01343644,0.14224234,8657.93945312,0.04182063,0.13663918,1.22691262,0.19339779,-0.21660067,1.92511952
40,13.48323822,0.01265579,0.13606358,8272.63183594,0.04367980,0.14368054,1.23244143,0.19601019,-0.22280000,1.91801608
41,12.68136597,0.01189120,0.13008331,7899.74707031,0.04548093,0.15076409,1.23770964,0.19820745,-0.22898600,1.91086817
42,11.89798260,0.01114384,0.12428772,7539.34912109,0.04720885,0.15787378,1.24268687,0.19997767,-0.23515072,1.90368295
43,11.13427162,0.01041494,0.11866490,7191.14941406,0.04885048,0.16499709,1.24735022,0.20131955,-0.24128608,1.89646864
44,10.39171314,0.00970598,0.11320645,6855.12255859,0.05039553,0.17212468,1.25168359,0.20224126,-0.24738382,1.88923526
