iter,total,cd3d,cd3d_raw,cd2d,scale_reg,t_reg,scale,tx,ty,tz
0,38.85332108,0.03548051,0.56037706,33728.05468750,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,2.26549244
1,38.59294128,0.03529394,0.54771078,32990.03515625,0.00002500,0.00007500,1.00501263,-0.00500000,-0.00500000,2.26049232
2,38.32426453,0.03509811,0.53516817,32261.50781250,0.00010008,0.00030018,1.01005399,-0.01000249,-0.01000337,2.25548935
3,38.04708481,0.03489287,0.52276891,31542.17187500,0.00022541,0.00067601,1.01512694,-0.01500791,-0.01501245,2.25047922
4,37.76101685,0.03467784,0.51051950,30831.73828125,0.00040129,0.00120319,1.02023423,-0.02001581,-0.02002966,2.24545813
5,37.46558762,0.03445259,0.49842054,30129.98437500,0.00062806,0.00188268,1.02537775,-0.02502507,-0.02505744,2.24042153
6,37.16020966,0.03421653,0.48646769,29436.73437500,0.00090618,0.00271567,1.03056037,-0.03003465,-0.03009827,2.23536468
7,36.84428787,0.03396911,0.47465867,28751.71289062,0.00123618,0.00370355,1.03578472,-0.03504336,-0.03515463,2.23028350
8,36.51720428,0.03370973,0.46299121,28074.73046875,0.00161870,0.00484796,1.04105341,-0.04004986,-0.04022902,2.22517371
9,36.17824936,0.03343768,0.45146006,27405.64062500,0.00205443,0.00615070,1.04636872,-0.04505267,-0.04532393,2.22003150
10,35.82676315,0.03315233,0.44006371,26744.25000000,0.00254418,0.00761379,1.05173361,-0.05005011,-0.05044185,2.21485257
11,35.46198654,0.03285294,0.42879841,26090.38476562,0.00308881,0.00923938,1.05715048,-0.05503998,-0.05558525,2.20963311
12,35.08314133,0.03253874,0.41766143,25443.84960938,0.00368926,0.01102975,1.06262183,-0.06002008,-0.06075653,2.20436978
13,34.68943024,0.03220896,0.40664998,24804.51367188,0.00434654,0.01298731,1.06815016,-0.06498788,-0.06595808,2.19905877
14,34.28001022,0.03186279,0.39576194,24172.04296875,0.00506176,0.01511453,1.07373810,-0.06994043,-0.07119222,2.19369721
15,33.85408401,0.03149944,0.38499722,23546.17187500,0.00583604,0.01741386,1.07938778,-0.07487390,-0.07646119,2.18828201
16,33.41085434,0.03111815,0.37435630,22926.80664062,0.00667056,0.01988769,1.08510149,-0.07978372,-0.08176715,2.18281007
17,32.94946671,0.03071807,0.36383772,22313.68945312,0.00756650,0.02253827,1.09088099,-0.08466411,-0.08711217,2.17727828
18,32.46925735,0.03029853,0.35344523,21706.90234375,0.00852506,0.02536762,1.09672797,-0.08950839,-0.09249818,2.17168427
19,31.96948624,0.02985882,0.34318006,21106.27148438,0.00954742,0.02837732,1.10264397,-0.09430770,-0.09792701,2.16602540
20,31.44942665,0.02939821,0.33304343,20511.71289062,0.01063469,0.03156833,1.10862958,-0.09905114,-0.10340030,2.16029930
21,30.90852165,0.02891615,0.32303908,19923.21289062,0.01178793,0.03494100,1.11468542,-0.10372609,-0.10891955,2.15450406
22,30.34623909,0.02841211,0.31316966,19340.72460938,0.01300806,0.03849477,1.12081146,-0.10831716,-0.11448603,2.14863729
23,29.76193810,0.02788548,0.30343521,18764.04101562,0.01429589,0.04222802,1.12700701,-0.11280646,-0.12010085,2.14269781
24,29.15487480,0.02733552,0.29383263,18192.93750000,0.01565216,0.04613809,1.13327146,-0.11717429,-0.12576486,2.13668466
25,28.52438354,0.02676158,0.28435960,17627.33203125,0.01707779,0.05022213,1.13960540,-0.12140352,-0.13147871,2.13059735
26,27.87004852,0.02616323,0.27501622,17067.44921875,0.01857344,0.05447703,1.14600778,-0.12547758,-0.13724278,2.12443638
27,27.19168091,0.02554026,0.26580459,16513.38671875,0.02013960,0.05889857,1.15247762,-0.12937729,-0.14305715,2.11820102
28,26.48815346,0.02489152,0.25671148,15965.50097656,0.02177650,0.06348300,1.15901279,-0.13308722,-0.14892162,2.11189175
29,25.75856018,0.02421607,0.24772756,15423.97167969,0.02348536,0.06822966,1.16561556,-0.13660705,-0.15483578,2.10551095
30,25.00252342,0.02351352,0.23884982,14889.02734375,0.02526791,0.07313891,1.17228973,-0.13994172,-0.16079894,2.09906244
31,24.22075272,0.02278456,0.23008661,14360.82128906,0.02712536,0.07821392,1.17903674,-0.14310426,-0.16681005,2.09254885
32,23.41414070,0.02203007,0.22144447,13839.53808594,0.02905849,0.08345728,1.18585682,-0.14610431,-0.17286769,2.08597207
33,22.58403587,0.02125137,0.21293089,13325.47949219,0.03106740,0.08887332,1.19274747,-0.14895576,-0.17897001,2.07933331
34,21.73223877,0.02045021,0.20455392,12819.02148438,0.03315133,0.09446415,1.19970429,-0.15166372,-0.18511473,2.07263279
35,20.86110687,0.01962893,0.19632308,12320.42089844,0.03530920,0.10023417,1.20672178,-0.15424174,-0.19129905,2.06587195
36,19.97375679,0.01879059,0.18825042,11830.17578125,0.03753852,0.10618630,1.21379113,-0.15669718,-0.19751963,2.05905056
37,19.07389832,0.01793887,0.18034899,11348.73437500,0.03983526,0.11232142,1.22089934,-0.15903045,-0.20377253,2.05216765
38,18.16526413,0.01707745,0.17262751,10876.55273438,0.04219392,0.11864065,1.22803032,-0.16124383,-0.21005316,2.04522276
39,17.25265884,0.01621108,0.16510054,10414.14941406,0.04460781,0.12514614,1.23516631,-0.16334502,-0.21635626,2.03821611
40,16.34029961,0.01534392,0.15777424,9962.03222656,0.04706839,0.13183597,1.24228513,-0.16533071,-0.22267590,2.03114843
41,15.43351078,0.01448126,0.15066192,9520.66015625,0.04956557,0.13870531,1.24936235,-0.16719201,-0.22900550,2.02402067
42,14.53706074,0.01362780,0.14377044,9090.67285156,0.05208718,0.14574876,1.25636947,-0.16892089,-0.23533775,2.01683474
43,13.65546322,0.01278801,0.13710436,8672.48339844,0.05461965,0.15295729,1.26327622,-0.17050304,-0.24166475,2.00959373
44,12.79249001,0.01196561,0.13066278,8266.60644531,0.05714889,0.16032147,1.27005255,-0.17192802,-0.24797808,2.00230217
45,11.95225525,0.01116468,0.12444883,7873.44873047,0.05966074,0.16782655,1.27667046,-0.17317538,-0.25426888,1.99496675
46,11.13798618,0.01038842,0.11846060,7493.30517578,0.06214041,0.17545784,1.28310096,-0.17422929,-0.26052785,1.98759460
47,10.35290718,0.00964001,0.11269849,7126.44287109,0.06457332,0.18320021,1.28931725,-0.17507729,-0.26674539,1.98019433
48,9.59957886,0.00892201,0.10716056,6773.08886719,0.06694508,0.19103855,1.29529369,-0.17571133,-0.27291155,1.97277522
49,8.87987995,0.00823628,0.10184267,6433.33837891,0.06924123,0.19895709,1.30100524,-0.17612422,-0.27901629,1.96534705
50,8.19555092,0.00758454,0.09674277,6107.31787109,0.07144875,0.20693848,1.30643094,-0.17630886,-0.28504956,1.95792067
51,7.54741335,0.00696762,0.09185492,5795.01904297,0.07355592,0.21496612,1.31155300,-0.17626330,-0.29100144,1.95050740
52,6.93602324,0.00638608,0.08717413,5496.44042969,0.07555306,0.22302330,1.31635845,-0.17598882,-0.29686224,1.94312000
53,6.36154318,0.00584009,0.08269543,5211.42041016,0.07743268,0.23109135,1.32083929,-0.17548440,-0.30262268,1.93577123
54,5.82392979,0.00532964,0.07841508,4939.74707031,0.07919012,0.23915347,1.32499325,-0.17475712,-0.30827391,1.92847514
55,5.32258558,0.00485414,0.07432739,4681.21093750,0.08082358,0.24719307,1.32882464,-0.17381781,-0.31380773,1.92124665
56,4.85674667,0.00441286,0.07042768,4435.51464844,0.08233310,0.25518790,1.33234084,-0.17266187,-0.31921667,1.91410017
57,4.42544746,0.00400487,0.06671177,4202.28515625,0.08372175,0.26312011,1.33555520,-0.17129967,-0.32449397,1.90705109
58,4.02752256,0.00362905,0.06317560,3981.13818359,0.08499368,0.27096677,1.33848286,-0.16972543,-0.32963383,1.90011382
59,3.66154838,0.00328401,0.05981426,3771.71533203,0.08615623,0.27871192,1.34114504,-0.16795628,-0.33463115,1.89330351
60,3.32624054,0.00296852,0.05662576,3573.51562500,0.08721688,0.28633612,1.34356296,-0.16599581,-0.33948180,1.88663411
61,3.01977444,0.00268078,0.05360362,3386.14624023,0.08818395,0.29381952,1.34575856,-0.16384375,-0.34418261,1.88011849
62,2.74040985,0.00241910,0.05074269,3209.17822266,0.08906617,0.30114681,1.34775412,-0.16151068,-0.34873116,1.87376845
63,2.48646307,0.00218185,0.04803880,3042.16357422,0.08987211,0.30830565,1.34957111,-0.15901133,-0.35312590,1.86759400
64,2.25599885,0.00196714,0.04548497,2884.54760742,0.09061106,0.31528598,1.35123193,-0.15636577,-0.35736606,1.86160481
65,2.04749179,0.00177348,0.04307851,2735.99096680,0.09129139,0.32207698,1.35275686,-0.15358558,-0.36145169,1.85580826
66,1.85899293,0.00159898,0.04081121,2595.96582031,0.09192097,0.32866910,1.35416460,-0.15068042,-0.36538360,1.85021019
67,1.68897486,0.00144213,0.03867898,2464.21752930,0.09250705,0.33505759,1.35547197,-0.14767070,-0.36916316,1.84481502
