iter,total,corr,reproj,scale_reg,t_reg,scale,tx,ty,tz
0,0.02652599,0.02652599,0.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000
1,0.02211144,0.02211134,9.50532913,0.00002500,0.00007500,0.99501252,0.00500000,0.00499999,-0.00500000
2,0.01826632,0.01826601,19.40917397,0.00009951,0.00021037,0.99007410,0.00984301,0.00373247,-0.00997750
3,0.01499817,0.01499752,35.92271805,0.00022219,0.00042848,0.98520458,0.01428914,0.00137802,-0.01491328
4,0.01228883,0.01228772,56.87082672,0.00039074,0.00071389,0.98042697,0.01795431,-0.00034590,-0.01978426
5,0.01008457,0.01008294,73.29686737,0.00060175,0.00102082,0.97576779,0.02042486,-0.00054862,-0.02456311
6,0.00833387,0.00833171,79.72807312,0.00085056,0.00131692,0.97125673,0.02152057,0.00032535,-0.02921781
7,0.00699721,0.00699448,76.81703186,0.00113117,0.00159561,0.96692646,0.02136994,0.00156826,-0.03371160
8,0.00603651,0.00603321,67.64730835,0.00143624,0.00185993,0.96281147,0.02023590,0.00248854,-0.03800327
9,0.00540837,0.00540450,55.36906052,0.00175718,0.00211254,0.95894772,0.01837199,0.00263991,-0.04204810
10,0.00506632,0.00506188,43.38337708,0.00208442,0.00235728,0.95537114,0.01598325,0.00205660,-0.04579946
11,0.00496090,0.00495590,34.96591187,0.00240780,0.00259800,0.95211512,0.01323342,0.00106093,-0.04921132
12,0.00503763,0.00503208,32.12499237,0.00271713,0.00283443,0.94920915,0.01026079,0.00007411,-0.05224122
13,0.00523818,0.00523211,35.10837936,0.00300283,0.00306090,0.94667625,0.00719178,-0.00051232,-0.05485354
14,0.00550597,0.00549944,43.10869598,0.00325653,0.00326904,0.94453168,0.00415011,-0.00052136,-0.05702236
15,0.00579202,0.00578509,55.11336517,0.00347162,0.00345122,0.94278181,0.00126077,-0.00004604,-0.05873350
16,0.00605667,0.00604943,69.81356049,0.00364357,0.00360048,0.94142365,-0.00135222,0.00065276,-0.05998525
17,0.00626912,0.00626164,85.23633575,0.00377009,0.00370952,0.94044602,-0.00357447,0.00125639,-0.06078787
18,0.00640803,0.00640040,98.93428040,0.00385098,0.00377132,0.93983001,-0.00531402,0.00150993,-0.06116213
19,0.00646312,0.00645545,108.76152802,0.00388795,0.00378197,0.93955082,-0.00651313,0.00133630,-0.06113722
20,0.00643544,0.00642781,113.49553680,0.00388422,0.00374229,0.93957889,-0.00715376,0.00084703,-0.06074861
21,0.00633476,0.00632725,112.82020569,0.00384416,0.00365704,0.93988162,-0.00725487,0.00027139,-0.06003606
22,0.00617614,0.00616884,107.03689575,0.00377293,0.00353309,0.94042426,-0.00686431,-0.00013808,-0.05904194
23,0.00597769,0.00597063,96.99944305,0.00367609,0.00337863,0.94117069,-0.00604932,-0.00021430,-0.05780999
24,0.00575917,0.00575241,84.16834259,0.00355940,0.00320310,0.94208413,-0.00488873,0.00005258,-0.05638438
25,0.00554010,0.00553366,70.34655762,0.00342851,0.00301634,0.94312787,-0.00346749,0.00052828,-0.05480906
26,0.00533725,0.00533113,57.15056229,0.00328881,0.00282701,0.94426531,-0.00187323,0.00100227,-0.05312722
