iter,total,corr,reproj,scale_reg,t_reg,scale,tx,ty,tz
0,0.49867618,0.49867618,0.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000
1,0.48262393,0.48262382,26.54056931,0.00002500,0.00007500,1.00501263,0.00500000,-0.00500000,0.00500000
2,0.46689677,0.46689638,98.30635071,0.00009997,0.00028875,1.01004851,0.00989086,-0.00953741,0.00999773
3,0.45147625,0.45147541,190.31495667,0.00022483,0.00059804,1.01510715,0.01452602,-0.01273915,0.01499161
4,0.43632734,0.43632600,271.29318237,0.00039944,0.00094385,1.02018714,0.01867731,-0.01399323,0.01998003
5,0.42142817,0.42142627,327.17120361,0.00062365,0.00129633,1.02528751,0.02205636,-0.01366656,0.02496135
6,0.40677077,0.40676823,354.59912109,0.00089723,0.00164487,1.03040695,0.02441795,-0.01235290,0.02993389
7,0.39235297,0.39234975,354.81652832,0.00121990,0.00198775,1.03554416,0.02568152,-0.01051099,0.03489594
8,0.37817675,0.37817284,333.60836792,0.00159135,0.00233301,1.04069805,0.02594054,-0.00850968,0.03984576
9,0.36424866,0.36424398,298.79797363,0.00201119,0.00269408,1.04586720,0.02537684,-0.00668634,0.04478160
10,0.35057449,0.35056895,257.23464966,0.00247901,0.00308365,1.05105007,0.02418605,-0.00533206,0.04970165
11,0.33715993,0.33715343,213.88656616,0.00299433,0.00351138,1.05624521,0.02254816,-0.00462093,0.05460414
12,0.32401124,0.32400370,172.54237366,0.00355659,0.00398502,1.06145144,0.02062495,-0.00457129,0.05948724
13,0.31113735,0.31112868,136.35612488,0.00416521,0.00451131,1.06666660,0.01856562,-0.00508143,0.06434912
14,0.29854581,0.29853588,107.60377502,0.00481954,0.00509544,1.07188940,0.01651140,-0.00598667,0.06918795
15,0.28624225,0.28623098,87.16571808,0.00551885,0.00573964,1.07711804,0.01459521,-0.00709476,0.07400189
16,0.27422875,0.27421606,74.27545929,0.00626239,0.00644235,1.08235073,0.01293522,-0.00820428,0.07878909
17,0.26250485,0.26249057,66.81861877,0.00704930,0.00719861,1.08758557,0.01162432,-0.00912528,0.08354770
18,0.25106809,0.25105223,62.19401932,0.00787871,0.00800184,1.09282064,0.01072028,-0.00971002,0.08827589
19,0.23991722,0.23989962,58.35171127,0.00874965,0.00884629,1.09805405,0.01024130,-0.00988158,0.09297183
20,0.22905281,0.22903343,54.41237259,0.00966110,0.00972871,1.10328364,0.01016852,-0.00964224,0.09763368
