iter,total,corr,reproj,scale_reg,t_reg,scale,tx,ty,tz
0,0.32148987,0.32148987,0.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000
1,0.30665934,0.30665922,15.56211185,0.00002500,0.00007500,1.00501263,0.00500000,0.00500000,0.00500000
2,0.29225424,0.29225385,61.01315308,0.00009994,0.00029936,1.01004720,0.00998626,0.00998508,0.00999661
3,0.27828419,0.27828327,134.33805847,0.00022467,0.00067136,1.01510179,0.01494785,0.01494326,0.01498744
4,0.26475751,0.26475593,233.28201294,0.00039894,0.00118816,1.02017438,0.01987235,0.01986075,0.01997003
5,0.25168228,0.25167981,355.32232666,0.00062242,0.00184561,1.02526224,0.02474568,0.02472181,0.02494182
6,0.23906448,0.23906095,497.64025879,0.00089467,0.00263809,1.03036284,0.02955195,0.02950856,0.02990016
7,0.22690842,0.22690363,657.09948730,0.00121515,0.00355835,1.03547370,0.03427334,0.03420080,0.03484235
8,0.21521665,0.21521047,830.22961426,0.00158322,0.00459731,1.04059196,0.03889006,0.03877597,0.03976558
9,0.20399019,0.20398246,1013.22509766,0.00199811,0.00574402,1.04571426,0.04338026,0.04320914,0.04466701
10,0.19322689,0.19321744,1201.96191406,0.00245894,0.00698549,1.05083776,0.04772017,0.04747313,0.04954369
11,0.18292302,0.18291175,1392.04357910,0.00296473,0.00830680,1.05595899,0.05188429,0.05153890,0.05439263
12,0.17307189,0.17305869,1578.86975098,0.00351435,0.00969117,1.06107438,0.05584570,0.05537610,0.05921080
13,0.16366436,0.16364913,1757.75439453,0.00410659,0.01112030,1.06618059,0.05957665,0.05895382,0.06399511
14,0.15468961,0.15467229,1924.07287598,0.00474007,0.01257476,1.07127357,0.06304927,0.06224170,0.06874240
15,0.14613427,0.14611483,2073.43554688,0.00541333,0.01403459,1.07634962,0.06623644,0.06521115,0.07344952
16,0.13798350,0.13796189,2201.88867188,0.00612478,0.01548008,1.08140492,0.06911282,0.06783667,0.07811327
17,0.13022211,0.13019834,2306.11791992,0.00687271,0.01689252,1.08643520,0.07165597,0.07009719,0.08273041
18,0.12283399,0.12280808,2383.60986328,0.00765530,0.01825503,1.09143639,0.07384732,0.07197711,0.08729772
19,0.11580341,0.11577539,2432.78979492,0.00847063,0.01955328,1.09640431,0.07567308,0.07346715,0.09181197
