iter,total,corr,reproj,scale_reg,t_reg,scale,tx,ty,tz
0,5.35925627,5.35925627,0.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000
1,5.28954983,5.28954983,10.28702736,0.00002500,0.00007500,1.00501263,0.00500000,-0.00500000,0.00500000
2,5.22017813,5.22017765,40.45685959,0.00010000,0.00029988,1.01004994,0.00999614,-0.00999858,0.00999921
3,5.15114546,5.15114498,89.47779846,0.00022498,0.00067433,1.01511228,0.01498571,-0.01499476,0.01499709
4,5.08246422,5.08246231,156.32705688,0.00039993,0.00119786,1.02019954,0.01996588,-0.01998757,0.01999310
5,5.01414108,5.01413870,239.98625183,0.00062482,0.00186983,1.02531147,0.02493373,-0.02497601,0.02498670
6,4.94618416,4.94618034,339.44717407,0.00089963,0.00268938,1.03044832,0.02988625,-0.02995907,0.02997735
7,4.87860346,4.87859821,453.70648193,0.00122432,0.00365548,1.03560960,0.03482032,-0.03493576,0.03496449
8,4.81140184,4.81139565,581.76800537,0.00159884,0.00476691,1.04079580,0.03973274,-0.03990505,0.03994759
9,4.74459314,4.74458504,722.64587402,0.00202315,0.00602227,1.04600632,0.04462023,-0.04486592,0.04492608
10,4.67818165,4.67817163,875.36047363,0.00249717,0.00741994,1.05124128,0.04947942,-0.04981736,0.04989944
11,4.61217451,4.61216259,1038.94055176,0.00302084,0.00895811,1.05650067,0.05430687,-0.05475835,0.05486711
12,4.54657984,4.54656553,1212.42590332,0.00359408,0.01063480,1.06178427,0.05909908,-0.05968787,0.05982855
13,4.48140526,4.48138857,1394.86755371,0.00421681,0.01244780,1.06709182,0.06385247,-0.06460492,0.06478325
14,4.41665602,4.41663694,1585.32458496,0.00488893,0.01439474,1.07242334,0.06856344,-0.06950847,0.06973065
15,4.35233927,4.35231686,1782.87207031,0.00561032,0.01647303,1.07777858,0.07322831,-0.07439754,0.07467026
16,4.28845978,4.28843498,1986.59619141,0.00638089,0.01867991,1.08315766,0.07784338,-0.07927113,0.07960153
17,4.22502565,4.22499752,2195.60083008,0.00720050,0.02101244,1.08855999,0.08240491,-0.08412826,0.08452398
18,4.16204214,4.16201067,2409.00732422,0.00806901,0.02346750,1.09398568,0.08690917,-0.08896796,0.08943710
19,4.09951305,4.09947777,2625.94824219,0.00898628,0.02604180,1.09943449,0.09135237,-0.09378929,0.09434041
20,4.03744411,4.03740549,2845.58398438,0.00995217,0.02873189,1.10490632,0.09573077,-0.09859128,0.09923340
21,3.97584081,3.97579837,3067.08813477,0.01096649,0.03153417,1.11040080,0.10004061,-0.10337301,0.10411562
22,3.91470695,3.91466069,3289.66162109,0.01202908,0.03444488,1.11591768,0.10427815,-0.10813356,0.10898659
23,3.85404754,3.85399699,3512.53051758,0.01313975,0.03746015,1.12145698,0.10843970,-0.11287204,0.11384587
24,3.79386473,3.79380989,3734.93579102,0.01429830,0.04057597,1.12701845,0.11252160,-0.11758756,0.11869300
25,3.73416543,3.73410606,3956.15991211,0.01550453,0.04378824,1.13260150,0.11652026,-0.12227924,0.12352756
26,3.67495060,3.67488670,4175.50537109,0.01675822,0.04709274,1.13820624,0.12043215,-0.12694624,0.12834911
27,3.61622429,3.61615562,4392.30468750,0.01805913,0.05048519,1.14383221,0.12425381,-0.13158771,0.13315724
28,3.55798864,3.55791545,4605.92773438,0.01940704,0.05396121,1.14947939,0.12798190,-0.13620286,0.13795154
29,3.50024724,3.50016904,4815.76708984,0.02080169,0.05751641,1.15514731,0.13161318,-0.14079086,0.14273162
30,3.44300270,3.44291949,5021.26171875,0.02224281,0.06114633,1.16083574,0.13514452,-0.14535093,0.14749709
31,3.38625669,3.38616800,5221.87597656,0.02373015,0.06484649,1.16654444,0.13857292,-0.14988232,0.15224756
32,3.33001137,3.32991743,5417.11767578,0.02526341,0.06861241,1.17227304,0.14189555,-0.15438426,0.15698269
33,3.27426767,3.27416825,5606.52587891,0.02684231,0.07243963,1.17802143,0.14510973,-0.15885600,0.16170210
34,3.21902895,3.21892428,5789.68505859,0.02846655,0.07632372,1.18378901,0.14821295,-0.16329686,0.16640544
35,3.16429639,3.16418600,5966.21337891,0.03013580,0.08026025,1.18957567,0.15120289,-0.16770612,0.17109238
36,3.11007047,3.10995436,6135.76611328,0.03184974,0.08424492,1.19538105,0.15407743,-0.17208308,0.17576258
37,3.05635309,3.05623126,6298.04931641,0.03360805,0.08827345,1.20120478,0.15683465,-0.17642707,0.18041572
38,3.00314546,3.00301766,6452.79736328,0.03541037,0.09234165,1.20704639,0.15947284,-0.18073744,0.18505147
39,2.95044780,2.95031404,6599.78955078,0.03725634,0.09644547,1.21290588,0.16199054,-0.18501353,0.18966952
40,2.89826202,2.89812231,6738.84765625,0.03914560,0.10058095,1.21878254,0.16438651,-0.18925473,0.19426958
41,2.84658766,2.84644198,6869.82519531,0.04107778,0.10474427,1.22467625,0.16665977,-0.19346042,0.19885135
42,2.79542661,2.79527450,6992.62158203,0.04305248,0.10893175,1.23058653,0.16880956,-0.19762999,0.20341453
43,2.74477839,2.74462008,7107.16406250,0.04506930,0.11313985,1.23651302,0.17083539,-0.20176286,0.20795883
44,2.69464493,2.69448042,7213.43115234,0.04712783,0.11736521,1.24245524,0.17273700,-0.20585844,0.21248399
45,2.64502549,2.64485478,7311.41748047,0.04922766,0.12160463,1.24841297,0.17451443,-0.20991617,0.21698973
46,2.59592175,2.59574461,7401.16552734,0.05136835,0.12585506,1.25438559,0.17616794,-0.21393551,0.22147578
47,2.54733419,2.54715037,7482.74609375,0.05354946,0.13011368,1.26037276,0.17769805,-0.21791591,0.22594188
48,2.49926162,2.49907136,7556.25634766,0.05577054,0.13437778,1.26637423,0.17910555,-0.22185683,0.23038778
49,2.45170569,2.45150900,7621.82177734,0.05803113,0.13864489,1.27238929,0.18039146,-0.22575776,0.23481321
50,2.40466714,2.40446401,7679.59472656,0.06033074,0.14291269,1.27841771,0.18155703,-0.22961819,0.23921794
51,2.35814548,2.35793567,7729.75244141,0.06266890,0.14717904,1.28445899,0.18260376,-0.23343761,0.24360171
52,2.31214237,2.31192589,7772.49462891,0.06504511,0.15144199,1.29051256,0.18353339,-0.23721553,0.24796428
53,2.26665831,2.26643515,7808.03710938,0.06745886,0.15569976,1.29657793,0.18434782,-0.24095148,0.25230542
54,2.22169256,2.22146273,7836.61230469,0.06990963,0.15995070,1.30265474,0.18504922,-0.24464498,0.25662488
55,2.17724633,2.17700958,7858.46582031,0.07239690,0.16419339,1.30874252,0.18563989,-0.24829559,0.26092246
56,2.13331938,2.13307619,7873.85400391,0.07492013,0.16842650,1.31484056,0.18612234,-0.25190285,0.26519790
57,2.08991408,2.08966398,7883.05664062,0.07747875,0.17264883,1.32094848,0.18649927,-0.25546628,0.26945099
58,2.04702878,2.04677176,7886.33447266,0.08007223,0.17685939,1.32706571,0.18677348,-0.25898549,0.27368152
59,2.00466394,2.00440025,7883.97802734,0.08269997,0.18105724,1.33319187,0.18694793,-0.26246005,0.27788925
60,1.96282125,1.96255064,7876.27197266,0.08536141,0.18524158,1.33932626,0.18702571,-0.26588953,0.28207397
61,1.92149997,1.92122245,7863.49707031,0.08805593,0.18941173,1.34546840,0.18701002,-0.26927352,0.28623548
62,1.88070118,1.88041675,7845.94921875,0.09078296,0.19356707,1.35161769,0.18690413,-0.27261165,0.29037356
63,1.84042537,1.84013414,7823.90429688,0.09354185,0.19770709,1.35777342,0.18671142,-0.27590349,0.29448801
64,1.80067289,1.80037475,7797.64257812,0.09633200,0.20183131,1.36393499,0.18643530,-0.27914870,0.29857862
65,1.76144302,1.76113784,7767.44091797,0.09915274,0.20593935,1.37010205,0.18607926,-0.28234687,0.30264518
66,1.72273612,1.72242403,7733.56738281,0.10200344,0.21003087,1.37627399,0.18564682,-0.28549767,0.30668747
67,1.68455338,1.68423438,7696.28271484,0.10488344,0.21410555,1.38244975,0.18514149,-0.28860071,0.31070533
68,1.64689434,1.64656842,7655.84814453,0.10779206,0.21816312,1.38862908,0.18456684,-0.29165569,0.31469852
69,1.60975826,1.60942531,7612.49218750,0.11072864,0.22220333,1.39481127,0.18392640,-0.29466224,0.31866688
70,1.57314563,1.57280564,7566.46582031,0.11369248,0.22622596,1.40099573,0.18322371,-0.29762006,0.32261017
71,1.53705657,1.53670967,7517.98291016,0.11668286,0.23023076,1.40718150,0.18246228,-0.30052882,0.32652825
72,1.50149131,1.50113738,7467.26220703,0.11969908,0.23421749,1.41336799,0.18164556,-0.30338821,0.33042091
73,1.46644855,1.46608758,7414.50781250,0.12274042,0.23818593,1.41955471,0.18077698,-0.30619794,0.33428794
74,1.43192697,1.43155909,7359.90087891,0.12580612,0.24213582,1.42574084,0.17985992,-0.30895773,0.33812919
75,1.39792800,1.39755309,7303.63525391,0.12889546,0.24606690,1.43192565,0.17889768,-0.31166729,0.34194446
76,1.36444962,1.36406767,7245.87060547,0.13200767,0.24997886,1.43810844,0.17789350,-0.31432638,0.34573355
77,1.33149254,1.33110344,7186.77294922,0.13514200,0.25387138,1.44428825,0.17685054,-0.31693470,0.34949630
78,1.29905367,1.29865766,7126.48388672,0.13829766,0.25774416,1.45046473,0.17577189,-0.31949207,0.35323253
79,1.26713419,1.26673114,7065.14306641,0.14147386,0.26159680,1.45663667,0.17466055,-0.32199821,0.35694209
80,1.23573256,1.23532236,7002.87841797,0.14466982,0.26542890,1.46280348,0.17351940,-0.32445291,0.36062476
81,1.20484602,1.20442879,6939.80029297,0.14788471,0.26923999,1.46896458,0.17235126,-0.32685599,0.36428040
82,1.17447424,1.17405009,6876.02050781,0.15111774,0.27302966,1.47511899,0.17115884,-0.32920721,0.36790884
83,1.14461577,1.14418459,6811.63476562,0.15436810,0.27679732,1.48126590,0.16994472,-0.33150643,0.37150991
84,1.11526847,1.11483037,6746.73193359,0.15763494,0.28054249,1.48740458,0.16871142,-0.33375347,0.37508345
85,1.08643162,1.08598638,6681.39306641,0.16091742,0.28426456,1.49353409,0.16746134,-0.33594814,0.37862930
86,1.05810273,1.05765045,6615.68701172,0.16421467,0.28796297,1.49965346,0.16619673,-0.33809033,0.38214731
87,1.03027892,1.02981985,6549.68457031,0.16752586,0.29163706,1.50576222,0.16491981,-0.34017992,0.38563731
88,1.00295925,1.00249314,6483.43945312,0.17085010,0.29528609,1.51185930,0.16363262,-0.34221676,0.38909915
89,0.97614068,0.97566760,6417.00537109,0.17418657,0.29890943,1.51794386,0.16233712,-0.34420076,0.39253271
90,0.94982135,0.94934130,6350.43017578,0.17753434,0.30250633,1.52401495,0.16103518,-0.34613186,0.39593780
91,0.92399824,0.92351127,6283.75000000,0.18089254,0.30607605,1.53007174,0.15972854,-0.34800994,0.39931431
92,0.89866877,0.89817488,6217.00781250,0.18426028,0.30961782,1.53611350,0.15841883,-0.34983498,0.40266210
93,0.87383008,0.87332934,6150.22607422,0.18763666,0.31313086,1.54213905,0.15710761,-0.35160694,0.40598103
94,0.84947938,0.84897172,6083.43603516,0.19102077,0.31661430,1.54814768,0.15579629,-0.35332575,0.40927097
95,0.82561290,0.82509840,6016.66162109,0.19441171,0.32006747,1.55413854,0.15448622,-0.35499147,0.41253182
96,0.80222809,0.80170679,5949.92333984,0.19780856,0.32348934,1.56011057,0.15317866,-0.35660404,0.41576341
97,0.77932137,0.77879328,5883.23535156,0.20121041,0.32687926,1.56606293,0.15187474,-0.35816351,0.41896564
98,0.75688833,0.75635350,5816.61035156,0.20461634,0.33023626,1.57199478,0.15057550,-0.35966989,0.42213839
99,0.73492688,0.73438531,5750.06640625,0.20802543,0.33355951,1.57790506,0.14928192,-0.36112326,0.42528158
100,0.71343231,0.71288407,5683.61132812,0.21143673,0.33684829,1.58379281,0.14799488,-0.36252370,0.42839509
101,0.69240063,0.69184566,5617.25146484,0.21484934,0.34010160,1.58965731,0.14671518,-0.36387128,0.43147880
102,0.67182821,0.67126662,5550.99707031,0.21826231,0.34331870,1.59549737,0.14544354,-0.36516610,0.43453261
103,0.65171051,0.65114236,5484.85400391,0.22167471,0.34649873,1.60131228,0.14418063,-0.36640829,0.43755645
104,0.63204384,0.63146913,5418.83007812,0.22508560,0.34964091,1.60710096,0.14292701,-0.36759800,0.44055021
105,0.61282343,0.61224222,5352.92578125,0.22849408,0.35274440,1.61286247,0.14168318,-0.36873537,0.44351381
106,0.59404474,0.59345704,5287.14941406,0.23189919,0.35580847,1.61859608,0.14044960,-0.36982059,0.44644719
107,0.57570308,0.57510895,5221.49853516,0.23530000,0.35883230,1.62430060,0.13922666,-0.37085384,0.44935027
108,0.55779386,0.55719334,5155.98193359,0.23869561,0.36181518,1.62997532,0.13801467,-0.37183532,0.45222297
109,0.54031241,0.53970551,5090.60498047,0.24208507,0.36475641,1.63561916,0.13681394,-0.37276527,0.45506525
110,0.52325332,0.52264023,5025.36669922,0.24546747,0.36765522,1.64123130,0.13562466,-0.37364393,0.45787704
111,0.50661194,0.50599259,4960.27246094,0.24884188,0.37051100,1.64681077,0.13444704,-0.37447158,0.46065828
112,0.49038321,0.48975766,4895.32812500,0.25220743,0.37332314,1.65235662,0.13328122,-0.37524846,0.46340895
113,0.47456115,0.47392949,4830.53515625,0.25556311,0.37609100,1.65786815,0.13212729,-0.37597492,0.46612900
114,0.45914152,0.45850378,4765.90185547,0.25890809,0.37881398,1.66334414,0.13098532,-0.37665123,0.46881840
115,0.44411808,0.44347435,4701.43261719,0.26224151,0.38149154,1.66878402,0.12985536,-0.37727773,0.47147709
116,0.42948556,0.42883587,4637.12988281,0.26556244,0.38412321,1.67418671,0.12873742,-0.37785479,0.47410509
117,0.41523826,0.41458267,4573.00195312,0.26886997,0.38670844,1.67955148,0.12763147,-0.37838277,0.47670236
118,0.40137112,0.40070972,4509.06005859,0.27216327,0.38924688,1.68487728,0.12653747,-0.37886205,0.47926891
119,0.38787812,0.38721094,4445.30615234,0.27544144,0.39173806,1.69016325,0.12545536,-0.37929305,0.48180473
120,0.37475300,0.37408009,4381.74755859,0.27870369,0.39418161,1.69540882,0.12438507,-0.37967616,0.48430982
121,0.36199036,0.36131182,4318.39599609,0.28194913,0.39657724,1.70061302,0.12332650,-0.38001183,0.48678419
122,0.34958410,0.34889999,4255.25927734,0.28517699,0.39892465,1.70577514,0.12227955,-0.38030049,0.48922786
123,0.33752829,0.33683866,4192.34326172,0.28838640,0.40122357,1.71089423,0.12124410,-0.38054264,0.49164087
124,0.32581660,0.32512155,4129.65820312,0.29157659,0.40347379,1.71596968,0.12022004,-0.38073874,0.49402323
