iter,total,corr,reproj,scale_reg,t_reg,scale,tx,ty,tz
0,10.18731022,10.18731022,0.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000
1,10.10010624,10.10010624,12.11848450,0.00002500,0.00007500,1.00501263,-0.00500000,-0.00500000,0.00500000
2,10.01312351,10.01312351,47.55690384,0.00010000,0.00029969,1.01005030,-0.00998624,-0.00999901,0.00999947
3,9.92636776,9.92636681,104.87857819,0.00022501,0.00067327,1.01511335,-0.01494782,-0.01499637,0.01499806
4,9.83984089,9.83983994,182.55470276,0.00040003,0.00119438,1.02020204,-0.01987237,-0.01999141,0.01999540
5,9.75355148,9.75354862,278.95278931,0.00062507,0.00186109,1.02531648,-0.02474591,-0.02498344,0.02499115
6,9.66749954,9.66749573,392.32305908,0.00090014,0.00267077,1.03045690,-0.02955275,-0.02997180,0.02998493
7,9.58169365,9.58168888,520.79254150,0.00122524,0.00362006,1.03562331,-0.03427540,-0.03495578,0.03497639
8,9.49613380,9.49612713,662.35601807,0.00160040,0.00470478,1.04081607,-0.03889453,-0.03993474,0.03996518
9,9.41082287,9.41081524,814.87896729,0.00202563,0.00591992,1.04603517,-0.04338900,-0.04490796,0.04495093
10,9.32576752,9.32575703,976.10540771,0.00250092,0.00725956,1.05128074,-0.04773602,-0.04987480,0.04993329
11,9.24096107,9.24094963,1143.67395020,0.00302631,0.00871694,1.05655324,-0.05191139,-0.05483456,0.05491192
12,9.15641308,9.15639877,1315.15246582,0.00360180,0.01028451,1.06185246,-0.05588993,-0.05978658,0.05988645
13,9.07211781,9.07210159,1488.07775879,0.00422740,0.01195403,1.06717873,-0.05964608,-0.06473021,0.06485656
14,8.98807621,8.98805809,1660.01379395,0.00490312,0.01371678,1.07253218,-0.06315459,-0.06966479,0.06982189
15,8.90428925,8.90426826,1828.62622070,0.00562899,0.01556381,1.07791281,-0.06639143,-0.07458967,0.07478213
16,8.82075214,8.82072830,1991.75085449,0.00640500,0.01748621,1.08332098,-0.06933478,-0.07950421,0.07973693
17,8.73746777,8.73744106,2147.48022461,0.00723117,0.01947549,1.08875656,-0.07196595,-0.08440780,0.08468597
18,8.65443230,8.65440178,2294.22021484,0.00810750,0.02152387,1.09421980,-0.07427026,-0.08929981,0.08962893
19,8.57164383,8.57161140,2430.76098633,0.00903400,0.02362464,1.09971094,-0.07623776,-0.09417963,0.09456553
20,8.48910522,8.48906994,2556.30102539,0.01001067,0.02577234,1.10522985,-0.07786371,-0.09904668,0.09949543
21,8.40681553,8.40677643,2670.45922852,0.01103752,0.02796299,1.11077678,-0.07914870,-0.10390037,0.10441834
