iter,total,corr,reproj,scale_reg,t_reg,scale,tx,ty,tz
0,0.32148987,0.32148987,0.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000
1,0.32222146,0.30665922,15.56211472,0.00002500,0.00007500,1.00501263,0.00500000,0.00500000,0.00500000
2,0.29589522,0.29484901,1.04603994,0.00010000,0.00010117,1.01004994,0.00144763,0.00142799,0.00985063
3,0.29440734,0.28328484,11.12204647,0.00022478,0.00021114,1.01510572,-0.00105040,-0.00123496,0.01444009
4,0.28601202,0.27204779,13.96352768,0.00039927,0.00032806,1.02018285,-0.00072876,-0.00111149,0.01806371
5,0.27020282,0.26142254,8.77920151,0.00062328,0.00043455,1.02527976,0.00103528,0.00051952,0.02081361
6,0.25678933,0.25122738,5.56048203,0.00089640,0.00055515,1.03039265,0.00335291,0.00275492,0.02315860
7,0.24930067,0.24122255,8.07619286,0.00121819,0.00070861,1.03551888,0.00554844,0.00492530,0.02556494
8,0.24397759,0.23131758,12.65752697,0.00158828,0.00089212,1.04065800,0.00702614,0.00643309,0.02830850
9,0.23619664,0.22154221,14.65132904,0.00200630,0.00109395,1.04580998,0.00756207,0.00701663,0.03142494
10,0.22617175,0.21195653,14.21143436,0.00247173,0.00131175,1.05097318,0.00733505,0.00681832,0.03480599
11,0.21684155,0.20263958,14.19743824,0.00298389,0.00154748,1.05614460,0.00668466,0.00615769,0.03827374
12,0.21002702,0.19369201,16.32967949,0.00354203,0.00179544,1.06132162,0.00598388,0.00539545,0.04159957
13,0.20494458,0.18521605,19.72234344,0.00414541,0.00203844,1.06650281,0.00556868,0.00486819,0.04453909
14,0.19954491,0.17727773,22.26012230,0.00479338,0.00225562,1.07168722,0.00563811,0.00479635,0.04691292
15,0.19285993,0.16988000,22.97201729,0.00548518,0.00243496,1.07687354,0.00620295,0.00522152,0.04867465
16,0.18562423,0.16296954,22.64588356,0.00621993,0.00257773,1.08205986,0.00712927,0.00603502,0.04990471
17,0.17911525,0.15646386,22.64168549,0.00699665,0.00269322,1.08724391,0.00820378,0.00704146,0.05075760
18,0.17384078,0.15027769,23.55249214,0.00781436,0.00279136,1.09242368,0.00918520,0.00801024,0.05140849
19,0.16919166,0.14433977,24.84033394,0.00867212,0.00287838,1.09759808,0.00986335,0.00872910,0.05200863
20,0.16421600,0.13860607,25.59740639,0.00956901,0.00295660,1.10276580,0.01012297,0.00906483,0.05264937
21,0.15859330,0.13306560,25.51417351,0.01050401,0.00302595,1.10792518,0.00997039,0.00899754,0.05334406
22,0.15278646,0.12773670,25.03520203,0.01147594,0.00308421,1.11307430,0.00951128,0.00860849,0.05403372
23,0.14743304,0.12265552,24.76190758,0.01248355,0.00312640,1.11821067,0.00890865,0.00804285,0.05461090
24,0.14271872,0.11785712,24.84491539,0.01352558,0.00314530,1.12333226,0.00833960,0.00746866,0.05495428
25,0.13828768,0.11336128,24.90866280,0.01460080,0.00313405,1.12843728,0.00795073,0.00703500,0.05496674
26,0.13367498,0.10916482,24.49137115,0.01570800,0.00308949,1.13352418,0.00781977,0.00683388,0.05460435
27,0.12876514,0.10524433,23.50094604,0.01684593,0.00301396,1.13859141,0.00794008,0.00687989,0.05388488
28,0.12383498,0.10156393,22.25011063,0.01801328,0.00291436,1.14363694,0.00823213,0.00711512,0.05287695
29,0.11922358,0.09808157,21.11999130,0.01920869,0.00279950,1.14865935,0.00857169,0.00743238,0.05167964
30,0.11500848,0.09475651,20.22886848,0.02043086,0.00267738,1.15365660,0.00882557,0.00770709,0.05039928
31,0.11098131,0.09155440,19.40266800,0.02167851,0.00255374,1.15862763,0.00888870,0.00783179,0.04912634
32,0.10690114,0.08845361,18.42214584,0.02295035,0.00243184,1.16357088,0.00871242,0.00774500,0.04791607
33,0.10273463,0.08544698,17.26109695,0.02424501,0.00231283,1.16848505,0.00831378,0.00744486,0.04677911
34,0.09865385,0.08254054,16.08554649,0.02556108,0.00219624,1.17336798,0.00776501,0.00698414,0.04568548
35,0.09483725,0.07974607,15.06219673,0.02689706,0.00208039,1.17821813,0.00717016,0.00645148,0.04457982
36,0.09130093,0.07707483,14.19589043,0.02825151,0.00196318,1.18303347,0.00663605,0.00594564,0.04340262
37,0.08791253,0.07453169,13.34937763,0.02962299,0.00184306,1.18781245,0.00624344,0.00554867,0.04211048
38,0.08454739,0.07211335,12.40130424,0.03101009,0.00172012,1.19255352,0.00602649,0.00530485,0.04068983
39,0.08120950,0.06980933,11.36617470,0.03241137,0.00159633,1.19725513,0.00596710,0.00521173,0.03916072
