iter,total,corr,reproj,scale_reg,t_reg,scale,tx,ty,tz
0,5.35925627,5.35925627,0.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000
1,5.29983664,5.28954983,10.28702736,0.00002500,0.00007500,1.00501263,0.00500000,-0.00500000,0.00500000
2,5.23214006,5.22894716,3.19266534,0.00010000,0.00014422,1.01005030,0.00192095,-0.00636693,0.00999970
3,5.17232656,5.17010450,2.22173810,0.00022500,0.00026740,1.01511288,-0.00062601,-0.00647335,0.01500346
4,5.11174059,5.10915756,2.58200407,0.00039997,0.00045509,1.02020049,-0.00063303,-0.00745016,0.01997961
5,5.04773855,5.04629278,1.44500411,0.00062491,0.00071241,1.02531326,0.00089313,-0.00950147,0.02492653
6,4.98414803,4.98266077,1.48535359,0.00089979,0.00104691,1.03045094,0.00306413,-0.01207077,0.02986334
7,4.92287016,4.91934204,3.52521825,0.00122459,0.00145085,1.03561354,0.00522235,-0.01455633,0.03480932
8,4.86253929,4.85726070,5.27506113,0.00159928,0.00189840,1.04080141,0.00677816,-0.01644463,0.03977470
9,4.80146217,4.79656649,4.89143896,0.00202384,0.00237220,1.04601443,0.00745069,-0.01770310,0.04475809
10,4.73993397,4.73669291,3.23569202,0.00249823,0.00287967,1.05125248,0.00736266,-0.01872146,0.04974904
11,4.67885780,4.67694044,1.91110063,0.00302240,0.00344034,1.05651557,0.00683054,-0.01994721,0.05473379
12,4.61856365,4.61690283,1.65280342,0.00359628,0.00406970,1.06180358,0.00622136,-0.02160322,0.05970174
13,4.55884838,4.55653620,2.30323529,0.00421981,0.00477285,1.06711638,0.00587677,-0.02363868,0.06464925
14,4.49929905,4.49603605,3.25263739,0.00489294,0.00554527,1.07245409,0.00601393,-0.02584238,0.06957924
15,4.43966293,4.43573809,3.91269064,0.00561560,0.00637525,1.07781661,0.00666777,-0.02794308,0.07449812
16,4.38000250,4.37594748,4.04170084,0.00638771,0.00724991,1.08320391,0.00772943,-0.02973121,0.07941172
17,4.32065773,4.31676340,3.87928295,0.00720919,0.00816380,1.08861578,0.00901244,-0.03118207,0.08432235
18,4.26193619,4.25806570,3.85337114,0.00807994,0.00912108,1.09405220,0.01030031,-0.03245401,0.08922849
19,4.20376539,4.19964933,4.09709072,0.00899986,0.01013033,1.09951317,0.01139158,-0.03377484,0.09412660
20,4.14579964,4.14136267,4.41612577,0.00996884,0.01119835,1.10499859,0.01215225,-0.03531273,0.09901356
21,4.08785868,4.08318138,4.65408802,0.01098676,0.01232702,1.11050820,0.01255059,-0.03710466,0.10388815
22,4.03008986,4.02519321,4.87136841,0.01205351,0.01351304,1.11604190,0.01265269,-0.03906582,0.10875116
23,3.97273564,3.96754074,5.16711760,0.01316894,0.01474893,1.12159979,0.01259070,-0.04104245,0.11360426
24,3.91587400,3.91035795,5.48566055,0.01433291,0.01602575,1.12718141,0.01252332,-0.04288225,0.11844843
25,3.85939813,3.85368705,5.67813778,0.01554527,0.01733825,1.13278675,0.01259518,-0.04450805,0.12328277
26,3.80319214,3.79746103,5.69580126,0.01680587,0.01868887,1.13841558,0.01290087,-0.04595361,0.12810428
27,3.74722505,3.74154043,5.64653778,0.01811452,0.02008676,1.14406788,0.01346559,-0.04733518,0.13290904
28,3.69153571,3.68579674,5.69799042,0.01947106,0.02154245,1.14974344,0.01424807,-0.04878375,0.13769382
29,3.63618803,3.63017607,5.96779633,0.02087528,0.02306209,1.15544188,0.01515922,-0.05037977,0.14245759
30,3.58123755,3.57472205,6.46849632,0.02232699,0.02464402,1.16116309,0.01608738,-0.05212303,0.14720193
31,3.52669406,3.51955128,7.09272051,0.02382598,0.02627919,1.16690695,0.01692580,-0.05394365,0.15193023
32,3.47250938,3.46480179,7.65439796,0.02537205,0.02795468,1.17267334,0.01759818,-0.05574029,0.15664612
33,3.41863084,3.41057849,7.99591398,0.02696496,0.02965917,1.17846191,0.01807555,-0.05742856,0.16135181
34,3.36506033,3.35690570,8.09455872,0.02860449,0.03138812,1.18427241,0.01837918,-0.05898032,0.16604713
35,3.31185484,3.30372620,8.06515598,0.03029037,0.03314553,1.19010472,0.01857018,-0.06043268,0.17072952
36,3.25906515,3.25093627,8.06185436,0.03202236,0.03494138,1.19595850,0.01873063,-0.06186360,0.17539510
37,3.20668411,3.19843459,8.17897987,0.03380018,0.03678646,1.20183337,0.01894178,-0.06334998,0.18004014
38,3.15467262,3.14616776,8.43065166,0.03562354,0.03868741,1.20772934,0.01926440,-0.06493165,0.18466233
39,3.10300946,3.09414744,8.78415394,0.03749216,0.04064417,1.21364582,0.01972591,-0.06659735,0.18926132
40,3.05170727,3.04243493,9.19025993,0.03940575,0.04265042,1.21958280,0.02031736,-0.06829543,0.19383849
41,3.00079274,2.99111342,9.59344769,0.04136398,0.04469648,1.22553980,0.02099940,-0.06996083,0.19839603
42,2.95028448,2.94025016,9.94414234,0.04336656,0.04677329,1.23151660,0.02171469,-0.07154584,0.20293584
43,2.90018702,2.88987470,10.21802616,0.04541312,0.04887604,1.23751283,0.02240289,-0.07304101,0.20745881
44,2.85049438,2.83997178,10.42425442,0.04750334,0.05100535,1.24352813,0.02301515,-0.07447608,0.21196453
45,2.80119848,2.79049969,10.59603786,0.04963687,0.05316593,1.24956238,0.02352461,-0.07590244,0.21645172
46,2.75229621,2.74141693,10.77217007,0.05181334,0.05536345,1.25561500,0.02393075,-0.07736707,0.22091879
47,2.70379591,2.69270039,10.98362160,0.05403236,0.05760146,1.26168561,0.02425688,-0.07889172,0.22536451
48,2.65571141,2.64435387,11.24143028,0.05629354,0.05987971,1.26777411,0.02454229,-0.08046579,0.22978826
49,2.60805678,2.59640527,11.53075123,0.05859650,0.06219450,1.27387965,0.02483142,-0.08205432,0.23419006
50,2.56082726,2.54888391,11.81771851,0.06094080,0.06454051,1.28000247,0.02516299,-0.08361579,0.23857018
51,2.51401997,2.50181818,12.07132339,0.06332603,0.06691338,1.28614140,0.02556152,-0.08512115,0.24292876
52,2.46762800,2.45520854,12.28423405,0.06575176,0.06931159,1.29229677,0.02603312,-0.08656561,0.24726556
53,2.42166233,2.40904665,12.47582626,0.06821754,0.07173668,1.29846764,0.02656589,-0.08796839,0.25158000
54,2.37613153,2.36331034,12.67616081,0.07072290,0.07419195,1.30465388,0.02713456,-0.08936163,0.25587139
55,2.33104134,2.31798506,12.90624523,0.07326738,0.07668017,1.31085491,0.02770752,-0.09077479,0.26013920
56,2.28639388,2.27307081,13.16807938,0.07585049,0.07920174,1.31707013,0.02825464,-0.09222192,0.26438332
57,2.24218726,2.22858024,13.44680500,0.07847173,0.08175407,1.32329929,0.02875401,-0.09369719,0.26860401
58,2.19842315,2.18453813,13.71960735,0.08113061,0.08433234,1.32954180,0.02919610,-0.09517954,0.27280173
59,2.15510464,2.14096808,13.96555233,0.08382659,0.08693136,1.33579719,0.02958469,-0.09664332,0.27697685
60,2.11223602,2.09788513,14.17471027,0.08655915,0.08954754,1.34206486,0.02993474,-0.09806993,0.28112942
61,2.06982136,2.05528831,14.35148335,0.08932773,0.09218012,1.34834445,0.03026781,-0.09945507,0.28525895
62,2.02786565,2.01316714,14.51157665,0.09213179,0.09483109,1.35463524,0.03060660,-0.10080908,0.28936458
63,1.98636937,1.97150266,14.67418289,0.09497075,0.09750406,1.36093676,0.03096967,-0.10215089,0.29344529
64,1.94533384,1.93028116,14.85456467,0.09784402,0.10020234,1.36724842,0.03136772,-0.10349888,0.29750022
65,1.90475821,1.88949561,15.05897999,0.10075101,0.10292728,1.37356973,0.03180202,-0.10486299,0.30152887
66,1.86464679,1.84915304,15.28439236,0.10369112,0.10567759,1.37990010,0.03226507,-0.10624143,0.30553120
67,1.82500434,1.80926943,15.51970196,0.10666370,0.10844964,1.38623869,0.03274317,-0.10762259,0.30950752
68,1.78583407,1.76986313,15.75000763,0.10966814,0.11123871,1.39258504,0.03322006,-0.10899097,0.31345829
69,1.74713528,1.73094666,15.96191311,0.11270380,0.11404052,1.39893866,0.03368074,-0.11033409,0.31738386
70,1.70891047,1.69252872,16.14918900,0.11577001,0.11685252,1.40529871,0.03411464,-0.11164744,0.32128423
71,1.67116058,1.65460742,16.31461906,0.11886609,0.11967440,1.41166472,0.03451744,-0.11293559,0.32515919
72,1.63388824,1.61717629,16.46747589,0.12199137,0.12250752,1.41803575,0.03489136,-0.11420920,0.32900816
73,1.59709525,1.58022583,16.61885834,0.12514515,0.12535393,1.42441130,0.03524401,-0.11548001,0.33283052
74,1.56078255,1.54374909,16.77695084,0.12832673,0.12821513,1.43079066,0.03558618,-0.11675577,0.33662570
75,1.52495301,1.50774598,16.94444084,0.13153537,0.13109134,1.43717313,0.03592916,-0.11803742,0.34039330
76,1.48960757,1.47222006,17.11871910,0.13477035,0.13398115,1.44355786,0.03628230,-0.11931945,0.34413314
77,1.45474684,1.43717813,17.29379272,0.13803090,0.13688213,1.44994426,0.03665119,-0.12059265,0.34784514
78,1.42037117,1.40262675,17.46334648,0.14131629,0.13979161,1.45633149,0.03703691,-0.12184829,0.35152933
79,1.38648248,1.36857140,17.62379074,0.14462574,0.14270741,1.46271884,0.03743623,-0.12308157,0.35518569
80,1.35308230,1.33501387,17.77486038,0.14795849,0.14562841,1.46910548,0.03784275,-0.12429313,0.35881409
81,1.32017016,1.30195129,17.91905594,0.15131369,0.14855435,1.47549069,0.03824859,-0.12548815,0.36241430
82,1.28774834,1.26938188,18.06016159,0.15469061,0.15148559,1.48187363,0.03864614,-0.12667386,0.36598608
83,1.25581539,1.23730206,18.20081711,0.15808839,0.15442237,1.48825359,0.03902965,-0.12785639,0.36952916
84,1.22437346,1.20571244,18.34215736,0.16150619,0.15736431,1.49462950,0.03939620,-0.12903845,0.37304333
85,1.19342220,1.17461383,18.48299217,0.16494319,0.16031028,1.50100052,0.03974598,-0.13021855,0.37652844
86,1.16296065,1.14400780,18.62111664,0.16839854,0.16325857,1.50736618,0.04008197,-0.13139206,0.37998438
87,1.13299024,1.11389804,18.75408363,0.17187138,0.16620728,1.51372528,0.04040901,-0.13255332,0.38341102
88,1.10350978,1.08428514,18.88017654,0.17536084,0.16915487,1.52007711,0.04073260,-0.13369791,0.38680822
89,1.07451963,1.05516922,18.99947929,0.17886603,0.17210047,1.52642071,0.04105775,-0.13482425,0.39017579
90,1.04601955,1.02654850,19.11363602,0.18238609,0.17504379,1.53275514,0.04138799,-0.13593385,0.39351344
91,1.01800919,0.99842012,19.22515869,0.18592007,0.17798507,1.53907943,0.04172480,-0.13703036,0.39682087
92,0.99048597,0.97077924,19.33635139,0.18946712,0.18092453,1.54539299,0.04206754,-0.13811797,0.40009785
93,0.96345103,0.94362563,19.44854164,0.19302629,0.18386199,1.55169451,0.04241377,-0.13919966,0.40334415
94,0.93690234,0.91695744,19.56153870,0.19659665,0.18679661,1.55798328,0.04275998,-0.14027619,0.40655968
95,0.91083962,0.89077574,19.67397499,0.20017730,0.18972693,1.56425822,0.04310230,-0.14134608,0.40974432
96,0.88526052,0.86508054,19.78356171,0.20376727,0.19265121,1.57051849,0.04343739,-0.14240631,0.41289809
97,0.86016357,0.83987236,19.88829803,0.20736562,0.19556761,1.57676327,0.04376301,-0.14345369,0.41602096
98,0.83554780,0.81515133,19.98698616,0.21097140,0.19847465,1.58299124,0.04407834,-0.14448601,0.41911280
99,0.81141126,0.79091567,20.07969666,0.21458362,0.20137151,1.58920157,0.04438399,-0.14550282,0.42217353
100,0.78775197,0.76716191,20.16759491,0.21820134,0.20425779,1.59539330,0.04468175,-0.14650536,0.42520291
101,0.76456738,0.74388611,20.25228310,0.22182359,0.20713355,1.60156548,0.04497408,-0.14749587,0.42820072
102,0.74185622,0.72108537,20.33545685,0.22544938,0.20999888,1.60771692,0.04526361,-0.14847670,0.43116674
103,0.71961498,0.69875503,20.41806221,0.22907773,0.21285363,1.61384678,0.04555255,-0.14944935,0.43410078
104,0.69784206,0.67689317,20.50045395,0.23270766,0.21569724,1.61995411,0.04584235,-0.15041403,0.43700269
105,0.67653352,0.65549666,20.58200264,0.23633817,0.21852879,1.62603784,0.04613348,-0.15136968,0.43987238
106,0.65568787,0.63456470,20.66184044,0.23996828,0.22134699,1.63209677,0.04642545,-0.15231448,0.44270980
107,0.63530087,0.61409408,20.73900223,0.24359699,0.22415051,1.63813019,0.04671699,-0.15324661,0.44551489
108,0.61536962,0.59408265,20.81280136,0.24722332,0.22693819,1.64413702,0.04700637,-0.15416487,0.44828761
109,0.59589189,0.57452828,20.88303757,0.25084627,0.22970910,1.65011585,0.04729181,-0.15506907,0.45102790
110,0.57686245,0.55542558,20.94996262,0.25446483,0.23246269,1.65606618,0.04757178,-0.15595998,0.45373571
111,0.55827844,0.53677100,21.01417923,0.25807801,0.23519854,1.66198683,0.04784527,-0.15683898,0.45641088
112,0.54013646,0.51856053,21.07629204,0.26168481,0.23791640,1.66787660,0.04811195,-0.15770745,0.45905337
113,0.52243167,0.50078899,21.13674164,0.26528424,0.24061589,1.67373466,0.04837212,-0.15856630,0.46166304
114,0.50516021,0.48345232,21.19571304,0.26887530,0.24329650,1.67956007,0.04862663,-0.15941566,0.46423981
115,0.48831853,0.46654698,21.25314903,0.27245700,0.24595754,1.68535149,0.04887663,-0.16025496,0.46678364
116,0.47190139,0.45006800,21.30875778,0.27602842,0.24859819,1.69110823,0.04912333,-0.16108312,0.46929449
117,0.45590439,0.43401137,21.36224937,0.27958855,0.25121760,1.69682932,0.04936780,-0.16189907,0.47177231
118,0.44032368,0.41837320,21.41354752,0.28313640,0.25381505,1.70251334,0.04961075,-0.16270210,0.47421709
119,0.42515349,0.40314788,21.46256638,0.28667101,0.25638992,1.70815980,0.04985244,-0.16349202,0.47662878
120,0.41038927,0.38833061,21.50953293,0.29019144,0.25894171,1.71376753,0.05009272,-0.16426924,0.47900736
121,0.39602566,0.37391576,21.55472565,0.29369673,0.26147017,1.71933568,0.05033106,-0.16503452,0.48135284
122,0.38205788,0.35989824,21.59845352,0.29718590,0.26397485,1.72486305,0.05056667,-0.16578871,0.48366514
123,0.36848080,0.34627286,21.64083290,0.30065808,0.26645544,1.73034883,0.05079875,-0.16653246,0.48594430
124,0.35528871,0.33303383,21.68187904,0.30411232,0.26891139,1.73579192,0.05102653,-0.16726594,0.48819032
125,0.34247628,0.32017583,21.72152901,0.30754763,0.27134213,1.74119174,0.05124952,-0.16798894,0.49040323
126,0.33003736,0.30769309,21.75956345,0.31096324,0.27374697,1.74654722,0.05146746,-0.16870090,0.49258307
127,0.31796706,0.29558077,21.79580879,0.31435823,0.27612528,1.75185728,0.05168042,-0.16940121,0.49472988
128,0.30625880,0.28383237,21.83023071,0.31773165,0.27847654,1.75712144,0.05188876,-0.17008942,0.49684370
129,0.29490757,0.27244282,21.86287498,0.32108268,0.28080022,1.76233840,0.05209297,-0.17076539,0.49892458
130,0.28390649,0.26140514,21.89386940,0.32441047,0.28309613,1.76750767,0.05229362,-0.17142926,0.50097257
131,0.27325019,0.25071368,21.92346191,0.32771420,0.28536400,1.77262819,0.05249128,-0.17208149,0.50298768
132,0.26293200,0.24036162,21.95180893,0.33099312,0.28760368,1.77769935,0.05268634,-0.17272259,0.50497001
133,0.25294614,0.23034300,21.97908974,0.33424637,0.28981498,1.78272033,0.05287904,-0.17335303,0.50691962
134,0.24328628,0.22065145,22.00536919,0.33747315,0.29199761,1.78769028,0.05306938,-0.17397301,0.50883657
135,0.23394616,0.21128069,22.03065681,0.34067270,0.29415131,1.79260838,0.05325719,-0.17458253,0.51072097
136,0.22491954,0.20222452,22.05489349,0.34384429,0.29627553,1.79747403,0.05344218,-0.17518134,0.51257288
137,0.21619952,0.19347620,22.07795525,0.34698728,0.29836997,1.80228674,0.05362397,-0.17576914,0.51439250
138,0.20778015,0.18502983,22.09977531,0.35010087,0.30043417,1.80704558,0.05380220,-0.17634565,0.51617992
139,0.19965512,0.17687917,22.12029457,0.35318437,0.30246785,1.81174982,0.05397660,-0.17691074,0.51793528
140,0.19181716,0.16901684,22.13961411,0.35623723,0.30447078,1.81639934,0.05414699,-0.17746453,0.51965874
141,0.18426104,0.16143751,22.15782738,0.35925868,0.30644283,1.82099283,0.05431337,-0.17800726,0.52135044
142,0.17697883,0.15413328,22.17492485,0.36224821,0.30838385,1.82553053,0.05447584,-0.17853925,0.52301049
143,0.16996537,0.14709872,22.19114685,0.36520517,0.31029382,1.83001113,0.05463463,-0.17906085,0.52463901
144,0.16321331,0.14032649,22.20651627,0.36812901,0.31217274,1.83443463,0.05478999,-0.17957228,0.52623624
145,0.15671657,0.13381043,22.22108078,0.37101921,0.31402043,1.83880043,0.05494223,-0.18007366,0.52780229
