iter,total,corr,reproj,scale_reg,t_reg,scale,tx,ty,tz
0,5.85077715,5.85077715,0.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000
1,5.79576778,5.78251028,13.25756741,0.00002500,0.00007500,1.00501263,-0.00500000,-0.00500000,0.00500000
2,5.72609091,5.72383976,2.25111365,0.00010001,0.00013400,1.01005054,-0.00158854,-0.00561424,0.00999762
3,5.66838741,5.66585827,2.52887988,0.00022501,0.00026056,1.01511335,0.00142431,-0.00580217,0.01499541
4,5.60974789,5.60531521,4.43180752,0.00040000,0.00045619,1.02020133,0.00198051,-0.00733947,0.01996004
5,5.54618692,5.54310989,3.07569194,0.00062498,0.00071643,1.02531469,0.00082539,-0.00978658,0.02489919
6,5.48281813,5.48048401,2.33220315,0.00089993,0.00104698,1.03045344,-0.00112401,-0.01247114,0.02983600
7,5.42202330,5.41859150,3.42873406,0.00122485,0.00143733,1.03561735,-0.00322566,-0.01472132,0.03478808
8,5.36270714,5.35803843,4.66543007,0.00159971,0.00186816,1.04080701,-0.00490126,-0.01622462,0.03976057
9,5.30319166,5.29850006,4.68749189,0.00202451,0.00233413,1.04602218,-0.00576942,-0.01727855,0.04474699
10,5.24285555,5.23924446,3.60576034,0.00249923,0.00284607,1.05126309,-0.00581796,-0.01840344,0.04973463
11,5.18206835,5.17974043,2.32191706,0.00302385,0.00341919,1.05652952,-0.00527864,-0.01994824,0.05471191
12,5.12173843,5.11989498,1.83514309,0.00359832,0.00406210,1.06182170,-0.00446511,-0.02193632,0.05967381
13,5.06248331,5.05990028,2.57395315,0.00422261,0.00477429,1.06713939,-0.00370471,-0.02417726,0.06462213
14,5.00398302,5.00007153,3.90094662,0.00489668,0.00554599,1.07248282,-0.00327727,-0.02638819,0.06956231
15,4.94538736,4.94071913,4.65614462,0.00562052,0.00636282,1.07785201,-0.00333649,-0.02831177,0.07449917
16,4.88633347,4.88194895,4.37109947,0.00639409,0.00721685,1.08324707,-0.00388216,-0.02986746,0.07943372
17,4.82724571,4.82361317,3.61726737,0.00721732,0.00811290,1.08866787,-0.00480003,-0.03118986,0.08436260
18,4.76866722,4.76544237,3.20779300,0.00809017,0.00906346,1.09411442,-0.00591420,-0.03251869,0.08928053
19,4.71071529,4.70723200,3.46423030,0.00901255,0.01007944,1.09958673,-0.00702646,-0.03405146,0.09418371
20,4.65316153,4.64895201,4.18849182,0.00998440,0.01116381,1.10508466,-0.00795470,-0.03585049,0.09907205
21,4.59575415,4.59073067,5.00027323,0.01100568,0.01231103,1.11060834,-0.00857523,-0.03784294,0.10394908
22,4.53839493,4.53277874,5.59087276,0.01207629,0.01351002,1.11615765,-0.00885063,-0.03987415,0.10881975
23,4.48113585,4.47529364,5.81404305,0.01319618,0.01474849,1.12173283,-0.00882807,-0.04178073,0.11368784
24,4.42412710,4.41837072,5.72601271,0.01436524,0.01601898,1.12733352,-0.00861569,-0.04347129,0.11855376
25,4.36753225,4.36194849,5.55077744,0.01558338,0.01732322,1.13295972,-0.00835189,-0.04497143,0.12341410
26,4.31138897,4.30585241,5.50136662,0.01685048,0.01867103,1.13861132,-0.00817336,-0.04639876,0.12826294
27,4.25556278,4.24989414,5.63054943,0.01816644,0.02007464,1.14428842,-0.00818461,-0.04789092,0.13309436
