iter,total,corr,reproj,scale_reg,t_reg,scale,tx,ty,tz
0,0.95997024,0.95997024,0.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000
1,0.92861074,0.92326182,5.34885454,0.00002500,0.00007500,1.00501263,0.00500000,0.00500000,0.00500000
2,0.88844299,0.88780349,0.63927799,0.00009997,0.00010404,1.01004839,0.00139662,0.00145678,0.00999845
3,0.85477322,0.85299206,1.78068697,0.00022479,0.00023211,1.01510572,-0.00199890,-0.00189325,0.01498444
4,0.82250357,0.81864274,3.86001277,0.00039930,0.00041766,1.02018356,-0.00320427,-0.00306005,0.01995070
5,0.78847486,0.78478014,3.69345999,0.00062330,0.00063171,1.02528036,-0.00253327,-0.00236648,0.02489368
6,0.75459123,0.75151843,3.07102919,0.00089650,0.00089009,1.03039443,-0.00090653,-0.00073255,0.02981166
7,0.72252375,0.71894193,3.57946587,0.00121853,0.00120676,1.03552389,0.00101978,0.00118107,0.03470334
8,0.69240218,0.68710887,5.29006624,0.00158898,0.00158045,1.04066718,0.00266699,0.00278847,0.03956719
9,0.66316974,0.65605509,7.11062002,0.00200735,0.00199761,1.04582226,0.00358836,0.00364961,0.04440065
10,0.63403541,0.62578940,8.24111366,0.00247310,0.00244753,1.05098760,0.00366892,0.00367046,0.04919956
11,0.60519421,0.59631413,8.87417603,0.00298561,0.00293012,1.05616105,0.00307508,0.00303346,0.05395801
12,0.57727641,0.56762940,9.64003658,0.00354415,0.00345049,1.06134057,0.00208476,0.00202567,0.05866890
13,0.55068660,0.53973383,10.94460583,0.00414794,0.00401195,1.06652379,0.00100682,0.00096221,0.06332467
14,0.52532923,0.51262110,12.69877815,0.00479613,0.00461288,1.07170844,0.00013878,0.00014090,0.06791793
15,0.50079685,0.48628440,14.50172615,0.00548779,0.00524799,1.07689250,-0.00030153,-0.00023141,0.07244203
16,0.47680345,0.46072769,16.06363678,0.00622192,0.00591235,1.08207357,-0.00023703,-0.00009618,0.07689139
17,0.45339826,0.43596360,17.42104340,0.00699745,0.00660372,1.08724916,0.00027296,0.00047024,0.08126146
18,0.43083310,0.41200933,18.80864525,0.00781320,0.00732144,1.09241664,0.00108040,0.00130784,0.08554858
19,0.40931070,0.38888165,20.41228867,0.00866793,0.00806389,1.09757328,0.00199351,0.00221782,0.08974961
20,0.38882962,0.36659062,22.22060585,0.00956032,0.00882692,1.10271668,0.00281439,0.00300168,0.09386154
21,0.36922109,0.34514186,24.05915070,0.01048899,0.00960441,1.10784400,0.00338079,0.00350545,0.09788100
22,0.35031232,0.32453451,25.75596046,0.01145250,0.01039041,1.11295247,0.00360486,0.00365700,0.10180395
23,0.33206317,0.30476385,27.27569008,0.01244931,0.01118099,1.11803925,0.00348797,0.00347527,0.10562550
24,0.31456125,0.28582191,28.71388626,0.01347783,0.01197420,1.12310147,0.00310726,0.00305197,0.10933998
25,0.29791537,0.26769885,30.18922234,0.01453640,0.01276879,1.12813628,0.00258835,0.00252199,0.11294126
26,0.28215459,0.25038245,31.74296379,0.01562329,0.01356279,1.13314068,0.00207493,0.00203159,0.11642316
27,0.26720801,0.23385878,33.31812286,0.01673674,0.01435301,1.13811171,0.00169733,0.00170565,0.11977989
28,0.25296757,0.21811374,34.82080841,0.01787491,0.01513557,1.14304650,0.00154348,0.00161948,0.12300635
29,0.23936950,0.20313497,36.19959259,0.01903593,0.01590667,1.14794207,0.00164147,0.00178492,0.12609833
30,0.22642297,0.18891196,37.47412109,0.02021787,0.01666304,1.15279520,0.00195932,0.00215461,0.12905256
31,0.21417212,0.17543359,38.69971848,0.02141876,0.01740160,1.15760303,0.00241886,0.00263916,0.13186653
32,0.20263888,0.16268717,39.91095734,0.02263659,0.01811886,1.16236258,0.00291702,0.00313043,0.13453829
33,0.19179270,0.15065841,41.09160614,0.02386934,0.01881080,1.16707075,0.00334992,0.00352683,0.13706617
34,0.18156610,0.13932897,42.19254684,0.02511495,0.01947321,1.17172492,0.00363612,0.00375623,0.13944848
35,0.17189966,0.12867925,43.17393875,0.02637135,0.02010247,1.17632198,0.00373385,0.00379093,0.14168331
36,0.16276924,0.11868776,44.03314209,0.02763648,0.02069601,1.18085909,0.00364735,0.00365008,0.14376850
37,0.15417998,0.10933127,44.79854965,0.02890824,0.02125219,1.18533361,0.00342151,0.00339084,0.14570169
38,0.14613788,0.10058592,45.50000381,0.03018458,0.02176986,1.18974268,0.00312802,0.00309191,0.14748055
39,0.13862425,0.09242664,46.14390182,0.03146343,0.02224785,1.19408393,0.00284717,0.00283390,0.14910302
40,0.13159612,0.08482849,46.71220779,0.03274274,0.02268481,1.19835472,0.00264905,0.00268051,0.15056761
41,0.12500571,0.07776664,47.18196487,0.03402052,0.02307932,1.20255268,0.00257815,0.00266476,0.15187354
42,0.11882085,0.07121727,47.54484558,0.03529479,0.02343014,1.20667541,0.00264502,0.00278368,0.15302089
43,0.11302810,0.06515619,47.81161499,0.03656362,0.02373624,1.21072114,0.00282675,0.00300218,0.15401050
44,0.10762194,0.05956091,47.99920273,0.03782512,0.02399675,1.21468747,0.00307516,0.00326398,0.15484391
