iter,total,corr,reproj,scale_reg,t_reg,scale,tx,ty,tz
0,10.18731022,10.18731022,0.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000
1,10.11222458,10.10010624,12.11848450,0.00002500,0.00007500,1.00501263,-0.00500000,-0.00500000,0.00500000
2,10.02583599,10.01858711,7.24901485,0.00010001,0.00016256,1.01005065,-0.00142523,-0.00777190,0.01000642
3,9.94720554,9.94160557,5.60012245,0.00022503,0.00029789,1.01511395,0.00193183,-0.00827845,0.01502089
4,9.87088490,9.86501980,5.86428595,0.00040007,0.00048271,1.02020311,0.00308952,-0.00848303,0.02002999
5,9.79097080,9.78655243,4.41686249,0.00062514,0.00072388,1.02531791,0.00239020,-0.00959840,0.02502071
6,9.70933533,9.70633316,3.00039220,0.00090025,0.00103553,1.03045893,0.00074945,-0.01163662,0.02999266
7,9.62922668,9.62524414,3.98073554,0.00122542,0.00142440,1.03562593,-0.00118183,-0.01418411,0.03495448
8,9.55147076,9.54417896,7.28758717,0.00160067,0.00188339,1.04081953,-0.00283247,-0.01679386,0.03991656
9,9.47426224,9.46399975,10.25786209,0.00202603,0.00239104,1.04603994,-0.00376641,-0.01902823,0.04488626
10,9.39590168,9.38511848,10.77732086,0.00250155,0.00292866,1.05128741,-0.00387257,-0.02066713,0.04986513
11,9.31674576,9.30728531,9.45361137,0.00302724,0.00349626,1.05656207,-0.00331358,-0.02183818,0.05484868
12,9.23805714,9.22987080,8.17859650,0.00360314,0.00410815,1.06186438,-0.00236151,-0.02287116,0.05982877
13,9.16041183,9.15225792,8.14540577,0.00422926,0.00478103,1.06719398,-0.00131795,-0.02409604,0.06479720
14,9.08343697,9.07410622,9.31992054,0.00490563,0.00552508,1.07255125,-0.00047207,-0.02568935,0.06974894
15,9.00648975,8.99541950,11.05817890,0.00563229,0.00634156,1.07793641,-0.00003666,-0.02763936,0.07468351
16,8.92928410,8.91643810,12.83172512,0.00640928,0.00722533,1.08334982,-0.00009158,-0.02980745,0.07960425
17,8.85196495,8.83751965,14.42868805,0.00723665,0.00816695,1.08879161,-0.00058654,-0.03199387,0.08451627
18,8.77481842,8.75902176,15.77892590,0.00811444,0.00915480,1.09426200,-0.00138529,-0.03400270,0.08942423
19,8.69805050,8.68116283,16.86890793,0.00904269,0.01017956,1.09976113,-0.00230860,-0.03572115,0.09433044
20,8.62173080,8.60393143,17.77760506,0.01002144,0.01123893,1.10528922,-0.00316932,-0.03716810,0.09923414
21,8.54576302,8.52712154,18.61716080,0.01105072,0.01233811,1.11084652,-0.00380935,-0.03847221,0.10413209
22,8.46993923,8.45045853,19.45503998,0.01213056,0.01348673,1.11643302,-0.00413476,-0.03980291,0.10901999
23,8.39409542,8.37371731,20.35054588,0.01326101,0.01469430,1.12204897,-0.00413213,-0.04129560,0.11389425
24,8.31826115,8.29680920,21.42153549,0.01444209,0.01596650,1.12769449,-0.00386002,-0.04300346,0.11875311
25,8.24262428,8.21978951,22.80217552,0.01567382,0.01730325,1.13336957,-0.00342594,-0.04489212,0.12359698
26,8.16734886,8.14280891,24.50407600,0.01695626,0.01869879,1.13907456,-0.00295959,-0.04686489,0.12842786
27,8.09242725,8.06605244,26.33625412,0.01828942,0.02014339,1.14480972,-0.00258552,-0.04880160,0.13324830
28,8.01772594,7.98968124,28.00315857,0.01967334,0.02162704,1.15057492,-0.00239745,-0.05060299,0.13806023
29,7.94311285,7.91375256,29.31606674,0.02110806,0.02314388,1.15637040,-0.00244048,-0.05222801,0.14286414
30,7.86858892,7.83822107,30.32052040,0.02259358,0.02469485,1.16219628,-0.00270653,-0.05370621,0.14765894
31,7.79424477,7.76295996,31.23447800,0.02412993,0.02628671,1.16805279,-0.00314257,-0.05511917,0.15244249
32,7.72016287,7.68782520,32.28366852,0.02571711,0.02792854,1.17393994,-0.00366646,-0.05656294,0.15721238
33,7.64635611,7.61271811,33.58130646,0.02735512,0.02962753,1.17985761,-0.00418599,-0.05810956,0.16196693
34,7.57278156,7.53760958,35.11141586,0.02904398,0.03138616,1.18580627,-0.00461803,-0.05978332,0.16670570
