iter,total,corr,reproj,scale_reg,tz_reg,scale,tz
0,0.49867618,0.49867618,0.00000000,0.00000000,0.00000000,1.00000000,0.00000000
1,0.48284245,0.48284239,0.02016493,0.00002500,0.00002500,1.00501263,0.00500000
2,0.46722785,0.46722767,0.07920352,0.00009997,0.00009995,1.01004863,0.00999773
3,0.45183757,0.45183709,0.17497632,0.00022483,0.00022475,1.01510727,0.01499161
4,0.43667716,0.43667638,0.30539736,0.00039946,0.00039920,1.02018750,0.01998003
5,0.42175239,0.42175114,0.46843880,0.00062368,0.00062307,1.02528811,0.02496135
6,0.40706828,0.40706649,0.66213405,0.00089729,0.00089604,1.03040791,0.02993389
7,0.39263025,0.39262781,0.88455421,0.00122001,0.00121773,1.03554571,0.03489594
8,0.37844291,0.37843975,1.13384569,0.00159151,0.00158768,1.04070020,0.03984576
9,0.36451137,0.36450738,1.40819716,0.00201144,0.00200539,1.04586995,0.04478159
10,0.35084006,0.35083511,1.70585287,0.00247935,0.00247025,1.05105364,0.04970165
11,0.33743355,0.33742759,2.02510047,0.00299477,0.00298161,1.05624962,0.05460413
12,0.32429603,0.32428893,2.36428952,0.00355716,0.00353873,1.06145644,0.05948722
13,0.31143141,0.31142309,2.72182941,0.00416591,0.00414081,1.06667233,0.06434909
14,0.29884303,0.29883340,3.09617090,0.00482036,0.00478697,1.07189584,0.06918791
15,0.28653467,0.28652367,3.48581648,0.00551981,0.00547627,1.07712495,0.07400183
16,0.27450892,0.27449647,3.88932729,0.00626348,0.00620771,1.08235824,0.07878902
17,0.26276919,0.26275516,4.30530453,0.00705052,0.00698020,1.08759344,0.08354761
18,0.25131750,0.25130185,4.73241806,0.00788004,0.00779261,1.09282887,0.08827578
19,0.24015628,0.24013889,5.16936398,0.00875109,0.00864374,1.09806252,0.09297170
20,0.22928725,0.22926806,5.61490440,0.00966265,0.00953231,1.10329235,0.09763353
21,0.21871187,0.21869080,6.06785488,0.01061364,0.01045700,1.10851634,0.10225945
22,0.20843127,0.20840825,6.52706814,0.01160293,0.01141642,1.11373234,0.10684767
23,0.19844617,0.19842112,6.99145889,0.01262933,0.01240916,1.11893833,0.11139642
24,0.18875732,0.18873018,7.45997667,0.01369158,0.01343372,1.12413180,0.11590392
25,0.17936459,0.17933533,7.93161392,0.01478838,0.01448856,1.12931073,0.12036844
26,0.17026785,0.17023636,8.40542507,0.01591837,0.01557211,1.13447273,0.12478825
27,0.16146624,0.16143247,8.88050270,0.01708014,0.01668274,1.13961565,0.12916169
28,0.15295899,0.15292290,9.35599613,0.01827221,0.01781880,1.14473689,0.13348706
29,0.14474483,0.14470635,9.83106899,0.01949308,0.01897858,1.14983404,0.13776277
30,0.13682179,0.13678089,10.30495834,0.02074117,0.02016037,1.15490484,0.14198720
31,0.12918791,0.12914453,10.77693272,0.02201488,0.02136239,1.15994680,0.14615880
32,0.12184080,0.12179490,11.24630642,0.02331256,0.02258289,1.16495740,0.15027605
33,0.11477780,0.11472935,11.71241856,0.02463250,0.02382005,1.16993403,0.15433747
34,0.10799547,0.10794443,12.17467213,0.02597298,0.02507207,1.17487454,0.15834162
35,0.10149072,0.10143705,12.63247871,0.02733224,0.02633710,1.17977607,0.16228710
36,0.09525959,0.09520327,13.08531952,0.02870847,0.02761333,1.18463624,0.16617258
37,0.08929808,0.08923908,13.53267956,0.03009985,0.02889889,1.18945253,0.16999674
38,0.08360185,0.08354016,13.97412968,0.03150452,0.03019196,1.19422221,0.17375834
39,0.07816614,0.07810172,14.40920162,0.03292062,0.03149070,1.19894302,0.17745620
40,0.07298589,0.07291875,14.83752537,0.03434625,0.03279328,1.20361245,0.18108916
41,0.06805610,0.06798622,15.25873470,0.03577949,0.03409789,1.20822775,0.18465614
42,0.06337103,0.06329840,15.67249203,0.03721847,0.03540273,1.21278679,0.18815613
43,0.05892508,0.05884972,16.07850838,0.03866123,0.03670601,1.21728694,0.19158813
44,0.05471233,0.05463422,16.47651482,0.04010588,0.03800600,1.22172582,0.19495128
45,0.05072654,0.05064568,16.86624527,0.04155049,0.03930097,1.22610116,0.19824472
46,0.04696131,0.04687772,17.24750328,0.04299317,0.04058922,1.23041070,0.20146768
47,0.04341025,0.04332395,17.62009811,0.04443203,0.04186912,1.23465192,0.20461945
48,0.04006656,0.03997755,17.98386765,0.04586519,0.04313905,1.23882294,0.20769942
49,0.03692364,0.03683195,18.33867455,0.04729081,0.04439744,1.24292123,0.21070699
50,0.03397426,0.03387991,18.68438721,0.04870707,0.04564278,1.24694526,0.21364170
51,0.03121161,0.03111462,19.02092171,0.05011218,0.04687360,1.25089276,0.21650313
52,0.02862852,0.02852893,19.34820938,0.05150442,0.04808852,1.25476193,0.21929094
53,0.02621794,0.02611577,19.66618919,0.05288206,0.04928616,1.25855088,0.22200486
54,0.02397265,0.02386794,19.97480774,0.05424348,0.05046524,1.26225805,0.22464471
55,0.02188535,0.02177813,20.27411079,0.05558706,0.05162456,1.26588202,0.22721037
56,0.01994911,0.01983944,20.56404305,0.05691127,0.05276293,1.26942086,0.22970182
