iter,total,corr,reproj,scale_reg,tz_reg,scale,tz
0,5.35925627,5.35925627,0.00000000,0.00000000,0.00000000,1.00000000,0.00000000
1,5.29910517,5.29910517,1.04463267,0.00002500,0.00002500,1.00501263,0.00500000
2,5.23911333,5.23911333,4.11040258,0.00010000,0.00009998,1.01005018,0.00999921
3,5.17928505,5.17928505,9.09795666,0.00022499,0.00022491,1.01511276,0.01499709
4,5.11962700,5.11962605,15.91084862,0.00039997,0.00039972,1.02020049,0.01999310
5,5.06014109,5.06014013,24.45663834,0.00062492,0.00062434,1.02531350,0.02498670
6,5.00083494,5.00083303,34.64511490,0.00089984,0.00089864,1.03045177,0.02997735
7,4.94171286,4.94171000,46.38999939,0.00122470,0.00122252,1.03561521,0.03496449
8,4.88277817,4.88277531,59.60784149,0.00159948,0.00159581,1.04080403,0.03994758
9,4.82403946,4.82403564,74.21706390,0.00202416,0.00201835,1.04601812,0.04492607
10,4.76550102,4.76549625,90.14058685,0.00249870,0.00248995,1.05125737,0.04989942
11,4.70716763,4.70716190,107.30213165,0.00302307,0.00301040,1.05652201,0.05486709
12,4.64904404,4.64903641,125.63006592,0.00359722,0.00357945,1.06181192,0.05982852
13,4.59113550,4.59112692,145.05372620,0.00422111,0.00419686,1.06712711,0.06478320
14,4.53344631,4.53343678,165.50561523,0.00489469,0.00486236,1.07246757,0.06973059
15,4.47598553,4.47597408,186.92031860,0.00561789,0.00557563,1.07783306,0.07467017
16,4.41875410,4.41874170,209.23515320,0.00639065,0.00633639,1.08322370,0.07960142
17,4.36175966,4.36174536,232.38966370,0.00721290,0.00714428,1.08863950,0.08452383
18,4.30500507,4.30498886,256.32571411,0.00808455,0.00799896,1.09408033,0.08943690
19,4.24849749,4.24847937,280.98672485,0.00900553,0.00890006,1.09954607,0.09434014
20,4.19224024,4.19222021,306.31924438,0.00997572,0.00984720,1.10503674,0.09923305
21,4.13623953,4.13621759,332.27081299,0.01099505,0.01083997,1.11055207,0.10411517
22,4.08050013,4.08047628,358.79208374,0.01206338,0.01187795,1.11609209,0.10898603
23,4.02502680,4.02500057,385.83398438,0.01318061,0.01296072,1.12165678,0.11384516
24,3.96982288,3.96979451,413.35202026,0.01434662,0.01408782,1.12724590,0.11869212
25,3.91489625,3.91486549,441.30001831,0.01556126,0.01525879,1.13285923,0.12352648
26,3.86024952,3.86021614,469.63659668,0.01682439,0.01647315,1.13849688,0.12834778
27,3.80588770,3.80585194,498.32095337,0.01813587,0.01773042,1.14415860,0.13315563
28,3.75181627,3.75177765,527.31408691,0.01949554,0.01903009,1.14984417,0.13794960
29,3.69803905,3.69799781,556.57830811,0.02090321,0.02037165,1.15555346,0.14272930
30,3.64456105,3.64451694,586.07781982,0.02235872,0.02175458,1.16128635,0.14749433
31,3.59138656,3.59133959,615.77838135,0.02386189,0.02317833,1.16704261,0.15224431
32,3.53851962,3.53846955,645.64703369,0.02541250,0.02464237,1.17282224,0.15697888
33,3.48596621,3.48591304,675.65270996,0.02701037,0.02614613,1.17862475,0.16169764
34,3.43372893,3.43367267,705.76495361,0.02865527,0.02768905,1.18445015,0.16640025
35,3.38181305,3.38175344,735.95562744,0.03034697,0.02927055,1.19029820,0.17108637
36,3.33022380,3.33016062,766.19732666,0.03208525,0.03089004,1.19616854,0.17575563
37,3.27896380,3.27889729,796.46319580,0.03386986,0.03254695,1.20206106,0.18040773
38,3.22803807,3.22796798,826.72998047,0.03570054,0.03424066,1.20797551,0.18504232
39,3.17744970,3.17737603,856.97235107,0.03757704,0.03597057,1.21391177,0.18965909
40,3.12720466,3.12712741,887.16900635,0.03949906,0.03773606,1.21986926,0.19425771
41,3.07730532,3.07722425,917.29821777,0.04146634,0.03953650,1.22584808,0.19883788
42,3.02775669,3.02767181,947.33953857,0.04347857,0.04137127,1.23184764,0.20339930
43,2.97856283,2.97847414,977.27374268,0.04553545,0.04323974,1.23786783,0.20794168
44,2.92972827,2.92963552,1007.08233643,0.04763666,0.04514126,1.24390817,0.21246472
45,2.88125539,2.88115859,1036.74731445,0.04978188,0.04707518,1.24996865,0.21696815
46,2.83314824,2.83304715,1066.25415039,0.05197076,0.04904084,1.25604880,0.22145167
47,2.78541088,2.78530574,1095.58483887,0.05420296,0.05103759,1.26214826,0.22591501
48,2.73804712,2.73793745,1124.72656250,0.05647811,0.05306476,1.26826680,0.23035790
49,2.69106126,2.69094729,1153.66418457,0.05879584,0.05512168,1.27440393,0.23478007
50,2.64445662,2.64433813,1182.38500977,0.06115577,0.05720767,1.28055930,0.23918125
51,2.59823632,2.59811330,1210.87731934,0.06355751,0.05932205,1.28673267,0.24356118
52,2.55240417,2.55227661,1239.12731934,0.06600066,0.06146413,1.29292357,0.24791960
53,2.50696421,2.50683212,1267.12670898,0.06848478,0.06363323,1.29913151,0.25225627
54,2.46191931,2.46178246,1294.86376953,0.07100946,0.06582864,1.30535626,0.25657094
55,2.41727304,2.41713142,1322.32910156,0.07357425,0.06804968,1.31159735,0.26086333
56,2.37302899,2.37288237,1349.51354980,0.07617871,0.07029563,1.31785429,0.26513323
57,2.32918906,2.32903767,1376.40917969,0.07882237,0.07256578,1.32412684,0.26938036
58,2.28575826,2.28560185,1403.00805664,0.08150475,0.07485943,1.33041430,0.27360451
59,2.24273992,2.24257851,1429.30212402,0.08422536,0.07717585,1.33671618,0.27780542
60,2.20013475,2.19996810,1455.28649902,0.08698371,0.07951432,1.34303236,0.28198284
61,2.15794754,2.15777588,1480.95239258,0.08977927,0.08187413,1.34936213,0.28613657
62,2.11618257,2.11600590,1506.29479980,0.09261154,0.08425456,1.35570467,0.29026636
63,2.07484007,2.07465816,1531.31030273,0.09547996,0.08665485,1.36206007,0.29437196
64,2.03392458,2.03373694,1555.99145508,0.09838399,0.08907428,1.36842752,0.29845315
65,1.99343860,1.99324572,1580.33728027,0.10132308,0.09151214,1.37480628,0.30250973
66,1.95338404,1.95318580,1604.33972168,0.10429663,0.09396764,1.38119614,0.30654141
67,1.91376436,1.91356063,1627.99780273,0.10730407,0.09644006,1.38759637,0.31054801
68,1.87458313,1.87437379,1651.30725098,0.11034481,0.09892868,1.39400625,0.31452930
69,1.83583951,1.83562469,1674.26525879,0.11341823,0.10143273,1.40042567,0.31848505
70,1.79753888,1.79731846,1696.87133789,0.11652370,0.10395145,1.40685356,0.32241502
71,1.75968301,1.75945687,1719.11938477,0.11966058,0.10648412,1.41328943,0.32631904
72,1.72227323,1.72204137,1741.01196289,0.12282825,0.10902995,1.41973269,0.33019683
73,1.68531215,1.68507457,1762.54528809,0.12602600,0.11158821,1.42618275,0.33404821
74,1.64880264,1.64855921,1783.71801758,0.12925321,0.11415813,1.43263876,0.33787295
75,1.61274552,1.61249626,1804.52844238,0.13250914,0.11673896,1.43910027,0.34167084
76,1.57714307,1.57688797,1824.97863770,0.13579312,0.11932993,1.44556642,0.34544164
77,1.54199696,1.54173589,1845.06799316,0.13910446,0.12193028,1.45203650,0.34918517
78,1.50730824,1.50704122,1864.79309082,0.14244241,0.12453927,1.45851016,0.35290122
79,1.47308004,1.47280705,1884.15673828,0.14580622,0.12715611,1.46498621,0.35658956
80,1.43931234,1.43903327,1903.15905762,0.14919515,0.12978005,1.47146416,0.36025000
81,1.40600705,1.40572202,1921.79992676,0.15260847,0.13241033,1.47794318,0.36388230
82,1.37316561,1.37287450,1940.08032227,0.15604539,0.13504618,1.48442245,0.36748630
83,1.34078801,1.34049082,1958.00231934,0.15950511,0.13768683,1.49090147,0.37106177
84,1.30887640,1.30857313,1975.56506348,0.16298687,0.14033154,1.49737918,0.37460852
85,1.27743161,1.27712214,1992.77221680,0.16648984,0.14297953,1.50385475,0.37812635
86,1.24645329,1.24613762,2009.62414551,0.17001320,0.14563006,1.51032770,0.38161507
87,1.21594405,1.21562219,2026.12072754,0.17355612,0.14828235,1.51679671,0.38507447
88,1.18590212,1.18557405,2042.26831055,0.17711776,0.15093566,1.52326131,0.38850439
89,1.15632951,1.15599525,2058.06567383,0.18069729,0.15358920,1.52972043,0.39190459
90,1.12722492,1.12688434,2073.51489258,0.18429384,0.15624228,1.53617358,0.39527494
91,1.09859014,1.09824336,2088.62011719,0.18790653,0.15889409,1.54261935,0.39861521
92,1.07042348,1.07007039,2103.38452148,0.19153449,0.16154392,1.54905725,0.40192527
93,1.04272521,1.04236591,2117.80688477,0.19517684,0.16419101,1.55548644,0.40520489
94,1.01549673,1.01513100,2131.89355469,0.19883265,0.16683462,1.56190538,0.40845394
95,0.98873508,0.98836315,2145.64453125,0.20250103,0.16947401,1.56831396,0.41167220
96,0.96244061,0.96206230,2159.06616211,0.20618105,0.17210846,1.57471085,0.41485956
97,0.93661308,0.93622845,2172.15820312,0.20987180,0.17473722,1.58109510,0.41801581
98,0.91125083,0.91085988,2184.92724609,0.21357232,0.17735957,1.58746576,0.42114079
99,0.88635337,0.88595617,2197.37402344,0.21728170,0.17997479,1.59382188,0.42423436
100,0.86191905,0.86151546,2209.50219727,0.22099899,0.18258218,1.60016263,0.42729637
101,0.83794659,0.83753669,2221.31567383,0.22472319,0.18518104,1.60648692,0.43032667
102,0.81443471,0.81401849,2232.81713867,0.22845338,0.18777065,1.61279380,0.43332511
103,0.79138100,0.79095846,2244.01123047,0.23218861,0.19035031,1.61908245,0.43629155
104,0.76878458,0.76835573,2254.90332031,0.23592786,0.19291934,1.62535143,0.43922585
105,0.74664295,0.74620777,2265.49340820,0.23967020,0.19547707,1.63160014,0.44212788
106,0.72495389,0.72451246,2275.78710938,0.24341460,0.19802280,1.63782752,0.44499752
107,0.70371550,0.70326775,2285.78930664,0.24716011,0.20055586,1.64403236,0.44783464
108,0.68292481,0.68247086,2295.50097656,0.25090572,0.20307562,1.65021396,0.45063913
109,0.66257983,0.66211963,2304.92871094,0.25465044,0.20558141,1.65637100,0.45341086
110,0.64267743,0.64221096,2314.07666016,0.25839332,0.20807260,1.66250253,0.45614976
111,0.62321490,0.62274224,2322.94653320,0.26213327,0.21054855,1.66860759,0.45885569
112,0.60418868,0.60370976,2331.54467773,0.26586938,0.21300863,1.67468524,0.46152857
113,0.58559585,0.58511078,2339.87426758,0.26960066,0.21545222,1.68073440,0.46416831
114,0.56743312,0.56694192,2347.93920898,0.27332610,0.21787873,1.68675399,0.46677482
115,0.54969686,0.54919952,2355.74340820,0.27704465,0.22028759,1.69274306,0.46934804
116,0.53238344,0.53188002,2363.29248047,0.28075537,0.22267818,1.69870055,0.47188789
117,0.51548946,0.51497996,2370.59082031,0.28445727,0.22504994,1.70462525,0.47439429
118,0.49901015,0.49849460,2377.63989258,0.28814933,0.22740233,1.71051657,0.47686720
119,0.48294201,0.48242044,2384.44604492,0.29183060,0.22973479,1.71637321,0.47930658
120,0.46728078,0.46675324,2391.01318359,0.29550007,0.23204678,1.72219419,0.48171234
121,0.45202160,0.45148811,2397.34545898,0.29915681,0.23433779,1.72797871,0.48408449
122,0.43716049,0.43662110,2403.44726562,0.30279985,0.23660733,1.73372555,0.48642299
123,0.42269310,0.42214781,2409.32299805,0.30642822,0.23885484,1.73943365,0.48872778
124,0.40861359,0.40806249,2414.97583008,0.31004098,0.24107988,1.74510252,0.49099886
