iter,total,corr,reproj,scale_reg,tz_reg,scale,tz
0,5.85077715,5.85077715,0.00000000,0.00000000,0.00000000,1.00000000,0.00000000
1,5.79187202,5.79187202,1.27059221,0.00002500,0.00002500,1.00501263,0.00500000
2,5.73309565,5.73309565,4.99614763,0.00010000,0.00009999,1.01005018,0.00999929
3,5.67445087,5.67445087,11.05098343,0.00022500,0.00022492,1.01511300,0.01499739
4,5.61594248,5.61594152,19.31412697,0.00040000,0.00039975,1.02020121,0.01999382
5,5.55757046,5.55756950,29.66913223,0.00062499,0.00062440,1.02531493,0.02498809
6,5.49934483,5.49934292,42.00391006,0.00089997,0.00089878,1.03045404,0.02997972
7,5.44126606,5.44126320,56.21060562,0.00122494,0.00122278,1.03561890,0.03496822
8,5.38333893,5.38333607,72.18495178,0.00159989,0.00159625,1.04080939,0.03995309
9,5.32556868,5.32556486,89.82736969,0.00202481,0.00201905,1.04602563,0.04493387
10,5.26795959,5.26795483,109.04113770,0.00249969,0.00249101,1.05126786,0.04991005
11,5.21051455,5.21050882,129.73422241,0.00302450,0.00301194,1.05653584,0.05488116
12,5.15323925,5.15323162,151.81690979,0.00359925,0.00358163,1.06182992,0.05984673
13,5.09613562,5.09612703,175.20343018,0.00422390,0.00419985,1.06715000,0.06480628
14,5.03920889,5.03919935,199.81256104,0.00489843,0.00486636,1.07249618,0.06975933
15,4.98246479,4.98245335,225.56364441,0.00562281,0.00558090,1.07786846,0.07470544
16,4.92590475,4.92589235,252.38107300,0.00639701,0.00634319,1.08326685,0.07964415
17,4.86953640,4.86952209,280.19146729,0.00722099,0.00715293,1.08869135,0.08457500
18,4.81336069,4.81334448,308.92416382,0.00809471,0.00800981,1.09414208,0.08949756
19,4.75738287,4.75736475,338.51214600,0.00901813,0.00891351,1.09961903,0.09441139
20,4.70160675,4.70158672,368.89053345,0.00999118,0.00986368,1.10512221,0.09931606
21,4.64603662,4.64601469,399.99719238,0.01101383,0.01085997,1.11065149,0.10421116
22,4.59067726,4.59065342,431.77151489,0.01208600,0.01190200,1.11620688,0.10909628
23,4.53553104,4.53550482,464.15682983,0.01320762,0.01298939,1.12178862,0.11397102
24,4.48060274,4.48057413,497.09854126,0.01437863,0.01412176,1.12739646,0.11883499
25,4.42589617,4.42586517,530.54449463,0.01559893,0.01529867,1.13303030,0.12368781
26,4.37141705,4.37138367,564.44232178,0.01686846,0.01651973,1.13869011,0.12852910
27,4.31716633,4.31713057,598.74584961,0.01818710,0.01778449,1.14437604,0.13335849
28,4.26314878,4.26311016,633.40783691,0.01955477,0.01909251,1.15008795,0.13817564
29,4.20936966,4.20932817,668.38525391,0.02097135,0.02044333,1.15582561,0.14298017
30,4.15583229,4.15578794,703.63439941,0.02243674,0.02183650,1.16158903,0.14777178
31,4.10253906,4.10249186,739.11566162,0.02395082,0.02327154,1.16737831,0.15255012
32,4.04949427,4.04944372,774.79138184,0.02551345,0.02474797,1.17319322,0.15731487
33,3.99670196,3.99664855,810.62353516,0.02712450,0.02626530,1.17903364,0.16206571
34,3.94416595,3.94410920,846.57720947,0.02878382,0.02782302,1.18489957,0.16680235
35,3.89189029,3.89183044,882.61926270,0.03049128,0.02942064,1.19079065,0.17152445
36,3.83987689,3.83981371,918.71844482,0.03224671,0.03105763,1.19670713,0.17623176
37,3.78813100,3.78806424,954.84344482,0.03404994,0.03273348,1.20264864,0.18092397
38,3.73665667,3.73658633,990.96582031,0.03590081,0.03444766,1.20861506,0.18560080
39,3.68545628,3.68538213,1027.05834961,0.03779912,0.03619963,1.21460629,0.19026199
40,3.63453221,3.63445449,1063.09484863,0.03974470,0.03798884,1.22062230,0.19490726
41,3.58389115,3.58380961,1099.04931641,0.04173733,0.03981476,1.22666264,0.19953635
42,3.53353429,3.53344870,1134.89953613,0.04377682,0.04167682,1.23272741,0.20414901
43,3.48346543,3.48337603,1170.62268066,0.04586295,0.04357446,1.23881638,0.20874497
44,3.43368864,3.43359518,1206.19726562,0.04799549,0.04550713,1.24492931,0.21332401
45,3.38420701,3.38410950,1241.60375977,0.05017420,0.04747425,1.25106597,0.21788587
46,3.33502412,3.33492208,1276.82263184,0.05239885,0.04947524,1.25722635,0.22243030
47,3.28614211,3.28603601,1311.83593750,0.05466920,0.05150953,1.26341009,0.22695710
48,3.23756647,3.23745584,1346.62695312,0.05698496,0.05357651,1.26961696,0.23146601
49,3.18929958,3.18918443,1381.17968750,0.05934588,0.05567561,1.27584672,0.23595680
50,3.14134359,3.14122415,1415.47778320,0.06175167,0.05780623,1.28209937,0.24042927
51,3.09370351,3.09357929,1449.50878906,0.06420206,0.05996777,1.28837442,0.24488318
52,3.04638219,3.04625320,1483.25817871,0.06669673,0.06215962,1.29467165,0.24931832
53,2.99938250,2.99924898,1516.71435547,0.06923538,0.06438118,1.30099082,0.25373447
54,2.95270705,2.95256877,1549.86425781,0.07181770,0.06663182,1.30733180,0.25813141
55,2.90636063,2.90621734,1582.69665527,0.07444334,0.06891093,1.31369412,0.26250893
56,2.86034584,2.86019754,1615.20251465,0.07711198,0.07121791,1.32007754,0.26686683
57,2.81466579,2.81451249,1647.37109375,0.07982326,0.07355211,1.32648170,0.27120492
58,2.76932311,2.76916480,1679.19409180,0.08257682,0.07591289,1.33290648,0.27552295
59,2.72432184,2.72415829,1710.66259766,0.08537231,0.07829965,1.33935130,0.27982074
60,2.67966390,2.67949486,1741.76867676,0.08820933,0.08071172,1.34581614,0.28409809
61,2.63535380,2.63517952,1772.50585938,0.09108749,0.08314848,1.35230029,0.28835478
62,2.59139323,2.59121370,1802.86694336,0.09400641,0.08560929,1.35880363,0.29259065
63,2.54778600,2.54760098,1832.84521484,0.09696567,0.08809347,1.36532581,0.29680544
64,2.50453472,2.50434422,1862.43591309,0.09996483,0.09060041,1.37186635,0.30099902
65,2.46164227,2.46144605,1891.63415527,0.10300347,0.09312942,1.37842500,0.30517113
66,2.41911173,2.41891003,1920.43457031,0.10608114,0.09567986,1.38500118,0.30932161
67,2.37694621,2.37673879,1948.83410645,0.10919740,0.09825107,1.39159453,0.31345028
68,2.33514786,2.33493471,1976.82690430,0.11235175,0.10084238,1.39820480,0.31755689
69,2.29372072,2.29350162,2004.41101074,0.11554375,0.10345312,1.40483129,0.32164130
70,2.25266576,2.25244093,2031.58508301,0.11877288,0.10608263,1.41147375,0.32570329
71,2.21198702,2.21175623,2058.34301758,0.12203866,0.10873023,1.41813171,0.32974267
72,2.17168689,2.17145014,2084.68530273,0.12534057,0.11139523,1.42480457,0.33375925
73,2.13176727,2.13152456,2110.60839844,0.12867807,0.11407699,1.43149209,0.33775285
74,2.09223223,2.09198332,2136.11181641,0.13205065,0.11677479,1.43819344,0.34172326
75,2.05308342,2.05282855,2161.19482422,0.13545774,0.11948796,1.44490826,0.34567031
76,2.01432276,2.01406145,2185.85693359,0.13889880,0.12221581,1.45163620,0.34959379
77,1.97595370,1.97568643,2210.09423828,0.14237325,0.12495767,1.45837641,0.35349351
78,1.93797779,1.93770421,2233.91015625,0.14588052,0.12771282,1.46512866,0.35736930
79,1.90039778,1.90011787,2257.30297852,0.14941999,0.13048057,1.47189224,0.36122096
80,1.86321568,1.86292946,2280.27416992,0.15299107,0.13326028,1.47866654,0.36504832
81,1.82643342,1.82614076,2302.82128906,0.15659314,0.13605118,1.48545122,0.36885116
82,1.79005420,1.78975511,2324.94921875,0.16022559,0.13885261,1.49224520,0.37262931
83,1.75407922,1.75377369,2346.65429688,0.16388772,0.14166388,1.49904835,0.37638262
84,1.71851003,1.71819794,2367.94165039,0.16757895,0.14448427,1.50585985,0.38011086
85,1.68334937,1.68303072,2388.81079102,0.17129856,0.14731307,1.51267910,0.38381386
86,1.64859879,1.64827359,2409.26416016,0.17504591,0.15014963,1.51950538,0.38749146
87,1.61425948,1.61392772,2429.30395508,0.17882028,0.15299322,1.52633810,0.39114347
88,1.58033442,1.57999599,2448.92895508,0.18262097,0.15584311,1.53317654,0.39476970
89,1.54682374,1.54647863,2468.14575195,0.18644731,0.15869863,1.54002011,0.39836997
90,1.51373005,1.51337826,2486.95361328,0.19029854,0.16155906,1.54686797,0.40194410
91,1.48105443,1.48069584,2505.35424805,0.19417393,0.16442369,1.55371952,0.40549192
92,1.44879806,1.44843268,2523.35498047,0.19807275,0.16729183,1.56057382,0.40901324
93,1.41696215,1.41659009,2540.95483398,0.20199420,0.17016278,1.56743038,0.41250792
94,1.38554800,1.38516891,2558.15600586,0.20593756,0.17303583,1.57428849,0.41597575
95,1.35455632,1.35417044,2574.96362305,0.20990205,0.17591026,1.58114719,0.41941658
96,1.32398820,1.32359552,2591.37841797,0.21388684,0.17878540,1.58800590,0.42283022
97,1.29384494,1.29344535,2607.40747070,0.21789117,0.18166055,1.59486353,0.42621654
98,1.26412690,1.26372039,2623.05200195,0.22191420,0.18453498,1.60171950,0.42957535
99,1.23483515,1.23442185,2638.31420898,0.22595513,0.18740804,1.60857284,0.43290651
100,1.20596933,1.20554912,2653.20092773,0.23001309,0.19027901,1.61542296,0.43620983
101,1.17753136,1.17710412,2667.71118164,0.23408726,0.19314721,1.62226880,0.43948516
102,1.14951968,1.14908552,2681.85449219,0.23817682,0.19601195,1.62910962,0.44273236
103,1.12193584,1.12149477,2695.63134766,0.24228087,0.19887252,1.63594449,0.44595125
104,1.09477890,1.09433079,2709.04589844,0.24639855,0.20172825,1.64277279,0.44914168
105,1.06805038,1.06759524,2722.10107422,0.25052896,0.20457846,1.64959323,0.45230350
106,1.04174888,1.04128683,2734.80444336,0.25467125,0.20742248,1.65640509,0.45543659
107,1.01587451,1.01540542,2747.15673828,0.25882453,0.21025963,1.66320753,0.45854077
108,0.99042666,0.98995060,2759.16552734,0.26298785,0.21308926,1.66999960,0.46161592
109,0.96540493,0.96492189,2770.83129883,0.26716036,0.21591067,1.67678046,0.46466190
110,0.94080901,0.94031894,2782.16162109,0.27134106,0.21872322,1.68354893,0.46767855
111,0.91663802,0.91614091,2793.15844727,0.27552903,0.22152628,1.69030428,0.47066578
112,0.89289016,0.89238614,2803.83007812,0.27972344,0.22431915,1.69704556,0.47362342
113,0.86956596,0.86905497,2814.17480469,0.28392324,0.22710122,1.70377171,0.47655138
114,0.84666336,0.84614533,2824.20361328,0.28812751,0.22987184,1.71048176,0.47944951
115,0.82418072,0.82365572,2833.91625977,0.29233536,0.23263037,1.71717501,0.48231772
116,0.80211735,0.80158544,2843.31982422,0.29654580,0.23537619,1.72385013,0.48515585
117,0.78047186,0.77993298,2852.42041016,0.30075786,0.23810869,1.73050606,0.48796383
