iter,total,corr,reproj,scale_reg,tz_reg,scale,tz
0,2.45769167,2.45769167,0.00000000,0.00000000,0.00000000,1.00000000,0.00000000
1,2.39987206,2.39987206,0.07770682,0.00002500,0.00002500,1.00501263,0.00500000
2,2.34255028,2.34255028,0.30649826,0.00009998,0.00009997,1.01004922,0.00999834
3,2.28573775,2.28573728,0.67998868,0.00022490,0.00022482,1.01510954,0.01499389
4,2.22944951,2.22944856,1.19184422,0.00039967,0.00039942,1.02019298,0.01998548
5,2.17370248,2.17370105,1.83586299,0.00062420,0.00062360,1.02529871,0.02497194
6,2.11851025,2.11850834,2.60587835,0.00089835,0.00089713,1.03042626,0.02995206
7,2.06388783,2.06388545,3.49588776,0.00122197,0.00121973,1.03557479,0.03492464
8,2.00985122,2.00984788,4.49985266,0.00159485,0.00159109,1.04074371,0.03988846
9,1.95641315,1.95640910,5.61203051,0.00201677,0.00201083,1.04593217,0.04484226
10,1.90358973,1.90358472,6.82663536,0.00248747,0.00247853,1.05113924,0.04978481
11,1.85139465,1.85138869,8.13796902,0.00300666,0.00299372,1.05636418,0.05471485
12,1.79984081,1.79983366,9.54049778,0.00357401,0.00355587,1.06160629,0.05963113
13,1.74894381,1.74893546,11.02881241,0.00418915,0.00416443,1.06686425,0.06453237
14,1.69871557,1.69870591,12.59760761,0.00485170,0.00481876,1.07213736,0.06941732
15,1.64916909,1.64915800,14.24171162,0.00556121,0.00551822,1.07742453,0.07428471
16,1.60031796,1.60030532,15.95586967,0.00631721,0.00626208,1.08272481,0.07913329
17,1.55217230,1.55215812,17.73521996,0.00711920,0.00704958,1.08803725,0.08396178
18,1.50474656,1.50473070,19.57494354,0.00796662,0.00787993,1.09336042,0.08876896
19,1.45805025,1.45803273,21.47022247,0.00885891,0.00875227,1.09869349,0.09355357
20,1.41209459,1.41207516,23.41646576,0.00979543,0.00966572,1.10403526,0.09831438
21,1.36688995,1.36686862,25.40932655,0.01077553,0.01061934,1.10938442,0.10305016
22,1.32244694,1.32242358,27.44423676,0.01179852,0.01161215,1.11473978,0.10775971
23,1.27877426,1.27874875,29.51708794,0.01286366,0.01264316,1.12010014,0.11244181
24,1.23588049,1.23585284,31.62378311,0.01397018,0.01371130,1.12546420,0.11709528
25,1.19377470,1.19374478,33.76036072,0.01511728,0.01481550,1.13083053,0.12171894
26,1.15246379,1.15243149,35.92295837,0.01630411,0.01595463,1.13619792,0.12631164
27,1.11195457,1.11191988,38.10797119,0.01752979,0.01712754,1.14156497,0.13087223
28,1.07225370,1.07221651,40.31167221,0.01879341,0.01833305,1.14693034,0.13539959
29,1.03336716,1.03332746,42.53069687,0.02009401,0.01956995,1.15229249,0.13989262
30,0.99530029,0.99525797,44.76183319,0.02143061,0.02083698,1.15764987,0.14435022
31,0.95805752,0.95801258,47.00167465,0.02280219,0.02213290,1.16300118,0.14877130
32,0.92164224,0.92159456,49.24736023,0.02420767,0.02345640,1.16834486,0.15315482
33,0.88605785,0.88600743,51.49586487,0.02564598,0.02480617,1.17367935,0.15749975
34,0.85130686,0.85125357,53.74442673,0.02711600,0.02618088,1.17900312,0.16180506
35,0.81739050,0.81733429,55.99022675,0.02861656,0.02757917,1.18431473,0.16606976
36,0.78431112,0.78425193,58.23089981,0.03014647,0.02899967,1.18961227,0.17029288
37,0.75206864,0.75200647,60.46398926,0.03170453,0.03044099,1.19489419,0.17447346
38,0.72066230,0.72059709,62.68699265,0.03328948,0.03190174,1.20015907,0.17861058
39,0.69009244,0.69002414,64.89786530,0.03490005,0.03338050,1.20540488,0.18270332
40,0.66035563,0.66028422,67.09450531,0.03653493,0.03487585,1.21063030,0.18675077
41,0.63145125,0.63137668,69.27484131,0.03819280,0.03638636,1.21583331,0.19075209
42,0.60337472,0.60329694,71.43712616,0.03987229,0.03791059,1.22101247,0.19470643
43,0.57612270,0.57604170,73.57943726,0.04157203,0.03944711,1.22616601,0.19861296
44,0.54969209,0.54960781,75.70018005,0.04329063,0.04099446,1.23129189,0.20247088
45,0.52407539,0.52398783,77.79797363,0.04502665,0.04255120,1.23638880,0.20627943
46,0.49926892,0.49917802,79.87109375,0.04677866,0.04411589,1.24145460,0.21003784
47,0.47526571,0.47517148,81.91814423,0.04854519,0.04568709,1.24648762,0.21374540
48,0.45205721,0.45195961,83.93817902,0.05032475,0.04726338,1.25148630,0.21740142
49,0.42963755,0.42953658,85.92967987,0.05211588,0.04884330,1.25644851,0.22100520
50,0.40799731,0.40789297,87.89182281,0.05391707,0.05042545,1.26137257,0.22455612
51,0.38712707,0.38701934,89.82337189,0.05572679,0.05200842,1.26625693,0.22805355
52,0.36701775,0.36690661,91.72348022,0.05754353,0.05359082,1.27109957,0.23149692
53,0.34765825,0.34754372,93.59156799,0.05936575,0.05517126,1.27589881,0.23488563
54,0.32903823,0.32892030,95.42654419,0.06119194,0.05674838,1.28065288,0.23821917
55,0.31114605,0.31102470,97.22774506,0.06302053,0.05832082,1.28536010,0.24149704
56,0.29396927,0.29384455,98.99474335,0.06485002,0.05988727,1.29001868,0.24471876
57,0.27749604,0.27736792,100.72679138,0.06667885,0.06144643,1.29462683,0.24788390
58,0.26171237,0.26158085,102.42373657,0.06850552,0.06299701,1.29918301,0.25099206
59,0.24660559,0.24647072,104.08493042,0.07032847,0.06453776,1.30368531,0.25404283
60,0.23216067,0.23202245,105.71005249,0.07214622,0.06606746,1.30813241,0.25703591
61,0.21836379,0.21822225,107.29875183,0.07395728,0.06758490,1.31252253,0.25997096
62,0.20519973,0.20505489,108.85101318,0.07576014,0.06908894,1.31685412,0.26284775
63,0.19265358,0.19250545,110.36666870,0.07755336,0.07057843,1.32112551,0.26566601
64,0.18070944,0.18055806,111.84538269,0.07933549,0.07205228,1.32533538,0.26842555
65,0.16935138,0.16919677,113.28742218,0.08110511,0.07350942,1.32948220,0.27112621
66,0.15856327,0.15840545,114.69252014,0.08286084,0.07494884,1.33356464,0.27376786
67,0.14832848,0.14816752,116.06073761,0.08460131,0.07636955,1.33758140,0.27635041
68,0.13863067,0.13846658,117.39225006,0.08632518,0.07777061,1.34153104,0.27887383
69,0.12945324,0.12928605,118.68719482,0.08803117,0.07915112,1.34541225,0.28133810
70,0.12077870,0.12060847,119.94568634,0.08971801,0.08051022,1.34922409,0.28374323
71,0.11259027,0.11241704,121.16807556,0.09138446,0.08184711,1.35296524,0.28608933
72,0.10487094,0.10469475,122.35447693,0.09302939,0.08316100,1.35663474,0.28837648
73,0.09760346,0.09742436,123.50515747,0.09465162,0.08445117,1.36023164,0.29060483
74,0.09077051,0.09058855,124.62055969,0.09625008,0.08571696,1.36375511,0.29277459
75,0.08435544,0.08417066,125.70088196,0.09782374,0.08695773,1.36720419,0.29488596
76,0.07834138,0.07815384,126.74668121,0.09937157,0.08817291,1.37057793,0.29693922
77,0.07271072,0.07252046,127.75824738,0.10089269,0.08936195,1.37387621,0.29893470
78,0.06744749,0.06725458,128.73605347,0.10238618,0.09052441,1.37709796,0.30087274
79,0.06253484,0.06233933,129.68057251,0.10385124,0.09165981,1.38024294,0.30275372
80,0.05795639,0.05775834,130.59214783,0.10528708,0.09276780,1.38331079,0.30457807
81,0.05369658,0.05349604,131.47148132,0.10669298,0.09384803,1.38630080,0.30634627
82,0.04973933,0.04953637,132.31900024,0.10806830,0.09490022,1.38921297,0.30805880
83,0.04606906,0.04586372,133.13522339,0.10941247,0.09592414,1.39204729,0.30971622
84,0.04267084,0.04246319,133.92071533,0.11072494,0.09691959,1.39480352,0.31131911
85,0.03952995,0.03932006,134.67602539,0.11200523,0.09788644,1.39748168,0.31286809
86,0.03663198,0.03641990,135.40184021,0.11325295,0.09882458,1.40008187,0.31436378
87,0.03396283,0.03374863,136.09855652,0.11446773,0.09973398,1.40260446,0.31580687
88,0.03150911,0.03129284,136.76695251,0.11564934,0.10061461,1.40504956,0.31719807
89,0.02925771,0.02903944,137.40745544,0.11679750,0.10146654,1.40741754,0.31853813
90,0.02719581,0.02697561,138.02088928,0.11791208,0.10228986,1.40970898,0.31982785
91,0.02531131,0.02508923,138.60766602,0.11899296,0.10308468,1.41192436,0.32106802
92,0.02359244,0.02336855,139.16860962,0.12004012,0.10385114,1.41406429,0.32225943
93,0.02202786,0.02180222,139.70422363,0.12105353,0.10458948,1.41612959,0.32340297
94,0.02060691,0.02037958,140.21511841,0.12203331,0.10529993,1.41812086,0.32449952
95,0.01931914,0.01909018,140.70202637,0.12297955,0.10598280,1.42003918,0.32554999
96,0.01815484,0.01792431,141.16558838,0.12389246,0.10663835,1.42188525,0.32655528
97,0.01710460,0.01687256,141.60630798,0.12477225,0.10726696,1.42366028,0.32751635
98,0.01615964,0.01592616,142.02478027,0.12561920,0.10786901,1.42536509,0.32843417
99,0.01531143,0.01507655,142.42189026,0.12643364,0.10844488,1.42700112,0.32930970
100,0.01455214,0.01431593,142.79809570,0.12721595,0.10899501,1.42856932,0.33014393
101,0.01387424,0.01363676,143.15400696,0.12796655,0.10951987,1.43007112,0.33093786
102,0.01327076,0.01303205,143.49034119,0.12868591,0.11001992,1.43150771,0.33169252
103,0.01273510,0.01249523,143.80758667,0.12937447,0.11049570,1.43288040,0.33240893
104,0.01226113,0.01202015,144.10629272,0.13003282,0.11094771,1.43419063,0.33308813
105,0.01184303,0.01160100,144.38735962,0.13066152,0.11137648,1.43543994,0.33373114
106,0.01147554,0.01123250,144.65127563,0.13126114,0.11178257,1.43662953,0.33433899
107,0.01115361,0.01090961,144.89834595,0.13183232,0.11216655,1.43776131,0.33491275
108,0.01087267,0.01062777,145.12945557,0.13237572,0.11252902,1.43883657,0.33545345
109,0.01062852,0.01038276,145.34516907,0.13289198,0.11287057,1.43985677,0.33596215
110,0.01041726,0.01017068,145.54585266,0.13338183,0.11319177,1.44082344,0.33643985
111,0.01023521,0.00998787,145.73234558,0.13384596,0.11349327,1.44173849,0.33688763
