iter,total,corr,reproj,scale_reg,tz_reg,scale,tz
0,10.18731022,10.18731022,0.00000000,0.00000000,0.00000000,1.00000000,0.00000000
1,10.11078930,10.11078930,1.04273605,0.00002500,0.00002500,1.00501263,0.00500000
2,10.03433704,10.03433704,4.09961367,0.00010000,0.00009999,1.01005030,0.00999947
3,9.95795155,9.95795155,9.06671810,0.00022502,0.00022494,1.01511359,0.01499806
4,9.88163662,9.88163662,15.84443951,0.00040005,0.00039982,1.02020276,0.01999540
5,9.80539894,9.80539703,24.33685303,0.00062513,0.00062456,1.02531767,0.02499115
6,9.72923470,9.72923279,34.45215988,0.00090025,0.00089910,1.03045893,0.02998493
7,9.65315151,9.65314960,46.10176849,0.00122546,0.00122335,1.03562653,0.03497639
8,9.57715034,9.57714653,59.20105362,0.00160077,0.00159722,1.04082084,0.03996518
9,9.50123405,9.50123024,73.66857147,0.00202620,0.00202059,1.04604185,0.04495092
10,9.42540550,9.42539978,89.42561340,0.00250179,0.00249333,1.05128992,0.04993328
11,9.34966850,9.34966278,106.39680481,0.00302757,0.00301532,1.05656540,0.05491190
12,9.27402592,9.27401829,124.51081085,0.00360358,0.00358639,1.06186819,0.05988644
13,9.19847775,9.19847012,143.69720459,0.00422983,0.00420637,1.06719875,0.06485654
14,9.12303066,9.12302113,163.88978577,0.00490638,0.00487509,1.07255709,0.06982186
15,9.04768658,9.04767513,185.02499390,0.00563326,0.00559236,1.07794344,0.07478209
16,8.97244740,8.97243404,207.04008484,0.00641050,0.00635797,1.08335817,0.07973687
17,8.89731693,8.89730167,229.87770081,0.00723814,0.00717170,1.08880115,0.08468590
18,8.82229710,8.82228088,253.47978210,0.00811623,0.00803333,1.09427285,0.08962885
19,8.74739075,8.74737358,277.79306030,0.00904479,0.00894262,1.09977329,0.09456542
20,8.67260265,8.67258263,302.76513672,0.01002386,0.00989931,1.10530269,0.09949529
21,8.59793377,8.59791183,328.34573364,0.01105347,0.01090315,1.11086118,0.10441817
22,8.52339077,8.52336597,354.48730469,0.01213368,0.01195387,1.11644876,0.10933377
23,8.44897270,8.44894600,381.14410400,0.01326449,0.01305119,1.12206590,0.11424180
24,8.37468147,8.37465286,408.27090454,0.01444595,0.01419481,1.12771261,0.11914199
25,8.30052471,8.30049419,435.82727051,0.01567809,0.01538445,1.13338888,0.12403405
26,8.22650433,8.22647095,463.77142334,0.01696093,0.01661978,1.13909507,0.12891774
27,8.15262127,8.15258503,492.06567383,0.01829450,0.01790051,1.14483118,0.13379279
28,8.07887936,8.07884026,520.67303467,0.01967882,0.01922631,1.15059733,0.13865896
29,8.00528336,8.00524139,549.55664062,0.02111390,0.02059684,1.15639365,0.14351599
30,7.93183279,7.93178844,578.68444824,0.02259978,0.02201177,1.16222036,0.14836365
31,7.85853529,7.85848761,608.02301025,0.02413645,0.02347076,1.16807735,0.15320170
32,7.78539085,7.78534031,637.54174805,0.02572393,0.02497346,1.17396486,0.15802993
33,7.71240330,7.71234941,667.21105957,0.02736222,0.02651950,1.17988300,0.16284810
34,7.63957548,7.63951826,697.00274658,0.02905133,0.02810854,1.18583190,0.16765602
35,7.56691265,7.56685209,726.88922119,0.03079125,0.02974020,1.19181144,0.17245346
36,7.49441528,7.49435139,756.84576416,0.03258198,0.03141410,1.19782186,0.17724024
37,7.42208719,7.42201996,786.84698486,0.03442351,0.03312987,1.20386326,0.18201613
38,7.34993267,7.34986162,816.86975098,0.03631583,0.03488713,1.20993567,0.18678097
39,7.27795410,7.27787924,846.89215088,0.03825891,0.03668549,1.21603906,0.19153456
40,7.20615625,7.20607758,876.89282227,0.04025272,0.03852455,1.22217345,0.19627671
41,7.13454056,7.13445759,906.85174561,0.04229725,0.04040391,1.22833908,0.20100725
42,7.06310987,7.06302309,936.74920654,0.04439246,0.04232318,1.23453593,0.20572598
43,6.99186850,6.99177742,966.56616211,0.04653830,0.04428194,1.24076414,0.21043275
44,6.92082167,6.92072678,996.28649902,0.04873474,0.04627980,1.24702334,0.21512739
45,6.84996843,6.84986925,1025.89367676,0.05098172,0.04831632,1.25331414,0.21980974
46,6.77931595,6.77921200,1055.37109375,0.05327919,0.05039110,1.25963604,0.22447962
47,6.70886564,6.70875740,1084.70422363,0.05562710,0.05250371,1.26598942,0.22913687
48,6.63862228,6.63850927,1113.87976074,0.05802536,0.05465372,1.27237403,0.23378134
49,6.56858778,6.56847048,1142.88317871,0.06047391,0.05684070,1.27879012,0.23841287
50,6.49876642,6.49864435,1171.70239258,0.06297266,0.05906422,1.28523743,0.24303132
51,6.42916107,6.42903423,1200.32495117,0.06552154,0.06132385,1.29171634,0.24763653
52,6.35977793,6.35964632,1228.74047852,0.06812046,0.06361914,1.29822624,0.25222835
53,6.29061508,6.29047871,1256.93762207,0.07076932,0.06594965,1.30476773,0.25680664
54,6.22168159,6.22153997,1284.90600586,0.07346801,0.06831493,1.31134045,0.26137125
55,6.15297937,6.15283251,1312.63659668,0.07621642,0.07071453,1.31794441,0.26592204
56,6.08451128,6.08435917,1340.12097168,0.07901445,0.07314799,1.32457948,0.27045885
57,6.01628113,6.01612329,1367.34924316,0.08186196,0.07561484,1.33124590,0.27498153
58,5.94829273,5.94812965,1394.31445312,0.08475882,0.07811464,1.33794332,0.27948996
59,5.88054800,5.88037968,1421.00952148,0.08770489,0.08064692,1.34467196,0.28398401
60,5.81305313,5.81287909,1447.42687988,0.09070005,0.08321119,1.35143161,0.28846350
61,5.74581194,5.74563217,1473.55957031,0.09374411,0.08580700,1.35822213,0.29292831
62,5.67882633,5.67864132,1499.40283203,0.09683694,0.08843385,1.36504364,0.29737830
