iter,total,corr,reproj,scale_reg,tz_reg,scale,tz
0,0.49867618,0.49867618,0.00000000,0.00000000,0.00000000,1.00000000,0.00000000
1,0.48286262,0.48284239,0.02016493,0.00002500,0.00002500,1.00501263,0.00500000
2,0.46730831,0.46722895,0.07918815,0.00009997,0.00009994,1.01004863,0.00999683
3,0.45201698,0.45184159,0.17489894,0.00022483,0.00022465,1.01510727,0.01498833
4,0.43699241,0.43668646,0.30516461,0.00039946,0.00039889,1.02018762,0.01997230
5,0.42223909,0.42176995,0.46789521,0.00062369,0.00062233,1.02528834,0.02494653
6,0.40776059,0.40709776,0.66104507,0.00089731,0.00089453,1.03040838,0.02990876
7,0.39356068,0.39267561,0.88262087,0.00122005,0.00121499,1.03554642,0.03485674
8,0.37964243,0.37850860,1.13066411,0.00159161,0.00158310,1.04070139,0.03978817
9,0.36600894,0.36460167,1.40328383,0.00201161,0.00199816,1.04587197,0.04470076
10,0.35266349,0.35095993,1.69861054,0.00247964,0.00245939,1.05105662,0.04959221
11,0.33960885,0.33758801,2.01483560,0.00299523,0.00296591,1.05625403,0.05446020
12,0.32684702,0.32448974,2.35021830,0.00355787,0.00351678,1.06146276,0.05930243
13,0.31438094,0.31166962,2.70304894,0.00416696,0.00411094,1.06668103,0.06411657
14,0.30221203,0.29913080,3.07166839,0.00482188,0.00474726,1.07190752,0.06890035
15,0.29034224,0.28687683,3.45448232,0.00552195,0.00542453,1.07714045,0.07365144
16,0.27877271,0.27491036,3.84994483,0.00626641,0.00614148,1.08237827,0.07836758
17,0.26750502,0.26323453,4.25655127,0.00705447,0.00689672,1.08761895,0.08304649
18,0.25653934,0.25185087,4.67288303,0.00788528,0.00768882,1.09286106,0.08768593
19,0.24587657,0.24076174,5.09753561,0.00875792,0.00851628,1.09810257,0.09228367
20,0.23551676,0.22996853,5.52917242,0.00967143,0.00937751,1.10334170,0.09683752
21,0.22545983,0.21947242,5.96652126,0.01062480,0.01027087,1.10857642,0.10134529
22,0.21570538,0.20927422,6.40834427,0.01161694,0.01119467,1.11380482,0.10580485
23,0.20625244,0.19937415,6.85349274,0.01264673,0.01214715,1.11902487,0.11021409
24,0.19709997,0.18977231,7.30081844,0.01371300,0.01312650,1.12423468,0.11457093
25,0.18824656,0.18046838,7.74925089,0.01481452,0.01413087,1.12943208,0.11887333
26,0.17969058,0.17146172,8.19777107,0.01595001,0.01515836,1.13461494,0.12311929
27,0.17142972,0.16275096,8.64542580,0.01711813,0.01620704,1.13978124,0.12730686
28,0.16346180,0.15433495,9.09127712,0.01831753,0.01727493,1.14492857,0.13143413
29,0.15578394,0.14621155,9.53447723,0.01954678,0.01836004,1.15005505,0.13549922
30,0.14839312,0.13837869,9.97416687,0.02080444,0.01946034,1.15515840,0.13950033
31,0.14128622,0.13083398,10.40957546,0.02208898,0.02057380,1.16023624,0.14343569
32,0.13445939,0.12357430,10.83999920,0.02339890,0.02169834,1.16528654,0.14730358
33,0.12790886,0.11659656,11.26471901,0.02473260,0.02283192,1.17030692,0.15110235
34,0.12163032,0.10989712,11.68312836,0.02608849,0.02397245,1.17529511,0.15483040
35,0.11561920,0.10347204,12.09458065,0.02746493,0.02511787,1.18024909,0.15848617
36,0.10987101,0.09731732,12.49855518,0.02886025,0.02626610,1.18516624,0.16206819
37,0.10438062,0.09142841,12.89451885,0.03027279,0.02741509,1.19004452,0.16557504
38,0.09914271,0.08580044,13.28200245,0.03170082,0.02856281,1.19488168,0.16900536
39,0.09415180,0.08042841,13.66053963,0.03314263,0.02970724,1.19967556,0.17235789
40,0.08940233,0.07530715,14.02974796,0.03459648,0.03084638,1.20442379,0.17563137
41,0.08488830,0.07043101,14.38925457,0.03606062,0.03197827,1.20912433,0.17882469
42,0.08060370,0.06579434,14.73872185,0.03753331,0.03310099,1.21377480,0.18193677
43,0.07654224,0.06139116,15.07785606,0.03901279,0.03421264,1.21837318,0.18496659
44,0.07269737,0.05721516,15.40640831,0.04049731,0.03531140,1.22291756,0.18791327
45,0.06906271,0.05326024,15.72409058,0.04198511,0.03639546,1.22740567,0.19077593
46,0.06563156,0.04951989,16.03074074,0.04347448,0.03746309,1.23183548,0.19355384
47,0.06239703,0.04598738,16.32617188,0.04496368,0.03851261,1.23620522,0.19624631
48,0.05935219,0.04265594,16.61025047,0.04645102,0.03954242,1.24051309,0.19885276
49,0.05649035,0.03951904,16.88283348,0.04793481,0.04055096,1.24475682,0.20137268
50,0.05380427,0.03656949,17.14382744,0.04941341,0.04153675,1.24893510,0.20380567
51,0.05128701,0.03380045,17.39317131,0.05088520,0.04249839,1.25304615,0.20615138
52,0.04893154,0.03120492,17.63083076,0.05234860,0.04343455,1.25708830,0.20840958
53,0.04673083,0.02877591,17.85676956,0.05380205,0.04434399,1.26106000,0.21058013
54,0.04467773,0.02650629,18.07097816,0.05524408,0.04522554,1.26496017,0.21266297
55,0.04276544,0.02438918,18.27350998,0.05667322,0.04607812,1.26878715,0.21465814
56,0.04098704,0.02241767,18.46437645,0.05808808,0.04690073,1.27253973,0.21656577
57,0.03933560,0.02058477,18.64364815,0.05948732,0.04769248,1.27621698,0.21838608
58,0.03780446,0.01888372,18.81141281,0.06086966,0.04845255,1.27981782,0.22011940
59,0.03638694,0.01730777,18.96775818,0.06223387,0.04918022,1.28334141,0.22176613
60,0.03507655,0.01585030,19.11279869,0.06357883,0.04987485,1.28678703,0.22332677
61,0.03386699,0.01450491,19.24664688,0.06490342,0.05053590,1.29015386,0.22480191
62,0.03275201,0.01326517,19.36947060,0.06620663,0.05116293,1.29344153,0.22619224
63,0.03172563,0.01212498,19.48140335,0.06748753,0.05175557,1.29664946,0.22749850
64,0.03078194,0.01107824,19.58264351,0.06874526,0.05231356,1.29977763,0.22872157
65,0.02991531,0.01011918,19.67331505,0.06997903,0.05283671,1.30282569,0.22986238
66,0.02912030,0.00924210,19.75368500,0.07118811,0.05332494,1.30579364,0.23092194
67,0.02839164,0.00844158,19.82390404,0.07237190,0.05377823,1.30868161,0.23190135
68,0.02772428,0.00771236,19.88419533,0.07352982,0.05419667,1.31148982,0.23280178
69,0.02711339,0.00704938,19.93476486,0.07466140,0.05458040,1.31421876,0.23362449
70,0.02655442,0.00644785,19.97587776,0.07576625,0.05492966,1.31686866,0.23437078
71,0.02604299,0.00590317,20.00773239,0.07684406,0.05524477,1.31944025,0.23504205
72,0.02557494,0.00541096,20.03056717,0.07789458,0.05552609,1.32193422,0.23563974
73,0.02514639,0.00496704,20.04466057,0.07891767,0.05577407,1.32435143,0.23616534
