iter,total,corr,reproj,scale_reg,tz_reg,scale,tz
0,5.35925627,5.35925627,0.00000000,0.00000000,0.00000000,1.00000000,0.00000000
1,5.30014992,5.29910517,1.04463267,0.00002500,0.00002500,1.00501263,0.00500000
2,5.24329472,5.23920059,4.09396029,0.00010000,0.00009958,1.01005018,0.00997899
3,5.18861818,5.17961216,9.00619793,0.00022500,0.00022262,1.01511288,0.01492062
4,5.13603354,5.12041330,15.61925793,0.00040000,0.00039231,1.02020133,0.01980673
5,5.08543921,5.06168890,23.74950027,0.00062502,0.00060601,1.02531540,0.02461734
6,5.03671789,5.00352335,33.19259644,0.00090007,0.00086029,1.03045571,0.02933075
7,4.98973513,4.94600868,43.72397232,0.00122518,0.00115082,1.03562236,0.03392371
8,4.94433928,4.88923550,55.10073090,0.00160041,0.00147240,1.04081607,0.03837181
9,4.90036821,4.83329821,67.06635284,0.00202579,0.00181901,1.04603708,0.04264987
10,4.85764885,4.77828932,79.35473633,0.00250140,0.00218394,1.05128574,0.04673264
11,4.81599426,4.72429228,91.69670105,0.00302731,0.00255990,1.05656278,0.05059547
12,4.77522373,4.67138910,103.82784271,0.00360360,0.00293929,1.06186843,0.05421518
13,4.73515034,4.61964512,115.49751282,0.00423037,0.00331441,1.06720316,0.05757093
14,4.69559908,4.56911421,126.47639465,0.00490771,0.00367782,1.07256722,0.06064506
15,4.65640640,4.51983309,136.56369019,0.00563572,0.00402257,1.07796109,0.06342373
16,4.61742496,4.47181940,145.59503174,0.00641449,0.00434249,1.08338511,0.06589758
17,4.57853317,4.42507553,153.44577026,0.00724411,0.00463242,1.08883929,0.06806192
18,4.53962612,4.37958097,160.03231812,0.00812466,0.00488837,1.09432411,0.06991689
19,4.50062990,4.33530140,165.31437683,0.00905622,0.00510757,1.09983945,0.07146727
20,4.46149015,4.29218531,169.28936768,0.01003885,0.00528851,1.10538542,0.07272215
21,4.42217588,4.25016928,171.99031067,0.01107258,0.00543087,1.11096203,0.07369445
22,4.38267660,4.20917797,173.48080444,0.01215745,0.00553541,1.11656916,0.07440036
23,4.34299278,4.16912413,173.84954834,0.01329346,0.00560383,1.12220705,0.07485874
24,4.30314398,4.12992239,173.20138550,0.01448063,0.00563859,1.12787521,0.07509055
25,4.26315451,4.09147644,171.65658569,0.01571892,0.00564276,1.13357365,0.07511828
26,4.22305584,4.05369186,169.34109497,0.01700830,0.00561982,1.13930213,0.07496547
27,4.18288040,4.01647186,166.38473511,0.01834873,0.00557355,1.14506054,0.07465623
28,4.14266205,3.97972131,162.91548157,0.01974013,0.00550784,1.15084863,0.07421485
29,4.10243225,3.94334769,159.05828857,0.02118245,0.00542660,1.15666616,0.07366548
30,4.06221867,3.90726113,154.92956543,0.02267559,0.00533364,1.16251314,0.07303178
31,4.02204561,3.87137771,150.63813782,0.02421946,0.00523260,1.16838908,0.07233669
32,3.98192954,3.83561635,146.28221130,0.02581397,0.00512686,1.17429411,0.07160212
33,3.94188380,3.79990244,141.94903564,0.02745902,0.00501955,1.18022799,0.07084879
34,3.90191817,3.76417017,137.71394348,0.02915450,0.00491345,1.18619049,0.07009597
35,3.86203551,3.72835898,133.64085388,0.03090031,0.00481100,1.19218147,0.06936136
36,3.82223296,3.69241261,129.78303528,0.03269634,0.00471432,1.19820106,0.06866088
37,3.78251123,3.65628982,126.18220520,0.03454248,0.00462517,1.20424891,0.06800857
38,3.74286008,3.61994886,122.87026978,0.03643863,0.00454499,1.21032524,0.06741650
39,3.70327640,3.58336449,119.86908722,0.03838467,0.00447490,1.21642959,0.06689470
40,3.66375017,3.54651189,117.19341278,0.04038051,0.00441575,1.22256243,0.06645110
41,3.62427545,3.50937915,114.84954071,0.04242602,0.00436810,1.22872341,0.06609163
42,3.58484578,3.47195935,112.83742523,0.04452112,0.00433230,1.23491275,0.06582018
43,3.54545689,3.43425465,111.15129089,0.04666569,0.00430844,1.24113023,0.06563871
44,3.50610518,3.39627099,109.78095245,0.04885961,0.00429646,1.24737597,0.06554740
45,3.46678972,3.35802245,108.71192169,0.05110279,0.00429611,1.25364995,0.06554475
46,3.42751074,3.31952715,107.92593384,0.05339509,0.00430700,1.25995219,0.06562777
47,3.38827133,3.28080845,107.40277100,0.05573641,0.00432861,1.26628268,0.06579215
48,3.34907389,3.24189162,107.11979675,0.05812661,0.00436029,1.27264142,0.06603247
49,3.30992341,3.20280576,107.05274963,0.06056558,0.00440131,1.27902842,0.06634236
50,3.27082586,3.16358256,107.17583466,0.06305318,0.00445086,1.28544366,0.06671474
51,3.23178792,3.12425447,107.46327972,0.06558924,0.00450805,1.29188704,0.06714198
52,3.19281554,3.08485436,107.88835907,0.06817364,0.00457194,1.29835856,0.06761611
53,3.15391541,3.04541492,108.42514801,0.07080621,0.00464156,1.30485821,0.06812897
54,3.11509538,3.00597048,109.04674530,0.07348677,0.00471590,1.31138575,0.06867239
55,3.07635999,2.96655011,109.72870636,0.07621516,0.00479395,1.31794131,0.06923834
56,3.03771615,2.92718649,110.44592285,0.07899117,0.00487470,1.32452464,0.06981904
57,2.99916840,2.88790464,111.17696381,0.08181462,0.00495716,1.33113587,0.07040709
58,2.96072412,2.84873509,111.89930725,0.08468529,0.00504037,1.33777440,0.07099555
59,2.92238545,2.80969882,112.59407043,0.08760295,0.00512342,1.34444058,0.07157804
60,2.88415885,2.77081895,113.24411011,0.09056734,0.00520545,1.35113382,0.07214878
61,2.84604836,2.73211575,113.83378601,0.09357824,0.00528567,1.35785401,0.07270262
62,2.80805540,2.69360375,114.34990692,0.09663537,0.00536338,1.36460125,0.07323512
63,2.77018595,2.65529776,114.78306580,0.09973846,0.00543796,1.37137508,0.07374252
64,2.73244309,2.61721134,115.12337494,0.10288721,0.00550887,1.37817526,0.07422175
65,2.69482970,2.57935333,115.36466980,0.10608134,0.00557567,1.38500166,0.07467039
66,2.65735078,2.54173136,115.50435638,0.10932050,0.00563801,1.39185381,0.07508671
67,2.62001038,2.50435305,115.53916168,0.11260435,0.00569566,1.39873135,0.07546958
68,2.58280969,2.46721792,115.47019196,0.11593255,0.00574844,1.40563440,0.07581845
69,2.54575562,2.43033314,115.29748535,0.11930477,0.00579628,1.41256225,0.07613328
70,2.50885105,2.39369702,115.02558136,0.12272060,0.00583918,1.41951466,0.07641453
71,2.47210121,2.35731149,114.65765381,0.12617965,0.00587722,1.42649126,0.07666304
72,2.43550992,2.32117438,114.19978333,0.12968154,0.00591054,1.43349171,0.07688005
73,2.39908075,2.28528285,113.65859222,0.13322583,0.00593934,1.44051576,0.07706709
74,2.36282086,2.24963808,113.04003143,0.13681211,0.00596384,1.44756258,0.07722591
75,2.32673192,2.21423364,112.35195160,0.14043994,0.00598433,1.45463240,0.07735846
76,2.29082131,2.17907000,111.60137939,0.14410885,0.00600111,1.46172416,0.07746682
77,2.25509286,2.14414239,110.79656219,0.14781836,0.00601449,1.46883786,0.07755315
78,2.21955037,2.10944796,109.94480896,0.15156803,0.00602481,1.47597301,0.07761962
79,2.18420005,2.07498527,109.05340576,0.15535733,0.00603238,1.48312891,0.07766842
80,2.14904642,2.04075265,108.12863922,0.15918580,0.00603755,1.49030519,0.07770166
81,2.11409378,2.00674677,107.17794037,0.16305286,0.00604061,1.49750149,0.07772137
82,2.07934690,1.97296739,106.20664215,0.16695803,0.00604187,1.50471723,0.07772948
83,2.04481125,1.93941367,105.22055054,0.17090073,0.00604160,1.51195180,0.07772776
84,2.01049018,1.90608537,104.22390747,0.17488043,0.00604006,1.51920485,0.07771783
85,1.97638929,1.87298262,103.22160339,0.17889656,0.00603747,1.52647579,0.07770114
86,1.94251239,1.84010625,102.21704865,0.18294854,0.00603402,1.53376412,0.07767896
87,1.90886509,1.80745840,101.21360016,0.18703575,0.00602989,1.54106903,0.07765236
88,1.87545168,1.77504182,100.21260834,0.19115761,0.00602521,1.54839003,0.07762222
89,1.84227514,1.74285662,99.21712494,0.19531347,0.00602009,1.55572689,0.07758924
90,1.80934167,1.71090817,98.22796631,0.19950274,0.00601461,1.56307852,0.07755394
91,1.77665401,1.67919862,97.24565887,0.20372476,0.00600883,1.57044470,0.07751665
92,1.74421823,1.64773273,96.27148438,0.20797886,0.00600277,1.57782447,0.07747754
93,1.71203721,1.61651349,95.30538940,0.21226437,0.00599643,1.58521748,0.07743664
94,1.68011606,1.58554721,94.34625244,0.21658061,0.00598980,1.59262276,0.07739381
95,1.64845824,1.55483723,93.39412689,0.22092687,0.00598284,1.60003996,0.07734882
96,1.61706793,1.52438819,92.44847870,0.22530244,0.00597549,1.60746825,0.07730129
97,1.58595073,1.49420726,91.50773621,0.22970657,0.00596768,1.61490667,0.07725079
98,1.55510938,1.46429789,90.57143402,0.23413853,0.00595934,1.62235475,0.07719676
99,1.52454805,1.43466592,89.63751984,0.23859760,0.00595037,1.62981176,0.07713862
100,1.49427044,1.40531635,88.70509338,0.24308297,0.00594067,1.63727689,0.07707571
101,1.46428025,1.37625396,87.77273560,0.24759388,0.00593013,1.64474952,0.07700737
102,1.43458188,1.34748411,86.83963776,0.25212955,0.00591867,1.65222859,0.07693288
103,1.40517831,1.31901169,85.90402222,0.25668913,0.00590616,1.65971351,0.07685155
104,1.37607408,1.29084229,84.96457672,0.26127183,0.00589251,1.66720331,0.07676268
105,1.34727168,1.26297927,84.02069092,0.26587677,0.00587761,1.67469728,0.07666556
106,1.31877518,1.23542821,83.07067108,0.27050313,0.00586136,1.68219447,0.07655953
107,1.29058802,1.20819306,82.11399841,0.27515009,0.00584368,1.68969405,0.07644396
108,1.26271212,1.18127644,81.15003967,0.27981678,0.00582448,1.69719541,0.07631826
109,1.23515236,1.15468407,80.17788696,0.28450221,0.00580368,1.70469713,0.07618187
110,1.20791042,1.12841845,79.19699097,0.28920558,0.00578121,1.71219873,0.07603429
111,1.18099010,1.10248339,78.20700073,0.29392594,0.00575702,1.71969903,0.07587505
112,1.15439284,1.07688057,77.20790100,0.29866233,0.00573106,1.72719741,0.07570376
113,1.12812257,1.05161464,76.19885254,0.30341396,0.00570328,1.73469269,0.07552007
114,1.10218167,1.02668726,75.18051910,0.30817977,0.00567366,1.74218392,0.07532368
115,1.07657194,1.00210047,74.15293884,0.31295887,0.00564217,1.74967015,0.07511435
116,1.05129671,0.97785717,73.11630249,0.31775019,0.00560880,1.75715029,0.07489190
117,1.02635753,0.95395821,72.07115173,0.32255286,0.00557355,1.76462352,0.07465618
118,1.00175667,0.93040657,71.01721191,0.32736585,0.00553642,1.77208865,0.07440709
119,0.97749484,0.90720165,69.95550537,0.33218822,0.00549742,1.77954507,0.07414459
120,0.95357561,0.88434649,68.88662720,0.33701894,0.00545658,1.78699124,0.07386868
121,0.92999983,0.86184186,67.81072998,0.34185699,0.00541392,1.79442632,0.07357938
122,0.90676880,0.83968747,66.72924042,0.34670138,0.00536948,1.80184937,0.07327676
123,0.88388431,0.81788516,65.64227295,0.35155109,0.00532330,1.80925918,0.07296092
124,0.86134762,0.79643470,64.55121613,0.35640508,0.00527541,1.81665468,0.07263199
125,0.83915937,0.77533668,63.45617676,0.36126235,0.00522586,1.82403493,0.07229012
126,0.81732088,0.75459146,62.35805130,0.36612183,0.00517471,1.83139873,0.07193546
127,0.79583287,0.73419857,61.25816345,0.37098247,0.00512201,1.83874500,0.07156822
128,0.77469558,0.71415770,60.15694046,0.37584323,0.00506782,1.84607279,0.07118859
129,0.75391006,0.69446951,59.05484009,0.38070303,0.00501219,1.85338080,0.07079679
130,0.73347741,0.67513335,57.95351028,0.38556081,0.00495518,1.86066771,0.07039303
131,0.71339643,0.65614825,56.85288239,0.39041552,0.00489686,1.86793280,0.06997756
132,0.69366753,0.63751334,55.75412750,0.39526612,0.00483728,1.87517488,0.06955059
133,0.67429078,0.61922789,54.65799713,0.40011150,0.00477652,1.88239276,0.06911237
134,0.65526599,0.60129118,53.56516266,0.40495071,0.00471462,1.88958526,0.06866313
135,0.63659269,0.58370191,52.47632980,0.40978250,0.00465166,1.89675128,0.06820311
136,0.61827040,0.56645942,51.39179230,0.41460595,0.00458770,1.90388966,0.06773254
137,0.60029769,0.54956120,50.31249237,0.41941994,0.00452278,1.91099954,0.06725165
138,0.58267456,0.53300679,49.23908615,0.42422339,0.00445699,1.91807938,0.06676068
139,0.56539971,0.51679444,48.17179108,0.42901528,0.00439037,1.92512822,0.06625985
140,0.54847163,0.50092196,47.11149979,0.43379453,0.00432298,1.93214500,0.06574939
141,0.53188944,0.48538819,46.05842209,0.43856004,0.00425489,1.93912840,0.06522952
142,0.51565099,0.47019014,45.01336288,0.44331080,0.00418615,1.94607759,0.06470045
143,0.49975508,0.45532608,43.97684860,0.44804573,0.00411682,1.95299125,0.06416242
144,0.48419973,0.44079423,42.94868088,0.45276380,0.00404695,1.95986831,0.06361561
145,0.46898371,0.42659232,41.92994690,0.45746392,0.00397660,1.96670735,0.06306025
146,0.45410380,0.41271701,40.92073822,0.46214509,0.00390582,1.97350776,0.06249655
147,0.43955845,0.39916661,39.92120361,0.46680629,0.00383467,1.98026812,0.06192471
148,0.42534521,0.38593802,38.93198395,0.47144654,0.00376320,1.98698735,0.06134496
149,0.41146106,0.37302783,37.95346832,0.47606480,0.00369147,1.99366462,0.06075749
150,0.39790353,0.36043328,36.98598480,0.48066011,0.00361953,2.00029874,0.06016253
151,0.38466993,0.34815156,36.02957535,0.48523140,0.00354743,2.00688863,0.05956028
152,0.37175727,0.33617947,35.08454895,0.48977780,0.00347522,2.01343322,0.05895097
153,0.35916284,0.32451361,34.15151596,0.49429828,0.00340295,2.01993132,0.05833481
154,0.34688330,0.31315073,33.23042679,0.49879184,0.00333068,2.02638197,0.05771204
155,0.33491474,0.30208665,32.32155991,0.50325763,0.00325846,2.03278446,0.05708288
156,0.32325417,0.29131815,31.42514610,0.50769478,0.00318633,2.03913760,0.05644757
157,0.31189758,0.28084069,30.54166603,0.51210225,0.00311435,2.04544067,0.05580635
158,0.30084214,0.27065155,29.67107964,0.51647919,0.00304257,2.05169225,0.05515947
159,0.29008415,0.26074678,28.81357384,0.52082473,0.00297103,2.05789137,0.05450717
160,0.27961853,0.25112116,27.96931648,0.52513802,0.00289979,2.06403780,0.05384972
161,0.26944262,0.24177167,27.13871956,0.52941829,0.00282890,2.07012987,0.05318738
162,0.25955144,0.23269311,26.32188988,0.53366464,0.00275840,2.07616735,0.05252043
163,0.24994160,0.22388229,25.51875496,0.53787625,0.00268833,2.08214879,0.05184913
164,0.24060810,0.21533380,24.72961235,0.54205245,0.00261876,2.08807397,0.05117379
165,0.23154718,0.20704365,23.95478821,0.54619241,0.00254971,2.09394169,0.05049468
166,0.22275442,0.19900748,23.19415283,0.55029535,0.00248124,2.09975123,0.04981210
167,0.21422498,0.19122022,22.44796562,0.55436063,0.00241340,2.10550213,0.04912635
168,0.20595464,0.18367764,21.71625900,0.55838752,0.00234621,2.11119342,0.04843773
169,0.19793926,0.17637552,20.99908829,0.56237531,0.00227973,2.11682415,0.04774656
170,0.19017360,0.16930862,20.29643250,0.56632346,0.00221400,2.12239408,0.04705315
171,0.18265378,0.16247268,19.60872650,0.57023120,0.00214905,2.12790203,0.04635781
172,0.17537397,0.15586205,18.93573761,0.57409811,0.00208492,2.13334823,0.04566088
173,0.16833021,0.14947285,18.27741051,0.57792354,0.00202164,2.13873148,0.04496267
174,0.16151771,0.14329991,17.63413429,0.58170694,0.00195926,2.14405131,0.04426352
175,0.15493159,0.13733861,17.00563049,0.58544779,0.00189780,2.14930725,0.04356373
176,0.14856702,0.13158421,16.39183426,0.58914554,0.00183729,2.15449882,0.04286366
177,0.14241897,0.12603138,15.79300213,0.59279972,0.00177777,2.15962577,0.04216362
178,0.13648318,0.12067615,15.20890522,0.59641004,0.00171926,2.16468716,0.04146395
179,0.13075416,0.11551279,14.63972282,0.59997594,0.00166178,2.16968322,0.04076498
180,0.12522769,0.11053754,14.08503914,0.60349703,0.00160537,2.17461300,0.04006703
181,0.11989859,0.10574487,13.54520321,0.60697305,0.00155003,2.17947650,0.03937042
182,0.11476203,0.10113037,13.01975250,0.61040354,0.00149579,2.18427348,0.03867548
183,0.10981340,0.09668946,12.50870132,0.61378831,0.00144267,2.18900347,0.03798253
184,0.10504771,0.09241700,12.01219273,0.61712700,0.00139069,2.19366646,0.03729189
185,0.10046051,0.08830899,11.52975559,0.62041938,0.00133984,2.19826198,0.03660386
186,0.09604685,0.08436053,11.06136894,0.62366521,0.00129016,2.20279002,0.03591876
187,0.09180198,0.08056688,10.60698700,0.62686431,0.00124164,2.20725060,0.03523688
188,0.08772159,0.07692395,10.16642761,0.63001651,0.00119429,2.21164322,0.03455853
189,0.08380056,0.07342682,9.73947430,0.63312173,0.00114812,2.21596837,0.03388399
190,0.08003476,0.07007153,9.32593727,0.63617980,0.00110314,2.22022557,0.03321355
191,0.07641941,0.06685355,8.92560387,0.63919061,0.00105934,2.22441506,0.03254749
192,0.07295012,0.06376856,8.53839493,0.64215410,0.00101672,2.22853684,0.03188606
193,0.06962271,0.06081270,8.16396332,0.64507020,0.00097528,2.23259068,0.03122955
194,0.06643251,0.05798144,7.80220842,0.64793903,0.00093503,2.23657703,0.03057820
195,0.06337538,0.05527081,7.45291281,0.65076047,0.00089594,2.24049592,0.02993225
196,0.06044697,0.05267686,7.11571884,0.65353459,0.00085802,2.24434757,0.02929196
197,0.05764313,0.05019552,6.79052925,0.65626156,0.00082125,2.24813223,0.02865755
198,0.05496010,0.04782327,6.47710657,0.65894133,0.00078564,2.25184965,0.02802923
199,0.05239315,0.04555573,6.17508888,0.66157413,0.00075116,2.25550103,0.02740723
200,0.04993907,0.04338982,5.88437986,0.66416001,0.00071780,2.25908566,0.02679174
201,0.04759368,0.04132177,5.60452223,0.66669911,0.00068555,2.26260424,0.02618295
202,0.04535310,0.03934776,5.33548832,0.66919172,0.00065439,2.26605725,0.02558106
203,0.04321382,0.03746471,5.07684803,0.67163795,0.00062431,2.26944470,0.02498623
204,0.04117201,0.03566900,4.82837725,0.67403805,0.00059529,2.27276731,0.02439863
205,0.03922408,0.03395720,4.58992577,0.67639220,0.00056732,2.27602553,0.02381841
206,0.03736680,0.03232646,4.36109591,0.67870080,0.00054036,2.27921939,0.02324573
207,0.03559661,0.03077348,4.14165068,0.68096405,0.00051442,2.28234959,0.02268072
208,0.03391021,0.02929517,3.93137717,0.68318224,0.00048945,2.28541660,0.02212350
209,0.03230425,0.02788847,3.72996116,0.68535572,0.00046545,2.28842115,0.02157420
210,0.03077574,0.02655070,3.53710532,0.68748492,0.00044238,2.29136348,0.02103292
211,0.02932141,0.02527874,3.35268474,0.68957007,0.00042024,2.29424453,0.02049976
212,0.02793856,0.02407023,3.17631817,0.69161159,0.00039899,2.29706430,0.01997481
213,0.02662411,0.02292232,3.00779843,0.69360989,0.00037862,2.29982376,0.01945815
214,0.02537529,0.02183252,2.84684825,0.69556534,0.00035910,2.30252337,0.01894985
215,0.02418946,0.02079837,2.69327903,0.69747841,0.00034040,2.30516362,0.01844998
216,0.02306370,0.01981729,2.54673767,0.69934946,0.00032251,2.30774570,0.01795859
217,0.02199562,0.01888715,2.40698457,0.70117897,0.00030540,2.31026983,0.01747571
218,0.02098273,0.01800559,2.27388716,0.70296752,0.00028905,2.31273675,0.01700139
219,0.02002250,0.01717038,2.14713240,0.70471543,0.00027343,2.31514740,0.01653565
220,0.01911278,0.01637967,2.02642655,0.70642322,0.00025852,2.31750202,0.01607851
221,0.01825113,0.01563114,1.91165006,0.70809144,0.00024430,2.31980181,0.01562999
222,0.01743563,0.01492316,1.80251956,0.70972043,0.00023074,2.32204676,0.01519008
223,0.01666386,0.01425351,1.69882214,0.71131092,0.00021782,2.32423854,0.01475878
224,0.01593396,0.01362055,1.60034013,0.71286327,0.00020552,2.32637739,0.01433608
225,0.01524391,0.01302248,1.50686288,0.71437806,0.00019382,2.32846427,0.01392196
226,0.01459200,0.01245776,1.41819680,0.71585584,0.00018269,2.33049941,0.01351640
227,0.01397619,0.01192458,1.33414316,0.71729714,0.00017212,2.33248425,0.01311936
228,0.01339478,0.01142145,1.25446618,0.71870250,0.00016207,2.33441949,0.01273080
229,0.01284623,0.01094697,1.17903388,0.72007245,0.00015254,2.33630538,0.01235068
230,0.01232882,0.01049969,1.10757923,0.72140753,0.00014350,2.33814311,0.01197895
231,0.01184095,0.01007809,1.04002368,0.72270840,0.00013492,2.33993363,0.01161554
232,0.01138125,0.00968098,0.97616297,0.72397554,0.00012680,2.34167743,0.01126041
233,0.01094827,0.00930719,0.91575009,0.72520953,0.00011910,2.34337521,0.01091348
234,0.01054052,0.00895527,0.85872740,0.72641098,0.00011182,2.34502840,0.01057467
235,0.01015688,0.00862429,0.80490255,0.72758043,0.00010494,2.34663701,0.01024392
236,0.00979600,0.00831308,0.75410259,0.72871840,0.00009843,2.34820223,0.00992114
237,0.00945670,0.00802060,0.70619053,0.72982550,0.00009228,2.34972477,0.00960624
238,0.00913781,0.00774578,0.66104102,0.73090231,0.00008647,2.35120559,0.00929913
239,0.00883825,0.00748769,0.61853033,0.73194945,0.00008100,2.35264540,0.00899973
240,0.00855690,0.00724538,0.57847279,0.73296744,0.00007583,2.35404539,0.00870792
241,0.00829295,0.00701817,0.54075927,0.73395687,0.00007096,2.35540533,0.00842362
242,0.00804530,0.00680501,0.50531411,0.73491830,0.00006637,2.35672688,0.00814671
243,0.00781310,0.00660521,0.47197294,0.73585224,0.00006205,2.35801053,0.00787710
244,0.00759540,0.00641794,0.44063911,0.73675936,0.00005798,2.35925746,0.00761466
245,0.00739152,0.00624262,0.41121560,0.73764014,0.00005416,2.36046767,0.00735930
246,0.00720058,0.00607844,0.38359225,0.73849505,0.00005057,2.36164260,0.00711091
247,0.00702187,0.00592482,0.35767999,0.73932487,0.00004719,2.36278272,0.00686936
248,0.00685466,0.00578112,0.33337161,0.74013007,0.00004402,2.36388898,0.00663453
249,0.00669832,0.00564677,0.31059384,0.74091101,0.00004104,2.36496186,0.00640632
250,0.00655218,0.00552122,0.28924677,0.74166846,0.00003825,2.36600232,0.00618461
251,0.00641564,0.00540394,0.26925975,0.74240291,0.00003563,2.36701107,0.00596926
252,0.00628810,0.00529440,0.25054964,0.74311477,0.00003318,2.36798906,0.00576017
253,0.00616908,0.00519219,0.23304915,0.74380469,0.00003088,2.36893654,0.00555721
254,0.00605804,0.00509685,0.21668074,0.74447310,0.00002873,2.36985445,0.00536026
255,0.00595445,0.00500794,0.20136525,0.74512064,0.00002672,2.37074375,0.00516919
256,0.00585789,0.00492505,0.18707608,0.74574763,0.00002484,2.37160492,0.00498389
257,0.00576795,0.00484785,0.17371877,0.74635476,0.00002308,2.37243843,0.00480424
258,0.00568418,0.00477595,0.16126563,0.74694240,0.00002144,2.37324524,0.00463010
259,0.00560622,0.00470905,0.14963630,0.74751103,0.00001990,2.37402582,0.00446137
260,0.00553366,0.00464678,0.13880390,0.74806118,0.00001847,2.37478113,0.00429792
261,0.00546616,0.00458885,0.12869929,0.74859339,0.00001714,2.37551188,0.00413963
262,0.00540344,0.00453503,0.11928266,0.74910808,0.00001589,2.37621832,0.00398638
263,0.00534516,0.00448502,0.11051913,0.74960554,0.00001473,2.37690115,0.00383804
264,0.00529102,0.00443857,0.10235884,0.75008649,0.00001365,2.37756133,0.00369451
265,0.00524076,0.00439543,0.09477053,0.75055128,0.00001264,2.37819934,0.00355567
266,0.00519413,0.00435542,0.08769908,0.75100029,0.00001171,2.37881565,0.00342139
267,0.00515090,0.00431831,0.08114069,0.75143391,0.00001083,2.37941074,0.00329157
268,0.00511081,0.00428390,0.07504509,0.75185269,0.00001002,2.37998557,0.00316610
269,0.00507367,0.00425203,0.06937471,0.75225699,0.00000927,2.38054037,0.00304485
270,0.00503926,0.00422248,0.06411786,0.75264728,0.00000857,2.38107610,0.00292771
