iter,total,cd3d,cd3d_fwd,cd3d_bwd,cd3d_raw,cd3d_raw_fwd,cd3d_raw_bwd,cd2d,cd2d_fwd,cd2d_bwd,scale_reg,t_reg,scale,tx,ty,tz
0,0.18833768,0.00018425,0.00013753,0.00023096,0.01349452,0.01174768,0.01524136,40.92070007,17.59428024,64.24712372,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000
1,0.12611024,0.00012239,0.00008423,0.00016055,0.01094189,0.00918725,0.01269652,37.18922424,16.66340637,57.71503830,0.00002500,0.00007500,0.99501252,0.00500000,0.00500000,-0.00500000
2,0.08311994,0.00007959,0.00004958,0.00010961,0.00876466,0.00704542,0.01048390,35.25871277,16.18479156,54.33263779,0.00009783,0.00029161,0.99015802,0.00987622,0.00981198,-0.00988936
3,0.05463668,0.00005111,0.00002820,0.00007402,0.00696214,0.00531256,0.00861172,35.21925354,16.28475571,54.15375137,0.00021317,0.00062923,0.98550576,0.01455192,0.01429865,-0.01459523
4,0.03634311,0.00003267,0.00001576,0.00004958,0.00550838,0.00397098,0.00704578,36.69707870,16.68267250,56.71148682,0.00036357,0.00105697,0.98111296,0.01894598,0.01830097,-0.01905509
5,0.02489550,0.00002098,0.00000873,0.00003322,0.00436069,0.00295549,0.00576589,39.18002701,17.07340622,61.28664780,0.00054082,0.00154145,0.97701263,0.02299669,0.02174599,-0.02323165
6,0.01794994,0.00001368,0.00000489,0.00002248,0.00347684,0.00221099,0.00474268,42.63014984,17.64666557,67.61363220,0.00073685,0.00204933,0.97322005,0.02666068,0.02457359,-0.02710487
7,0.01378757,0.00000915,0.00000285,0.00001544,0.00280971,0.00168876,0.00393065,46.36179733,18.29689026,74.42670441,0.00094448,0.00255108,0.96973509,0.02991384,0.02674914,-0.03067126
8,0.01138729,0.00000638,0.00000179,0.00001096,0.00232466,0.00133807,0.00331126,50.07227325,18.99277115,81.15177917,0.00115760,0.00302486,0.96654868,0.03275484,0.02828964,-0.03393630
9,0.01000209,0.00000466,0.00000123,0.00000809,0.00197619,0.00110696,0.00284542,53.37198639,19.60042191,87.14354706,0.00137145,0.00345491,0.96364427,0.03518682,0.02922548,-0.03691439
10,0.00922291,0.00000361,0.00000094,0.00000628,0.00173793,0.00096915,0.00250670,56.06598663,20.08984947,92.04212189,0.00158237,0.00383365,0.96100187,0.03722782,0.02962568,-0.03962393
11,0.00880597,0.00000299,0.00000081,0.00000517,0.00158764,0.00090218,0.00227310,58.09917068,20.44655800,95.75178528,0.00178757,0.00415699,0.95860159,0.03889950,0.02954338,-0.04208332
12,0.00858699,0.00000263,0.00000078,0.00000449,0.00150104,0.00088398,0.00211810,59.46961975,20.66196823,98.27726746,0.00198503,0.00442378,0.95642430,0.04021959,0.02902904,-0.04431114
13,0.00847179,0.00000245,0.00000081,0.00000410,0.00146166,0.00089880,0.00202453,60.11923599,20.71481133,99.52365875,0.00217330,0.00463555,0.95445126,0.04120792,0.02813258,-0.04632512
14,0.00840227,0.00000239,0.00000087,0.00000390,0.00145480,0.00093379,0.00197581,60.07437897,20.67012405,99.47863770,0.00235136,0.00479542,0.95266610,0.04188690,0.02689408,-0.04814162
15,0.00835559,0.00000240,0.00000096,0.00000384,0.00146959,0.00097958,0.00195960,59.48557281,20.58417130,98.38697052,0.00251852,0.00490795,0.95105362,0.04227304,0.02536451,-0.04977528
16,0.00831771,0.00000247,0.00000107,0.00000387,0.00149961,0.00103211,0.00196712,58.42855072,20.43633270,96.42076874,0.00267432,0.00497956,0.94960058,0.04239128,0.02360354,-0.05123878
17,0.00827961,0.00000257,0.00000118,0.00000396,0.00153881,0.00108809,0.00198953,57.00898743,20.18139648,93.83657837,0.00281846,0.00501580,0.94829547,0.04226399,0.02165069,-0.05254339
18,0.00822494,0.00000270,0.00000131,0.00000408,0.00158259,0.00114473,0.00202046,55.20860291,19.72553635,90.69167328,0.00295077,0.00502244,0.94712800,0.04191705,0.01954031,-0.05369897
