iter,total,cd3d,cd3d_fwd,cd3d_bwd,cd3d_raw,cd3d_raw_fwd,cd3d_raw_bwd,cd2d,cd2d_fwd,cd2d_bwd,scale_reg,t_reg,scale,tx,ty,tz
0,32.97923660,0.03295173,0.03368518,0.03221828,0.43443727,0.46192244,0.40695211,27.50642776,11.29411983,43.71873474,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000
1,32.54206467,0.03252951,0.03331523,0.03174378,0.41932571,0.44648653,0.39216492,12.55986023,3.96204138,21.15767860,0.00002500,0.00007500,1.00501263,-0.00500000,0.00500000,0.00500000
2,32.08585739,0.03208013,0.03292105,0.03123921,0.40448475,0.43130308,0.37766641,5.72526836,1.08458102,10.36595535,0.00010012,0.00028322,1.01005626,-0.00924193,0.00988422,0.01000561
3,31.60572433,0.03160150,0.03250084,0.03070215,0.38989699,0.41636211,0.36343187,4.22849035,0.67071837,7.78626251,0.00022566,0.00058172,1.01513517,-0.01202494,0.01454307,0.01502057
4,31.09617043,0.03109120,0.03205261,0.03012978,0.37554258,0.40165165,0.34943354,4.97339106,1.01030445,8.93647766,0.00040206,0.00092802,1.02025390,-0.01303341,0.01887334,0.02004859
5,30.55427361,0.03054692,0.03157395,0.02951989,0.36140823,0.38715276,0.33566368,7.35419798,1.68232667,13.02606964,0.00062994,0.00130975,1.02541637,-0.01274091,0.02275402,0.02509331
6,29.97711945,0.02996637,0.03106198,0.02887075,0.34748381,0.37284133,0.32212627,10.75068665,2.50536251,18.99600983,0.00091005,0.00171734,1.03062665,-0.01160196,0.02594629,0.03015825
7,29.36077309,0.02934698,0.03051340,0.02818056,0.33375561,0.35869062,0.30882061,13.79173088,3.22596312,24.35749817,0.00124328,0.00214081,1.03588915,-0.01000274,0.02825639,0.03524680
8,28.70146561,0.02868599,0.02992469,0.02744728,0.32021004,0.34467974,0.29574037,15.47619343,3.69555426,27.25683212,0.00163065,0.00257474,1.04120779,-0.00828176,0.02961492,0.04036217
9,27.99610710,0.02798056,0.02929244,0.02666868,0.30683625,0.33079776,0.28287473,15.54021645,3.86774468,27.21268845,0.00207333,0.00302172,1.04658639,-0.00672278,0.03009328,0.04550740
10,27.24227715,0.02722801,0.02861339,0.02584263,0.29362795,0.31704238,0.27021351,14.26319313,3.70482826,24.82155800,0.00257256,0.00349063,1.05202878,-0.00560712,0.02983605,0.05068530
11,26.43807983,0.02642585,0.02788454,0.02496717,0.28058285,0.30341825,0.25774741,12.21919918,3.32004952,21.11834908,0.00312974,0.00399399,1.05753851,-0.00517870,0.02902641,0.05589844
12,25.58202934,0.02557208,0.02710333,0.02404083,0.26770350,0.28993633,0.24547069,9.93993855,2.80513954,17.07473755,0.00374631,0.00454501,1.06311917,-0.00550029,0.02784864,0.06114912
13,24.67325592,0.02466536,0.02626781,0.02306291,0.25499737,0.27661261,0.23338217,7.88692856,2.29637027,13.47748661,0.00442382,0.00515735,1.06877363,-0.00647564,0.02648095,0.06643928
14,23.71124649,0.02370498,0.02537649,0.02203346,0.24247277,0.26346317,0.22148237,6.25983715,1.86194062,10.65773392,0.00516383,0.00584339,1.07450473,-0.00794377,0.02508546,0.07177050
15,22.69622612,0.02269096,0.02442854,0.02095337,0.23013794,0.25050369,0.20977218,5.25820923,1.63726020,8.87915802,0.00596797,0.00661267,1.08031499,-0.00970458,0.02381827,0.07714389
16,21.62907219,0.02162415,0.02342398,0.01982432,0.21800038,0.23774987,0.19825089,4.90616083,1.69517577,8.11714554,0.00683782,0.00747041,1.08620632,-0.01151891,0.02283779,0.08256005
17,20.51147270,0.02050643,0.02236374,0.01864913,0.20606703,0.22521590,0.18691814,5.02305460,1.95657384,8.08953571,0.00777492,0.00841500,1.09217989,-0.01310728,0.02226804,0.08801895
18,19.34643936,0.01934108,0.02124993,0.01743223,0.19434626,0.21291547,0.17577706,5.34215069,2.31302571,8.37127590,0.00878072,0.00943914,1.09823620,-0.01420796,0.02216578,0.09351979
19,18.13883209,0.01813315,0.02008604,0.01618026,0.18284953,0.20086220,0.16483687,5.66353035,2.64028859,8.68677235,0.00985648,0.01053561,1.10437524,-0.01465344,0.02253469,0.09906095
20,16.89588165,0.01688988,0.01887711,0.01490266,0.17159271,0.18906929,0.15411612,5.97507286,2.91316867,9.03697681,0.01100322,0.01170351,1.11059535,-0.01449509,0.02332212,0.10463975
21,15.62727737,0.01562086,0.01763016,0.01361156,0.16059652,0.17755246,0.14364056,6.39040661,3.17031884,9.61049461,0.01222163,0.01294565,1.11689377,-0.01388975,0.02443651,0.11025236
22,14.34467220,0.01433762,0.01635389,0.01232135,0.14988318,0.16632617,0.13344020,7.02666855,3.48954821,10.56378841,0.01351195,0.01426604,1.12326634,-0.01310440,0.02574887,0.11589352
23,13.06122303,0.01305324,0.01505876,0.01104772,0.13947508,0.15540522,0.12354492,7.95271301,3.96012783,11.94529819,0.01487383,0.01566567,1.12970698,-0.01242202,0.02711835,0.12155642
24,11.79099274,0.01178186,0.01375692,0.00980681,0.12939383,0.14480487,0.11398280,9.09623718,4.61303425,13.57944107,0.01630620,0.01714113,1.13620722,-0.01212146,0.02839203,0.12723243
25,10.54862309,0.01053834,0.01246206,0.00861463,0.11966196,0.13454241,0.10478150,10.24133015,5.37565184,15.10700893,0.01780715,0.01868169,1.14275658,-0.01224969,0.02943284,0.13291104
26,9.34895897,0.00933773,0.01118923,0.00748624,0.11030351,0.12463860,0.09596842,11.18607903,6.19370365,16.17845535,0.01937372,0.02027551,1.14934194,-0.01278492,0.03012866,0.13857965
27,8.20629025,0.00819451,0.00995434,0.00643468,0.10134357,0.11511858,0.08756857,11.73517609,6.94279957,16.52755356,0.02100181,0.02191013,1.15594709,-0.01358195,0.03041724,0.14422360
28,7.13359737,0.00712179,0.00877339,0.00547019,0.09280746,0.10601109,0.07960383,11.76282597,7.44893980,16.07671165,0.02268604,0.02357363,1.16255343,-0.01440819,0.03030040,0.14982629
29,6.14168310,0.00613038,0.00766117,0.00459959,0.08471857,0.09734540,0.07209174,11.25182438,7.57421350,14.92943573,0.02441972,0.02525620,1.16913962,-0.01506199,0.02982773,0.15536937
30,5.23852873,0.00522821,0.00663013,0.00382629,0.07709737,0.08914848,0.06504627,10.26397324,7.25645590,13.27149105,0.02619486,0.02694899,1.17568183,-0.01537142,0.02907579,0.16083318
31,4.42883778,0.00441981,0.00568953,0.00315010,0.06995934,0.08144316,0.05847552,8.96808434,6.54054499,11.39562321,0.02800227,0.02864739,1.18215477,-0.01527350,0.02815280,0.16619726
32,3.71400046,0.00370634,0.00484473,0.00256796,0.06331490,0.07424536,0.05238444,7.59839964,5.62224483,9.57455444,0.02983174,0.03034931,1.18853176,-0.01482235,0.02715847,0.17144103
33,3.09210968,0.00308570,0.00409736,0.00207404,0.05716744,0.06756451,0.04677036,6.34590530,4.69608021,7.99572992,0.03167232,0.03205342,1.19478619,-0.01410878,0.02619859,0.17654459
34,2.55848813,0.00255314,0.00344540,0.00166088,0.05151440,0.06140148,0.04162732,5.27923393,3.85954309,6.69892454,0.03351272,0.03375528,1.20089221,-0.01320601,0.02534767,0.18148933
35,2.10633731,0.00210181,0.00288387,0.00131974,0.04634585,0.05574897,0.03694273,4.46094179,3.20964408,5.71223974,0.03534160,0.03545079,1.20682585,-0.01227209,0.02465522,0.18625870
36,1.72755516,0.00172363,0.00240578,0.00104149,0.04164719,0.05059379,0.03270058,3.84889984,2.72522712,4.97257233,0.03714802,0.03713081,1.21256530,-0.01134732,0.02413828,0.19083866
37,1.41341984,0.00140991,0.00200280,0.00081703,0.03739855,0.04591690,0.02888020,3.42930484,2.40442038,4.45418930,0.03892174,0.03878693,1.21809232,-0.01050920,0.02379906,0.19521806
38,1.15511405,0.00115189,0.00166601,0.00063776,0.03357604,0.04169436,0.02545772,3.14515781,2.20306182,4.08725357,0.04065347,0.04040923,1.22339165,-0.00978698,0.02361273,0.19938877
39,0.94422138,0.00094118,0.00138650,0.00049586,0.03015277,0.03789829,0.02240724,2.95890903,2.08571672,3.83210135,0.04233516,0.04198829,1.22845232,-0.00919150,0.02354374,0.20334576
40,0.77303904,0.00077010,0.00115577,0.00038443,0.02710030,0.03449871,0.01970189,2.84858942,2.02921009,3.66796875,0.04396004,0.04351617,1.23326671,-0.00874136,0.02355392,0.20708686
41,0.63469738,0.00063182,0.00096610,0.00029754,0.02438922,0.03146444,0.01731401,2.78452539,2.00891662,3.56013393,0.04552267,0.04498571,1.23783076,-0.00841375,0.02360671,0.21061254
42,0.52323592,0.00052040,0.00081061,0.00023018,0.02198987,0.02876414,0.01521561,2.74694586,2.00769687,3.48619509,0.04701897,0.04639155,1.24214351,-0.00818849,0.02367172,0.21392556
43,0.43357599,0.00043076,0.00068334,0.00017818,0.01987270,0.02636702,0.01337838,2.71637678,2.01017833,3.42257500,0.04844610,0.04772929,1.24620724,-0.00801421,0.02372293,0.21703061
44,0.36147809,0.00035870,0.00057922,0.00013818,0.01800926,0.02424316,0.01177537,2.67916489,2.00349092,3.35483861,0.04980236,0.04899631,1.25002611,-0.00786515,0.02373818,0.21993397
45,0.30345955,0.00030073,0.00049398,0.00010748,0.01637268,0.02236408,0.01038128,2.62988114,1.98715091,3.27261138,0.05108708,0.05019133,1.25360644,-0.00772554,0.02369972,0.22264314
46,0.25668278,0.00025402,0.00042407,0.00008396,0.01493792,0.02070311,0.00917272,2.56071067,1.95196831,3.16945291,0.05230049,0.05131410,1.25695610,-0.00758309,0.02359356,0.22516648
47,0.21886784,0.00021629,0.00036663,0.00006595,0.01368196,0.01923598,0.00812793,2.46920180,1.89621890,3.04218459,0.05344355,0.05236541,1.26008427,-0.00741783,0.02341396,0.22751303
48,0.18817829,0.00018572,0.00031927,0.00005216,0.01258339,0.01793991,0.00722687,2.35485506,1.81586468,2.89384532,0.05451782,0.05334696,1.26300085,-0.00721953,0.02315949,0.22969213
49,0.16318071,0.00016084,0.00028010,0.00004158,0.01162330,0.01679513,0.00645146,2.23122478,1.72913861,2.73331094,0.05552536,0.05426149,1.26571631,-0.00699856,0.02283531,0.23171331
50,0.14273345,0.00014052,0.00024759,0.00003344,0.01078470,0.01578386,0.00578553,2.10552454,1.63530445,2.57574487,0.05646856,0.05511221,1.26824129,-0.00676222,0.02245019,0.23358610
51,0.12591712,0.00012383,0.00022049,0.00002717,0.01005211,0.01488987,0.00521434,1.97525811,1.53810561,2.41241050,0.05735013,0.05590259,1.27058685,-0.00652151,0.02201372,0.23531990
52,0.11202280,0.00011006,0.00019780,0.00002231,0.00941196,0.01409906,0.00472485,1.85185313,1.44296765,2.26073861,0.05817293,0.05663599,1.27276373,-0.00627590,0.02153336,0.23692386
53,0.10047794,0.00009863,0.00017873,0.00001853,0.00885200,0.01339883,0.00430516,1.73552597,1.35319233,2.11785960,0.05893996,0.05731598,1.27478254,-0.00603187,0.02101836,0.23840684
54,0.09083735,0.00008909,0.00016262,0.00001555,0.00836139,0.01277832,0.00394446,1.63260055,1.27302742,1.99217355,0.05965426,0.05794610,1.27665365,-0.00578761,0.02048022,0.23977733
55,0.08274097,0.00008108,0.00014896,0.00001320,0.00793098,0.01222783,0.00363414,1.53929782,1.19917142,1.87942433,0.06031888,0.05852993,1.27838695,-0.00556205,0.01992646,0.24104342
56,0.07591075,0.00007433,0.00013732,0.00001133,0.00755274,0.01173860,0.00336687,1.46361017,1.13847995,1.78874052,0.06093684,0.05907077,1.27999210,-0.00536454,0.01936395,0.24221279
57,0.07012545,0.00006859,0.00012736,0.00000983,0.00721969,0.01130324,0.00313613,1.40964699,1.09627354,1.72302032,0.06151108,0.05957216,1.28147829,-0.00520759,0.01880725,0.24329267
58,0.06519645,0.00006371,0.00011879,0.00000862,0.00692602,0.01091535,0.00293670,1.36770952,1.06323600,1.67218304,0.06204447,0.06003686,1.28285396,-0.00508187,0.01826191,0.24428988
