iter,total,cd3d,cd3d_fwd,cd3d_bwd,cd3d_raw,cd3d_raw_fwd,cd3d_raw_bwd,cd2d,cd2d_fwd,cd2d_bwd,scale_reg,t_reg,scale,tx,ty,tz
0,15.67092896,0.01475458,0.01074998,0.01875918,0.15460043,0.12124696,0.18795389,916.34643555,300.47717285,1532.21569824,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000
1,14.47154045,0.01365420,0.00965164,0.01765675,0.14529002,0.11278801,0.17779204,817.34362793,269.52062988,1365.16662598,0.00002500,0.00007500,1.00501263,0.00500000,0.00500000,0.00500000
2,13.29755497,0.01258084,0.00861023,0.01655144,0.13638929,0.10474739,0.16803119,716.71832275,230.14724731,1203.28942871,0.00009997,0.00020770,1.01004887,0.00281528,0.00999039,0.00999842
3,12.15728378,0.01152577,0.00761982,0.01543171,0.12776387,0.09702034,0.15850739,631.51818848,198.64096069,1064.39538574,0.00022480,0.00046195,1.01510620,0.00364847,0.01496232,0.01499227
4,11.05590057,0.01049677,0.00668739,0.01430614,0.11942326,0.08960953,0.14923699,559.13360596,173.18376160,945.08343506,0.00039923,0.00083450,1.02018166,0.00624825,0.01990804,0.01997815
5,10.00269318,0.00950465,0.00582036,0.01318893,0.11140297,0.08253178,0.14027417,498.04589844,152.57038879,843.52142334,0.00062283,0.00132963,1.02527058,0.00955131,0.02481578,0.02495148
6,9.00577164,0.00855819,0.00502606,0.01209032,0.10372642,0.07581784,0.13163501,447.58160400,136.90426636,758.25891113,0.00089488,0.00194900,1.03036654,0.01319941,0.02967118,0.02990641
7,8.07224846,0.00766622,0.00431074,0.01102170,0.09642616,0.06950842,0.12334391,406.02456665,124.89818573,687.15093994,0.00121434,0.00267805,1.03546154,0.01664651,0.03445876,0.03483583
8,7.20497465,0.00683580,0.00367708,0.00999451,0.08953106,0.06363431,0.11542782,369.17172241,113.72809601,624.61535645,0.00157972,0.00346247,1.04054618,0.01871873,0.03915979,0.03973142
9,6.40473127,0.00606793,0.00312069,0.00901517,0.08302952,0.05817866,0.10788038,336.79553223,103.39424133,570.19683838,0.00198916,0.00429588,1.04560947,0.01983048,0.04375996,0.04458361
10,5.67428446,0.00536474,0.00263677,0.00809270,0.07692711,0.05313053,0.10072369,309.54129028,94.78011322,524.30249023,0.00244033,0.00518651,1.05064023,0.02050184,0.04824517,0.04938205
11,5.01417923,0.00472742,0.00222129,0.00723355,0.07123337,0.04849633,0.09397041,286.75009155,87.81694794,485.68322754,0.00293043,0.00612430,1.05562556,0.02071925,0.05259747,0.05411581
12,4.42264223,0.00415431,0.00186822,0.00644040,0.06594199,0.04426903,0.08761495,268.32086182,82.44860077,454.19314575,0.00345620,0.00710891,1.06055188,0.02069945,0.05679876,0.05877365
