iter,total,cd3d,cd3d_fwd,cd3d_bwd,cd3d_raw,cd3d_raw_fwd,cd3d_raw_bwd,cd2d,cd2d_fwd,cd2d_bwd,scale_reg,t_reg,scale,tx,ty,tz
0,39.97761536,0.03993868,0.03993815,0.03993920,5.10427523,5.08236694,5.12618351,38.93682098,8.71557617,69.15806580,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000
1,39.96302795,0.03993811,0.03993757,0.03993865,5.08101273,5.05879354,5.10323238,24.91488647,3.43467832,46.39509583,0.00002500,0.00007500,1.00501263,-0.00500000,-0.00500000,-0.00500000
2,39.95698547,0.03993746,0.03993690,0.03993801,5.05421591,5.03165245,5.07677937,19.52815056,1.52786398,37.52843857,0.00009989,0.00026967,1.01004469,-0.00955905,-0.00976111,-0.00911153
3,39.95647049,0.03993659,0.03993601,0.03993717,5.01961327,4.99662638,5.04259968,19.87407303,1.59135163,38.15679550,0.00022487,0.00049417,1.01510882,-0.01294190,-0.01408305,-0.01132894
4,39.95711136,0.03993544,0.03993483,0.03993605,4.97435093,4.95082188,4.99787951,21.67644691,2.01573086,41.33716202,0.00040054,0.00064243,1.02021527,-0.01451945,-0.01766921,-0.01092749
5,39.95626068,0.03993407,0.03993342,0.03993472,4.92260361,4.89841318,4.94679356,22.18591690,2.06634450,42.30548859,0.00062762,0.00070009,1.02536881,-0.01443231,-0.02034791,-0.00881850
6,39.95381546,0.03993258,0.03993189,0.03993327,4.86769772,4.84276772,4.89262819,21.23768616,1.80382335,40.67155075,0.00090676,0.00069809,1.03057039,-0.01324966,-0.02212591,-0.00574262
7,39.95059967,0.03993099,0.03993025,0.03993173,4.81122208,4.78551006,4.83693457,19.60782623,1.50172830,37.71392441,0.00123844,0.00067146,1.03581810,-0.01143362,-0.02315985,-0.00208626
8,39.94736862,0.03992932,0.03992853,0.03993011,4.75388670,4.72738123,4.78039217,18.05507278,1.35440183,34.75574493,0.00162294,0.00065000,1.04110825,-0.00933929,-0.02364226,0.00195371
9,39.94463730,0.03992757,0.03992673,0.03992841,4.69603348,4.66874695,4.72332001,17.06260681,1.46476448,32.66044998,0.00206046,0.00065613,1.04643834,-0.00725115,-0.02375594,0.00626151
10,39.94237137,0.03992574,0.03992485,0.03992664,4.63783216,4.60979986,4.66586447,16.62832451,1.70210218,31.55454826,0.00255123,0.00070644,1.05180705,-0.00543001,-0.02369165,0.01075473
11,39.94034576,0.03992384,0.03992288,0.03992479,4.57936287,4.55063438,4.60809183,16.50484848,1.91647863,31.09321976,0.00309571,0.00080978,1.05721605,-0.00404892,-0.02360260,0.01537231
12,39.93830872,0.03992185,0.03992083,0.03992286,4.52066517,4.49129438,4.55003548,16.45959282,2.01932859,30.89985657,0.00369458,0.00097120,1.06266832,-0.00319272,-0.02363892,0.02005522
13,39.93608093,0.03991978,0.03991870,0.03992085,4.46177197,4.43181276,4.49173164,16.30123520,1.96007335,30.64239693,0.00434876,0.00119279,1.06816804,-0.00285776,-0.02392026,0.02474753
14,39.93361282,0.03991761,0.03991647,0.03991875,4.40273285,4.37222672,4.43323851,15.99577045,1.78682280,30.20471764,0.00505946,0.00147413,1.07372069,-0.00295900,-0.02451484,0.02940064
15,39.93095398,0.03991536,0.03991415,0.03991656,4.34360361,4.31258202,4.37462521,15.58798981,1.54920292,29.62677574,0.00582811,0.00181356,1.07933176,-0.00338349,-0.02545288,0.03397443
16,39.92818451,0.03991301,0.03991174,0.03991429,4.28446150,4.25294018,4.31598282,15.15872478,1.33680165,28.98064804,0.00665637,0.00220774,1.08500719,-0.00398662,-0.02673969,0.03842967
17,39.92533875,0.03991056,0.03990921,0.03991191,4.22534466,4.19332457,4.25736475,14.76645565,1.17441452,28.35849762,0.00754609,0.00265243,1.09075308,-0.00462677,-0.02834888,0.04274767
