iter,total,cd3d,cd3d_fwd,cd3d_bwd,cd3d_raw,cd3d_raw_fwd,cd3d_raw_bwd,cd2d,cd2d_fwd,cd2d_bwd,scale_reg,t_reg,scale,tx,ty,tz
0,39.98306656,0.03994780,0.03994695,0.03994865,5.53344631,5.48815727,5.57873535,35.26658249,1.00057530,69.53259277,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000
1,39.98161316,0.03994655,0.03994566,0.03994744,5.46833134,5.42265701,5.51400566,35.06444931,0.99657732,69.13232422,0.00002500,0.00007500,1.00501263,0.00500000,-0.00500000,0.00500000
2,39.97882843,0.03994548,0.03994456,0.03994641,5.41456032,5.36833620,5.46078396,33.34334946,0.95426834,65.73242950,0.00010011,0.00012462,1.01005590,0.00455313,-0.00201739,0.00999075
3,39.97718430,0.03994434,0.03994337,0.03994532,5.35871887,5.31185293,5.40558434,32.84061432,0.88109756,64.80013275,0.00022546,0.00022605,1.01512849,0.00266541,-0.00087877,0.01477076
4,39.97528458,0.03994312,0.03994210,0.03994413,5.30054617,5.25300550,5.34808683,32.16580200,0.89832604,63.43328094,0.00040122,0.00037408,1.02023256,0.00088150,-0.00244140,0.01916619
5,39.97296143,0.03994183,0.03994077,0.03994290,5.24173927,5.19355249,5.28992605,31.12648773,0.88164407,61.37133026,0.00062769,0.00057240,1.02537012,-0.00000858,-0.00516305,0.02336117
6,39.97046280,0.03994050,0.03993938,0.03994162,5.18236017,5.13356829,5.23115206,29.96431160,0.79673839,59.13188553,0.00090518,0.00083044,1.03054345,-0.00002504,-0.00837316,0.02757416
7,39.96820450,0.03993910,0.03993793,0.03994027,5.12250042,5.07313585,5.17186451,29.10575485,0.73800623,57.47350311,0.00123416,0.00115460,1.03575504,0.00047890,-0.01164294,0.03191886
8,39.96628571,0.03993765,0.03993642,0.03993888,5.06258965,5.01266670,5.11251211,28.63445854,0.74508172,56.52383423,0.00161527,0.00153873,1.04100895,0.00100823,-0.01450727,0.03643151
9,39.96430206,0.03993616,0.03993487,0.03993744,5.00311852,4.95263815,5.05359888,28.13902092,0.76101589,55.51702499,0.00204931,0.00196619,1.04630959,0.00117478,-0.01660176,0.04109979
