iter,total,corr,reproj,scale_reg,tz_reg,scale,tz
0,6.19369650,6.19319630,0.50001729,0.00000000,0.00000000,1.00000000,0.00000000
1,6.13695002,6.13374043,3.20961261,0.00002500,0.00002500,1.00501263,0.00500000
2,6.08301067,6.07453394,8.47660255,0.00010000,0.00009942,1.01005030,0.00997087
3,6.03176498,6.01568365,16.08117676,0.00022501,0.00022167,1.01511347,0.01488860
4,5.98307467,5.95731354,25.76018524,0.00040005,0.00038909,1.02020276,0.01972535
5,5.93676949,5.89956331,37.20501328,0.00062516,0.00059777,1.02531826,0.02444944
6,5.89264441,5.84258318,50.05947495,0.00090037,0.00084248,1.03046083,0.02902551
7,5.85046291,5.78653622,63.92411041,0.00122575,0.00111657,1.03563082,0.03341518
8,5.80995607,5.73158932,78.36407471,0.00160139,0.00141212,1.04082882,0.03757817
9,5.77083206,5.67790556,92.92271423,0.00202739,0.00172009,1.04605567,0.04147394
10,5.73278522,5.62564087,107.14014435,0.00250386,0.00203075,1.05131173,0.04506383
11,5.69550991,5.57492638,120.57817841,0.00303093,0.00233419,1.05659759,0.04831342
12,5.65871286,5.52586174,132.84469604,0.00360874,0.00262091,1.06191385,0.05119481
13,5.62213373,5.47851133,143.61509705,0.00423741,0.00288245,1.06726074,0.05368849
14,5.58555079,5.43289423,152.64830017,0.00491710,0.00311191,1.07263899,0.05578451
15,5.54879808,5.38899088,159.79826355,0.00564792,0.00330427,1.07804871,0.05748275
16,5.51175928,5.34673977,165.00981140,0.00643001,0.00345655,1.08349001,0.05879243
17,5.47437048,5.30604839,168.31155396,0.00726346,0.00356779,1.08896303,0.05973100
18,5.43661213,5.26679564,169.80465698,0.00814837,0.00363882,1.09446788,0.06032266
19,5.39849806,5.22883940,169.64555359,0.00908481,0.00367198,1.10000443,0.06059684
20,5.36007023,5.19202662,168.02963257,0.01007284,0.00367075,1.10557282,0.06058671
21,5.32138777,5.15619612,165.17701721,0.01111250,0.00363946,1.11117268,0.06032790
22,5.28251886,5.12118340,161.31913757,0.01220381,0.00358292,1.11680377,0.05985748
23,5.24352503,5.08682108,156.68740845,0.01334677,0.00350619,1.12246621,0.05921307
24,5.20447302,5.05294847,151.50665283,0.01454138,0.00341432,1.12815964,0.05843217
25,5.16541386,5.01940918,145.98542786,0.01578763,0.00331219,1.13388383,0.05755160
26,5.12638569,4.98605013,140.31497192,0.01708549,0.00320435,1.13963890,0.05660697
27,5.08741570,4.95273066,134.66354370,0.01843495,0.00309495,1.14542460,0.05563227
28,5.04851961,4.91931963,129.17703247,0.01983598,0.00298765,1.15124071,0.05465940
29,5.00969791,4.88569736,123.97607422,0.02128855,0.00288559,1.15708733,0.05371772
