iter,total,corr,reproj,scale_reg,tz_reg,scale,tz
0,5.51572704,5.51522684,0.50001919,0.00000000,0.00000000,1.00000000,0.00000000
1,5.45667505,5.45445156,2.22372389,0.00002500,0.00002500,1.00501263,0.00500000
2,5.39987755,5.39392281,5.95467758,0.00010000,0.00009957,1.01005018,0.00997832
3,5.34525967,5.33371353,11.54636955,0.00022500,0.00022255,1.01511300,0.01491801
4,5.29273176,5.27390051,18.83051109,0.00040001,0.00039205,1.02020156,0.01980016
5,5.24219084,5.21457434,27.61570358,0.00062503,0.00060535,1.02531588,0.02460389
6,5.19351578,5.15582514,37.68864822,0.00090011,0.00085887,1.03045630,0.02930645
7,5.14656496,5.09774828,48.81410599,0.00122526,0.00114809,1.03562343,0.03388346
8,5.10118389,5.04044342,60.73764420,0.00160053,0.00146760,1.04081762,0.03830924
9,5.05720425,4.98401022,73.19014740,0.00202598,0.00181113,1.04603922,0.04255736
10,5.01444292,4.92854548,85.89256287,0.00250168,0.00217168,1.05128872,0.04660134
11,4.97271061,4.87414074,98.56472015,0.00302771,0.00254172,1.05656672,0.05041548
12,4.93181801,4.82087946,110.93164825,0.00360416,0.00291339,1.06187344,0.05397579
13,4.89157581,4.76883268,122.73525238,0.00423113,0.00327882,1.06720924,0.05726097
14,4.85180092,4.71805048,133.74186707,0.00490870,0.00363046,1.07257485,0.06025328
15,4.81233406,4.66857290,143.75167847,0.00563699,0.00396136,1.07797015,0.06293933
16,4.77302599,4.62041092,152.60443115,0.00641608,0.00426547,1.08339584,0.06531058
17,4.73375654,4.57356167,160.18287659,0.00724607,0.00453786,1.08885193,0.06736364
18,4.69443035,4.52800083,166.41648865,0.00812705,0.00477485,1.09433854,0.06910026
19,4.65497541,4.48368359,171.27792358,0.00905908,0.00497407,1.09985590,0.07052708
20,4.61534643,4.44055033,174.78100586,0.01004223,0.00513447,1.10540414,0.07165519
21,4.57552195,4.39852905,176.97653198,0.01107654,0.00525619,1.11098301,0.07249959
22,4.53549623,4.35753536,177.94334412,0.01216204,0.00534047,1.11659253,0.07307849
23,4.49528122,4.31747723,177.78529358,0.01329875,0.00538943,1.12223268,0.07341272
24,4.45489693,4.27825451,176.62301636,0.01448666,0.00540593,1.12790346,0.07352504
25,4.41437912,4.23977041,174.58747864,0.01572574,0.00539338,1.13360441,0.07343963
26,4.37375641,4.20191765,171.81636047,0.01701598,0.00535553,1.13933563,0.07318150
27,4.33306646,4.16459608,168.44694519,0.01835733,0.00529636,1.14509690,0.07277609
28,4.29234552,4.12770653,164.61434937,0.01974972,0.00521989,1.15088785,0.07224883
29,4.25162220,4.09114933,160.44685364,0.02119309,0.00513011,1.15670860,0.07162481
30,4.21092653,4.05483341,156.06495667,0.02268737,0.00503085,1.16255856,0.07092846
31,4.17027426,4.01866770,151.57749939,0.02423246,0.00492569,1.16843796,0.07018329
32,4.12968540,3.98257208,147.08283997,0.02582829,0.00481797,1.17434657,0.06941161
33,4.08916998,3.94647145,142.66609192,0.02747477,0.00471067,1.18028402,0.06863429
34,4.04872990,3.91029501,138.40092468,0.02917179,0.00460642,1.18625057,0.06787062
35,4.00836754,3.87398434,134.34799194,0.03091927,0.00450752,1.19224584,0.06713806
36,3.96807957,3.83748627,130.55612183,0.03271712,0.00441588,1.19826984,0.06645211
37,3.92785954,3.80075812,127.06259155,0.03456524,0.00433309,1.20432258,0.06582618
38,3.88769960,3.76376390,123.89497375,0.03646353,0.00426037,1.21040404,0.06527153
39,3.84759021,3.72647667,121.07096100,0.03841192,0.00419868,1.21651423,0.06479719
40,3.80752540,3.68888116,118.59984589,0.04041030,0.00414864,1.22265303,0.06440997
41,3.76749659,3.65096664,116.48339081,0.04245858,0.00411067,1.22882056,0.06411453
42,3.72749901,3.61273360,114.71667480,0.04455668,0.00408492,1.23501670,0.06391339
43,3.68752599,3.57418513,113.29015350,0.04670450,0.00407135,1.24124181,0.06380712
44,3.64757919,3.53533721,112.18895721,0.04890195,0.00406973,1.24749541,0.06379445
45,3.60765553,3.49620605,111.39412689,0.05114893,0.00407969,1.25377798,0.06387243
46,3.56775928,3.45681739,110.88439941,0.05344535,0.00410070,1.26008916,0.06403668
47,3.52789092,3.41719580,110.63524628,0.05579110,0.00413212,1.26642942,0.06428155
48,3.48805761,3.37737441,110.62078857,0.05818608,0.00417320,1.27279842,0.06460034
49,3.44826436,3.33738565,110.81383514,0.06063016,0.00422312,1.27919626,0.06498556
50,3.40851712,3.29726410,111.18547058,0.06312324,0.00428097,1.28562295,0.06542909
51,3.36882401,3.25704694,111.70715332,0.06566518,0.00434577,1.29207850,0.06592242
52,3.32919073,3.21676826,112.34966278,0.06825584,0.00441651,1.29856288,0.06645683
53,3.28962421,3.17646408,113.08486176,0.07089508,0.00449216,1.30507600,0.06702358
54,3.25013137,3.13616776,113.88545990,0.07358276,0.00457166,1.31161785,0.06761404
55,3.21071815,3.09591317,114.72396851,0.07631871,0.00465395,1.31818843,0.06821990
56,3.17138934,3.05572987,115.57561493,0.07910274,0.00473801,1.32478750,0.06883322
57,3.13215184,3.01564717,116.41778564,0.08193468,0.00482283,1.33141494,0.06944661
58,3.09300804,2.97568941,117.22885132,0.08481432,0.00490746,1.33807099,0.07005323
59,3.05396485,2.93588305,117.98895264,0.08774146,0.00499099,1.34475493,0.07064695
60,3.01502275,2.89624524,118.68191528,0.09071586,0.00507262,1.35146713,0.07122233
61,2.97618937,2.85679626,119.29424286,0.09373730,0.00515161,1.35820699,0.07177468
62,2.93746543,2.81754994,119.81343842,0.09680552,0.00522730,1.36497462,0.07230008
63,2.89885545,2.77851892,120.23132324,0.09992027,0.00529916,1.37176967,0.07279534
64,2.86036325,2.73971438,120.54039764,0.10308125,0.00536674,1.37859190,0.07325803
65,2.82199049,2.70114088,120.73785400,0.10628819,0.00542969,1.38544130,0.07368644
66,2.78374362,2.66280723,120.82157135,0.10954078,0.00548777,1.39231718,0.07407951
67,2.74562430,2.62471437,120.79162598,0.11283869,0.00554084,1.39921975,0.07443679
68,2.70763755,2.58686614,120.64983368,0.11618160,0.00558883,1.40614831,0.07475845
69,2.66978908,2.54926348,120.40022278,0.11956916,0.00563177,1.41310263,0.07504512
70,2.63208008,2.51190305,120.04832458,0.12300102,0.00566977,1.42008257,0.07529789
71,2.59451628,2.47478366,119.60064697,0.12647679,0.00570301,1.42708766,0.07551825
72,2.55710292,2.43790340,119.06377411,0.12999611,0.00573170,1.43411767,0.07570797
73,2.51984477,2.40125918,118.44631195,0.13355854,0.00575612,1.44117200,0.07586910
74,2.48274684,2.36484790,117.75600433,0.13716370,0.00577658,1.44825029,0.07600383
75,2.44581223,2.32866406,117.00141907,0.14081116,0.00579342,1.45535254,0.07611452
76,2.40904737,2.29270530,116.19180298,0.14450049,0.00580698,1.46247792,0.07620356
77,2.37245631,2.25696778,115.33461761,0.14823124,0.00581763,1.46962631,0.07627337
78,2.33604527,2.22144938,114.43794250,0.15200296,0.00582571,1.47679698,0.07632633
79,2.29981732,2.18614602,113.50955200,0.15581517,0.00583157,1.48398983,0.07636475
80,2.26377821,2.15105629,112.55645752,0.15966737,0.00583556,1.49120414,0.07639081
81,2.22793198,2.11617756,111.58523560,0.16355906,0.00583796,1.49843979,0.07640657
82,2.19228506,2.08150983,110.60185242,0.16748978,0.00583908,1.50569594,0.07641390
83,2.15684128,2.04705286,109.61127472,0.17145893,0.00583918,1.51297212,0.07641450
84,2.12160540,2.01280713,108.61709595,0.17546603,0.00583846,1.52026796,0.07640985
85,2.08658075,1.97877157,107.62401581,0.17951053,0.00583715,1.52758312,0.07640124
86,2.05177379,1.94494975,106.63472748,0.18359187,0.00583539,1.53491688,0.07638973
87,2.01718807,1.91134357,105.65121460,0.18770947,0.00583332,1.54226875,0.07637617
88,1.98282897,1.87795603,104.67533112,0.19186273,0.00583103,1.54963815,0.07636120
89,1.94870090,1.84479058,103.70838165,0.19605108,0.00582860,1.55702448,0.07634526
90,1.91480863,1.81185162,102.75089264,0.20027390,0.00582605,1.56442702,0.07632858
91,1.88115442,1.77914059,101.80339050,0.20453055,0.00582341,1.57184577,0.07631125
92,1.84774554,1.74666607,100.86470795,0.20882042,0.00582064,1.57927954,0.07629313
93,1.81458449,1.71443129,99.93421936,0.21314283,0.00581772,1.58672798,0.07627401
94,1.78167725,1.68244207,99.01191711,0.21749716,0.00581459,1.59419024,0.07625348
95,1.74902737,1.65070367,98.09606171,0.22188267,0.00581118,1.60166585,0.07623107
96,1.71663880,1.61922121,97.18550873,0.22629873,0.00580738,1.60915422,0.07620618
97,1.68451667,1.58800185,96.27814484,0.23074459,0.00580311,1.61665440,0.07617815
98,1.65266430,1.55704975,95.37352753,0.23521955,0.00579825,1.62416589,0.07614625
99,1.62108684,1.52637279,94.46844482,0.23972288,0.00579269,1.63168788,0.07610972
100,1.58978736,1.49597466,93.56256104,0.24425381,0.00578631,1.63921976,0.07606778
101,1.55876958,1.46586108,92.65394592,0.24881159,0.00577898,1.64676082,0.07601961
102,1.52803946,1.43603897,91.74129486,0.25339544,0.00577059,1.65430999,0.07596441
103,1.49759912,1.40651262,90.82276154,0.25800461,0.00576102,1.66186678,0.07590141
104,1.46745265,1.37728763,89.89663696,0.26263827,0.00575016,1.66943038,0.07582983
105,1.43760419,1.34836841,88.96284485,0.26729563,0.00573791,1.67699981,0.07574897
106,1.40805686,1.31975949,88.01968384,0.27197579,0.00572415,1.68457448,0.07565811
107,1.37881482,1.29146576,87.06669617,0.27667797,0.00570881,1.69215333,0.07555665
108,1.34988093,1.26349151,86.10229492,0.28140128,0.00569180,1.69973564,0.07544400
109,1.32125902,1.23584056,85.12660980,0.28614494,0.00567305,1.70732045,0.07531963
110,1.29295146,1.20851529,84.13967896,0.29090798,0.00565250,1.71490705,0.07518308
111,1.26496267,1.18152130,83.14009857,0.29568952,0.00563009,1.72249424,0.07503395
112,1.23729432,1.15485942,82.12876892,0.30048874,0.00560580,1.73008156,0.07487190
113,1.20995033,1.12853432,81.10508728,0.30530468,0.00557959,1.73766768,0.07469664
114,1.18293297,1.10254729,80.06992340,0.31013638,0.00555144,1.74525189,0.07450795
115,1.15624487,1.07690120,79.02321625,0.31498292,0.00552133,1.75283313,0.07430568
116,1.12988937,1.05159891,77.96517944,0.31984341,0.00548928,1.76041043,0.07408968
117,1.10386813,1.02664149,76.89640808,0.32471684,0.00545529,1.76798296,0.07385992
118,1.07818437,1.00203180,75.81757355,0.32960218,0.00541937,1.77554941,0.07361636
119,1.05283952,0.97776991,74.72976685,0.33449858,0.00538155,1.78310907,0.07335903
120,1.02783573,0.95385784,73.63313293,0.33940506,0.00534186,1.79066098,0.07308801
121,1.00317538,0.93029714,72.52876282,0.34432051,0.00530033,1.79820383,0.07280336
122,0.97886008,0.90708792,71.41766357,0.34924403,0.00525701,1.80573678,0.07250522
123,0.95489186,0.88423252,70.30000305,0.35417458,0.00521194,1.81325865,0.07219373
124,0.93127096,0.86172903,69.17761993,0.35911116,0.00516516,1.82076883,0.07186908
125,0.90800029,0.83958048,68.05064392,0.36405271,0.00511675,1.82826567,0.07153143
126,0.88508046,0.81778640,66.91999817,0.36899820,0.00506673,1.83574843,0.07118099
127,0.86251354,0.79634798,65.78662109,0.37394664,0.00501518,1.84321570,0.07081797
128,0.84029895,0.77526331,64.65180969,0.37889695,0.00496216,1.85066688,0.07044259
129,0.81843865,0.75453430,63.51559067,0.38384810,0.00490771,1.85810053,0.07005506
130,0.79693276,0.73415947,62.37965775,0.38879907,0.00485190,1.86551571,0.06965561
131,0.77578247,0.71414000,61.24397278,0.39374870,0.00479480,1.87291110,0.06924447
132,0.75498778,0.69447422,60.11013412,0.39869598,0.00473645,1.88028574,0.06882187
133,0.73454827,0.67516190,58.97809219,0.40363991,0.00467692,1.88763869,0.06838801
134,0.71446532,0.65620315,57.84899521,0.40857935,0.00461627,1.89496839,0.06794311
135,0.69473839,0.63759679,56.72352219,0.41351324,0.00455455,1.90227389,0.06748740
136,0.67536658,0.61934167,55.60199738,0.41844058,0.00449182,1.90955424,0.06702106
137,0.65635014,0.60143727,54.48505402,0.42336026,0.00442815,1.91680813,0.06654432
138,0.63768798,0.58388168,53.37371445,0.42827117,0.00436357,1.92403460,0.06605735
139,0.61938018,0.56667489,52.26785278,0.43317229,0.00429816,1.93123221,0.06556036
140,0.60142535,0.54981464,51.16841507,0.43806252,0.00423196,1.93840003,0.06505354
141,0.58382291,0.53329980,50.07598114,0.44294077,0.00416503,1.94553673,0.06453706
142,0.56657070,0.51712805,48.99072647,0.44780606,0.00409742,1.95264161,0.06401110
143,0.54966825,0.50129837,47.91319656,0.45265728,0.00402918,1.95971310,0.06347585
144,0.53311378,0.48580846,46.84388351,0.45749334,0.00396037,1.96675026,0.06293147
145,0.51690626,0.47065717,45.78293991,0.46231321,0.00389103,1.97375166,0.06237815
146,0.50104314,0.45584133,44.73085785,0.46711585,0.00382122,1.98071659,0.06181605
147,0.48552212,0.44135812,43.68835831,0.47190025,0.00375099,1.98764396,0.06124536
148,0.47034225,0.42720664,42.65528870,0.47666535,0.00368039,1.99453223,0.06066624
149,0.45550090,0.41338387,41.63202667,0.48141003,0.00360947,2.00138044,0.06007889
150,0.44099519,0.39988622,40.61927795,0.48613340,0.00353829,2.00818777,0.05948349
151,0.42682350,0.38671204,39.61714554,0.49083439,0.00346688,2.01495266,0.05888021
152,0.41298184,0.37385729,38.62561798,0.49551201,0.00339531,2.02167463,0.05826927
153,0.39946878,0.36131987,37.64540863,0.50016528,0.00332362,2.02835202,0.05765085
154,0.38628072,0.34909588,36.67679214,0.50479323,0.00325187,2.03498411,0.05702517
155,0.37341431,0.33718196,35.71978760,0.50939488,0.00318011,2.04156995,0.05639244
156,0.36086726,0.32557535,34.77484894,0.51396924,0.00310838,2.04810810,0.05575287
157,0.34863561,0.31427199,33.84209824,0.51851547,0.00303675,2.05459785,0.05510671
158,0.33671546,0.30326757,32.92190170,0.52303261,0.00296526,2.06103849,0.05445417
159,0.32510459,0.29255953,32.01465225,0.52751964,0.00289396,2.06742835,0.05379552
160,0.31379840,0.28214329,31.12028503,0.53197581,0.00282290,2.07376695,0.05313099
161,0.30279350,0.27201533,30.23901176,0.53640014,0.00275214,2.08005309,0.05246085
162,0.29208538,0.26217067,29.37124062,0.54079187,0.00268172,2.08628631,0.05178537
163,0.28167132,0.25260663,28.51692772,0.54515010,0.00261170,2.09246492,0.05110482
164,0.27154583,0.24331713,27.67669678,0.54947406,0.00254213,2.09858894,0.05041949
165,0.26170608,0.23429964,26.85019875,0.55376285,0.00247304,2.10465670,0.04972968
166,0.25214651,0.22554809,26.03799438,0.55801576,0.00240450,2.11066818,0.04903566
167,0.24286418,0.21705939,25.24020576,0.56223202,0.00233654,2.11662173,0.04833777
168,0.23385383,0.20882827,24.45689201,0.56641084,0.00226922,2.12251711,0.04763630
169,0.22511137,0.20085047,23.68813896,0.57055151,0.00220257,2.12835336,0.04693158
170,0.21663186,0.19312090,22.93417931,0.57465351,0.00213665,2.13413000,0.04622391
171,0.20841147,0.18563561,22.19506645,0.57871586,0.00207149,2.13984585,0.04551364
172,0.20044526,0.17838970,21.47081184,0.58273816,0.00200714,2.14550042,0.04480108
173,0.19272797,0.17137772,20.76159477,0.58671969,0.00194363,2.15109348,0.04408657
174,0.18525577,0.16459560,20.06761932,0.59065992,0.00188100,2.15662384,0.04337045
175,0.17802304,0.15803801,19.38866615,0.59455812,0.00181928,2.16209149,0.04265306
176,0.17102589,0.15170084,18.72486496,0.59841394,0.00175852,2.16749525,0.04193472
177,0.16425908,0.14557880,18.07634926,0.60222673,0.00169874,2.17283487,0.04121580
178,0.15771776,0.13966727,17.44285393,0.60599601,0.00163998,2.17810988,0.04049661
179,0.15139714,0.13396116,16.82467842,0.60972130,0.00158225,2.18331981,0.03977750
180,0.14529242,0.12845579,16.22170258,0.61340219,0.00152559,2.18846416,0.03905882
181,0.13939878,0.12314661,15.63365173,0.61703825,0.00147002,2.19354248,0.03834089
182,0.13371125,0.11802829,15.06091404,0.62062907,0.00141557,2.19855452,0.03762406
183,0.12822483,0.11309629,14.50300789,0.62417424,0.00136225,2.20350003,0.03690865
184,0.12293492,0.10834581,13.96012688,0.62767351,0.00131008,2.20837855,0.03619500
185,0.11783686,0.10377251,13.43196297,0.63112652,0.00125907,2.21318960,0.03548342
