iter,total,cd3d,cd3d_raw,cd2d,scale_reg,t_reg,scale,tx,ty,tz
0,0.22636227,0.00019873,0.01413222,276.34933472,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.91374516
1,0.19555344,0.00016828,0.01299978,272.69985962,0.00002500,0.00007500,1.00501263,0.00500000,0.00500000,0.91874516
2,0.17663956,0.00014964,0.01225555,270.02545166,0.00009755,0.00029005,1.00992560,0.00978478,0.00996276,0.92349452
3,0.16863538,0.00014187,0.01193191,267.68951416,0.00020950,0.00061060,1.01457942,0.01406574,0.01491464,0.92754054
4,0.16835724,0.00014184,0.01193075,265.17834473,0.00034392,0.00096421,1.01871800,0.01734448,0.01986728,0.93013632
5,0.17113312,0.00014489,0.01205890,262.41046143,0.00047683,0.00128753,1.02207673,0.01944125,0.02481969,0.93087840
6,0.17302470,0.00014707,0.01214965,259.51434326,0.00058391,0.00156038,1.02445853,0.02024598,0.02976570,0.93000823
7,0.17226942,0.00014659,0.01212950,256.81268311,0.00065161,0.00180811,1.02585530,0.01997526,0.03471801,0.92801970
8,0.16912343,0.00014368,0.01200825,254.40513611,0.00067961,0.00206173,1.02641201,0.01895683,0.03961110,0.92529207
9,0.16477464,0.00013954,0.01183329,252.33407593,0.00067547,0.00234230,1.02633047,0.01739946,0.04438595,0.92207855
10,0.16050698,0.00013544,0.01165776,250.60456848,0.00064997,0.00266175,1.02582216,0.01559654,0.04894228,0.91855705
11,0.15712310,0.00013219,0.01151641,249.30130005,0.00061399,0.00301344,1.02508843,0.01378274,0.05312448,0.91486853
12,0.15498719,0.00013016,0.01142742,248.22213745,0.00057664,0.00338225,1.02430403,0.01205052,0.05683478,0.91112989
13,0.15405174,0.00012933,0.01139084,247.15704346,0.00054552,0.00374903,1.02363122,0.01052252,0.05998916,0.90745181
14,0.15392219,0.00012932,0.01139024,245.99398804,0.00052637,0.00408313,1.02320790,0.00933885,0.06244661,0.90393007
15,0.15397713,0.00012950,0.01139843,244.68731689,0.00052314,0.00435958,1.02313578,0.00853993,0.06414898,0.90064704
16,0.15368113,0.00012936,0.01139214,243.14949036,0.00053767,0.00456374,1.02345860,0.00813408,0.06510303,0.89764631
17,0.15276471,0.00012862,0.01135952,241.35653687,0.00057091,0.00469063,1.02418149,0.00812735,0.06535348,0.89494359
18,0.15118906,0.00012725,0.01129854,239.32841492,0.00062307,0.00474510,1.02527547,0.00846045,0.06498671,0.89252603
19,0.14912507,0.00012541,0.01121624,237.09910583,0.00069362,0.00473524,1.02668655,0.00908876,0.06407360,0.89035273
20,0.14683084,0.00012335,0.01112365,234.71345520,0.00078115,0.00467240,1.02834344,0.00994690,0.06268273,0.88836145
21,0.14463247,0.00012140,0.01103499,232.25645447,0.00088328,0.00457734,1.03016615,0.01094391,0.06094409,0.88648003
22,0.14274658,0.00011977,0.01096020,229.74736023,0.00099600,0.00446694,1.03206265,0.01194650,0.05895868,0.88462305
23,0.14120191,0.00011847,0.01090064,227.24441528,0.00111441,0.00435118,1.03394628,0.01287849,0.05676392,0.88270998
