iter,total,corr,reproj,scale_reg,tz_reg,scale,tz
0,2.46158290,2.46108294,0.49999687,0.00000000,0.00000000,1.00000000,0.00000000
1,2.40360975,2.40319538,0.41434753,0.00002500,0.00002500,1.00501263,0.00500000
2,2.34629679,2.34581089,0.48584127,0.00009998,0.00009994,1.01004922,0.00999677
3,2.28965092,2.28894281,0.70772529,0.00022490,0.00022464,1.01510954,0.01498812
4,2.23368430,2.23261023,1.07318568,0.00039967,0.00039887,1.02019298,0.01997185
5,2.17840815,2.17683125,1.57543349,0.00062420,0.00062229,1.02529883,0.02494571
6,2.12383342,2.12162375,2.20764542,0.00089837,0.00089446,1.03042650,0.02990749
7,2.06996942,2.06700397,2.96303821,0.00122200,0.00121487,1.03557527,0.03485492
8,2.01682568,2.01298738,3.83485842,0.00159491,0.00158291,1.04074454,0.03978577
9,1.96441305,1.95959270,4.81629086,0.00201688,0.00199789,1.04593349,0.04469778
10,1.91274047,1.90683472,5.90071106,0.00248767,0.00245904,1.05114126,0.04958872
11,1.86181450,1.85472703,7.08150768,0.00300698,0.00296550,1.05636728,0.05445636
12,1.81164622,1.80328715,8.35201359,0.00357451,0.00351631,1.06161058,0.05929849
13,1.76224113,1.75252712,9.70581341,0.00418991,0.00411047,1.06687045,0.06411292
14,1.71360934,1.70246315,11.13654041,0.00485279,0.00474686,1.07214570,0.06889746
15,1.66575575,1.65310681,12.63782120,0.00556276,0.00542432,1.07743573,0.07364999
16,1.61868608,1.60446990,14.20363808,0.00631936,0.00614160,1.08273959,0.07836837
17,1.57240963,1.55656779,15.82775211,0.00712211,0.00689739,1.08805597,0.08305053
18,1.52692974,1.50940967,17.50438118,0.00797050,0.00769031,1.09338415,0.08769442
19,1.48225081,1.46300578,19.22769165,0.00886398,0.00851892,1.09872317,0.09229802
20,1.43837857,1.41736734,20.99207878,0.00980198,0.00938174,1.10407186,0.09685937
21,1.39531791,1.37250495,22.79196167,0.01078388,0.01027720,1.10942900,0.10137651
22,1.35307109,1.32842600,24.62211609,0.01180903,0.01120371,1.11479366,0.10584757
23,1.31164098,1.28513861,26.47734451,0.01287675,0.01215962,1.12016475,0.11027069
24,1.27103102,1.24265134,28.35260201,0.01398633,0.01314326,1.12554097,0.11464407
25,1.23124266,1.20097017,30.24309921,0.01513702,0.01415290,1.13092124,0.11896595
26,1.19227684,1.16010118,32.14419937,0.01632804,0.01518677,1.13630438,0.12323461
27,1.15413523,1.12005007,34.05143738,0.01755858,0.01624309,1.14168906,0.12744839
28,1.11681807,1.08082151,35.96046066,0.01882780,0.01732006,1.14707410,0.13160568
29,1.08032489,1.04241920,37.86722946,0.02013481,0.01841582,1.15245819,0.13570489
30,1.04465616,1.00484753,39.76758575,0.02147871,0.01952852,1.15784001,0.13974449
31,1.00980985,0.96810848,41.65790176,0.02285857,0.02065630,1.16321826,0.14372301
32,0.97578430,0.93220365,43.53458786,0.02427342,0.02179728,1.16859162,0.14763902
33,0.94257766,0.89713478,45.39419174,0.02572226,0.02294956,1.17395866,0.15149114
34,0.91018575,0.86290103,47.23339081,0.02720406,0.02411126,1.17931831,0.15527801
35,0.87860769,0.82950443,49.04927063,0.02871777,0.02528048,1.18466866,0.15899837
36,0.84783745,0.79694194,50.83876419,0.03026230,0.02645533,1.19000876,0.16265094
37,0.81787264,0.76521397,52.59917068,0.03183657,0.02763393,1.19533682,0.16623455
38,0.78870672,0.73431647,54.32800674,0.03343941,0.02881439,1.20065165,0.16974802
39,0.76033574,0.70424795,56.02273941,0.03506969,0.02999487,1.20595157,0.17319027
40,0.73275274,0.67500389,57.68099213,0.03672621,0.03117351,1.21123540,0.17656021
41,0.70595241,0.64658076,59.30088425,0.03840776,0.03234848,1.21650136,0.17985684
42,0.67992687,0.61897284,60.88043594,0.04011313,0.03351799,1.22174811,0.18307918
43,0.65467042,0.59217620,62.41769409,0.04184107,0.03468024,1.22697389,0.18622631
44,0.63017350,0.56618303,63.91106796,0.04359030,0.03583349,1.23217750,0.18929735
45,0.60642904,0.54098779,65.35896301,0.04535954,0.03697600,1.23735714,0.19229145
46,0.58342743,0.51658219,66.76000214,0.04714749,0.03810611,1.24251151,0.19520785
47,0.56115991,0.49295875,68.11296844,0.04895283,0.03922214,1.24763894,0.19804579
48,0.53961670,0.47010890,69.41670227,0.05077423,0.04032248,1.25273788,0.20080458
49,0.51878822,0.44802383,70.67030334,0.05261034,0.04140556,1.25780666,0.20348357
50,0.49866298,0.42669341,71.87265778,0.05445981,0.04246986,1.26284397,0.20608217
