iter,total,corr,reproj,scale_reg,tz_reg,scale,tz
0,10.31994057,10.31944084,0.49999848,0.00000000,0.00000000,1.00000000,0.00000000
1,10.24587727,10.24322224,2.65537357,0.00002500,0.00002500,1.00501263,0.00500000
2,10.17403793,10.16715336,6.88437366,0.00010000,0.00009971,1.01005042,0.00998527
3,10.10433865,10.09129238,13.04585743,0.00022503,0.00022336,1.01511395,0.01494510
4,10.03669357,10.01570606,20.98738098,0.00040009,0.00039475,1.02020347,0.01986821
5,9.97100925,9.94046116,30.54659653,0.00062522,0.00061220,1.02531970,0.02474275
6,9.90717697,9.86562252,41.55226135,0.00090048,0.00087358,1.03046286,0.02955641
7,9.84508801,9.79126167,53.82457352,0.00122593,0.00117625,1.03563344,0.03429650
8,9.78462601,9.71744537,67.17696381,0.00160165,0.00151711,1.04083228,0.03895010
9,9.72566319,9.64424038,81.41866302,0.00202775,0.00189261,1.04605985,0.04350419
10,9.66807461,9.57171535,96.35474396,0.00250432,0.00229880,1.05131650,0.04794579
11,9.61172676,9.49992943,111.79163361,0.00303151,0.00273134,1.05660319,0.05226218
12,9.55648994,9.42894745,127.53585052,0.00360947,0.00318559,1.06192029,0.05644105
13,9.50222874,9.35882187,143.39901733,0.00423835,0.00365671,1.06726849,0.06047071
14,9.44881248,9.28960323,159.20053101,0.00491833,0.00413968,1.07264853,0.06434032
15,9.39611340,9.22133446,174.76820374,0.00564959,0.00462944,1.07806075,0.06804001
16,9.34400749,9.15405273,189.94309998,0.00643233,0.00512099,1.08350575,0.07156111
17,9.29238033,9.08778667,204.58047485,0.00726675,0.00560946,1.08898401,0.07489631
18,9.24112129,9.02255630,218.55102539,0.00815304,0.00609020,1.09449613,0.07803974
19,9.19013119,8.95837116,231.74348450,0.00909143,0.00655891,1.10004270,0.08098710
20,9.13931847,8.89523506,244.06575012,0.01008212,0.00701167,1.10562384,0.08373569
21,9.08860302,8.83313942,255.44406128,0.01112530,0.00744501,1.11124003,0.08628447
22,9.03791714,8.77207375,265.82354736,0.01222118,0.00785599,1.11689162,0.08863403
23,8.98720169,8.71200943,275.16986084,0.01336996,0.00824219,1.12257886,0.09078652
24,8.93640900,8.65292168,283.46408081,0.01457181,0.00860175,1.12830186,0.09274562
25,8.88549805,8.59476757,290.70538330,0.01582692,0.00893335,1.13406110,0.09451638
26,8.83444118,8.53750610,296.90869141,0.01713544,0.00923620,1.13985658,0.09610517
27,8.78321743,8.48108864,302.10113525,0.01849753,0.00951005,1.14568830,0.09751950
28,8.73181057,8.42545795,306.32284546,0.01991332,0.00975509,1.15155661,0.09876788
29,8.68021393,8.37055969,309.62371826,0.02138296,0.00997196,1.15746140,0.09985968
30,8.62842751,8.31633377,312.06054688,0.02290654,0.01016164,1.16340268,0.10080498
31,8.57644939,8.26271534,313.69851685,0.02448418,0.01032549,1.16938055,0.10161440
32,8.52428436,8.20964241,314.60577393,0.02611597,0.01046509,1.17539501,0.10229900
33,8.47194099,8.15704918,314.85375977,0.02780197,0.01058226,1.18144619,0.10287011
34,8.41943169,8.10487556,314.51556396,0.02954228,0.01067899,1.18753374,0.10333919
35,8.36676216,8.05305576,313.66424561,0.03133693,0.01075737,1.19365788,0.10371774
36,8.31394291,8.00152683,312.37191772,0.03318598,0.01081958,1.19981849,0.10401719
37,8.26098633,7.95023108,310.70974731,0.03508950,0.01086780,1.20601535,0.10424876
38,8.20789909,7.89910746,308.74420166,0.03704748,0.01090425,1.21224892,0.10442341
39,8.15469170,7.84810257,306.53936768,0.03905999,0.01093106,1.21851885,0.10455173
40,8.10137177,7.79716444,304.15603638,0.04112703,0.01095034,1.22482502,0.10464387
41,8.04794502,7.74624205,301.64971924,0.04324864,0.01096408,1.23116767,0.10470949
42,7.99441671,7.69528961,299.07064819,0.04542484,0.01097418,1.23754680,0.10475770
43,7.94079113,7.64426613,296.46618652,0.04765565,0.01098241,1.24396229,0.10479701
44,7.88707066,7.59313250,293.87701416,0.04994107,0.01099044,1.25041437,0.10483528
45,7.83325768,7.54185390,291.34020996,0.05228115,0.01099975,1.25690293,0.10487970
46,7.77935362,7.49040079,288.88711548,0.05467587,0.01101173,1.26342809,0.10493679
47,7.72535801,7.43874502,286.54498291,0.05712529,0.01102760,1.26998997,0.10501238
48,7.67127466,7.38686705,284.33685303,0.05962939,0.01104844,1.27658856,0.10511156
49,7.61709881,7.33474493,282.28106689,0.06218823,0.01107520,1.28322399,0.10523877
50,7.56283236,7.28236437,280.39218140,0.06480179,0.01110868,1.28989649,0.10539772
51,7.50847435,7.22971487,278.68145752,0.06747013,0.01114956,1.29660594,0.10559147
52,7.45402384,7.17678595,277.15667725,0.07019326,0.01119839,1.30335295,0.10582244
53,7.39948225,7.12357569,275.82199097,0.07297122,0.01125560,1.31013715,0.10609243
54,7.34484720,7.07008123,274.67889404,0.07580402,0.01132152,1.31695902,0.10640264
