iter,total,cd3d,cd3d_fwd,cd3d_bwd,cd3d_raw,cd3d_raw_fwd,cd3d_raw_bwd,cd2d,cd2d_fwd,cd2d_bwd,scale_reg,t_reg,scale,tx,ty,tz
0,39.54315186,0.03953478,0.03958308,0.03948648,1.85127223,1.94876266,1.75378180,83.72433472,34.09087372,133.35778809,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000
1,39.52418137,0.03951806,0.03956797,0.03946814,1.81844878,1.91401434,1.72288322,61.24250412,17.59368706,104.89131927,0.00002500,0.00007500,1.00501263,-0.00500000,0.00500000,0.00500000
2,39.50540924,0.03950052,0.03955210,0.03944894,1.78580093,1.87942314,1.69217873,48.90745163,9.52225018,88.29265594,0.00010010,0.00029022,1.01005495,-0.00953708,0.00995919,0.01000382
3,39.48641968,0.03948195,0.03953525,0.03942864,1.75303328,1.84464419,1.66142237,44.74894714,7.34235430,82.15554047,0.00022553,0.00059933,1.01513088,-0.01242815,0.01481368,0.01501428
4,39.46656799,0.03946217,0.03951726,0.03940708,1.72001123,1.80952728,1.63049519,43.98515320,6.90916681,81.06114197,0.00040168,0.00095612,1.02024424,-0.01320923,0.01949986,0.02003481
5,39.44558716,0.03944115,0.03949809,0.03938422,1.68684506,1.77421093,1.59947932,44.34009552,6.83441639,81.84577179,0.00062907,0.00135688,1.02539837,-0.01238972,0.02397738,0.02506904
6,39.42340851,0.03941888,0.03947774,0.03936003,1.65365803,1.73884499,1.56847107,45.23838425,7.00247908,83.47428894,0.00090833,0.00181618,1.03059733,-0.01053935,0.02824642,0.03012045
7,39.39996338,0.03939530,0.03945615,0.03933444,1.62052417,1.70351875,1.53752959,46.66544724,7.59958315,85.73130798,0.00124028,0.00234715,1.03584504,-0.00802865,0.03231386,0.03519246
8,39.37521744,0.03937033,0.03943326,0.03930739,1.58748722,1.66828680,1.50668776,48.86442947,8.86160374,88.86725616,0.00162583,0.00296004,1.04114556,-0.00511794,0.03620329,0.04028852
9,39.34911728,0.03934389,0.03940900,0.03927878,1.55457211,1.63317800,1.47596622,52.17837143,11.11393738,93.24280548,0.00206605,0.00366125,1.04650271,-0.00200509,0.03993727,0.04541197
10,39.32155609,0.03931589,0.03938327,0.03924852,1.52180219,1.59822392,1.44538057,56.51923752,14.71624947,98.32222748,0.00256215,0.00445140,1.05192065,0.00111508,0.04351094,0.05056630
11,39.29237366,0.03928622,0.03935597,0.03921647,1.48919082,1.56344402,1.41493773,61.45748138,19.53177071,103.38319397,0.00311547,0.00532719,1.05740356,0.00407912,0.04692501,0.05575481
12,39.26139450,0.03925475,0.03932699,0.03918251,1.45674431,1.52885127,1.38463736,66.28864288,24.71977043,107.85751343,0.00372751,0.00628079,1.06295562,0.00674564,0.05016615,0.06098070
13,39.22841263,0.03922133,0.03929618,0.03914648,1.42444897,1.49443197,1.35446584,70.68565369,29.58814621,111.78315735,0.00439988,0.00730747,1.06858099,0.00905562,0.05326192,0.06624673
14,39.19322586,0.03918578,0.03926339,0.03910816,1.39229143,1.46017444,1.32440841,74.38574982,33.72358322,115.04792023,0.00513433,0.00840104,1.07428384,0.01096796,0.05621857,0.07155567
15,39.15563202,0.03914790,0.03922842,0.03906738,1.36025584,1.42606366,1.29444802,77.14019012,36.93608475,117.34429169,0.00593275,0.00955551,1.08006835,0.01247416,0.05903146,0.07691026
16,39.11537552,0.03910746,0.03919105,0.03902387,1.32831812,1.39207387,1.26456249,78.99009705,39.33074951,118.64944458,0.00679718,0.01076722,1.08593905,0.01362617,0.06169347,0.08231319
17,39.07221985,0.03906420,0.03915104,0.03897735,1.29645920,1.35818458,1.23473370,80.03604126,41.01068878,119.06138611,0.00772976,0.01203361,1.09189975,0.01449046,0.06419168,0.08776709
18,39.02588654,0.03901782,0.03910811,0.03892753,1.26465452,1.32436860,1.20494044,80.44020081,42.16616440,118.71423340,0.00873278,0.01335494,1.09795487,0.01516688,0.06651892,0.09327453
19,38.97605896,0.03896798,0.03906193,0.03887403,1.23287678,1.29059327,1.17516029,80.47122192,43.08179092,117.86064911,0.00980865,0.01473473,1.10410893,0.01578291,0.06867804,0.09883803
20,38.92235947,0.03891430,0.03901212,0.03881647,1.20110750,1.25683594,1.14537907,80.32820892,43.93918610,116.71723175,0.01095992,0.01617725,1.11036599,0.01644219,0.07067519,0.10446015
21,38.86438751,0.03885633,0.03895827,0.03875441,1.16932762,1.22307050,1.11558473,80.22945404,44.97966766,115.47924042,0.01218926,0.01768930,1.11673021,0.01724694,0.07252767,0.11014344
22,38.80167389,0.03879360,0.03889987,0.03868734,1.13752174,1.18927419,1.08576930,80.37214661,46.39197922,114.35231781,0.01349946,0.01928110,1.12320602,0.01828764,0.07427028,0.11589041
23,38.73367691,0.03872555,0.03883639,0.03861471,1.10568190,1.15543330,1.05593050,80.93880463,48.36050034,113.51711273,0.01489345,0.02096367,1.12979782,0.01962166,0.07593998,0.12170365
24,38.65979004,0.03865155,0.03876721,0.03853589,1.07380736,1.12154770,1.02606702,82.04294586,50.99056244,113.09532928,0.01637426,0.02274745,1.13650978,0.02127135,0.07756846,0.12758572
25,38.57933807,0.03857092,0.03869166,0.03845017,1.04190147,1.08762205,0.99618089,83.77363586,54.32185364,113.22542572,0.01794508,0.02464527,1.14334619,0.02321015,0.07920755,0.13353921
