iter,total,cd3d,cd3d_fwd,cd3d_bwd,cd3d_raw,cd3d_raw_fwd,cd3d_raw_bwd,cd2d,cd2d_fwd,cd2d_bwd,scale_reg,t_reg,scale,tx,ty,tz
0,39.62021637,0.03959166,0.03967828,0.03950504,2.00393534,2.22109389,1.78677654,285.55773926,52.65130615,518.46417236,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000
1,39.60403442,0.03957622,0.03966687,0.03948558,1.96732211,2.18242049,1.75222373,278.08712769,53.22369766,502.95056152,0.00002500,0.00007500,1.00501263,-0.00500000,0.00500000,0.00500000
2,39.58758926,0.03956004,0.03965495,0.03946513,1.93102074,2.14407539,1.71796620,275.45578003,53.12327194,497.78829956,0.00010010,0.00029590,1.01005518,-0.00988484,0.00990510,0.01000387
3,39.57073212,0.03954315,0.03964251,0.03944380,1.89516854,2.10609269,1.68424439,275.82064819,52.19181061,499.44946289,0.00022555,0.00063502,1.01513171,-0.01447011,0.01414921,0.01501455
4,39.55334473,0.03952555,0.03962953,0.03942157,1.85982168,2.06854415,1.65109921,277.89187622,50.66378021,505.11999512,0.00040174,0.00105915,1.02024567,-0.01856467,0.01769473,0.02003492
5,39.53518295,0.03950731,0.03961604,0.03939858,1.82514262,2.03152299,1.61876237,278.75418091,49.03728485,508.47106934,0.00062919,0.00150898,1.02540088,-0.02186988,0.02005688,0.02506806
6,39.51610184,0.03948839,0.03960202,0.03937476,1.79110801,1.99507487,1.58714116,277.07934570,47.61481094,506.54385376,0.00090855,0.00195642,1.03060102,-0.02427536,0.02145036,0.03011662
7,39.49597931,0.03946871,0.03958748,0.03934993,1.75764012,1.95923340,1.55604672,272.71005249,46.75041962,498.66970825,0.00124060,0.00239850,1.03584981,-0.02573949,0.02231864,0.03518322
8,39.47476959,0.03944814,0.03957233,0.03932395,1.72460282,1.92385542,1.52535021,266.23281860,46.34333420,486.12231445,0.00162624,0.00284365,1.04115081,-0.02649775,0.02279988,0.04027011
9,39.45242310,0.03942654,0.03955648,0.03929658,1.69182777,1.88879550,1.49485993,258.79043579,46.20385742,471.37701416,0.00206649,0.00331691,1.04650772,-0.02682763,0.02319234,0.04537952
10,39.42885208,0.03940373,0.03953984,0.03926762,1.65919423,1.85392058,1.46446788,251.15988159,46.13869095,456.18106079,0.00256250,0.00383606,1.05192423,-0.02695879,0.02361392,0.05051400
11,39.40396881,0.03937954,0.03952227,0.03923680,1.62657285,1.81911945,1.43402612,244.25526428,46.02444077,442.48608398,0.00311555,0.00442548,1.05740428,-0.02710793,0.02430638,0.05567620
12,39.37763596,0.03935374,0.03950366,0.03920382,1.59384394,1.78427017,1.40341783,238.87336731,45.87327957,431.87344360,0.00372706,0.00510837,1.06295180,-0.02750120,0.02543683,0.06086887
13,39.34967041,0.03932612,0.03948385,0.03916838,1.56091404,1.74925816,1.37256980,235.43208313,45.64184952,425.22232056,0.00439859,0.00590482,1.06857061,-0.02834281,0.02707330,0.06609493
14,39.31988144,0.03929645,0.03946271,0.03913018,1.52773881,1.71403730,1.34144032,234.21342468,45.47121811,422.95562744,0.00513185,0.00683156,1.07426524,-0.02971275,0.02927076,0.07135778
15,39.28810120,0.03926454,0.03944011,0.03908896,1.49433064,1.67860770,1.31005371,235.46247864,45.52392197,425.40103149,0.00592870,0.00789752,1.08003998,-0.03159740,0.03197265,0.07666078
16,39.25409317,0.03923020,0.03941592,0.03904448,1.46071768,1.64296770,1.27846766,238.78498840,45.69082260,431.87915039,0.00679117,0.00910620,1.08589947,-0.03396707,0.03503163,0.08200747
17,39.21769333,0.03919320,0.03938999,0.03899641,1.42692709,1.60714841,1.24670589,244.71154785,46.59254456,442.83053589,0.00772142,0.01046728,1.09184802,-0.03676306,0.03842791,0.08740166
18,39.17865372,0.03915334,0.03936221,0.03894448,1.39301729,1.57119501,1.21483946,252.96992493,48.49573517,457.44412231,0.00872178,0.01197618,1.09789038,-0.03986720,0.04202623,0.09284710
19,39.13671875,0.03911035,0.03933241,0.03888828,1.35901737,1.53515232,1.18288243,263.43270874,51.51683807,475.34860229,0.00979472,0.01363828,1.10403132,-0.04319816,0.04582532,0.09834753
20,39.09157181,0.03906395,0.03930043,0.03882746,1.32497048,1.49904752,1.15089357,276.00936890,55.72700119,496.29171753,0.01094284,0.01544582,1.11027527,-0.04667652,0.04970488,0.10390645
21,39.04285049,0.03901380,0.03926607,0.03876153,1.29089046,1.46288884,1.11889195,290.18630981,61.49852371,518.87408447,0.01216887,0.01739864,1.11662698,-0.05027143,0.05362102,0.10952721
22,38.99016571,0.03895951,0.03922911,0.03868991,1.25679398,1.42671478,1.08687329,306.21087646,69.07524109,543.34649658,0.01347569,0.01950505,1.12309122,-0.05392705,0.05764415,0.11521318
23,38.93309784,0.03890064,0.03918933,0.03861196,1.22270775,1.39056742,1.05484796,324.15573120,79.09660339,569.21484375,0.01486627,0.02176787,1.12967193,-0.05757108,0.06180843,0.12096760
24,38.87113571,0.03883676,0.03914651,0.03852702,1.18867421,1.35449219,1.02285612,343.37240601,91.27558136,595.46923828,0.01634369,0.02417280,1.13637400,-0.06111453,0.06603957,0.12679347
25,38.80372238,0.03876731,0.03910034,0.03843427,1.15470374,1.31850410,0.99090332,363.71096802,105.93016815,621.49176025,0.01791116,0.02672283,1.14320147,-0.06453624,0.07035872,0.13269347
26,38.73018265,0.03869165,0.03905049,0.03833282,1.12081027,1.28260684,0.95901370,384.79684448,122.84980011,646.74389648,0.01957196,0.02941266,1.15015852,-0.06782712,0.07471760,0.13867021
27,38.64978790,0.03860907,0.03899653,0.03822161,1.08698606,1.24677813,0.92719400,406.69070435,142.17126465,671.21014404,0.02132944,0.03224640,1.15724945,-0.07102682,0.07909466,0.14472605
