iter,total,cd3d,cd3d_fwd,cd3d_bwd,cd3d_raw,cd3d_raw_fwd,cd3d_raw_bwd,cd2d,cd2d_fwd,cd2d_bwd,scale_reg,t_reg,scale,tx,ty,tz
0,40.02745056,0.03999867,0.03999867,0.00000000,34.71767807,34.71767807,0.00000000,28.77838516,28.77838516,0.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000
1,40.02270508,0.03999867,0.03999867,0.00000000,34.67341995,34.67341995,0.00000000,24.04062462,24.04062462,0.00000000,0.00002500,0.00007500,1.00501251,-0.00500000,0.00500000,-0.00500000
2,40.02059174,0.03999867,0.03999867,0.00000000,34.68398285,34.68398285,0.00000000,21.92348862,21.92348862,0.00000000,0.00003760,0.00019540,1.00615048,-0.00984544,0.00601925,-0.00788888
3,40.01844025,0.03999867,0.03999867,0.00000000,34.64912796,34.64912796,0.00000000,19.77396774,19.77396774,0.00000000,0.00006732,0.00028277,1.00823855,-0.01442972,0.00426763,-0.00750605
4,40.01671219,0.03999866,0.03999866,0.00000000,34.59211349,34.59211349,0.00000000,18.05062485,18.05062485,0.00000000,0.00011103,0.00037813,1.01059306,-0.01862105,0.00166701,-0.00534849
5,40.01485062,0.03999866,0.03999866,0.00000000,34.57098007,34.57098007,0.00000000,16.19230270,16.19230270,0.00000000,0.00010469,0.00051556,1.01028442,-0.02256372,-0.00128073,-0.00218936
6,40.01344681,0.03999866,0.03999866,0.00000000,34.58335495,34.58335495,0.00000000,14.78895855,14.78895855,0.00000000,0.00005897,0.00072205,1.00770903,-0.02653768,-0.00397339,0.00141902
7,40.01243591,0.03999866,0.03999866,0.00000000,34.60676956,34.60676956,0.00000000,13.77653122,13.77653122,0.00000000,0.00001855,0.00098967,1.00431573,-0.03056067,-0.00552411,0.00501951
8,40.01174927,0.03999867,0.03999867,0.00000000,34.63629532,34.63629532,0.00000000,13.08612442,13.08612442,0.00000000,0.00000021,0.00130276,1.00045621,-0.03457643,-0.00591070,0.00850244
9,40.01175690,0.03999867,0.03999867,0.00000000,34.66136169,34.66136169,0.00000000,13.09296894,13.09296894,0.00000000,0.00000884,0.00162685,0.99703062,-0.03831193,-0.00527922,0.01145338
