iter,total,cd3d,cd3d_fwd,cd3d_bwd,cd3d_raw,cd3d_raw_fwd,cd3d_raw_bwd,cd2d,cd2d_fwd,cd2d_bwd,scale_reg,t_reg,scale,tx,ty,tz
0,40.00408173,0.03999830,0.03999830,0.00000000,30.66166306,30.66166306,0.00000000,5.78406239,5.78406239,0.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000
1,40.00167084,0.03999829,0.03999829,0.00000000,30.53636932,30.53636932,0.00000000,3.38460422,3.38460422,0.00000000,0.00002500,0.00007500,1.00501251,-0.00500000,0.00500000,0.00500000
2,40.00071716,0.03999827,0.03999827,0.00000000,30.42952538,30.42952538,0.00000000,2.44128132,2.44128132,0.00000000,0.00008598,0.00026217,1.00931549,-0.00974945,0.00909052,0.00919128
3,40.00036240,0.03999826,0.03999826,0.00000000,30.32471275,30.32471275,0.00000000,2.10068226,2.10068226,0.00000000,0.00018699,0.00051164,1.01376843,-0.01397517,0.01238893,0.01276140
4,40.00019073,0.03999825,0.03999825,0.00000000,30.21919250,30.21919250,0.00000000,1.94061983,1.94061983,0.00000000,0.00033303,0.00079934,1.01841664,-0.01754446,0.01533128,0.01601525
5,40.00022125,0.03999823,0.03999823,0.00000000,30.11152840,30.11152840,0.00000000,1.98833847,1.98833847,0.00000000,0.00052482,0.00112143,1.02317345,-0.02036669,0.01825412,0.01932395
6,40.00073242,0.03999822,0.03999822,0.00000000,30.01173401,30.01173401,0.00000000,2.50868750,2.50868750,0.00000000,0.00074679,0.00140442,1.02770424,-0.02213057,0.02061664,0.02212721
7,40.00085831,0.03999821,0.03999821,0.00000000,29.94015121,29.94015121,0.00000000,2.64301038,2.64301038,0.00000000,0.00097264,0.00145705,1.03167868,-0.02256216,0.02091681,0.02259404
8,40.00047302,0.03999821,0.03999821,0.00000000,29.87447357,29.87447357,0.00000000,2.26777077,2.26777077,0.00000000,0.00124990,0.00134523,1.03598642,-0.02197432,0.01988944,0.02160495
9,40.00018692,0.03999820,0.03999820,0.00000000,29.80832291,29.80832291,0.00000000,1.98631251,1.98631251,0.00000000,0.00158000,0.00117090,1.04054976,-0.02070079,0.01836814,0.02012436
10,40.00008011,0.03999819,0.03999819,0.00000000,29.74149132,29.74149132,0.00000000,1.88536978,1.88536978,0.00000000,0.00194384,0.00100664,1.04507542,-0.01912788,0.01694181,0.01880784
11,40.00008774,0.03999818,0.03999818,0.00000000,29.67525673,29.67525673,0.00000000,1.90394270,1.90394270,0.00000000,0.00232540,0.00087402,1.04940403,-0.01752018,0.01577788,0.01783591
12,40.00010300,0.03999817,0.03999817,0.00000000,29.60957336,29.60957336,0.00000000,1.92685938,1.92685938,0.00000000,0.00271404,0.00077983,1.05347729,-0.01589172,0.01504006,0.01735168
13,40.00012589,0.03999817,0.03999817,0.00000000,29.54534340,29.54534340,0.00000000,1.95813024,1.95813024,0.00000000,0.00310114,0.00072210,1.05726755,-0.01442522,0.01466225,0.01729251
14,40.00016022,0.03999816,0.03999816,0.00000000,29.48324394,29.48324394,0.00000000,1.99990106,1.99990106,0.00000000,0.00348988,0.00068659,1.06085503,-0.01317446,0.01448153,0.01741575
15,40.00019836,0.03999815,0.03999815,0.00000000,29.42310333,29.42310333,0.00000000,2.04463530,2.04463530,0.00000000,0.00387750,0.00067163,1.06424916,-0.01221932,0.01444809,0.01770781
16,40.00022507,0.03999814,0.03999814,0.00000000,29.36543274,29.36543274,0.00000000,2.07900524,2.07900524,0.00000000,0.00425572,0.00068034,1.06741083,-0.01172855,0.01456847,0.01818091
17,40.00021362,0.03999814,0.03999814,0.00000000,29.31013489,29.31013489,0.00000000,2.07564068,2.07564068,0.00000000,0.00462044,0.00071346,1.07033730,-0.01168745,0.01487503,0.01885721
18,40.00018692,0.03999813,0.03999813,0.00000000,29.25652504,29.25652504,0.00000000,2.05381775,2.05381775,0.00000000,0.00498866,0.00075176,1.07318449,-0.01203452,0.01509044,0.01947337
19,40.00013351,0.03999813,0.03999813,0.00000000,29.20428848,29.20428848,0.00000000,2.00249481,2.00249481,0.00000000,0.00535834,0.00079785,1.07594645,-0.01271999,0.01525741,0.02008147
20,40.00006104,0.03999812,0.03999812,0.00000000,29.15308571,29.15308571,0.00000000,1.93334377,1.93334377,0.00000000,0.00572327,0.00085972,1.07858741,-0.01361266,0.01552700,0.02081643
21,39.99997711,0.03999811,0.03999811,0.00000000,29.10353661,29.10353661,0.00000000,1.85930729,1.85930729,0.00000000,0.00607489,0.00094417,1.08105946,-0.01468930,0.01601082,0.02172657
22,39.99991226,0.03999811,0.03999811,0.00000000,29.05479622,29.05479622,0.00000000,1.79596877,1.79596877,0.00000000,0.00641499,0.00105227,1.08338857,-0.01585977,0.01669320,0.02284903
23,39.99989700,0.03999810,0.03999810,0.00000000,29.00664902,29.00664902,0.00000000,1.78752601,1.78752601,0.00000000,0.00676023,0.00116806,1.08569527,-0.01715437,0.01733659,0.02394215
24,39.99991608,0.03999809,0.03999809,0.00000000,28.95668793,28.95668793,0.00000000,1.81439066,1.81439066,0.00000000,0.00713197,0.00128036,1.08811951,-0.01825186,0.01793068,0.02501432
25,39.99994659,0.03999808,0.03999808,0.00000000,28.90404701,28.90404701,0.00000000,1.85225523,1.85225523,0.00000000,0.00754764,0.00137455,1.09076262,-0.01908923,0.01835007,0.02595051
26,39.99996567,0.03999808,0.03999808,0.00000000,28.84825516,28.84825516,0.00000000,1.87995827,1.87995827,0.00000000,0.00802690,0.00143259,1.09372902,-0.01958746,0.01847942,0.02659761
27,39.99996567,0.03999807,0.03999807,0.00000000,28.78983879,28.78983879,0.00000000,1.88637495,1.88637495,0.00000000,0.00856445,0.00145923,1.09696162,-0.01983702,0.01834542,0.02700305
28,39.99993134,0.03999806,0.03999806,0.00000000,28.72869682,28.72869682,0.00000000,1.86241138,1.86241138,0.00000000,0.00916567,0.00145236,1.10047007,-0.01978065,0.01797021,0.02716905
