iter,total,cd3d,cd3d_fwd,cd3d_bwd,cd3d_raw,cd3d_raw_fwd,cd3d_raw_bwd,cd2d,cd2d_fwd,cd2d_bwd,scale_reg,t_reg,scale,tx,ty,tz
0,39.95116806,0.03994471,0.03994349,0.03994593,5.37674618,5.31740761,5.43608427,64.59397125,9.74086475,119.44708252,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000
1,39.94929123,0.03994360,0.03994232,0.03994488,5.32354450,5.26328945,5.38379908,56.92494965,9.42754173,104.42235565,0.00002500,0.00007500,1.00501263,0.00500000,0.00500000,0.00500000
2,39.94767380,0.03994247,0.03994114,0.03994379,5.27083302,5.20999098,5.33167553,52.05302048,9.35443783,94.75160217,0.00010006,0.00021696,1.01005328,0.00483424,0.00968096,0.00999347
3,39.94617844,0.03994131,0.03993993,0.03994269,5.21847105,5.15709877,5.27984333,48.70013046,9.24450016,88.15576172,0.00022535,0.00041650,1.01512492,0.00296625,0.01354159,0.01497754
4,39.94483566,0.03994012,0.03993868,0.03994155,5.16639233,5.10441780,5.22836685,47.18239594,9.19104195,85.17375183,0.00040111,0.00066477,1.02022970,0.00101613,0.01629893,0.01995189
5,39.94348145,0.03993890,0.03993740,0.03994039,5.11453056,5.05177689,5.17728424,45.83413315,9.10023975,82.56802368,0.00062771,0.00093119,1.02537060,0.00016333,0.01761316,0.02491871
6,39.94200134,0.03993765,0.03993608,0.03993921,5.06280518,4.99911213,5.12649822,43.56548309,9.01635361,78.11461639,0.00090557,0.00120969,1.03055000,0.00051731,0.01779195,0.02988097
7,39.94042969,0.03993635,0.03993471,0.03993800,5.01119709,4.94645452,5.07594013,40.76746368,8.93819809,72.59672546,0.00123521,0.00150855,1.03577042,0.00163640,0.01708765,0.03484085
8,39.93883896,0.03993502,0.03993330,0.03993675,4.95969582,4.89385176,5.02554035,38.15235519,8.85132313,67.45338440,0.00161720,0.00184152,1.04103398,0.00300891,0.01576117,0.03980009
9,39.93725204,0.03993366,0.03993185,0.03993546,4.90828419,4.84133911,4.97522926,35.90924454,8.74566650,63.07282257,0.00205222,0.00221820,1.04634321,0.00410945,0.01406494,0.04476033
10,39.93563461,0.03993224,0.03993035,0.03993414,4.85692978,4.78892374,4.92493534,33.84125137,8.67667675,59.00582886,0.00254100,0.00264225,1.05170047,0.00454328,0.01220796,0.04972502
11,39.93398285,0.03993079,0.03992881,0.03993278,4.80559254,4.73658180,4.87460279,31.85239601,8.66061497,55.04417801,0.00308439,0.00311718,1.05710840,0.00427053,0.01035579,0.05469647
12,39.93228912,0.03992929,0.03992721,0.03993136,4.75421953,4.68425369,4.82418537,29.95407486,8.55254173,51.35560989,0.00368330,0.00364833,1.06256974,0.00351888,0.00863744,0.05967701
13,39.93058777,0.03992774,0.03992556,0.03992991,4.70276690,4.63187742,4.77365637,28.44230652,8.45177078,48.43284225,0.00433877,0.00423989,1.06808710,0.00262111,0.00715316,0.06466721
14,39.92885208,0.03992612,0.03992385,0.03992840,4.65118694,4.57938480,4.72298956,27.20424271,8.39583302,46.01265335,0.00505190,0.00489299,1.07366359,0.00192743,0.00596746,0.06966826
15,39.92706299,0.03992445,0.03992207,0.03992683,4.59943867,4.52672768,4.67214966,26.03525543,8.36059380,43.70991898,0.00582394,0.00560667,1.07930219,0.00166180,0.00515006,0.07468190
16,39.92520523,0.03992271,0.03992022,0.03992521,4.54749250,4.47386837,4.62111664,24.76716614,8.30120850,41.23312378,0.00665622,0.00637939,1.08500612,0.00189538,0.00470272,0.07970999
17,39.92327118,0.03992091,0.03991830,0.03992353,4.49533749,4.42080307,4.56987143,23.44197083,8.22543716,38.65850449,0.00755016,0.00721121,1.09077859,0.00252622,0.00462981,0.08475491
18,39.92127991,0.03991904,0.03991630,0.03992178,4.44297695,4.36754894,4.51840448,22.23810005,8.17791653,36.29828262,0.00850732,0.00810205,1.09662259,0.00330136,0.00486990,0.08981892
