iter,total,cd3d,cd3d_fwd,cd3d_bwd,cd3d_raw,cd3d_raw_fwd,cd3d_raw_bwd,cd2d,cd2d_fwd,cd2d_bwd,scale_reg,t_reg,scale,tx,ty,tz
0,25.44451141,0.02543914,0.02290373,0.02797455,0.26826653,0.23149015,0.30504289,53.68059158,27.90135384,79.45983124,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000
1,23.95849609,0.02395266,0.02121069,0.02669463,0.24789247,0.21249662,0.28328830,58.32481384,29.66950035,86.98012543,0.00002500,0.00007500,1.00501263,0.00500000,0.00500000,0.00500000
2,22.37510109,0.02236876,0.01943667,0.02530084,0.22841810,0.19444388,0.26239231,63.45429230,31.73129082,95.17729187,0.00010012,0.00030017,1.01005638,0.01000522,0.00999724,0.01000593
3,20.70739555,0.02070048,0.01760690,0.02379407,0.20984221,0.17734315,0.24234125,69.10090637,34.12422943,104.07758331,0.00022564,0.00067635,1.01513481,0.01501809,0.01500596,0.01502093
4,18.97658539,0.01896905,0.01575382,0.02218427,0.19219559,0.16121346,0.22317772,75.35235596,36.83556366,113.86914825,0.00040193,0.00120351,1.02025056,0.02003924,0.02000142,0.02004708
5,17.20603561,0.01719783,0.01391242,0.02048324,0.17547327,0.14605436,0.20489220,82.02783966,39.91968536,124.13599396,0.00062937,0.00188114,1.02540457,0.02506683,0.02497064,0.02508499
6,15.42281628,0.01541390,0.01211735,0.01871045,0.15967034,0.13184598,0.18749470,89.08565521,43.38172913,134.78958130,0.00090826,0.00270802,1.03059602,0.03009680,0.02990273,0.03013352
7,13.65988255,0.01365020,0.01040644,0.01689397,0.14480698,0.11859936,0.17101461,96.75421143,47.39547729,146.11294556,0.00123869,0.00368251,1.03582168,0.03512048,0.03479620,0.03518932
8,11.95029640,0.01193979,0.00881183,0.01506776,0.13089408,0.10630850,0.15547967,104.98081207,51.94706345,158.01455688,0.00162039,0.00479902,1.04107523,0.04012442,0.03961432,0.04024618
9,10.32744312,0.01031606,0.00736243,0.01326969,0.11795311,0.09499082,0.14091539,113.74212646,57.04041672,170.44383240,0.00205250,0.00605164,1.04634643,0.04509057,0.04434938,0.04529471
10,8.82168198,0.00880939,0.00607827,0.01154051,0.10600963,0.08466050,0.12735876,122.85290527,62.53708267,183.16873169,0.00253342,0.00743548,1.05162120,0.04999569,0.04902672,0.05032186
11,7.45516729,0.00744192,0.00496830,0.00991554,0.09506935,0.07531881,0.11481988,132.33226013,68.59739685,196.06712341,0.00306056,0.00893857,1.05688131,0.05481245,0.05361769,0.05531100
12,6.24314308,0.00622891,0.00403281,0.00842502,0.08514020,0.06697005,0.10331035,142.14816284,75.10824585,209.18809509,0.00363033,0.01054740,1.06210446,0.05951067,0.05810944,0.06024262
13,5.19113111,0.00517590,0.00326388,0.00708792,0.07621399,0.05961431,0.09281366,152.12342834,81.96489716,222.28195190,0.00423806,0.01224361,1.06726623,0.06406079,0.06246983,0.06509486
14,4.29305744,0.00427683,0.00263732,0.00591635,0.06823154,0.05313642,0.08332665,162.04035950,89.05654144,235.02416992,0.00487821,0.01400668,1.07234108,0.06843447,0.06667082,0.06984562
15,3.54131079,0.00352411,0.00213435,0.00491386,0.06116505,0.04748325,0.07484685,171.84097290,96.31333160,247.36860657,0.00554453,0.01581771,1.07730401,0.07260392,0.07071100,0.07447373
16,2.92405176,0.00290589,0.00173890,0.00407289,0.05498835,0.04263720,0.06733951,181.34944153,103.58608246,259.11279297,0.00623018,0.01765369,1.08213019,0.07654679,0.07456446,0.07895831
17,2.42451954,0.00240546,0.00142850,0.00338242,0.04963718,0.03848903,0.06078532,190.34484863,110.73593903,269.95376587,0.00692808,0.01948602,1.08679724,0.08024641,0.07817148,0.08328117
18,2.02729487,0.00200740,0.00118822,0.00282657,0.04507200,0.03499422,0.05514979,198.70068359,117.62931061,279.77206421,0.00763125,0.02128633,1.09128630,0.08369036,0.08147832,0.08742736
19,1.71362841,0.00169297,0.00100269,0.00238325,0.04120550,0.03206970,0.05034130,206.28260803,124.07439423,288.49081421,0.00833302,0.02302059,1.09558165,0.08687042,0.08439671,0.09138551
20,1.46754313,0.00144621,0.00086208,0.00203034,0.03796556,0.02968278,0.04624834,212.99745178,129.97253418,296.02236938,0.00902737,0.02467503,1.09967256,0.08978608,0.08695022,0.09514803
21,1.27419710,0.00125227,0.00075552,0.00174903,0.03525845,0.02775005,0.04276685,218.86499023,135.28106689,302.44891357,0.00970910,0.02623334,1.10355270,0.09243952,0.08913101,0.09871138
22,1.12090075,0.00109848,0.00067125,0.00152570,0.03297791,0.02612862,0.03982720,223.86607361,139.92010498,307.81204224,0.01037400,0.02768632,1.10722053,0.09483669,0.09095477,0.10207620
23,0.99626696,0.00097343,0.00060079,0.00134606,0.03100962,0.02469715,0.03732209,228.00985718,143.89012146,312.12960815,0.01101905,0.02902797,1.11067915,0.09698730,0.09243612,0.10524733
24,0.89496380,0.00087179,0.00054201,0.00120157,0.02931836,0.02344039,0.03519632,231.33981323,147.19578552,315.48382568,0.01164209,0.03025902,1.11393476,0.09890206,0.09361232,0.10823187
25,0.81205654,0.00078863,0.00049397,0.00108328,0.02786607,0.02236403,0.03336811,233.87831116,149.85528564,317.90133667,0.01224132,0.03137879,1.11699319,0.10059153,0.09450363,0.11103693
26,0.74421012,0.00072060,0.00045491,0.00098628,0.02662533,0.02145105,0.03179961,235.66781616,151.89256287,319.44308472,0.01281574,0.03238875,1.11986327,0.10206787,0.09513012,0.11367129
27,0.68776733,0.00066405,0.00042278,0.00090531,0.02555297,0.02067120,0.03043475,236.74768066,153.33064270,320.16470337,0.01336446,0.03329064,1.12255216,0.10334309,0.09550788,0.11614254
28,0.63850540,0.00061474,0.00039495,0.00083453,0.02458325,0.01997213,0.02919438,237.18923950,154.23545837,320.14303589,0.01388749,0.03409139,1.12506998,0.10442900,0.09567167,0.11846058
29,0.59466022,0.00057091,0.00036879,0.00077302,0.02368451,0.01929310,0.02807591,237.03427124,154.63851929,319.43002319,0.01438557,0.03479777,1.12742901,0.10533824,0.09564693,0.12063704
