iter,total,cd3d,cd3d_fwd,cd3d_bwd,cd3d_raw,cd3d_raw_fwd,cd3d_raw_bwd,cd2d,cd2d_fwd,cd2d_bwd,scale_reg,t_reg,scale,tx,ty,tz
0,20.74196243,0.02070120,0.01820118,0.02320121,0.20889753,0.18275252,0.23504253,40.76111984,25.01854134,56.50369644,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000
1,18.99716949,0.01895240,0.01635197,0.02155284,0.19124532,0.16630965,0.21618097,44.76562500,28.00600052,61.52525330,0.00002500,0.00007500,1.00501263,-0.00500000,0.00500000,0.00500000
2,17.20609856,0.01715659,0.01449638,0.01981679,0.17448075,0.15078524,0.19817626,49.51379013,31.69582176,67.33175659,0.00010008,0.00029958,1.01005411,-0.01000164,0.00997382,0.01000363
3,15.39780521,0.01534312,0.01267171,0.01801453,0.15861422,0.13618882,0.18103963,54.68031311,35.82519150,73.53543091,0.00022536,0.00067159,1.01512527,-0.01500308,0.01487157,0.01501125
4,13.60510349,0.01354458,0.01091568,0.01617348,0.14365207,0.12252530,0.16477883,60.52379608,40.46326065,80.58433533,0.00040092,0.00118883,1.02022469,-0.01999886,0.01969857,0.02002107
5,11.86244583,0.01179561,0.00926286,0.01432836,0.12960474,0.10979202,0.14941746,66.83441925,45.47950363,88.18933105,0.00062659,0.00184378,1.02534771,-0.02497810,0.02436070,0.02502853
6,10.20443630,0.01013076,0.00774528,0.01251624,0.11648661,0.09800584,0.13496737,73.67423248,51.01890564,96.32955933,0.00090187,0.00263587,1.03048670,-0.02992712,0.02896022,0.03002575
7,8.66453075,0.00858353,0.00638838,0.01077869,0.10433054,0.08719277,0.12146832,80.99600983,57.13765717,104.85436249,0.00122563,0.00355172,1.03562891,-0.03482344,0.03337622,0.03500106
8,7.26814365,0.00717950,0.00520585,0.00915315,0.09315337,0.07736110,0.10894564,88.63861084,63.65381622,113.62341309,0.00159596,0.00458105,1.04075813,-0.03963814,0.03761313,0.03993900
9,6.03114271,0.00593452,0.00420134,0.00766771,0.08295627,0.06851576,0.09739678,96.61035156,70.56132507,122.65937042,0.00201002,0.00571689,1.04585350,-0.04433695,0.04174009,0.04482067
10,4.96141481,0.00485670,0.00336829,0.00634510,0.07374381,0.06064653,0.08684108,104.70977783,77.70813751,131.71142578,0.00246396,0.00694322,1.05089092,-0.04888411,0.04572704,0.04962466
11,4.05657196,0.00394385,0.00269069,0.00519702,0.06549769,0.05370972,0.07728566,112.70886230,84.83998108,140.57774353,0.00295293,0.00824521,1.05584443,-0.05324143,0.04958867,0.05432796
12,3.30508590,0.00318454,0.00214699,0.00422209,0.05816811,0.04763154,0.06870468,120.53330994,91.96535492,149.10125732,0.00347133,0.00959113,1.06068826,-0.05737063,0.05319362,0.05890821
13,2.69219184,0.00256422,0.00171560,0.00341284,0.05171054,0.04233764,0.06108344,127.95944214,98.84964752,157.06924438,0.00401299,0.01095463,1.06539774,-0.06123570,0.05649989,0.06334496
14,2.19871879,0.00206390,0.00137395,0.00275385,0.04605144,0.03772034,0.05438254,134.80020142,105.27079010,164.32960510,0.00457148,0.01229829,1.06995082,-0.06480864,0.05937697,0.06762033
15,1.80429804,0.00166337,0.00110279,0.00222396,0.04110147,0.03367578,0.04852716,140.90484619,111.11999512,170.68971252,0.00514045,0.01359356,1.07432973,-0.06806781,0.06177805,0.07172030
16,1.49037516,0.00134413,0.00088856,0.00179969,0.03677804,0.03014546,0.04341063,146.22621155,116.33084106,176.12158203,0.00571404,0.01482153,1.07852161,-0.07100073,0.06371561,0.07563561
17,1.24160862,0.00109087,0.00071935,0.00146240,0.03301265,0.02706508,0.03896021,150.71168518,120.85832214,180.56504822,0.00628679,0.01597489,1.08251739,-0.07360366,0.06526372,0.07936016
18,1.04457796,0.00089025,0.00058393,0.00119657,0.02973186,0.02434295,0.03512078,154.30453491,124.64364624,183.96543884,0.00685399,0.01704476,1.08631241,-0.07587032,0.06646306,0.08289219
19,0.88861793,0.00073161,0.00047623,0.00098700,0.02688256,0.02195369,0.03181143,156.98104858,127.62643433,186.33567810,0.00741146,0.01802017,1.08990419,-0.07780202,0.06731328,0.08623189
20,0.76449996,0.00060572,0.00038959,0.00082185,0.02440097,0.01983481,0.02896712,158.75224304,129.82231140,187.68217468,0.00795583,0.01889678,1.09329426,-0.07940292,0.06784307,0.08938274
