iter,total,corr,reproj,scale_reg,tz_reg,scale,tz
0,6.06689119,6.06689119,0.00000000,0.00000000,0.00000000,1.00000000,0.00000000
1,6.00928497,6.00793695,1.34821594,0.00002500,0.00002500,1.00501263,0.00500000
2,5.95449638,5.94922400,5.27250814,0.00010000,0.00009946,1.01005018,0.00997293
3,5.90241289,5.89084673,11.56619072,0.00022501,0.00022192,1.01511335,0.01489681
4,5.85290480,5.83291912,19.98450470,0.00040004,0.00038992,1.02020252,0.01974647
5,5.80581093,5.77556610,30.24364090,0.00062513,0.00059993,1.02531779,0.02449351
6,5.76093674,5.71891546,42.01937866,0.00090032,0.00084719,1.03046000,0.02910645
7,5.71806526,5.66311407,54.94871140,0.00122566,0.00112569,1.03562951,0.03355125
8,5.67694712,5.60830593,68.63846588,0.00160125,0.00142825,1.04082704,0.03779213
9,5.63731432,5.55463743,82.67303467,0.00202717,0.00174664,1.04605305,0.04179277
10,5.59888029,5.50224638,96.62978363,0.00250354,0.00207188,1.05130827,0.04551793
11,5.56135750,5.45125484,110.09745789,0.00303048,0.00239466,1.05659330,0.04893527
12,5.52446556,5.40176344,122.69525909,0.00360814,0.00270579,1.06190860,0.05201719
13,5.48794365,5.35384369,134.09259033,0.00423664,0.00299674,1.06725454,0.05474250
14,5.45156527,5.30753183,144.02537537,0.00491614,0.00326014,1.07263172,0.05709761
15,5.41514444,5.26283026,152.30509949,0.00564676,0.00349011,1.07804036,0.05907715
16,5.37853861,5.21970558,158.82283020,0.00642865,0.00368255,1.08348083,0.06068400
17,5.34165573,5.17809629,163.54827881,0.00726191,0.00383516,1.08895314,0.06192866
18,5.30444193,5.13790989,166.52030945,0.00814665,0.00394740,1.09445751,0.06282833
19,5.26688576,5.09903622,167.83679199,0.00908296,0.00402029,1.09999382,0.06340574
20,5.22900391,5.06134892,167.64077759,0.01007091,0.00405615,1.10556209,0.06368788
21,5.19083118,5.02470779,166.10791016,0.01111053,0.00405832,1.11116230,0.06370491
22,5.15242434,4.98897266,163.43531799,0.01220187,0.00403086,1.11679399,0.06348906
23,5.11383772,4.95399284,159.82792664,0.01334494,0.00397831,1.12245739,0.06307381
24,5.07513475,4.91962290,155.49375916,0.01453974,0.00390540,1.12815201,0.06249317
25,5.03637028,4.88571930,150.63142395,0.01578626,0.00381690,1.13387764,0.06178106
26,4.99758911,4.85213852,145.42964172,0.01708447,0.00371744,1.13963449,0.06097083
27,4.95883226,4.81874895,140.06103516,0.01843435,0.00361138,1.14542210,0.06009479
28,4.92012501,4.78542376,134.67765808,0.01983586,0.00350273,1.15124023,0.05918384
29,4.88148308,4.75204468,129.41354370,0.02128896,0.00339505,1.15708899,0.05826706
30,4.84291029,4.71850443,124.37973022,0.02279364,0.00329147,1.16296828,0.05737134
31,4.80440140,4.68470621,119.66760254,0.02434984,0.00319463,1.16887808,0.05652108
32,4.76594591,4.65056801,115.34883881,0.02595756,0.00310670,1.17481828,0.05573782
33,4.72752428,4.61601877,111.47488403,0.02761676,0.00302940,1.18078911,0.05504002
34,4.68911886,4.58100462,108.08200836,0.02932744,0.00296402,1.18679047,0.05444286
35,4.65070724,4.54548359,105.18964386,0.03108959,0.00291147,1.19282258,0.05395808
36,4.61227083,4.50942945,102.80558014,0.03290321,0.00287232,1.19888544,0.05359401
37,4.57379198,4.47282887,100.92556763,0.03476831,0.00284681,1.20497954,0.05335553
38,4.53525925,4.43568373,99.53572845,0.03668490,0.00283496,1.21110475,0.05324432
39,4.49666357,4.39800692,98.61510468,0.03865300,0.00283652,1.21726143,0.05325898
40,4.45799971,4.35982037,98.13585663,0.04067265,0.00285107,1.22344995,0.05339540
41,4.41927147,4.32115984,98.06565094,0.04274387,0.00287800,1.22967005,0.05364703
42,4.38047838,4.28206348,98.36706543,0.04486668,0.00291657,1.23592246,0.05400529
43,4.34163141,4.24258089,99.00039673,0.04704113,0.00296589,1.24220693,0.05445994
44,4.30273247,4.20275784,99.92269135,0.04926724,0.00302494,1.24852431,0.05499949
45,4.26379728,4.16265345,101.08963776,0.05154505,0.00309264,1.25487423,0.05561153
46,4.22483301,4.12231970,102.45594025,0.05387459,0.00316780,1.26125717,0.05628317
47,4.18584633,4.08181047,103.97622681,0.05625588,0.00324915,1.26767337,0.05700132
48,4.14684868,4.04118204,105.60469055,0.05868895,0.00333541,1.27412283,0.05775303
49,4.10784388,4.00048208,107.29736328,0.06117380,0.00342527,1.28060591,0.05852577
50,4.06883955,3.95975995,109.01244354,0.06371044,0.00351740,1.28712273,0.05930766
51,4.02983952,3.91905904,110.71036530,0.06629889,0.00361053,1.29367340,0.06008767
52,3.99084735,3.87841916,112.35536957,0.06893912,0.00370343,1.30025792,0.06085582
53,3.95186496,3.83787441,113.91510010,0.07163110,0.00379496,1.30687642,0.06160326
54,3.91289282,3.79745317,115.36156464,0.07437482,0.00388408,1.31352913,0.06232239
55,3.87393379,3.75718021,116.67225647,0.07717022,0.00396987,1.32021594,0.06300692
56,3.83498788,3.71707439,117.82926178,0.08001724,0.00405156,1.32693684,0.06365186
57,3.79605556,3.67714930,118.81932831,0.08291579,0.00412851,1.33369195,0.06425352
58,3.75713992,3.63741589,119.63379669,0.08586581,0.00420027,1.34048116,0.06480947
59,3.71823883,3.59787560,120.27005005,0.08886719,0.00426651,1.34730470,0.06531850
60,3.67935896,3.55853391,120.72864532,0.09191982,0.00432707,1.35416198,0.06578045
61,3.64049983,3.51938581,121.01461792,0.09502356,0.00438194,1.36105335,0.06619622
62,3.60166550,3.48042679,121.13584900,0.09817828,0.00443124,1.36797857,0.06656753
63,3.56285906,3.44164968,121.10349274,0.10138384,0.00447520,1.37493742,0.06689691
64,3.52408290,3.40304303,120.93072510,0.10464003,0.00451416,1.38193011,0.06718747
65,3.48534393,3.36459851,120.63289642,0.10794672,0.00454854,1.38895607,0.06744284
66,3.44664478,3.32630348,120.22537994,0.11130369,0.00457882,1.39601541,0.06766699
67,3.40798855,3.28814411,119.72525024,0.11471074,0.00460554,1.40310800,0.06786413
68,3.36938190,3.25011015,119.14891815,0.11816767,0.00462925,1.41023338,0.06803859
69,3.33082771,3.21218896,118.51244354,0.12167425,0.00465051,1.41739166,0.06819468
70,3.29233098,3.17436910,117.83197021,0.12523024,0.00466989,1.42458260,0.06833663
71,3.25389528,3.13664031,117.12149811,0.12883542,0.00468793,1.43180585,0.06846849
72,3.21552515,3.09899354,116.39431763,0.13248955,0.00470514,1.43906152,0.06859405
73,3.17722535,3.06142187,115.66245270,0.13619234,0.00472199,1.44634902,0.06871676
74,3.13899899,3.02391815,114.93605804,0.13994354,0.00473891,1.45366836,0.06883975
75,3.10084987,2.98647761,114.22363281,0.14374289,0.00475627,1.46101940,0.06896570
76,3.06278276,2.94909811,113.53221130,0.14759007,0.00477438,1.46840179,0.06909688
77,3.02480197,2.91177821,112.86757660,0.15148480,0.00479350,1.47581518,0.06923514
78,2.98691010,2.87451649,112.23348236,0.15542679,0.00481384,1.48325956,0.06938188
79,2.94911313,2.83731675,111.63204193,0.15941572,0.00483554,1.49073458,0.06953807
80,2.91141319,2.80018044,111.06453705,0.16345128,0.00485869,1.49823999,0.06970429
81,2.87381530,2.76311183,110.53114319,0.16753314,0.00488331,1.50577569,0.06988071
82,2.83632421,2.72611713,110.03047180,0.17166097,0.00490941,1.51334107,0.07006718
83,2.79894257,2.68920112,109.56037903,0.17583440,0.00493692,1.52093637,0.07026322
84,2.76167655,2.65237260,109.11902618,0.18005309,0.00496575,1.52856076,0.07046808
85,2.72452974,2.61563897,108.70156097,0.18431664,0.00499577,1.53621423,0.07068075
86,2.68750620,2.57900858,108.30409241,0.18862469,0.00502682,1.54389656,0.07090008
87,2.65061045,2.54248834,107.92420959,0.19297688,0.00505873,1.55160737,0.07112473
88,2.61384869,2.50609088,107.55543518,0.19737272,0.00509129,1.55934596,0.07135326
89,2.57722354,2.46982217,107.19474792,0.20181186,0.00512429,1.56711245,0.07158418
90,2.54074001,2.43369198,106.83663940,0.20629385,0.00515753,1.57490647,0.07181595
91,2.50440335,2.39771032,106.47708893,0.21081825,0.00519077,1.58272731,0.07204702
92,2.46821785,2.36188531,106.11208344,0.21538460,0.00522380,1.59057474,0.07227588
93,2.43218708,2.32622409,105.73775482,0.21999246,0.00525641,1.59844863,0.07250110
94,2.39631677,2.29073715,105.34970856,0.22464131,0.00528839,1.60634828,0.07272130
95,2.36061144,2.25543118,104.94569397,0.22933067,0.00531954,1.61427319,0.07293519
96,2.32507467,2.22031260,104.52276611,0.23406002,0.00534970,1.62222314,0.07314161
97,2.28971267,2.18539023,104.07810974,0.23882882,0.00537869,1.63019741,0.07333953
98,2.25452709,2.15066767,103.61035919,0.24363659,0.00540637,1.63819599,0.07352801
99,2.21952581,2.11615443,103.11749268,0.24848272,0.00543262,1.64621782,0.07370628
100,2.18471122,2.08185410,102.59822845,0.25336671,0.00545732,1.65426278,0.07387365
101,2.15008855,2.04777288,102.05198669,0.25828788,0.00548038,1.66233015,0.07402962
102,2.11566234,2.01391554,101.47815704,0.26324570,0.00550175,1.67041945,0.07417376
103,2.08143687,1.98028564,100.87751007,0.26823959,0.00552135,1.67853022,0.07430578
104,2.04741645,1.94688809,100.24955750,0.27326888,0.00553916,1.68666172,0.07442550
105,2.01360512,1.91372645,99.59497070,0.27833295,0.00555514,1.69481361,0.07453283
106,1.98000956,1.88080525,98.91526031,0.28343117,0.00556930,1.70298481,0.07462776
107,1.94663119,1.84812713,98.20980072,0.28856286,0.00558164,1.71117532,0.07471037
108,1.91347551,1.81569552,97.48068237,0.29372737,0.00559216,1.71938419,0.07478078
109,1.88054729,1.78351355,96.72920227,0.29892397,0.00560090,1.72761083,0.07483917
110,1.84785140,1.75158501,95.95671844,0.30415195,0.00560788,1.73585427,0.07488579
111,1.81539071,1.71991181,95.16384125,0.30941060,0.00561314,1.74411428,0.07492088
112,1.78317046,1.68849766,94.35248566,0.31469917,0.00561671,1.75238991,0.07494470
113,1.75119376,1.65734434,93.52387238,0.32001701,0.00561863,1.76068068,0.07495755
114,1.71946645,1.62645626,92.67926025,0.32536331,0.00561896,1.76898551,0.07495970
115,1.68799114,1.59583509,91.81974030,0.33073726,0.00561772,1.77730405,0.07495144
116,1.65677261,1.56548369,90.94715118,0.33613813,0.00561496,1.78563523,0.07493302
117,1.62581527,1.53540611,90.06196594,0.34156501,0.00561071,1.79397833,0.07490470
118,1.59512281,1.50560427,89.16587067,0.34701726,0.00560502,1.80233252,0.07486667
119,1.56469774,1.47608089,88.25878906,0.35249391,0.00559791,1.81069732,0.07481916
120,1.53454638,1.44683981,87.34296417,0.35799417,0.00558940,1.81907141,0.07476231
121,1.50467062,1.41788328,86.41823578,0.36351719,0.00557953,1.82745433,0.07469625
122,1.47507501,1.38921463,85.48564148,0.36906213,0.00556831,1.83584499,0.07462110
123,1.44576275,1.36083734,84.54517365,0.37462810,0.00555575,1.84424269,0.07453691
124,1.41673732,1.33275294,83.59871674,0.38021421,0.00554187,1.85264647,0.07444374
125,1.38800216,1.30496562,82.64530182,0.38581955,0.00552667,1.86105549,0.07434157
126,1.35956180,1.27747858,81.68628693,0.39144319,0.00551015,1.86946857,0.07423040
127,1.33141816,1.25029397,80.72159576,0.39708424,0.00549232,1.87788510,0.07411019
128,1.30357468,1.22341537,79.75116730,0.40274173,0.00547317,1.88630402,0.07398085
129,1.27603507,1.19684529,78.77590942,0.40841469,0.00545269,1.89472425,0.07384232
130,1.24880123,1.17058587,77.79573822,0.41410226,0.00543088,1.90314507,0.07369448
131,1.22187769,1.14464188,76.81060028,0.41980335,0.00540772,1.91156507,0.07353722
