iter,total,cd3d,cd3d_raw,cd2d,scale_reg,t_reg,scale,tx,ty,tz
0,36.77142715,0.03677100,0.67491430,4.25611210,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000
1,36.47591019,0.03647554,0.64340472,3.74814105,0.00002500,0.00007500,1.00501263,0.00500000,-0.00500000,0.00500000
2,36.14733124,0.03614696,0.61258215,3.66614604,0.00010014,0.00029835,1.01005709,0.00990414,-0.01000636,0.01000679
3,35.78122330,0.03578083,0.58242702,3.95116591,0.00022575,0.00066201,1.01513827,0.01451073,-0.01502341,0.01502485
4,35.37236786,0.03537193,0.55291611,4.44266176,0.00040235,0.00114072,1.02026105,0.01833441,-0.02005546,0.02005863
5,34.91458130,0.03491410,0.52401853,4.79225874,0.00063063,0.00168655,1.02543032,0.02062974,-0.02510643,0.02511247
6,34.40072250,0.03440025,0.49570838,4.73310423,0.00091145,0.00226834,1.03065062,0.02111906,-0.03018036,0.03019064
7,33.82283783,0.03382240,0.46797463,4.34339285,0.00124585,0.00289782,1.03592694,0.02017805,-0.03528129,0.03529726
8,33.17219162,0.03317180,0.44082025,3.83428645,0.00163501,0.00360287,1.04126394,0.01829088,-0.04041304,0.04043635
9,32.43917084,0.03243883,0.41425514,3.36844850,0.00208027,0.00440824,1.04666603,0.01582250,-0.04557911,0.04561175
10,31.61317825,0.03161287,0.38828903,3.04362345,0.00258313,0.00533427,1.05213809,0.01311354,-0.05078293,0.05082717
11,30.68278122,0.03068248,0.36293191,2.90736771,0.00314522,0.00639614,1.05768478,0.01055401,-0.05602768,0.05608613
12,29.63595963,0.02963565,0.33819431,2.95769596,0.00376835,0.00760289,1.06331027,0.00861858,-0.06131582,0.06139202
13,28.46055794,0.02846023,0.31408745,3.18397856,0.00445442,0.00895822,1.06901896,0.00779541,-0.06664942,0.06674806
14,27.14538574,0.02714501,0.29062918,3.57365823,0.00520549,0.01045937,1.07481563,0.00802404,-0.07202994,0.07215727
15,25.68174171,0.02568131,0.26784712,4.14763021,0.00602377,0.01210618,1.08070433,0.00901240,-0.07745783,0.07762246
16,24.06493187,0.02406442,0.24577278,4.92755890,0.00691152,0.01389648,1.08668911,0.01026946,-0.08293219,0.08314609
17,22.29602051,0.02229541,0.22443718,5.87195253,0.00787112,0.01581951,1.09277391,0.01109804,-0.08844947,0.08873010
18,20.38418388,0.02038346,0.20387213,6.91555548,0.00890493,0.01786311,1.09896183,0.01093531,-0.09400411,0.09437563
19,18.34992027,0.01834908,0.18411918,8.07081985,0.01001514,0.02002923,1.10525453,0.00976561,-0.09958597,0.10008243
20,16.22730827,0.01622633,0.16523124,9.40470314,0.01120360,0.02232986,1.11165178,0.00795547,-0.10517955,0.10584813
21,14.06419945,0.01406306,0.14726877,10.97915077,0.01247143,0.02477405,1.11815000,0.00602880,-0.11076173,0.11166710
