iter,total,cd3d,cd3d_fwd,cd3d_bwd,cd3d_raw,cd3d_raw_fwd,cd3d_raw_bwd,cd2d,cd2d_fwd,cd2d_bwd,scale_reg,t_reg,scale,tx,ty,tz
0,39.94324112,0.03993793,0.03993673,0.03993914,5.07409525,5.02469015,5.12350035,53.10642624,5.82749748,100.38535309,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000
1,39.94031525,0.03993630,0.03993505,0.03993756,5.00870132,4.95940685,5.05799627,40.11315536,1.90723729,78.31907654,0.00002500,0.00007500,1.00501263,-0.00500000,-0.00500000,0.00500000
2,39.93812180,0.03993461,0.03993331,0.03993591,4.94339991,4.89413309,4.99266672,35.08216476,0.80678904,69.35754395,0.00010007,0.00028215,1.01005387,-0.00912984,-0.00993437,0.01000517
3,39.93618774,0.03993285,0.03993149,0.03993420,4.87788725,4.82846832,4.92730618,33.40298843,0.84158838,65.96438599,0.00022542,0.00057304,1.01512730,-0.01138303,-0.01475890,0.01502140
4,39.93416595,0.03993100,0.03992958,0.03993242,4.81211662,4.76234913,4.86188364,31.64921761,0.87494659,62.42348862,0.00040138,0.00091431,1.02023649,-0.01159964,-0.01943211,0.02005370
5,39.93202209,0.03992908,0.03992758,0.03993057,4.74631166,4.69606638,4.79655695,29.44180489,0.75789922,58.12570953,0.00062839,0.00131149,1.02538443,-0.01045898,-0.02391162,0.02510649
6,39.92982483,0.03992708,0.03992550,0.03992866,4.68068314,4.62988758,4.73147917,27.45523834,0.59890050,54.31157684,0.00090697,0.00177621,1.03057408,-0.00853623,-0.02814776,0.03018358
7,39.92761993,0.03992500,0.03992333,0.03992667,4.61538029,4.56399679,4.66676331,26.12308502,0.52535224,51.72081757,0.00123778,0.00231378,1.03580832,-0.00621459,-0.03209125,0.03528900
8,39.92540359,0.03992285,0.03992109,0.03992461,4.55046558,4.49848461,4.60244703,25.52782631,0.58059347,50.47505951,0.00162156,0.00292457,1.04109037,-0.00375979,-0.03572219,0.04042716
9,39.92317963,0.03992061,0.03991876,0.03992247,4.48598480,4.43341541,4.53855467,25.57912254,0.74215412,50.41609192,0.00205917,0.00360417,1.04642344,-0.00139308,-0.03902197,0.04560174
