iter,total,cd3d,cd3d_fwd,cd3d_bwd,cd3d_raw,cd3d_raw_fwd,cd3d_raw_bwd,cd2d,cd2d_fwd,cd2d_bwd,scale_reg,t_reg,scale,tx,ty,tz
0,39.57280350,0.03957048,0.03952198,0.03961897,1.92898118,1.81856179,2.03940058,23.26451683,14.95427036,31.57476234,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000
1,39.54869461,0.03954675,0.03949421,0.03959929,1.87775826,1.76731074,1.98820579,19.44395638,12.40594769,26.48196411,0.00002500,0.00007500,1.00501263,-0.00500000,-0.00500000,0.00500000
2,39.52298737,0.03952126,0.03946424,0.03957828,1.82701671,1.71651053,1.93752289,17.26091766,10.92916679,23.59267044,0.00010012,0.00026910,1.01005638,-0.00986739,-0.00846271,0.01000572
3,39.49539948,0.03949376,0.03943173,0.03955580,1.77665520,1.66600144,1.88730907,16.37002754,10.25534344,22.48471260,0.00022567,0.00051144,1.01513577,-0.01443454,-0.00880063,0.01502111
4,39.46568298,0.03946406,0.03939646,0.03953166,1.72666621,1.61586261,1.83746970,16.24163055,10.03578091,22.44747925,0.00040213,0.00079336,1.02025557,-0.01838659,-0.00729919,0.02005021
5,39.43357086,0.03943192,0.03935816,0.03950568,1.67704773,1.56615102,1.78794444,16.51506805,10.05432320,22.97581100,0.00063013,0.00111344,1.02542007,-0.02146738,-0.00476776,0.02509710
6,39.39876556,0.03939707,0.03931650,0.03947764,1.62777209,1.51687169,1.73867249,16.95916367,10.17704201,23.74128723,0.00091048,0.00146414,1.03063405,-0.02348385,-0.00163406,0.03016582
7,39.36093140,0.03935920,0.03927110,0.03944730,1.57882428,1.46801794,1.68963051,17.36735535,10.36081219,24.37389946,0.00124416,0.00184126,1.03590214,-0.02438539,0.00182177,0.03526041
8,39.31972122,0.03931795,0.03922150,0.03941440,1.53019977,1.41959059,1.64080906,17.65114403,10.52258301,24.77970505,0.00163232,0.00225223,1.04122925,-0.02433823,0.00537913,0.04038491
9,39.27471542,0.03927293,0.03916719,0.03937867,1.48188460,1.37156904,1.59220016,17.81801987,10.63620853,24.99983025,0.00207625,0.00270991,1.04662001,-0.02358023,0.00892738,0.04554325
