iter,total,cd3d,cd3d_fwd,cd3d_bwd,cd3d_raw,cd3d_raw_fwd,cd3d_raw_bwd,cd2d,cd2d_fwd,cd2d_bwd,scale_reg,t_reg,scale,tx,ty,tz
0,40.00083160,0.03997959,0.03998390,0.03997528,9.00509739,9.96673107,8.04346371,212.38960266,18.76414108,406.01507568,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000
1,39.99436951,0.03997931,0.03998368,0.03997494,8.94346333,9.89912987,7.98779726,150.58871460,11.35910892,289.81832886,0.00002500,0.00007500,1.00501251,-0.00500000,0.00500000,0.00500000
2,39.98979568,0.03997902,0.03998346,0.03997459,8.88241482,9.83215332,7.93267632,107.71692657,6.92215109,208.51170349,0.00009950,0.00029439,1.01002514,-0.00990505,0.00989183,0.00992112
3,39.98684311,0.03997873,0.03998323,0.03997423,8.82197857,9.76582146,7.87813520,81.08660126,4.53752613,157.63568115,0.00022316,0.00064200,1.01505077,-0.01462658,0.01456217,0.01469720
4,39.98515320,0.03997844,0.03998300,0.03997388,8.76206589,9.70002556,7.82410526,67.18752289,3.40473437,130.97030640,0.00039638,0.00109089,1.02010870,-0.01905937,0.01888038,0.01926549
5,39.98439026,0.03997815,0.03998277,0.03997352,8.70256233,9.63463688,7.77048874,62.45246887,2.90535402,121.99958038,0.00062012,0.00160458,1.02521491,-0.02310570,0.02270112,0.02356620
6,39.98418045,0.03997784,0.03998253,0.03997315,8.64335823,9.56952763,7.71718788,63.36066818,2.62705731,124.09427643,0.00089560,0.00214241,1.03037894,-0.02669025,0.02589940,0.02755476
7,39.98423767,0.03997754,0.03998229,0.03997278,8.58435249,9.50459194,7.66411352,66.97915649,2.44954681,131.50877380,0.00122405,0.00266541,1.03560555,-0.02976578,0.02838538,0.03120380
8,39.98434448,0.03997722,0.03998205,0.03997240,8.52547169,9.43974495,7.61119795,71.20117950,2.43350530,139.96885681,0.00160671,0.00314292,1.04089808,-0.03231760,0.03012997,0.03450625
9,39.98438263,0.03997691,0.03998180,0.03997201,8.46667004,9.37494087,7.55839872,74.66973114,2.36300516,146.97645569,0.00204482,0.00355505,1.04625762,-0.03435630,0.03115323,0.03747227
10,39.98426819,0.03997658,0.03998155,0.03997162,8.40791512,9.31014538,7.50568485,76.77705383,2.31490111,151.23921204,0.00253949,0.00389289,1.05168474,-0.03590995,0.03151574,0.04012635
11,39.98398972,0.03997625,0.03998129,0.03997121,8.34920120,9.24535465,7.45304775,77.33691406,2.28115106,152.39266968,0.00309175,0.00415511,1.05717838,-0.03701422,0.03129047,0.04249659
12,39.98356247,0.03997591,0.03998102,0.03997080,8.29051113,9.18055153,7.40047073,76.46286774,2.26872396,150.65701294,0.00370241,0.00434661,1.06273687,-0.03770918,0.03055933,0.04461785
13,39.98301315,0.03997557,0.03998075,0.03997039,8.23183918,9.11573410,7.34794474,74.40119934,2.26671863,146.53567505,0.00437212,0.00447583,1.06835699,-0.03803824,0.02940024,0.04652476
14,39.98237610,0.03997522,0.03998048,0.03996996,8.17315865,9.05087757,7.29543924,71.50312805,2.30362487,140.70263672,0.00510118,0.00455476,1.07403505,-0.03805280,0.02789188,0.04825752
15,39.98168182,0.03997486,0.03998020,0.03996952,8.11443806,8.98595333,7.24292326,68.08584595,2.34638023,133.82531738,0.00588984,0.00459493,1.07976711,-0.03779425,0.02610057,0.04985265
