iter,total,cd3d,cd3d_raw,cd2d,scale_reg,t_reg,scale,tx,ty,tz
0,0.02459769,0.00001357,0.00368448,110.26882172,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,-0.28186846
1,0.01883298,0.00000958,0.00309487,92.56980896,0.00002500,0.00007500,1.00501263,0.00500000,-0.00500000,-0.27686846
2,0.01443767,0.00000665,0.00257848,77.89813995,0.00009854,0.00029709,1.00997591,0.00995442,-0.00995668,-0.27192536
3,0.01130307,0.00000474,0.00217664,65.64984131,0.00021540,0.00065294,1.01478469,0.01482725,-0.01467098,-0.26710838
4,0.00918123,0.00000365,0.00191073,55.29177856,0.00036673,0.00111238,1.01933479,0.01958332,-0.01878729,-0.26248011
5,0.00774572,0.00000310,0.00176182,46.39766693,0.00054100,0.00163286,1.02353203,0.02420022,-0.02195068,-0.25809076
6,0.00665247,0.00000278,0.00166628,38.73261261,0.00072783,0.00218452,1.02734566,0.02867042,-0.02414941,-0.25395191
7,0.00567227,0.00000244,0.00156349,32.24236298,0.00092155,0.00275518,1.03082252,0.03300460,-0.02554194,-0.25003326
8,0.00484902,0.00000216,0.00146999,26.83806229,0.00112081,0.00334115,1.03404522,0.03720842,-0.02628448,-0.24629027
9,0.00420710,0.00000196,0.00139905,22.44590187,0.00132069,0.00392951,1.03700972,0.04127241,-0.02635417,-0.24273330
10,0.00368529,0.00000179,0.00133887,18.86775208,0.00151688,0.00450853,1.03971553,0.04519633,-0.02568122,-0.23936787
11,0.00328929,0.00000169,0.00129823,15.97172642,0.00170418,0.00507480,1.04214561,0.04898024,-0.02430552,-0.23620695
12,0.00299676,0.00000162,0.00127425,13.65606689,0.00187701,0.00563088,1.04427671,0.05262383,-0.02235020,-0.23326725
13,0.00278285,0.00000159,0.00126103,11.84513474,0.00203016,0.00618006,1.04608774,0.05612238,-0.01995214,-0.23056298
14,0.00262238,0.00000157,0.00125206,10.45913219,0.00216021,0.00672503,1.04757500,0.05947487,-0.01722088,-0.22809850
15,0.00250219,0.00000155,0.00124461,9.43661785,0.00226527,0.00726762,1.04874563,0.06267838,-0.01425973,-0.22587115
16,0.00241619,0.00000153,0.00123790,8.73712158,0.00234482,0.00780845,1.04961491,0.06572747,-0.01118406,-0.22387479
17,0.00236020,0.00000152,0.00123193,8.31858158,0.00239863,0.00834546,1.05019498,0.06861553,-0.00810621,-0.22210515
18,0.00232615,0.00000150,0.00122502,8.14221287,0.00242693,0.00887424,1.05049753,0.07133657,-0.00513582,-0.22055811
19,0.00230692,0.00000148,0.00121630,8.15758705,0.00243059,0.00938849,1.05053663,0.07388472,-0.00239771,-0.21922831
20,0.00229665,0.00000145,0.00120504,8.32287502,0.00241115,0.00988031,1.05032909,0.07625535,0.00000064,-0.21810773
21,0.00228974,0.00000142,0.00119107,8.58437634,0.00237075,0.01034053,1.04989529,0.07844142,0.00194069,-0.21718690
22,0.00228062,0.00000138,0.00117472,8.87621593,0.00231211,0.01076058,1.04925919,0.08043866,0.00331158,-0.21645263
23,0.00226483,0.00000134,0.00115655,9.13899231,0.00223827,0.01113294,1.04844737,0.08224107,0.00402283,-0.21588996
24,0.00223999,0.00000129,0.00113697,9.33724785,0.00215223,0.01145372,1.04748499,0.08384529,0.00409838,-0.21548404
25,0.00220581,0.00000125,0.00111708,9.44195747,0.00205732,0.01172286,1.04640210,0.08525103,0.00355508,-0.21521646
26,0.00216466,0.00000121,0.00109793,9.45346832,0.00195676,0.01194327,1.04522824,0.08645792,0.00245165,-0.21506810
27,0.00212098,0.00000117,0.00108056,9.39418888,0.00185356,0.01212062,1.04399323,0.08746974,0.00088427,-0.21501873
28,0.00207840,0.00000114,0.00106585,9.28379726,0.00175035,0.01226154,1.04272473,0.08829195,-0.00106240,-0.21504822
29,0.00204138,0.00000111,0.00105410,9.16258717,0.00164953,0.01237284,1.04145050,0.08893248,-0.00327043,-0.21513650
30,0.00201256,0.00000109,0.00104516,9.06227684,0.00155274,0.01245924,1.04019141,0.08939837,-0.00560871,-0.21526733
31,0.00199415,0.00000108,0.00103916,9.00329685,0.00146131,0.01252390,1.03896713,0.08970017,-0.00793561,-0.21542448
32,0.00198624,0.00000107,0.00103612,8.98781395,0.00137639,0.01256737,1.03779638,0.08984780,-0.01011196,-0.21559259
33,0.00198631,0.00000107,0.00103539,9.00426960,0.00129879,0.01258793,1.03669596,0.08985135,-0.01200368,-0.21575812
34,0.00199026,0.00000107,0.00103633,9.02501488,0.00122915,0.01258318,1.03568113,0.08972150,-0.01350472,-0.21590742
35,0.00199428,0.00000108,0.00103836,9.02402115,0.00116787,0.01255156,1.03476477,0.08946827,-0.01456285,-0.21602839
36,0.00199474,0.00000108,0.00104058,8.98349285,0.00111517,0.01249220,1.03395796,0.08910294,-0.01512017,-0.21610942
37,0.00198998,0.00000109,0.00104258,8.89551353,0.00107100,0.01240809,1.03326750,0.08863707,-0.01521766,-0.21614185
38,0.00197978,0.00000109,0.00104384,8.76860046,0.00103527,0.01230389,1.03269887,0.08808520,-0.01488849,-0.21611723
39,0.00196474,0.00000109,0.00104406,8.61521339,0.00100769,0.01218672,1.03225338,0.08746048,-0.01423519,-0.21602967
40,0.00194647,0.00000109,0.00104312,8.45359039,0.00098787,0.01206235,1.03192949,0.08677368,-0.01333123,-0.21587637
41,0.00192629,0.00000108,0.00104100,8.29720974,0.00097538,0.01193757,1.03172386,0.08603775,-0.01228298,-0.21565513
42,0.00190560,0.00000108,0.00103775,8.15916443,0.00096968,0.01181828,1.03162968,0.08526477,-0.01120874,-0.21536611
43,0.00188446,0.00000107,0.00103359,8.03506947,0.00097012,0.01170856,1.03163695,0.08446685,-0.01020667,-0.21501240
44,0.00186349,0.00000106,0.00102872,7.92662716,0.00097598,0.01161073,1.03173387,0.08365484,-0.00934533,-0.21459839
45,0.00184271,0.00000105,0.00102357,7.82534933,0.00098649,0.01152581,1.03190684,0.08283878,-0.00866412,-0.21413016
46,0.00182273,0.00000104,0.00101854,7.72874641,0.00100076,0.01145487,1.03214061,0.08202969,-0.00821258,-0.21361482
47,0.00180354,0.00000103,0.00101405,7.62865829,0.00101788,0.01139727,1.03241849,0.08123355,-0.00799758,-0.21306136
48,0.00178644,0.00000102,0.00101056,7.52839041,0.00103680,0.01135271,1.03272331,0.08045874,-0.00801728,-0.21247950
49,0.00177201,0.00000102,0.00100838,7.42843199,0.00105644,0.01131997,1.03303695,0.07971209,-0.00820943,-0.21187878
