iter,total,cd3d,cd3d_raw,cd2d,scale_reg,t_reg,scale,tx,ty,tz
0,38.13794708,0.03504524,0.53190392,30927.09765625,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,2.15334463
1,37.84798431,0.03482699,0.51893914,30209.87695312,0.00002500,0.00007500,1.00501263,0.00500000,-0.00500000,2.14834452
2,37.54832840,0.03459806,0.50615215,29502.67773438,0.00010007,0.00030022,1.01005387,0.01000154,-0.01000373,2.14333868
3,37.23837280,0.03435786,0.49353850,28805.11523438,0.00022540,0.00067624,1.01512635,0.01500546,-0.01501375,2.13832235
4,36.91742706,0.03410576,0.48109379,28116.73437500,0.00040124,0.00120396,1.02023304,0.02001294,-0.02003266,2.13329124
5,36.58481598,0.03384110,0.46881410,27437.18359375,0.00062797,0.00188459,1.02537596,0.02502485,-0.02506307,2.12824106
6,36.23987198,0.03356322,0.45669624,26766.49414062,0.00090604,0.00271968,1.03055799,0.03004201,-0.03010764,2.12316704
7,35.88186646,0.03327144,0.44473848,26104.24609375,0.00123597,0.00371106,1.03578174,0.03506505,-0.03516901,2.11806512
8,35.51012039,0.03296507,0.43293947,25450.44140625,0.00161840,0.00486085,1.04104936,0.04009421,-0.04024983,2.11293101
9,35.12400055,0.03264349,0.42130095,24805.00781250,0.00205399,0.00617140,1.04636371,0.04512932,-0.04535272,2.10776091
10,34.72289276,0.03230612,0.40982598,24167.65429688,0.00254349,0.00764522,1.05172646,0.05016910,-0.05048026,2.10255075
11,34.30542374,0.03195167,0.39849603,23537.37890625,0.00308769,0.00928497,1.05713987,0.05521196,-0.05563497,2.09729671
12,33.86929321,0.03157806,0.38727242,22912.18359375,0.00368751,0.01109447,1.06260657,0.06026459,-0.06081929,2.09199595
13,33.41284180,0.03118367,0.37614027,22291.52148438,0.00434404,0.01307838,1.06812978,0.06533685,-0.06603563,2.08664560
14,32.93482590,0.03076732,0.36509919,21674.86914062,0.00505837,0.01524180,1.07371247,0.07043681,-0.07128634,2.08124256
15,32.43388367,0.03032764,0.35414666,21062.14062500,0.00583167,0.01758994,1.07935691,0.07556979,-0.07657371,2.07578421
16,31.90841103,0.02986306,0.34327620,20453.24609375,0.00666516,0.02012900,1.08506560,0.08074454,-0.08189997,2.07026815
17,31.35733032,0.02937249,0.33249456,19848.12304688,0.00756007,0.02286486,1.09084070,0.08596465,-0.08726723,2.06469154
18,30.77913475,0.02885441,0.32179889,19246.91601562,0.00851765,0.02580378,1.09668410,0.09123397,-0.09267750,2.05905247
19,30.17453194,0.02830943,0.31122735,18650.59960938,0.00953906,0.02895204,1.10259688,0.09655450,-0.09813263,2.05334830
20,29.54482841,0.02773868,0.30081820,18061.07812500,0.01062513,0.03231406,1.10857821,0.10191775,-0.10363429,2.04757714
21,28.89005089,0.02714206,0.29057997,17479.43164062,0.01177646,0.03589324,1.11462653,0.10731172,-0.10918389,2.04173684
22,28.21009064,0.02651946,0.28051674,16905.74804688,0.01299339,0.03969276,1.12073922,0.11272533,-0.11478251,2.03582549
