iter,total,cd3d,cd3d_raw,cd2d,scale_reg,t_reg,scale,tx,ty,tz
0,38.84715652,0.03547769,0.56018007,33694.59375000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,2.26570725
1,38.58702469,0.03529158,0.54755527,32954.44140625,0.00002500,0.00007500,1.00501263,-0.00500000,-0.00500000,2.26070714
2,38.31861877,0.03509625,0.53505260,32223.65625000,0.00010008,0.00030018,1.01005399,-0.01000228,-0.01000336,2.25570393
3,38.04142380,0.03489123,0.52267295,31501.96289062,0.00022542,0.00067599,1.01512706,-0.01500833,-0.01501241,2.25069499
4,37.75508881,0.03467619,0.51042765,30789.04687500,0.00040131,0.00120315,1.02023470,-0.02001846,-0.02002956,2.24567652
5,37.45915604,0.03445068,0.49832121,30084.70898438,0.00062813,0.00188262,1.02537930,-0.02503237,-0.02505725,2.24064469
6,37.15306854,0.03421419,0.48635212,29388.75781250,0.00090636,0.00271560,1.03056359,-0.03004904,-0.03009797,2.23559451
7,36.83611679,0.03396601,0.47451532,28701.02148438,0.00123655,0.00370354,1.03579021,-0.03506787,-0.03515421,2.23052239
8,36.50763702,0.03370550,0.46280703,28021.30859375,0.00161938,0.00484811,1.04106224,-0.04008832,-0.04022849,2.22542453
9,36.16688919,0.03343194,0.45122406,27349.36914062,0.00205562,0.00615119,1.04638243,-0.04510977,-0.04532334,2.22029686
10,35.81316376,0.03314464,0.43976584,26685.14453125,0.00254610,0.00761495,1.05175364,-0.05013140,-0.05044125,2.21513581
11,35.44566727,0.03284283,0.42842963,26028.28320312,0.00309177,0.00924176,1.05717862,-0.05515197,-0.05558472,2.20993662
12,35.06362915,0.03252574,0.41721484,25378.68164062,0.00369363,0.01103417,1.06266010,-0.06016988,-0.06075622,2.20469546
13,34.66627884,0.03219267,0.40612248,24736.00000000,0.00435275,0.01299485,1.06820035,-0.06518273,-0.06595816,2.19940805
14,34.25284195,0.03184282,0.39515340,24100.06445312,0.00507029,0.01512647,1.07380247,-0.07018697,-0.07119291,2.19407034
15,33.82254410,0.03147544,0.38430852,23470.73828125,0.00584744,0.01743165,1.07946825,-0.07517792,-0.07646277,2.18867874
16,33.37453461,0.03108972,0.37358788,22847.87695312,0.00668541,0.01991292,1.08520019,-0.08015003,-0.08176992,2.18322945
17,32.90805817,0.03068489,0.36299315,22231.34960938,0.00758546,0.02257267,1.09099996,-0.08509681,-0.08711646,2.17771912
18,32.42222595,0.03026008,0.35252285,21621.15429688,0.00854884,0.02541308,1.09686911,-0.09001094,-0.09250436,2.17214417
19,31.91622543,0.02981446,0.34217739,21017.30273438,0.00957679,0.02843605,1.10280955,-0.09488449,-0.09793544,2.16650224
20,31.38921356,0.02934719,0.33195651,20419.79101562,0.01067057,0.03164314,1.10882223,-0.09970852,-0.10341136,2.16079092
21,30.84042740,0.02885752,0.32186124,19828.59179688,0.01183139,0.03503532,1.11490834,-0.10447257,-0.10893363,2.15500832
22,30.26920319,0.02834478,0.31189355,19243.68554688,0.01306041,0.03861299,1.12106836,-0.10916487,-0.11450355,2.14915276
23,29.67486572,0.02780830,0.30205435,18665.07617188,0.01435873,0.04237603,1.12730289,-0.11377303,-0.12012222,2.14322305
24,29.05690002,0.02724757,0.29234615,18092.70312500,0.01572733,0.04632331,1.13361168,-0.11828194,-0.12579052,2.13721824
25,28.41483498,0.02666211,0.28277028,17526.54101562,0.01716706,0.05045285,1.13999414,-0.12267493,-0.13150910,2.13113737
26,27.74830055,0.02605159,0.27332848,16966.32812500,0.01867859,0.05476230,1.14644933,-0.12693620,-0.13727829,2.12497997
27,27.05712318,0.02541582,0.26402259,16412.22460938,0.02026235,0.05924818,1.15297532,-0.13104717,-0.14309819,2.11874557
28,26.34134293,0.02475480,0.25485501,15864.55761719,0.02191846,0.06390643,1.15956962,-0.13498928,-0.14896856,2.11243391
29,25.60105324,0.02406862,0.24582662,15323.41796875,0.02364689,0.06873412,1.16622889,-0.13875033,-0.15488884,2.10604548
30,24.83628082,0.02335727,0.23693475,14789.11816406,0.02544729,0.07372938,1.17295015,-0.14232312,-0.16085806,2.09958029
31,24.04794502,0.02262165,0.22818545,14261.87890625,0.02731896,0.07889190,1.17972875,-0.14570646,-0.16687495,2.09303904
32,23.23708534,0.02186277,0.21958216,13742.02441406,0.02926064,0.08422105,1.18655884,-0.14889827,-0.17293777,2.08642292
33,22.40529442,0.02108219,0.21113124,13229.81347656,0.03127055,0.08971626,1.19343388,-0.15189701,-0.17904443,2.07973242
34,21.55456161,0.02028187,0.20283882,12725.65722656,0.03334627,0.09537686,1.20034575,-0.15470153,-0.18519238,2.07296896
35,20.68725395,0.01946414,0.19471125,12229.81738281,0.03548473,0.10120364,1.20728481,-0.15731597,-0.19137856,2.06613374
36,19.80619240,0.01863177,0.18675524,11742.76953125,0.03768190,0.10719743,1.21423984,-0.15974525,-0.19759941,2.05922890
37,18.91458130,0.01778794,0.17897752,11264.83691406,0.03993233,0.11335405,1.22119606,-0.16197881,-0.20385084,2.05225515
38,18.01630211,0.01693649,0.17138742,10796.51562500,0.04222990,0.11967440,1.22813797,-0.16402428,-0.21012814,2.04521561
39,17.11525345,0.01608127,0.16399141,10338.15917969,0.04456727,0.12615959,1.23504770,-0.16589107,-0.21642603,2.03811216
40,16.21539497,0.01522619,0.15679391,9890.27050781,0.04693568,0.13280922,1.24190497,-0.16758546,-0.22273856,2.03094816
41,15.32118130,0.01437566,0.14980200,9453.29882812,0.04932480,0.13961951,1.24868608,-0.16910556,-0.22905922,2.02372646
42,14.43601704,0.01353306,0.14301318,9027.61816406,0.05172510,0.14658941,1.25537145,-0.17046237,-0.23538101,2.01645279
43,13.56431961,0.01270274,0.13643296,8613.67480469,0.05412642,0.15371205,1.26194084,-0.17165306,-0.24169643,2.00913334
44,12.71003723,0.01188864,0.13006338,8211.82812500,0.05651744,0.16097993,1.26837170,-0.17267570,-0.24799737,2.00177479
45,11.87742043,0.01109495,0.12390985,7822.41699219,0.05888608,0.16838522,1.27464092,-0.17353109,-0.25427517,1.99438393
46,11.06981754,0.01032500,0.11797221,7445.78125000,0.06121919,0.17591494,1.28072357,-0.17420772,-0.26052079,1.98696804
47,10.29030800,0.00958184,0.11225045,7082.16357422,0.06350411,0.18355753,1.28659630,-0.17470326,-0.26672474,1.97953558
48,9.54130268,0.00886786,0.10674194,6731.80957031,0.06572925,0.19130453,1.29224002,-0.17502910,-0.27287734,1.97209644
49,8.82505226,0.00818530,0.10144566,6394.82275391,0.06788439,0.19914038,1.29763877,-0.17518072,-0.27896887,1.96466160
50,8.14336395,0.00753596,0.09636026,6071.29199219,0.06995955,0.20704812,1.30277765,-0.17515269,-0.28498957,1.95724237
51,7.49757099,0.00692116,0.09148381,5761.25390625,0.07194526,0.21500942,1.30764282,-0.17493844,-0.29092962,1.94984984
52,6.88823223,0.00634147,0.08681156,5464.62060547,0.07383404,0.22300625,1.31222498,-0.17453620,-0.29677945,1.94249630
53,6.31547451,0.00579704,0.08233815,5181.31835938,0.07562078,0.23101473,1.31652057,-0.17393091,-0.30253005,1.93519497
54,5.77957630,0.00528814,0.07806254,4911.16552734,0.07730385,0.23901311,1.32053339,-0.17311825,-0.30817285,1.92796087
55,5.28011417,0.00481440,0.07398070,4653.91455078,0.07888290,0.24698377,1.32426941,-0.17210723,-0.31369969,1.92080820
56,4.81638718,0.00437512,0.07008879,4409.26611328,0.08035761,0.25490302,1.32773459,-0.17088760,-0.31910309,1.91375041
57,4.38747406,0.00396943,0.06638328,4176.96191406,0.08173039,0.26275587,1.33093977,-0.16947751,-0.32437614,1.90680146
58,3.99221015,0.00359619,0.06286051,3956.66455078,0.08300372,0.27051985,1.33389556,-0.16786985,-0.32951283,1.89997399
59,3.62903476,0.00325387,0.05951472,3748.00439453,0.08418275,0.27818215,1.33661819,-0.16608877,-0.33450791,1.89328122
60,3.29655242,0.00294112,0.05634306,3550.58471680,0.08527146,0.28572279,1.33912015,-0.16413091,-0.33935705,1.88673413
61,2.99293590,0.00265616,0.05333929,3364.00952148,0.08627463,0.29312468,1.34141552,-0.16199939,-0.34405673,1.88034272
62,2.71622276,0.00239705,0.05049608,3187.84033203,0.08719849,0.30037659,1.34352112,-0.15971367,-0.34860435,1.87411666
63,2.46473789,0.00216217,0.04780927,3021.69042969,0.08804955,0.30746758,1.34545398,-0.15729074,-0.35299817,1.86806488
64,2.23673916,0.00194982,0.04527401,2865.15356445,0.08883347,0.31438684,1.34722853,-0.15474224,-0.35723722,1.86219358
65,2.03038859,0.00175820,0.04288396,2717.78173828,0.08955624,0.32112497,1.34885967,-0.15208004,-0.36132145,1.85650873
66,1.84401727,0.00158568,0.04063421,2579.14624023,0.09022395,0.32767481,1.35036242,-0.14931919,-0.36525148,1.85101461
67,1.67585623,0.00143055,0.03851759,2448.85693359,0.09084243,0.33403143,1.35175097,-0.14647730,-0.36902863,1.84571481
68,1.52451217,0.00129143,0.03653102,2326.50903320,0.09141713,0.34019148,1.35303831,-0.14357208,-0.37265480,1.84061086
69,1.38850224,0.00116688,0.03466910,2211.80566406,0.09195372,0.34615391,1.35423768,-0.14062592,-0.37613249,1.83570421
70,1.26685238,0.00105595,0.03293305,2104.54077148,0.09245751,0.35191995,1.35536158,-0.13766533,-0.37946469,1.83099496
71,1.15838850,0.00095749,0.03132042,2004.51086426,0.09293430,0.35749435,1.35642326,-0.13472849,-0.38265473,1.82648301
72,1.06171155,0.00087012,0.02982402,1911.32092285,0.09338938,0.36288247,1.35743487,-0.13185254,-0.38570639,1.82216704
73,0.97570091,0.00079277,0.02843942,1824.68457031,0.09382748,0.36808932,1.35840702,-0.12907037,-0.38862377,1.81804466
74,0.89912087,0.00072424,0.02715870,1744.13610840,0.09425268,0.37311980,1.35934913,-0.12641029,-0.39141127,1.81411290
75,0.83091456,0.00066351,0.02597499,1669.33496094,0.09466793,0.37797844,1.36026776,-0.12389392,-0.39407349,1.81036687
76,0.77013278,0.00060967,0.02488186,1599.84521484,0.09507608,0.38267022,1.36116922,-0.12154175,-0.39661518,1.80680180
77,0.71580666,0.00056180,0.02387048,1535.26916504,0.09547933,0.38719952,1.36205876,-0.11936790,-0.39904118,1.80341196
78,0.66714323,0.00051914,0.02293386,1475.20214844,0.09587912,0.39157104,1.36293924,-0.11738214,-0.40135637,1.80019081
79,0.62341464,0.00048100,0.02206473,1419.24633789,0.09627651,0.39578891,1.36381316,-0.11558837,-0.40356565,1.79713178
80,0.58402646,0.00044682,0.02125716,1367.10717773,0.09667197,0.39985734,1.36468172,-0.11398664,-0.40567386,1.79422760
81,0.54842317,0.00041608,0.02050498,1318.41882324,0.09706575,0.40378082,1.36554527,-0.11257395,-0.40768579,1.79147077
82,0.51614845,0.00038835,0.01980297,1272.93347168,0.09745803,0.40756342,1.36640429,-0.11134458,-0.40960610,1.78885436
83,0.48679700,0.00036326,0.01914639,1230.32873535,0.09784861,0.41120958,1.36725855,-0.11029033,-0.41143936,1.78637099
84,0.46005636,0.00034050,0.01853171,1190.42382812,0.09823718,0.41472387,1.36810708,-0.10940260,-0.41318995,1.78401339
85,0.43560061,0.00031979,0.01795452,1152.96423340,0.09862337,0.41811073,1.36894941,-0.10867036,-0.41486216,1.78177452
86,0.41320485,0.00030091,0.01741231,1117.76806641,0.09900670,0.42137456,1.36978436,-0.10808190,-0.41646007,1.77964771
