iter,total,cd3d,cd3d_raw,cd2d,scale_reg,t_reg,scale,tx,ty,tz
0,0.13531204,0.00013476,0.01162834,5.49235868,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000
1,0.08253557,0.00008210,0.00907024,4.35028744,0.00002500,0.00007500,0.99501252,0.00500000,0.00500000,-0.00500000
2,0.04850298,0.00004812,0.00694136,3.78112364,0.00009724,0.00029158,0.99018753,0.00985140,0.00986330,-0.00986127
3,0.02782212,0.00002746,0.00524175,3.64167094,0.00020983,0.00062809,0.98561871,0.01444340,0.01447666,-0.01448805
4,0.01577975,0.00001540,0.00392454,3.82227302,0.00035358,0.00105549,0.98137188,0.01869865,0.01876238,-0.01881029
5,0.00903668,0.00000861,0.00293475,4.23739958,0.00051883,0.00154359,0.97747964,0.02258079,0.02267855,-0.02278994
6,0.00536852,0.00000488,0.00220971,4.83545399,0.00069687,0.00206504,0.97394717,0.02608604,0.02620484,-0.02641710
7,0.00342704,0.00000287,0.00169319,5.56883049,0.00088071,0.00259771,0.97075921,0.02923043,0.02934334,-0.02970280
8,0.00242075,0.00000178,0.00133280,6.40271616,0.00106515,0.00312481,0.96789014,0.03203990,0.03210823,-0.03266986
9,0.00190756,0.00000117,0.00108240,7.31122398,0.00124657,0.00363435,0.96530926,0.03454399,0.03452041,-0.03534691
10,0.00167481,0.00000084,0.00091842,8.25791931,0.00142248,0.00411773,0.96298665,0.03677100,0.03660074,-0.03776252
11,0.00159840,0.00000067,0.00081923,9.21111774,0.00159123,0.00456888,0.96089482,0.03874557,0.03836923,-0.03994327
12,0.00160696,0.00000059,0.00076596,10.13531113,0.00175178,0.00498375,0.95900947,0.04048882,0.03984555,-0.04191341
13,0.00165811,0.00000055,0.00074177,11.00632191,0.00190354,0.00535976,0.95730847,0.04201959,0.04104717,-0.04369486
14,0.00173186,0.00000054,0.00073808,11.79369164,0.00204622,0.00569555,0.95577276,0.04335332,0.04199207,-0.04530683
15,0.00181680,0.00000056,0.00074880,12.47928047,0.00217971,0.00599040,0.95438570,0.04450322,0.04269437,-0.04676598
16,0.00190463,0.00000059,0.00076924,13.04367733,0.00230406,0.00624427,0.95313317,0.04548058,0.04316765,-0.04808680
17,0.00198965,0.00000063,0.00079573,13.47604561,0.00241939,0.00645784,0.95200276,0.04629501,0.04342718,-0.04928181
18,0.00206696,0.00000068,0.00082520,13.76850605,0.00252589,0.00663221,0.95098376,0.04695585,0.04348604,-0.05036197
19,0.00213382,0.00000073,0.00085544,13.92667675,0.00262381,0.00676906,0.95006663,0.04747237,0.04335838,-0.05133693
20,0.00218745,0.00000078,0.00088488,13.94871235,0.00271343,0.00687023,0.94924289,0.04785249,0.04305718,-0.05221536
21,0.00222691,0.00000083,0.00091257,13.84405899,0.00279505,0.00693789,0.94850492,0.04810430,0.04259517,-0.05300493
22,0.00225219,0.00000088,0.00093802,13.62476730,0.00286902,0.00697464,0.94784606,0.04823684,0.04198588,-0.05371254
23,0.00226323,0.00000092,0.00096085,13.30097961,0.00293565,0.00698321,0.94725996,0.04825950,0.04124228,-0.05434431
24,0.00226146,0.00000096,0.00098074,12.89667130,0.00299531,0.00696667,0.94674128,0.04818178,0.04037991,-0.05490582
25,0.00224717,0.00000100,0.00099763,12.41948891,0.00304834,0.00692768,0.94628477,0.04801185,0.03940979,-0.05540225
26,0.00222202,0.00000102,0.00101147,11.89020634,0.00309511,0.00686927,0.94588560,0.04776026,0.03834461,-0.05583829
27,0.00218776,0.00000105,0.00102238,11.32598305,0.00313598,0.00679440,0.94553936,0.04743590,0.03719842,-0.05621842
28,0.00214609,0.00000106,0.00103065,10.73999310,0.00317132,0.00670570,0.94524187,0.04704722,0.03598231,-0.05654673
29,0.00209813,0.00000107,0.00103636,10.14300346,0.00320147,0.00660581,0.94498938,0.04660260,0.03470864,-0.05682708
30,0.00204572,0.00000108,0.00103982,9.54794407,0.00322681,0.00649710,0.94477826,0.04611051,0.03338744,-0.05706312
31,0.00199039,0.00000108,0.00104127,8.96538162,0.00324768,0.00638181,0.94460499,0.04557798,0.03203029,-0.05725830
32,0.00193332,0.00000108,0.00104095,8.40250015,0.00326441,0.00626208,0.94446653,0.04501332,0.03064812,-0.05741577
33,0.00187575,0.00000108,0.00103913,7.86572552,0.00327733,0.00613963,0.94435990,0.04442318,0.02924934,-0.05753861
34,0.00181839,0.00000107,0.00103601,7.35794306,0.00328676,0.00601608,0.94428217,0.04381381,0.02784346,-0.05762965
35,0.00176221,0.00000106,0.00103180,6.88433218,0.00329300,0.00589273,0.94423079,0.04319061,0.02643825,-0.05769157
36,0.00170759,0.00000105,0.00102669,6.44459963,0.00329632,0.00577070,0.94420350,0.04255946,0.02504003,-0.05772685
37,0.00165512,0.00000104,0.00102084,6.04083586,0.00329701,0.00565089,0.94419783,0.04192425,0.02365535,-0.05773794
38,0.00160521,0.00000103,0.00101445,5.67301035,0.00329531,0.00553407,0.94421184,0.04128945,0.02229024,-0.05772693
39,0.00155819,0.00000102,0.00100767,5.34097004,0.00329146,0.00542092,0.94424343,0.04065900,0.02095092,-0.05769596
40,0.00151409,0.00000100,0.00100059,5.04337168,0.00328569,0.00531185,0.94429100,0.04003599,0.01964181,-0.05764693
41,0.00147290,0.00000099,0.00099335,4.77688456,0.00327821,0.00520724,0.94435269,0.03942386,0.01836733,-0.05758156
42,0.00143443,0.00000097,0.00098606,4.53768969,0.00326921,0.00510721,0.94442689,0.03882398,0.01713110,-0.05750159
43,0.00139899,0.00000096,0.00097879,4.32713223,0.00325888,0.00501191,0.94451231,0.03823878,0.01593618,-0.05740855
44,0.00136615,0.00000094,0.00097158,4.14022779,0.00324739,0.00492135,0.94460750,0.03767018,0.01478447,-0.05730384
45,0.00133592,0.00000093,0.00096451,3.97602630,0.00323488,0.00483553,0.94471115,0.03711948,0.01367869,-0.05718887
46,0.00130828,0.00000092,0.00095760,3.83316588,0.00322151,0.00475433,0.94482231,0.03658842,0.01261827,-0.05706489
47,0.00128290,0.00000090,0.00095091,3.70801687,0.00320741,0.00467766,0.94493985,0.03607792,0.01160483,-0.05693301
48,0.00125958,0.00000089,0.00094442,3.59868789,0.00319269,0.00460536,0.94506282,0.03558923,0.01063863,-0.05679421
49,0.00123823,0.00000088,0.00093816,3.50389791,0.00317745,0.00453724,0.94519043,0.03512260,0.00972011,-0.05664943
50,0.00121873,0.00000087,0.00093216,3.42198110,0.00316180,0.00447309,0.94532186,0.03467861,0.00884872,-0.05649946
51,0.00120117,0.00000086,0.00092640,3.35400939,0.00314581,0.00441278,0.94545639,0.03425820,0.00802427,-0.05634506
52,0.00118499,0.00000085,0.00092091,3.29453850,0.00312958,0.00435602,0.94559336,0.03386005,0.00724824,-0.05618702
53,0.00117022,0.00000084,0.00091564,3.24433231,0.00311318,0.00430264,0.94573218,0.03348474,0.00651881,-0.05602600
54,0.00115693,0.00000083,0.00091061,3.20394278,0.00309666,0.00425242,0.94587237,0.03313195,0.00583653,-0.05586261
55,0.00114474,0.00000082,0.00090581,3.16970134,0.00308009,0.00420522,0.94601339,0.03280228,0.00519990,-0.05569732
56,0.00113367,0.00000081,0.00090124,3.14226389,0.00306351,0.00416081,0.94615489,0.03249527,0.00460691,-0.05553060
57,0.00112359,0.00000080,0.00089689,3.12035990,0.00304698,0.00411910,0.94629639,0.03221150,0.00405804,-0.05536292
58,0.00111424,0.00000080,0.00089276,3.10131288,0.00303054,0.00407984,0.94643754,0.03194944,0.00355255,-0.05519472
59,0.00110584,0.00000079,0.00088882,3.08801103,0.00301422,0.00404288,0.94657803,0.03170853,0.00308889,-0.05502641
60,0.00109801,0.00000078,0.00088509,3.07635212,0.00299807,0.00400807,0.94671738,0.03148839,0.00266786,-0.05485832
61,0.00109073,0.00000078,0.00088154,3.06667781,0.00298210,0.00397523,0.94685560,0.03128771,0.00228676,-0.05469079
62,0.00108400,0.00000077,0.00087816,3.05947185,0.00296636,0.00394423,0.94699222,0.03110556,0.00194575,-0.05452420
63,0.00107778,0.00000077,0.00087493,3.05419922,0.00295087,0.00391498,0.94712716,0.03094197,0.00164300,-0.05435875
64,0.00107189,0.00000076,0.00087186,3.04934621,0.00293563,0.00388738,0.94726020,0.03079659,0.00137488,-0.05419467
65,0.00106634,0.00000075,0.00086889,3.04600549,0.00292067,0.00386133,0.94739109,0.03066856,0.00114055,-0.05403211
66,0.00106110,0.00000075,0.00086605,3.04320955,0.00290600,0.00383673,0.94751990,0.03055708,0.00093738,-0.05387127
67,0.00105613,0.00000075,0.00086331,3.04143357,0.00289163,0.00381355,0.94764632,0.03046232,0.00076591,-0.05371230
68,0.00105147,0.00000074,0.00086065,3.04104233,0.00287757,0.00379171,0.94777036,0.03038322,0.00062439,-0.05355536
69,0.00104686,0.00000074,0.00085804,3.04012704,0.00286382,0.00377114,0.94789207,0.03031952,0.00051240,-0.05340046
70,0.00104245,0.00000073,0.00085549,3.04000640,0.00285037,0.00375175,0.94801128,0.03026965,0.00042703,-0.05324766
71,0.00103818,0.00000073,0.00085301,3.04000235,0.00283723,0.00373347,0.94812810,0.03023322,0.00036756,-0.05309699
72,0.00103392,0.00000072,0.00085058,3.03899026,0.00282440,0.00371629,0.94824249,0.03020986,0.00033296,-0.05294851
73,0.00102988,0.00000072,0.00084820,3.03933811,0.00281188,0.00370012,0.94835430,0.03019821,0.00032173,-0.05280230
74,0.00102585,0.00000072,0.00084585,3.03913927,0.00279966,0.00368492,0.94846362,0.03019779,0.00033225,-0.05265838
75,0.00102198,0.00000071,0.00084353,3.03994918,0.00278775,0.00367063,0.94857055,0.03020749,0.00036362,-0.05251675
76,0.00101813,0.00000071,0.00084126,3.04003072,0.00277613,0.00365719,0.94867492,0.03022621,0.00041374,-0.05237744
77,0.00101439,0.00000070,0.00083899,3.04083753,0.00276481,0.00364454,0.94877702,0.03025316,0.00048091,-0.05224039
78,0.00101059,0.00000070,0.00083677,3.04037952,0.00275377,0.00363264,0.94887674,0.03028742,0.00056470,-0.05210563
79,0.00100699,0.00000070,0.00083456,3.04138470,0.00274300,0.00362146,0.94897419,0.03032834,0.00066379,-0.05197315
80,0.00100349,0.00000069,0.00083240,3.04278445,0.00273251,0.00361094,0.94906932,0.03037509,0.00077645,-0.05184292
81,0.00100011,0.00000069,0.00083025,3.04479909,0.00272228,0.00360101,0.94916230,0.03042617,0.00090153,-0.05171501
82,0.00099678,0.00000069,0.00082815,3.04648185,0.00271231,0.00359166,0.94925308,0.03048143,0.00103758,-0.05158938
83,0.00099356,0.00000068,0.00082608,3.04877615,0.00270259,0.00358284,0.94934177,0.03053991,0.00118318,-0.05146602
84,0.00099032,0.00000068,0.00082406,3.05000997,0.00269312,0.00357446,0.94942832,0.03060007,0.00133839,-0.05134495
85,0.00098736,0.00000068,0.00082207,3.05318975,0.00268389,0.00356651,0.94951278,0.03066137,0.00150209,-0.05122625
86,0.00098439,0.00000067,0.00082012,3.05570865,0.00267490,0.00355900,0.94959527,0.03072416,0.00167520,-0.05110985
87,0.00098154,0.00000067,0.00081821,3.05858827,0.00266614,0.00355191,0.94967568,0.03078805,0.00185603,-0.05099571
88,0.00097873,0.00000067,0.00081634,3.06131220,0.00265762,0.00354523,0.94975418,0.03085286,0.00204233,-0.05088380
89,0.00097608,0.00000066,0.00081450,3.06486559,0.00264931,0.00353891,0.94983077,0.03091791,0.00223433,-0.05077405
90,0.00097351,0.00000066,0.00081270,3.06858349,0.00264121,0.00353290,0.94990557,0.03098226,0.00243070,-0.05066646
91,0.00097111,0.00000066,0.00081095,3.07309055,0.00263331,0.00352710,0.94997859,0.03104454,0.00262939,-0.05056106
92,0.00096867,0.00000065,0.00080924,3.07668638,0.00262561,0.00352152,0.95004994,0.03110508,0.00283096,-0.05045770
93,0.00096646,0.00000065,0.00080758,3.08160615,0.00261810,0.00351615,0.95011955,0.03116396,0.00303275,-0.05035632
94,0.00096430,0.00000065,0.00080596,3.08629036,0.00261078,0.00351098,0.95018762,0.03122119,0.00323498,-0.05025684
95,0.00096221,0.00000065,0.00080437,3.09087420,0.00260363,0.00350599,0.95025420,0.03127668,0.00343809,-0.05015915
96,0.00096020,0.00000064,0.00080284,3.09558988,0.00259665,0.00350118,0.95031923,0.03133037,0.00364254,-0.05006321
97,0.00095829,0.00000064,0.00080134,3.10067964,0.00258984,0.00349652,0.95038277,0.03138177,0.00384662,-0.04996905
98,0.00095644,0.00000064,0.00079989,3.10545874,0.00258320,0.00349198,0.95044482,0.03143071,0.00404981,-0.04987674
99,0.00095470,0.00000064,0.00079850,3.11044145,0.00257673,0.00348760,0.95050538,0.03147782,0.00425184,-0.04978618
100,0.00095304,0.00000064,0.00079715,3.11544061,0.00257041,0.00348330,0.95056450,0.03152215,0.00445263,-0.04969741
101,0.00095151,0.00000063,0.00079585,3.12097216,0.00256426,0.00347909,0.95062232,0.03156394,0.00465012,-0.04961036
102,0.00095017,0.00000063,0.00079458,3.12783337,0.00255825,0.00347495,0.95067871,0.03160360,0.00484204,-0.04952493
103,0.00094877,0.00000063,0.00079338,3.13305736,0.00255239,0.00347087,0.95073378,0.03164122,0.00502896,-0.04944102
104,0.00094743,0.00000063,0.00079221,3.13835764,0.00254668,0.00346685,0.95078748,0.03167670,0.00521173,-0.04935862
105,0.00094621,0.00000063,0.00079108,3.14407682,0.00254111,0.00346286,0.95084006,0.03170995,0.00538893,-0.04927773
106,0.00094501,0.00000062,0.00079001,3.14904046,0.00253568,0.00345890,0.95089132,0.03174087,0.00556201,-0.04919834
107,0.00094399,0.00000062,0.00078898,3.15520263,0.00253040,0.00345499,0.95094121,0.03176994,0.00573051,-0.04912046
108,0.00094302,0.00000062,0.00078800,3.16101551,0.00252526,0.00345107,0.95098984,0.03179660,0.00589250,-0.04904411
109,0.00094211,0.00000062,0.00078707,3.16685700,0.00252025,0.00344709,0.95103723,0.03182023,0.00604828,-0.04896923
110,0.00094125,0.00000062,0.00078618,3.17218900,0.00251538,0.00344305,0.95108336,0.03184106,0.00619667,-0.04889580
111,0.00094050,0.00000062,0.00078534,3.17799330,0.00251064,0.00343893,0.95112830,0.03185895,0.00633840,-0.04882376
112,0.00093973,0.00000062,0.00078456,3.18265295,0.00250603,0.00343471,0.95117217,0.03187346,0.00647509,-0.04875315
113,0.00093907,0.00000061,0.00078381,3.18792915,0.00250154,0.00343044,0.95121473,0.03188503,0.00660669,-0.04868401
114,0.00093832,0.00000061,0.00078309,3.19180250,0.00249718,0.00342610,0.95125628,0.03189396,0.00673287,-0.04861625
115,0.00093773,0.00000061,0.00078241,3.19652939,0.00249293,0.00342166,0.95129663,0.03189984,0.00685383,-0.04854979
116,0.00093716,0.00000061,0.00078179,3.20059276,0.00248881,0.00341711,0.95133603,0.03190283,0.00696835,-0.04848466
117,0.00093658,0.00000061,0.00078120,3.20408630,0.00248480,0.00341248,0.95137423,0.03190327,0.00707742,-0.04842082
118,0.00093604,0.00000061,0.00078065,3.20742106,0.00248091,0.00340781,0.95141143,0.03190148,0.00718222,-0.04835830
119,0.00093545,0.00000061,0.00078013,3.20977306,0.00247713,0.00340314,0.95144749,0.03189792,0.00728445,-0.04829701
120,0.00093493,0.00000061,0.00077962,3.21256065,0.00247347,0.00339851,0.95148247,0.03189318,0.00738457,-0.04823690
121,0.00093452,0.00000061,0.00077915,3.21589279,0.00246991,0.00339388,0.95151651,0.03188699,0.00748229,-0.04817792
122,0.00093412,0.00000061,0.00077870,3.21901822,0.00246647,0.00338924,0.95154947,0.03187954,0.00757568,-0.04812007
123,0.00093364,0.00000061,0.00077828,3.22080207,0.00246314,0.00338459,0.95158142,0.03187080,0.00766501,-0.04806335
124,0.00093331,0.00000061,0.00077790,3.22359824,0.00245992,0.00337991,0.95161229,0.03186091,0.00774903,-0.04800771
125,0.00093301,0.00000060,0.00077753,3.22638178,0.00245680,0.00337517,0.95164222,0.03184966,0.00782734,-0.04795314
126,0.00093272,0.00000060,0.00077720,3.22858763,0.00245379,0.00337041,0.95167112,0.03183754,0.00789970,-0.04789960
127,0.00093237,0.00000060,0.00077690,3.22994018,0.00245089,0.00336559,0.95169902,0.03182470,0.00796491,-0.04784707
128,0.00093216,0.00000060,0.00077662,3.23219490,0.00244808,0.00336075,0.95172602,0.03181124,0.00802403,-0.04779549
129,0.00093192,0.00000060,0.00077637,3.23384786,0.00244537,0.00335588,0.95175207,0.03179685,0.00807908,-0.04774486
130,0.00093161,0.00000060,0.00077614,3.23428631,0.00244276,0.00335100,0.95177722,0.03178168,0.00812989,-0.04769515
131,0.00093136,0.00000060,0.00077594,3.23502994,0.00244025,0.00334610,0.95180136,0.03176585,0.00817673,-0.04764634
132,0.00093121,0.00000060,0.00077575,3.23649693,0.00243784,0.00334118,0.95182461,0.03174916,0.00821930,-0.04759848
133,0.00093100,0.00000060,0.00077558,3.23707938,0.00243552,0.00333624,0.95184696,0.03173188,0.00825727,-0.04755152
134,0.00093079,0.00000060,0.00077543,3.23736501,0.00243330,0.00333130,0.95186836,0.03171423,0.00829102,-0.04750543
135,0.00093063,0.00000060,0.00077531,3.23777795,0.00243117,0.00332637,0.95188892,0.03169643,0.00832076,-0.04746022
136,0.00093056,0.00000060,0.00077520,3.23877072,0.00242914,0.00332149,0.95190853,0.03167879,0.00834741,-0.04741587
137,0.00093030,0.00000060,0.00077509,3.23796988,0.00242720,0.00331666,0.95192736,0.03166157,0.00837070,-0.04737234
138,0.00093018,0.00000060,0.00077501,3.23814535,0.00242535,0.00331193,0.95194519,0.03164509,0.00839183,-0.04732963
139,0.00093004,0.00000060,0.00077492,3.23821616,0.00242359,0.00330728,0.95196223,0.03162931,0.00841087,-0.04728769
140,0.00093000,0.00000060,0.00077483,3.23920608,0.00242191,0.00330275,0.95197839,0.03161438,0.00842940,-0.04724644
141,0.00092972,0.00000060,0.00077475,3.23779058,0.00242032,0.00329835,0.95199382,0.03160057,0.00844761,-0.04720589
142,0.00092960,0.00000060,0.00077467,3.23782730,0.00241881,0.00329407,0.95200843,0.03158760,0.00846486,-0.04716604
143,0.00092958,0.00000060,0.00077460,3.23877764,0.00241738,0.00328986,0.95202231,0.03157512,0.00848119,-0.04712691
144,0.00092940,0.00000060,0.00077452,3.23827577,0.00241603,0.00328576,0.95203537,0.03156312,0.00849723,-0.04708849
145,0.00092935,0.00000060,0.00077445,3.23885345,0.00241475,0.00328175,0.95204771,0.03155185,0.00851217,-0.04705074
146,0.00092918,0.00000060,0.00077439,3.23822141,0.00241355,0.00327782,0.95205933,0.03154127,0.00852565,-0.04701366
147,0.00092908,0.00000060,0.00077432,3.23835301,0.00241242,0.00327397,0.95207030,0.03153132,0.00853772,-0.04697720
148,0.00092913,0.00000060,0.00077426,3.23971844,0.00241137,0.00327024,0.95208049,0.03152230,0.00854923,-0.04694141
149,0.00092896,0.00000060,0.00077421,3.23886037,0.00241039,0.00326659,0.95208997,0.03151375,0.00856007,-0.04690629
150,0.00092893,0.00000060,0.00077415,3.23952103,0.00240948,0.00326303,0.95209885,0.03150593,0.00856998,-0.04687181
151,0.00092877,0.00000060,0.00077410,3.23884535,0.00240863,0.00325955,0.95210701,0.03149830,0.00858007,-0.04683793
152,0.00092878,0.00000060,0.00077405,3.23983359,0.00240785,0.00325613,0.95211458,0.03149055,0.00859078,-0.04680464
153,0.00092870,0.00000060,0.00077399,3.23991179,0.00240714,0.00325277,0.95212150,0.03148270,0.00860200,-0.04677193
154,0.00092860,0.00000060,0.00077393,3.23979259,0.00240648,0.00324948,0.95212787,0.03147507,0.00861363,-0.04673976
155,0.00092857,0.00000060,0.00077388,3.24033594,0.00240588,0.00324624,0.95213372,0.03146740,0.00862504,-0.04670811
156,0.00092844,0.00000060,0.00077382,3.23996711,0.00240534,0.00324304,0.95213902,0.03145984,0.00863624,-0.04667695
157,0.00092843,0.00000060,0.00077378,3.24056458,0.00240484,0.00323991,0.95214385,0.03145237,0.00864783,-0.04664623
158,0.00092834,0.00000060,0.00077373,3.24046803,0.00240440,0.00323684,0.95214820,0.03144531,0.00865942,-0.04661592
159,0.00092827,0.00000060,0.00077369,3.24053979,0.00240400,0.00323382,0.95215201,0.03143845,0.00867093,-0.04658600
160,0.00092822,0.00000060,0.00077363,3.24086857,0.00240365,0.00323082,0.95215541,0.03143157,0.00868132,-0.04655652
161,0.00092824,0.00000060,0.00077359,3.24171162,0.00240335,0.00322789,0.95215833,0.03142529,0.00869130,-0.04652748
162,0.00092813,0.00000060,0.00077354,3.24138618,0.00240310,0.00322504,0.95216078,0.03141976,0.00870073,-0.04649881
163,0.00092807,0.00000060,0.00077349,3.24169278,0.00240289,0.00322228,0.95216274,0.03141519,0.00870944,-0.04647053
164,0.00092808,0.00000060,0.00077345,3.24244666,0.00240273,0.00321957,0.95216429,0.03141121,0.00871709,-0.04644267
165,0.00092802,0.00000060,0.00077340,3.24254680,0.00240262,0.00321692,0.95216542,0.03140762,0.00872402,-0.04641522
166,0.00092796,0.00000060,0.00077336,3.24274421,0.00240255,0.00321433,0.95216614,0.03140453,0.00873060,-0.04638819
167,0.00092791,0.00000060,0.00077330,3.24305320,0.00240252,0.00321184,0.95216632,0.03140241,0.00873732,-0.04636153
168,0.00092787,0.00000060,0.00077325,3.24346828,0.00240253,0.00320942,0.95216626,0.03140083,0.00874348,-0.04633524
169,0.00092780,0.00000060,0.00077321,3.24355841,0.00240259,0.00320708,0.95216572,0.03140007,0.00874992,-0.04630930
170,0.00092779,0.00000060,0.00077314,3.24441409,0.00240268,0.00320480,0.95216483,0.03139969,0.00875690,-0.04628367
171,0.00092778,0.00000060,0.00077308,3.24523330,0.00240280,0.00320258,0.95216358,0.03139966,0.00876387,-0.04625836
172,0.00092768,0.00000060,0.00077301,3.24540567,0.00240296,0.00320046,0.95216209,0.03140052,0.00877224,-0.04623329
173,0.00092759,0.00000060,0.00077294,3.24567771,0.00240315,0.00319841,0.95216024,0.03140171,0.00878146,-0.04620850
174,0.00092761,0.00000060,0.00077287,3.24691844,0.00240337,0.00319640,0.95215809,0.03140302,0.00879156,-0.04618398
175,0.00092761,0.00000060,0.00077280,3.24808812,0.00240363,0.00319448,0.95215559,0.03140504,0.00880268,-0.04615970
176,0.00092756,0.00000060,0.00077272,3.24883962,0.00240391,0.00319261,0.95215279,0.03140727,0.00881473,-0.04613566
177,0.00092751,0.00000060,0.00077262,3.24971056,0.00240422,0.00319081,0.95214981,0.03141002,0.00882739,-0.04611182
178,0.00092749,0.00000060,0.00077254,3.25085258,0.00240456,0.00318904,0.95214659,0.03141285,0.00884018,-0.04608821
179,0.00092738,0.00000060,0.00077246,3.25106692,0.00240492,0.00318730,0.95214307,0.03141577,0.00885342,-0.04606486
180,0.00092743,0.00000060,0.00077237,3.25286937,0.00240530,0.00318560,0.95213938,0.03141860,0.00886724,-0.04604173
181,0.00092735,0.00000060,0.00077229,3.25331521,0.00240572,0.00318391,0.95213532,0.03142126,0.00888159,-0.04601881
182,0.00092728,0.00000060,0.00077219,3.25421667,0.00240615,0.00318223,0.95213109,0.03142371,0.00889608,-0.04599609
183,0.00092730,0.00000060,0.00077211,3.25567484,0.00240660,0.00318057,0.95212668,0.03142608,0.00891115,-0.04597353
184,0.00092721,0.00000060,0.00077202,3.25614882,0.00240708,0.00317895,0.95212215,0.03142863,0.00892683,-0.04595108
185,0.00092725,0.00000060,0.00077193,3.25797343,0.00240756,0.00317734,0.95211738,0.03143099,0.00894359,-0.04592874
186,0.00092714,0.00000060,0.00077184,3.25829005,0.00240807,0.00317572,0.95211244,0.03143271,0.00896077,-0.04590650
187,0.00092715,0.00000060,0.00077174,3.25995588,0.00240859,0.00317409,0.95210743,0.03143403,0.00897870,-0.04588436
188,0.00092708,0.00000060,0.00077166,3.26053786,0.00240913,0.00317244,0.95210212,0.03143464,0.00899715,-0.04586233
189,0.00092700,0.00000060,0.00077157,3.26103711,0.00240969,0.00317076,0.95209682,0.03143435,0.00901652,-0.04584038
190,0.00092698,0.00000060,0.00077148,3.26227045,0.00241026,0.00316903,0.95209128,0.03143330,0.00903571,-0.04581853
191,0.00092692,0.00000060,0.00077141,3.26277137,0.00241084,0.00316727,0.95208561,0.03143162,0.00905439,-0.04579674
192,0.00092692,0.00000059,0.00077134,3.26393342,0.00241143,0.00316544,0.95207989,0.03142868,0.00907329,-0.04577504
193,0.00092687,0.00000059,0.00077126,3.26451635,0.00241204,0.00316356,0.95207399,0.03142487,0.00909219,-0.04575338
194,0.00092683,0.00000059,0.00077120,3.26523089,0.00241265,0.00316163,0.95206809,0.03142021,0.00911095,-0.04573176
195,0.00092682,0.00000059,0.00077113,3.26608348,0.00241328,0.00315966,0.95206201,0.03141485,0.00912958,-0.04571020
196,0.00092679,0.00000059,0.00077108,3.26668954,0.00241392,0.00315769,0.95205581,0.03140900,0.00914929,-0.04568866
197,0.00092669,0.00000059,0.00077102,3.26652646,0.00241456,0.00315567,0.95204949,0.03140232,0.00916899,-0.04566718
198,0.00092659,0.00000059,0.00077097,3.26646876,0.00241522,0.00315362,0.95204318,0.03139510,0.00918856,-0.04564574
199,0.00092663,0.00000059,0.00077091,3.26772904,0.00241589,0.00315152,0.95203662,0.03138711,0.00920814,-0.04562436
200,0.00092663,0.00000059,0.00077085,3.26862144,0.00241658,0.00314941,0.95203006,0.03137915,0.00922626,-0.04560300
201,0.00092656,0.00000059,0.00077081,3.26857448,0.00241727,0.00314727,0.95202339,0.03137112,0.00924326,-0.04558168
202,0.00092653,0.00000059,0.00077077,3.26883769,0.00241797,0.00314512,0.95201653,0.03136302,0.00925884,-0.04556041
203,0.00092650,0.00000059,0.00077074,3.26911378,0.00241867,0.00314296,0.95200974,0.03135536,0.00927291,-0.04553916
