iter,total,cd3d,cd3d_raw,cd2d,scale_reg,t_reg,scale,tx,ty,tz
0,32.54758453,0.03254704,0.41794696,5.45622110,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000
1,32.09724426,0.03209544,0.40300739,18.00743103,0.00002500,0.00007500,1.00501263,-0.00500000,-0.00500000,0.00500000
2,31.61560440,0.03161441,0.38833430,11.92851353,0.00010012,0.00020774,1.01005626,-0.00998229,-0.00282484,0.01000573
3,31.10204124,0.03110133,0.37390131,7.07842731,0.00022566,0.00044842,1.01513517,-0.01492070,-0.00039968,0.01502093
4,30.55360794,0.03055294,0.35967317,6.72050714,0.00040206,0.00079312,1.02025390,-0.01977731,0.00006099,0.02004930
5,29.96741486,0.02996645,0.34563714,9.61048412,0.00062994,0.00123176,1.02541637,-0.02451040,-0.00112709,0.02509442
6,29.34124756,0.02933971,0.33179769,15.39593887,0.00091005,0.00176354,1.03062665,-0.02906753,-0.00300120,0.03015980
7,28.67273331,0.02867048,0.31815723,22.47963715,0.00124328,0.00237963,1.03588915,-0.03340306,-0.00462445,0.03524879
8,27.95899010,0.02795626,0.30471158,27.20112419,0.00163066,0.00305686,1.04120779,-0.03743076,-0.00514821,0.04036457
9,27.19741249,0.02719451,0.29145575,28.94242477,0.00207333,0.00377251,1.04658639,-0.04098641,-0.00463181,0.04551013
10,26.38577652,0.02638279,0.27838525,29.82917595,0.00257257,0.00450456,1.05202889,-0.04383683,-0.00368689,0.05068821
11,25.52171707,0.02551857,0.26549259,31.40550232,0.00312974,0.00522613,1.05753851,-0.04573528,-0.00307620,0.05590130
12,24.60277748,0.02459940,0.25276884,33.63712692,0.00374629,0.00591828,1.06311893,-0.04656090,-0.00329386,0.06115156
13,23.62780762,0.02362421,0.24021904,35.90818024,0.00442372,0.00658553,1.06877279,-0.04640744,-0.00418357,0.06644081
14,22.59696198,0.02259322,0.22785567,37.27931976,0.00516358,0.00724481,1.07450283,-0.04546409,-0.00518019,0.07177044
15,21.51129150,0.02150768,0.21569049,36.00895691,0.00596741,0.00791362,1.08031106,-0.04394843,-0.00560094,0.07714130
