iter,total,cd3d,cd3d_raw,cd2d,scale_reg,t_reg,scale,tx,ty,tz
0,39.98542023,0.03998378,9.92956638,16.44280434,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000
1,39.98447800,0.03998356,9.86203575,9.23971653,0.00002500,0.00007500,1.00501251,-0.00500000,0.00500000,0.00500000
2,39.98383331,0.03998332,9.79438782,5.05594921,0.00010001,0.00029096,1.01005077,-0.00981908,0.00976357,0.00996109
3,39.98337555,0.03998309,9.72626019,2.82611823,0.00022513,0.00062586,1.01511741,-0.01432403,0.01411690,0.01487943
4,39.98301697,0.03998285,9.65737152,1.69711256,0.00040058,0.00105334,1.02021611,-0.01843620,0.01796876,0.01976285
5,39.98271179,0.03998260,9.58752441,1.13196361,0.00062666,0.00154815,1.02534914,-0.02214098,0.02125906,0.02461669
6,39.98242950,0.03998234,9.51663399,0.84861219,0.00090378,0.00209158,1.03051925,-0.02546931,0.02399138,0.02945011
7,39.98214340,0.03998207,9.44472313,0.70076782,0.00123237,0.00267119,1.03572869,-0.02843896,0.02622277,0.03427504
8,39.98185349,0.03998179,9.37180519,0.62546426,0.00161298,0.00327885,1.04097927,-0.03110205,0.02798199,0.03909628
9,39.98156357,0.03998150,9.29791641,0.58448416,0.00204618,0.00390980,1.04627335,-0.03348391,0.02931833,0.04392108
10,39.98126221,0.03998120,9.22309303,0.57143426,0.00253264,0.00456177,1.05161321,-0.03562242,0.03026531,0.04875267
11,39.98095322,0.03998088,9.14733791,0.59270215,0.00307313,0.00523264,1.05700111,-0.03755021,0.03083269,0.05359072
12,39.98063660,0.03998056,9.07066154,0.66409093,0.00366851,0.00591963,1.06244016,-0.03926009,0.03103893,0.05843677
13,39.98031616,0.03998023,8.99301052,0.79570585,0.00431983,0.00661576,1.06793344,-0.04073799,0.03084649,0.06328245
14,39.97998047,0.03997988,8.91433048,0.94712210,0.00502829,0.00731346,1.07348514,-0.04195014,0.03022107,0.06812000
15,39.97963333,0.03997951,8.83461761,1.07823873,0.00579510,0.00800919,1.07909811,-0.04287098,0.02915749,0.07294597
16,39.97925949,0.03997913,8.75386524,1.14399970,0.00662160,0.00870174,1.08477569,-0.04347682,0.02765891,0.07775921
17,39.97886658,0.03997874,8.67211628,1.13421273,0.00750903,0.00939808,1.09052002,-0.04378929,0.02575973,0.08256522
18,39.97845078,0.03997833,8.58942127,1.06267428,0.00845860,0.01010973,1.09633267,-0.04383808,0.02351876,0.08737744
19,39.97801208,0.03997790,8.50584221,0.96190006,0.00947152,0.01085115,1.10221493,-0.04366264,0.02100972,0.09221341
20,39.97756195,0.03997745,8.42142963,0.85335690,0.01054903,0.01163677,1.10816836,-0.04331217,0.01829410,0.09708835
21,39.97708893,0.03997699,8.33623028,0.76366001,0.01169244,0.01248020,1.11419439,-0.04283147,0.01543127,0.10201735
