iter,total,corr,reproj,scale_reg,t_reg,scale,tx,ty,tz
0,2.45769167,2.45769167,0.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000
1,2.39834452,2.39834452,4.22131300,0.00002500,0.00007500,1.00501263,0.00500000,0.00500000,0.00500000
2,2.33962870,2.33962846,16.58502007,0.00009998,0.00029916,1.01004922,0.00996809,0.00999145,0.00999834
3,2.28155804,2.28155708,36.56067276,0.00022489,0.00067011,1.01510942,0.01487450,0.01496794,0.01499389
4,2.22414947,2.22414780,63.48979568,0.00039965,0.00118367,1.02019250,0.01968113,0.01992252,0.01998548
5,2.16741610,2.16741347,96.55753326,0.00062416,0.00183344,1.02529788,0.02434007,0.02484763,0.02497194
6,2.11137080,2.11136723,134.76831055,0.00089827,0.00261032,1.03042483,0.02879262,0.02973511,0.02995206
7,2.05602384,2.05601907,176.93515015,0.00122181,0.00350223,1.03557253,0.03296960,0.03457614,0.03492465
8,2.00138307,2.00137687,221.69869995,0.00159458,0.00449420,1.04074025,0.03679404,0.03936126,0.03988846
9,1.94745171,1.94744408,267.58898926,0.00201635,0.00556889,1.04592717,0.04018681,0.04408036,0.04484227
10,1.89423323,1.89422405,313.13668823,0.00248683,0.00670790,1.05113244,0.04307522,0.04872265,0.04978483
11,1.84172857,1.84171772,357.01437378,0.00300574,0.00789352,1.05635536,0.04540262,0.05327671,0.05471488
12,1.78994310,1.78993046,398.16775513,0.00357271,0.00911051,1.06159461,0.04713626,0.05773051,0.05963116
13,1.73887694,1.73886240,435.89419556,0.00418738,0.01034735,1.06684959,0.04827058,0.06207145,0.06453242
14,1.68853819,1.68852174,469.84982300,0.00484934,0.01159659,1.07211912,0.04882547,0.06628644,0.06941739
15,1.63893437,1.63891590,499.99002075,0.00555813,0.01285448,1.07740223,0.04884088,0.07036201,0.07428481
16,1.59007251,1.59005213,526.48107910,0.00631326,0.01411995,1.08269799,0.04837016,0.07428443,0.07913342
17,1.54196608,1.54194355,549.60931396,0.00711422,0.01539363,1.08800507,0.04747417,0.07803984,0.08396197
18,1.49462318,1.49459851,569.70477295,0.00796043,0.01667690,1.09332252,0.04621693,0.08161449,0.08876920
19,1.44805455,1.44802773,587.08905029,0.00885132,0.01797123,1.09864914,0.04466288,0.08499487,0.09355389
20,1.40226769,1.40223861,602.04260254,0.00978623,0.01927769,1.10398388,0.04287538,0.08816801,0.09831478
21,1.35727227,1.35724092,614.78863525,0.01076450,0.02059673,1.10932541,0.04091604,0.09112169,0.10305068
22,1.31307447,1.31304073,625.48693848,0.01178542,0.02192801,1.11467254,0.03884440,0.09384469,0.10776035
23,1.26968026,1.26964414,634.23608398,0.01284824,0.02327043,1.12002397,0.03671766,0.09632705,0.11244262
24,1.22709346,1.22705483,641.08044434,0.01395219,0.02462216,1.12537849,0.03459034,0.09856029,0.11709628
25,1.18531704,1.18527591,646.01953125,0.01509644,0.02598075,1.13073468,0.03251366,0.10053761,0.12172017
26,1.14435279,1.14430916,649.02185059,0.01628014,0.02734327,1.13609123,0.03053468,0.10225407,0.12631314
27,1.10420251,1.10415626,650.03826904,0.01750240,0.02870651,1.14144683,0.02869520,0.10370672,0.13087404
28,1.06486619,1.06481743,649.01611328,0.01876229,0.03006718,1.14680004,0.02703066,0.10489462,0.13540176
29,1.02634370,1.02629220,645.91375732,0.02005887,0.03142208,1.15214956,0.02556898,0.10581893,0.13989519
30,0.98863685,0.98858267,640.71405029,0.02139113,0.03276839,1.15749371,0.02432977,0.10648281,0.14435326
31,0.95174444,0.95168757,633.43212891,0.02275805,0.03410373,1.16283119,0.02332387,0.10689135,0.14877488
