iter,total,corr,reproj,scale_reg,t_reg,scale,tx,ty,tz
0,0.49867618,0.49867618,0.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000
1,0.50916445,0.48262382,26.54057503,0.00002500,0.00007500,1.00501263,0.00500000,-0.00500000,0.00500000
2,0.46850368,0.46714446,1.35904920,0.00010004,0.00010347,1.01005244,0.00130235,-0.00129016,0.01000567
3,0.45851451,0.45195529,6.55873775,0.00022493,0.00023424,1.01511073,-0.00213192,0.00222666,0.01499134
4,0.45269176,0.43693885,15.75211048,0.00039956,0.00042158,1.02019012,-0.00333045,0.00363346,0.01993200
5,0.43389440,0.42207393,11.81919861,0.00062388,0.00063340,1.02529216,-0.00264686,0.00312552,0.02483197
6,0.41122347,0.40741271,3.80896306,0.00089763,0.00088600,1.03041375,-0.00099889,0.00160582,0.02970563
7,0.39334288,0.39299151,0.34895596,0.00122038,0.00119602,1.03555119,0.00097395,-0.00027818,0.03456866
8,0.38173288,0.37882730,2.90242100,0.00159169,0.00156640,1.04070258,0.00271776,-0.00197105,0.03943506
9,0.37173513,0.36492148,6.80964899,0.00201127,0.00198719,1.04586804,0.00378896,-0.00301956,0.04431378
10,0.35882792,0.35127097,7.55203724,0.00247880,0.00244809,1.05104768,0.00403773,-0.00325264,0.04920579
11,0.34296370,0.33787924,5.07852888,0.00299384,0.00294789,1.05624056,0.00359280,-0.00278157,0.05410400
12,0.32688969,0.32475922,2.12344790,0.00355575,0.00349123,1.06144392,0.00270646,-0.00184819,0.05899571
13,0.31300223,0.31192401,1.06996346,0.00416381,0.00408217,1.06665492,0.00166674,-0.00073328,0.06386593
14,0.30163887,0.29937851,2.25082231,0.00481729,0.00472045,1.07187200,0.00075849,0.00028111,0.06870074
15,0.29128170,0.28712127,4.14951515,0.00551555,0.00540171,1.07709408,0.00020999,0.00096033,0.07348973
16,0.28019863,0.27514884,5.03742981,0.00625794,0.00612091,1.08232033,0.00013412,0.00117663,0.07822730
17,0.26789621,0.26346108,4.42121077,0.00704370,0.00687563,1.08754921,0.00051547,0.00092980,0.08291259
18,0.25516310,0.25206128,3.08629751,0.00787191,0.00766641,1.09277868,0.00124445,0.00031852,0.08754864
19,0.24314775,0.24095330,2.17721319,0.00874151,0.00849490,1.09800625,0.00215928,-0.00050153,0.09214113
20,0.23245032,0.23013905,2.29225945,0.00965145,0.00936161,1.10322952,0.00307951,-0.00135189,0.09669692
21,0.22280490,0.21961765,3.16639566,0.01060067,0.01026495,1.10844660,0.00383860,-0.00206358,0.10122230
22,0.21344559,0.20938636,4.03642654,0.01158815,0.01120194,1.11365604,0.00431825,-0.00251116,0.10572126
23,0.20378169,0.19944409,4.31282091,0.01261279,0.01216973,1.11885595,0.00447207,-0.00263805,0.11019425
24,0.19379823,0.18979147,3.97991133,0.01367342,0.01316662,1.12404454,0.00432713,-0.00246100,0.11463788
25,0.18393831,0.18043144,3.47791028,0.01476871,0.01419182,1.12921941,0.00396739,-0.00205569,0.11904559
