iter,total,corr,reproj,scale_reg,t_reg,scale,tx,ty,tz
0,2.45769167,2.45769167,0.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000
1,2.40256572,2.39834452,4.22131252,0.00002500,0.00007500,1.00501263,0.00500000,0.00500000,0.00500000
2,2.34253430,2.34178782,0.74649435,0.00009998,0.00011000,1.01004934,0.00161542,0.00271362,0.01000134
3,2.28671694,2.28576422,0.95228553,0.00022490,0.00022755,1.01510966,-0.00158801,0.00040012,0.01499554
4,2.23164701,2.22964668,1.99939013,0.00039967,0.00040581,1.02019310,-0.00258841,0.00013304,0.01997719
5,2.17561150,2.17360091,2.00911570,0.00062421,0.00062738,1.02529883,-0.00178173,0.00139117,0.02494537
6,2.12012911,2.11792731,2.19984102,0.00089837,0.00090491,1.03042650,-0.00008855,0.00328994,0.02990120
7,2.06615424,2.06286120,3.29058909,0.00122199,0.00124355,1.03557515,0.00182147,0.00509741,0.03484603
8,2.01334596,2.00857925,4.76329231,0.00159489,0.00163204,1.04074430,0.00334724,0.00619399,0.03978028
9,1.96093798,1.95514750,5.78636074,0.00201684,0.00205596,1.04593289,0.00407570,0.00640428,0.04470273
10,1.90880907,1.90252209,6.28202629,0.00248758,0.00251263,1.05114043,0.00397240,0.00597187,0.04961035
11,1.85736263,1.85062516,6.73148918,0.00300685,0.00300879,1.05636609,0.00326149,0.00529250,0.05449899
12,1.80690277,1.79937351,7.52211952,0.00357430,0.00355205,1.06160891,0.00225456,0.00478117,0.05936420
13,1.75738513,1.74870729,8.66946602,0.00418960,0.00414604,1.06686795,0.00128274,0.00474210,0.06420209
14,1.70859659,1.69860721,9.97972107,0.00485237,0.00479036,1.07214248,0.00063832,0.00525260,0.06900984
15,1.66042590,1.64910376,11.31104469,0.00556217,0.00548292,1.07743144,0.00048959,0.00619066,0.07378589
16,1.61292851,1.60025251,12.66346550,0.00631857,0.00622130,1.08273411,0.00084210,0.00732743,0.07852958
17,1.56622636,1.55212486,14.08731842,0.00712107,0.00700204,1.08804929,0.00157644,0.00839826,0.08324075
18,1.52037394,1.50478101,15.57711506,0.00796915,0.00782027,1.09337592,0.00250476,0.00917759,0.08791912
19,1.47535431,1.45825982,17.07691193,0.00886226,0.00867109,1.09871304,0.00341506,0.00955797,0.09256390
20,1.43113160,1.41257036,18.54194641,0.00979979,0.00955134,1.10405958,0.00411583,0.00957645,0.09717350
21,1.38769054,1.36770248,19.96679115,0.01078114,0.01046023,1.10941434,0.00448406,0.00937866,0.10174557
22,1.34503365,1.32363260,21.37776184,0.01180564,0.01139897,1.11477637,0.00449340,0.00916037,0.10627732
23,1.30317259,1.28033710,22.81016541,0.01287260,0.01236967,1.12014425,0.00420732,0.00910479,0.11076584
24,1.26212192,1.23780143,24.29312897,0.01398129,0.01337401,1.12551701,0.00375046,0.00932407,0.11520851
25,1.22190213,1.19602609,25.84651947,0.01513095,0.01441229,1.13089335,0.00327443,0.00982957,0.11960328
26,1.18252635,1.15502477,27.46977615,0.01632078,0.01548295,1.13627207,0.00292227,0.01054219,0.12394866
27,1.14398682,1.11481929,29.13338852,0.01754995,0.01658256,1.14165187,0.00279448,0.01132689,0.12824371
28,1.10626173,1.07543480,30.79030991,0.01881762,0.01770645,1.14703155,0.00292727,0.01203652,0.13248774
29,1.06933606,1.03689241,32.40464401,0.02012287,0.01884995,1.15240967,0.00329072,0.01255756,0.13668004
30,1.03322041,0.99920547,33.97343445,0.02146478,0.02000963,1.15778494,0.00380378,0.01284453,0.14081965
31,0.99794048,0.96237528,35.52118301,0.02284240,0.02118368,1.16315591,0.00435790,0.01292854,0.14490528
32,0.96351230,0.92639536,37.07030487,0.02425473,0.02237159,1.16852152,0.00484368,0.01289944,0.14893532
33,0.92992663,0.89125609,38.62132645,0.02570075,0.02357334,1.17388010,0.00517665,0.01287252,0.15290795
34,0.89715695,0.85694641,40.15856171,0.02717943,0.02478892,1.17923021,0.00531589,0.01295072,0.15682137
35,0.86518562,0.82345921,41.67171860,0.02868967,0.02601795,1.18457055,0.00527006,0.01319312,0.16067395
36,0.83401954,0.79079306,43.16904068,0.03023039,0.02725939,1.18989956,0.00509037,0.01360037,0.16446432
37,0.80367702,0.75895131,44.66540146,0.03180043,0.02851131,1.19521582,0.00485443,0.01412040,0.16819145
38,0.77416599,0.72794002,46.16283798,0.03339865,0.02977075,1.20051777,0.00464587,0.01466932,0.17185451
39,0.74547333,0.69776362,47.64361191,0.03502386,0.03103405,1.20580399,0.00453412,0.01515976,0.17545277
40,0.71757644,0.66842389,49.08356094,0.03667484,0.03229772,1.21107292,0.00455897,0.01552832,0.17898548
41,0.69046146,0.63991821,50.47134399,0.03835036,0.03355913,1.21632314,0.00472357,0.01575372,0.18245174
42,0.66413075,0.61224073,51.81515503,0.04004917,0.03481692,1.22155285,0.00499721,0.01585975,0.18585052
43,0.63859063,0.58538198,53.13080215,0.04176998,0.03607060,1.22676063,0.00532574,0.01590363,0.18918064
44,0.61383897,0.55933046,54.42770386,0.04351151,0.03731996,1.23194492,0.00564632,0.01595512,0.19244094
45,0.58986276,0.53407669,55.70218277,0.04527244,0.03856443,1.23710406,0.00590304,0.01607350,0.19563033
46,0.56664371,0.50961149,56.94539261,0.04705142,0.03980280,1.24223650,0.00605967,0.01628987,0.19874789
47,0.54416990,0.48592812,58.15192413,0.04884712,0.04103321,1.24734068,0.00610665,0.01659990,0.20179288
48,0.52243680,0.46302152,59.32232285,0.05065818,0.04225327,1.25241506,0.00606093,0.01696845,0.20476475
49,0.50144178,0.44088736,60.45842743,0.05248321,0.04346024,1.25745785,0.00595953,0.01734332,0.20766303
50,0.48117560,0.41951841,61.55821991,0.05432083,0.04465143,1.26246762,0.00584890,0.01767304,0.21048725
51,0.46162426,0.39890602,62.61622620,0.05616963,0.04582452,1.26744282,0.00577303,0.01792300,0.21323687
52,0.44277313,0.37903953,63.62861633,0.05802822,0.04697796,1.27238166,0.00576316,0.01808489,0.21591128
53,0.42460948,0.35990587,64.59558868,0.05989518,0.04811093,1.27728271,0.00583140,0.01817698,0.21850978
54,0.40712318,0.34149012,65.52203369,0.06176912,0.04922317,1.28214443,0.00596958,0.01823589,0.22103165
55,0.39030492,0.32377905,66.41192627,0.06364860,0.05031449,1.28696501,0.00615304,0.01830343,0.22347622
56,0.37414163,0.30675787,67.26685333,0.06553221,0.05138437,1.29174316,0.00634801,0.01841290,0.22584295
57,0.35861897,0.29041374,68.08539581,0.06741855,0.05243168,1.29647732,0.00652051,0.01857937,0.22813149
58,0.34372264,0.27473500,68.86484528,0.06930621,0.05345473,1.30116582,0.00664449,0.01879653,0.23034164
59,0.32943755,0.25970882,69.60309601,0.07119378,0.05445138,1.30580747,0.00670739,0.01904064,0.23247333
60,0.31575072,0.24532361,70.29859924,0.07307986,0.05541945,1.31040061,0.00671194,0.01927962,0.23452653
61,0.30264819,0.23156635,70.95051575,0.07496309,0.05635700,1.31494379,0.00667413,0.01948392,0.23650123
62,0.29011533,0.21842235,71.55889130,0.07684208,0.05726265,1.31943560,0.00661817,0.01963565,0.23839734
63,0.27813748,0.20587614,72.12448883,0.07871548,0.05813568,1.32387459,0.00656988,0.01973325,0.24021472
64,0.26669848,0.19391078,72.64813995,0.08058196,0.05897591,1.32825971,0.00655041,0.01979049,0.24195318
65,0.25578320,0.18250920,73.13179779,0.08244023,0.05978352,1.33258951,0.00657151,0.01983070,0.24361256
66,0.24537614,0.17165484,73.57644653,0.08428898,0.06055864,1.33686268,0.00663354,0.01987853,0.24519275
67,0.23546095,0.16133070,73.98281860,0.08612695,0.06130116,1.34107828,0.00672645,0.01995195,0.24669380
68,0.22602279,0.15152141,74.35142517,0.08795292,0.06201049,1.34523487,0.00683314,0.02005717,0.24811591
69,0.21704632,0.14221156,74.68230438,0.08976566,0.06268562,1.34933138,0.00693421,0.02018774,0.24945942
70,0.20851545,0.13338555,74.97499847,0.09156400,0.06332531,1.35336685,0.00701289,0.02032773,0.25072476
71,0.20041397,0.12502788,75.22882843,0.09334680,0.06392822,1.35734034,0.00705886,0.02045773,0.25191244
72,0.19272639,0.11712319,75.44359589,0.09511295,0.06449340,1.36125064,0.00707018,0.02056134,0.25302300
73,0.18543614,0.10965474,75.61952209,0.09686138,0.06502026,1.36509717,0.00705303,0.02063022,0.25405690
74,0.17852817,0.10260615,75.75792694,0.09859108,0.06550880,1.36887908,0.00701943,0.02066601,0.25501460
75,0.17198752,0.09596106,75.86020660,0.10030105,0.06595945,1.37259543,0.00698384,0.02067895,0.25589657
76,0.16579893,0.08970276,75.92781830,0.10199034,0.06637280,1.37624562,0.00695941,0.02068381,0.25670323
77,0.15994634,0.08381448,75.96145630,0.10365809,0.06674950,1.37982929,0.00695488,0.02069477,0.25743514
78,0.15441498,0.07828092,75.96166992,0.10530342,0.06708995,1.38334560,0.00697285,0.02072091,0.25809294
79,0.14919026,0.07308669,75.92924500,0.10692555,0.06739425,1.38679409,0.00700970,0.02076375,0.25867736
80,0.14425737,0.06821649,75.86467743,0.10852370,0.06766227,1.39017463,0.00705703,0.02081748,0.25918931
81,0.13960281,0.06365610,75.76873779,0.11009720,0.06789370,1.39348662,0.00710418,0.02087152,0.25962976
82,0.13521236,0.05939092,75.64170837,0.11164540,0.06808825,1.39672995,0.00714104,0.02091438,0.25999969
83,0.13107209,0.05540656,75.48410797,0.11316769,0.06824583,1.39990461,0.00716054,0.02093753,0.26030016
